"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,117.75470149,75.86880096,167.54360212,1496819.12891181,1327,40,1
"result.3840",15,15,14,117.75470149,75.86880096,166.75330211,1489758.6613226,1324,40,0.984003757506626
"result.4095",14,15,15,116.96440148,75.86880096,167.54360212,1486773.36294596,1318,40,0.977240245579897
"result.3584",15,15,13,117.75470149,75.86880096,165.9630021,1482698.1937334,1321,40,0.968007515013251
"result.4080",15,14,15,117.75470149,75.07850095,167.54360212,1481227.26298564,1320,40,0.964674964493799
"result.3839",14,15,14,116.96440148,75.86880096,166.75330211,1479760.28104527,1315,40,0.961351360418694
"result.4094",13,15,15,116.17410147,75.86880096,167.54360212,1476727.59698011,1309,40,0.954480491159794
"result.3328",15,15,12,117.75470149,75.86880096,165.17270209,1475637.72614419,1318,40,0.952011272519878
"result.3824",15,14,14,117.75470149,75.07850095,166.75330211,1474240.34193383,1317,40,0.948845349526398
"result.3583",14,15,13,116.96440148,75.86880096,165.9630021,1472747.19914458,1312,40,0.945462475257489
"result.4079",14,14,15,116.96440148,75.07850095,167.54360212,1471286.14041527,1311,40,0.942152290848906
"result.3838",13,15,14,116.17410147,75.86880096,166.75330211,1469761.90076794,1306,40,0.938698963330761
"result.3072",15,15,11,117.75470149,75.86880096,164.38240208,1468577.25855498,1315,40,0.936015030026503
"result.3568",15,14,13,117.75470149,75.07850095,165.9630021,1467253.42088201,1314,40,0.933015734558996
"result.4093",12,15,15,115.38380146,75.86880096,167.54360212,1466681.83101426,1300,40,0.931720736739692
"result.3327",14,15,12,116.96440148,75.86880096,165.17270209,1465734.11724389,1309,40,0.929573590096286
"result.4064",15,13,15,117.75470149,74.28820094,167.54360212,1465635.39705948,1313,40,0.929349928987597
"result.3823",14,14,14,116.96440148,75.07850095,166.75330211,1464346.11145105,1308,40,0.926428914908131
"result.3582",13,15,13,116.17410147,75.86880096,165.9630021,1462796.20455577,1303,40,0.922917435501728
"result.2816",15,15,10,117.75470149,75.86880096,163.59210207,1461516.79096578,1311,40,0.92001878753313
"result.4078",13,14,15,116.17410147,75.07850095,167.54360212,1461345.0178449,1302,40,0.919629617204012
