"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,40.30530051,67.96580086,120.12560152,329069.9139144,364,40,1
"result.3840",15,15,14,40.30530051,67.96580086,119.33530151,326904.980270226,362,40,0.986142180094787
"result.4080",15,14,15,40.30530051,67.17550085,120.12560152,325243.519566558,362,40,0.975507109004739
"result.3584",15,15,13,40.30530051,67.96580086,118.5450015,324740.046626052,361,40,0.972284360189573
"result.3824",15,14,14,40.30530051,67.17550085,119.33530151,323103.759569409,360,40,0.961810426540284
"result.4095",14,15,15,39.5150005,67.96580086,120.12560152,322617.562661176,357,40,0.958698262243286
"result.3328",15,15,12,40.30530051,67.96580086,117.75470149,322575.112981879,360,40,0.95842654028436
"result.4064",15,13,15,40.30530051,66.38520084,120.12560152,321417.125218716,359,40,0.951014218009479
"result.3568",15,14,13,40.30530051,67.17550085,118.5450015,320963.999572261,359,40,0.948113744075829
"result.3839",14,15,14,39.5150005,67.96580086,119.33530151,320495.0786963,355,40,0.945112164296998
"result.3072",15,15,11,40.30530051,67.96580086,116.96440148,320410.179337705,359,40,0.944568720379147
"result.3808",15,13,14,40.30530051,66.38520084,119.33530151,319302.538868593,358,40,0.937478672985782
"result.4079",14,14,15,39.5150005,67.17550085,120.12560152,318866.195653488,354,40,0.934685624012638
"result.3312",15,14,12,40.30530051,67.17550085,117.75470149,318824.239575113,358,40,0.934417061611374
"result.3583",14,15,13,39.5150005,67.96580086,118.5450015,318372.594731424,354,40,0.931526066350711
"result.2816",15,15,10,40.30530051,67.96580086,116.17410147,318245.245693531,358,40,0.930710900473934
"result.4048",15,12,15,40.30530051,65.59490083,120.12560152,317590.730870874,357,40,0.926521327014218
"result.3552",15,13,13,40.30530051,66.38520084,118.5450015,317187.95251847,357,40,0.923943127962085
"result.3823",14,14,14,39.5150005,67.17550085,119.33530151,316768.391734715,353,40,0.921257503949447
"result.3056",15,14,11,40.30530051,67.17550085,116.96440148,316684.479577964,357,40,0.92072037914692
"result.3327",14,15,12,39.5150005,67.96580086,117.75470149,316250.110766548,353,40,0.917939968404423
"result.4094",13,15,15,38.72470049,67.96580086,120.12560152,316165.211407953,349,40,0.917396524486572
"result.2560",15,15,9,40.30530051,67.96580086,115.38380146,316080.312049358,356,40,0.91685308056872
"result.3792",15,12,14,40.30530051,65.59490083,119.33530151,315501.318167776,356,40,0.91314691943128
"result.4063",14,13,15,39.5150005,66.38520084,120.12560152,315114.8286458,352,40,0.91067298578199
"result.3296",15,13,12,40.30530051,66.38520084,117.75470149,315073.366168347,356,40,0.910407582938389
"result.3567",14,14,13,39.5150005,67.17550085,118.5450015,314670.587815942,352,40,0.907829383886256
"result.2800",15,14,10,40.30530051,67.17550085,116.17410147,314544.719580816,356,40,0.907023696682465
"result.3071",14,15,11,39.5150005,67.96580086,116.96440148,314127.626801672,352,40,0.904353870458136
"result.3838",13,15,14,38.72470049,67.96580086,119.33530151,314085.177122374,348,40,0.90408214849921
"result.2304",15,15,8,40.30530051,67.96580086,114.59350145,313915.378405184,355,40,0.902995260663507
"result.4032",15,11,15,40.30530051,64.80460082,120.12560152,313764.336523032,355,40,0.902028436018957
"result.3536",15,12,13,40.30530051,65.59490083,118.5450015,313411.905464678,355,40,0.899772511848341
"result.3807",14,13,14,39.5150005,66.38520084,119.33530151,313041.70477313,351,40,0.897402843601896
"result.3040",15,13,11,40.30530051,66.38520084,116.96440148,312958.779818223,355,40,0.896872037914692
"result.3311",14,14,12,39.5150005,67.17550085,117.75470149,312572.783897169,351,40,0.894401263823065
"result.4078",13,14,15,38.72470049,67.17550085,120.12560152,312488.871740418,347,40,0.893864139020537
"result.2544",15,14,9,40.30530051,67.17550085,115.38380146,312404.959583667,354,40,0.89332701421801
"result.2815",14,15,10,39.5150005,67.96580086,116.17410147,312005.142836795,351,40,0.890767772511848
"result.3582",13,15,13,38.72470049,67.96580086,118.5450015,312005.142836795,347,40,0.890767772511848
"result.2048",15,15,7,40.30530051,67.96580086,113.80320144,311750.44476101,354,40,0.889137440758294
"result.3776",15,11,14,40.30530051,64.80460082,119.33530151,311700.09746696,354,40,0.888815165876777
"result.4047",14,12,15,39.5150005,65.59490083,120.12560152,311363.461638112,350,40,0.886660347551343
"result.3280",15,12,12,40.30530051,65.59490083,117.75470149,311322.492761581,354,40,0.886398104265403
"result.3551",14,13,13,39.5150005,66.38520084,118.5450015,310968.58090046,350,40,0.884132701421801
"result.2784",15,13,10,40.30530051,66.38520084,116.17410147,310844.1934681,353,40,0.883336492890995
"result.3055",14,14,11,39.5150005,67.17550085,116.96440148,310474.979978396,350,40,0.880973143759874
"result.3822",13,14,14,38.72470049,67.17550085,119.33530151,310433.023900021,346,40,0.88070458135861
"result.2288",15,14,8,40.30530051,67.17550085,114.59350145,310265.199586519,353,40,0.879630331753555
"result.4016",15,10,15,40.30530051,64.01430081,120.12560152,309937.94217519,353,40,0.877535545023696
"result.3326",13,15,12,38.72470049,67.96580086,117.75470149,309925.108551217,346,40,0.877453396524487
"result.2559",14,15,9,39.5150005,67.96580086,115.38380146,309882.658871919,349,40,0.877181674565561
"result.4093",12,15,15,37.93440048,67.96580086,120.12560152,309712.860154729,342,40,0.876094786729858
"result.3520",15,11,13,40.30530051,64.80460082,118.5450015,309635.858410887,353,40,0.875601895734597
"result.1792",15,15,6,40.30530051,67.96580086,113.01290143,309585.511116837,353,40,0.875279620853081
"result.3791",14,12,14,39.5150005,65.59490083,119.33530151,309315.017811545,349,40,0.873548183254344
"result.3024",15,12,11,40.30530051,65.59490083,116.96440148,309233.080058483,353,40,0.873023696682465
"result.3295",14,13,12,39.5150005,66.38520084,117.75470149,308895.457027791,349,40,0.870862559241706
"result.4062",13,13,15,38.72470049,66.38520084,120.12560152,308812.532072884,345,40,0.870331753554502
"result.2528",15,13,9,40.30530051,66.38520084,115.38380146,308729.607117977,352,40,0.869800947867298
"result.2799",14,14,10,39.5150005,67.17550085,116.17410147,308377.176059623,349,40,0.867545023696682
"result.3566",13,14,13,38.72470049,67.17550085,118.5450015,308377.176059623,345,40,0.867545023696682
"result.2032",15,14,7,40.30530051,67.17550085,113.80320144,308125.439589371,352,40,0.865933649289099
"result.3760",15,10,14,40.30530051,64.01430081,119.33530151,307898.876766143,352,40,0.864483412322275
"result.3070",13,15,11,38.72470049,67.96580086,116.96440148,307845.074265638,345,40,0.864139020537125
"result.2303",14,15,8,39.5150005,67.96580086,114.59350145,307760.174907043,348,40,0.863595576619273
"result.3837",12,15,14,37.93440048,67.96580086,119.33530151,307675.275548448,341,40,0.863052132701422
"result.4031",14,11,15,39.5150005,64.80460082,120.12560152,307612.094630424,348,40,0.862647709320695
"result.3264",15,11,12,40.30530051,64.80460082,117.75470149,307571.619354815,352,40,0.862388625592417
"result.1536",15,15,5,40.30530051,67.96580086,112.22260142,307420.577472663,352,40,0.861421800947867
"result.3535",14,12,13,39.5150005,65.59490083,118.5450015,307266.573984979,348,40,0.860436018957346
"result.2768",15,12,10,40.30530051,65.59490083,116.17410147,307143.667355385,351,40,0.859649289099526
"result.3039",14,13,11,39.5150005,66.38520084,116.96440148,306822.333155121,348,40,0.857592417061611
"result.3806",13,13,14,38.72470049,66.38520084,119.33530151,306780.870677668,344,40,0.857327014218009
"result.2272",15,13,8,40.30530051,66.38520084,114.59350145,306615.020767854,351,40,0.856265402843602
"result.3310",13,14,12,38.72470049,67.17550085,117.75470149,306321.328219226,344,40,0.854385466034755
"result.2543",14,14,9,39.5150005,67.17550085,115.38380146,306279.37214085,347,40,0.854116903633491
"result.4000",15,9,15,40.30530051,63.2240008,120.12560152,306111.547827349,351,40,0.853042654028436
"result.4077",12,14,15,37.93440048,67.17550085,120.12560152,306111.547827349,340,40,0.853042654028436
"result.1776",15,14,6,40.30530051,67.17550085,113.01290143,305985.679592222,351,40,0.852236966824644
"result.3504",15,10,13,40.30530051,64.01430081,118.5450015,305859.811357096,351,40,0.851431279620853
"result.2814",13,15,10,38.72470049,67.96580086,116.17410147,305765.039980059,344,40,0.850824644549763
"result.2047",14,15,7,39.5150005,67.96580086,113.80320144,305637.690942167,347,40,0.850009478672986
"result.3581",12,15,13,37.93440048,67.96580086,118.5450015,305637.690942167,340,40,0.850009478672986
"result.3775",14,11,14,39.5150005,64.80460082,119.33530151,305588.33084996,347,40,0.849693522906793
"result.3008",15,11,11,40.30530051,64.80460082,116.96440148,305507.380298742,350,40,0.849175355450237
"result.1280",15,15,4,40.30530051,67.96580086,111.43230141,305255.643828489,350,40,0.847563981042654
"result.3279",14,12,12,39.5150005,65.59490083,117.75470149,305218.130158412,347,40,0.847323854660348
"result.4046",13,12,15,38.72470049,65.59490083,120.12560152,305136.19240535,343,40,0.846799368088468
"result.2512",15,12,9,40.30530051,65.59490083,115.38380146,305054.254652287,350,40,0.846274881516588
"result.2783",14,13,10,39.5150005,66.38520084,116.17410147,304749.209282451,347,40,0.844322274881517
"result.3550",13,13,13,38.72470049,66.38520084,118.5450015,304749.209282451,343,40,0.844322274881517
"result.2016",15,13,7,40.30530051,66.38520084,113.80320144,304500.434417731,350,40,0.842729857819905
"result.3054",13,14,11,38.72470049,67.17550085,116.96440148,304265.480378828,343,40,0.841225908372828
"result.2287",14,14,8,39.5150005,67.17550085,114.59350145,304181.568222077,346,40,0.8406887835703
"result.3744",15,9,14,40.30530051,63.2240008,119.33530151,304097.656065327,350,40,0.840151658767773
"result.3821",12,14,14,37.93440048,67.17550085,119.33530151,304097.656065327,339,40,0.840151658767773
"result.4015",14,10,15,39.5150005,64.01430081,120.12560152,303860.727622736,346,40,0.838635071090047
"result.1520",15,14,5,40.30530051,67.17550085,112.22260142,303845.919595074,349,40,0.838540284360189
"result.3248",15,10,12,40.30530051,64.01430081,117.75470149,303820.745948048,349,40,0.838379146919431
"result.2558",13,15,9,38.72470049,67.96580086,115.38380146,303685.005694481,342,40,0.837510268562401
"result.3325",12,15,12,37.93440048,67.96580086,117.75470149,303600.106335886,339,40,0.83696682464455
"result.3519",14,11,13,39.5150005,64.80460082,118.5450015,303564.567069497,346,40,0.836739336492891
"result.1791",14,15,6,39.5150005,67.96580086,113.01290143,303515.206977291,346,40,0.836423380726698
"result.2752",15,11,10,40.30530051,64.80460082,116.17410147,303443.141242669,349,40,0.835962085308057
"result.4092",11,15,15,37.14410047,67.96580086,120.12560152,303260.508901506,335,40,0.834793048973144
"result.3023",14,12,11,39.5150005,65.59490083,116.96440148,303169.686331846,346,40,0.834211690363349
"result.3790",13,12,14,38.72470049,65.59490083,119.33530151,303128.717455314,342,40,0.833949447077409
"result.1024",15,15,3,40.30530051,67.96580086,110.6420014,303090.710184316,349,40,0.833706161137441
"result.2256",15,12,8,40.30530051,65.59490083,114.59350145,302964.841949189,349,40,0.832900473933649
"result.3294",13,13,12,38.72470049,66.38520084,117.75470149,302717.547887235,342,40,0.831317535545024
"result.2527",14,13,9,39.5150005,66.38520084,115.38380146,302676.085409782,345,40,0.831052132701422
"result.4061",12,13,15,37.93440048,66.38520084,120.12560152,302510.235499968,338,40,0.829990521327014
"result.1760",15,13,6,40.30530051,66.38520084,113.01290143,302385.848067608,349,40,0.829194312796208
"result.3984",15,8,15,40.30530051,62.43370079,120.12560152,302285.153479507,349,40,0.828549763033175
"result.2798",13,14,10,38.72470049,67.17550085,116.17410147,302209.632538431,342,40,0.8280663507109
"result.2031",14,14,7,39.5150005,67.17550085,113.80320144,302083.764303304,345,40,0.827260663507109
"result.3488",15,9,13,40.30530051,63.2240008,118.5450015,302083.764303304,348,40,0.827260663507109
"result.3565",12,14,13,37.93440048,67.17550085,118.5450015,302083.764303304,338,40,0.827260663507109
"result.3759",14,10,14,39.5150005,64.01430081,119.33530151,301861.643888376,345,40,0.825838862559242
"result.2992",15,10,11,40.30530051,64.01430081,116.96440148,301781.680539001,348,40,0.825327014218009
"result.1264",15,14,4,40.30530051,67.17550085,111.43230141,301706.159597925,348,40,0.824843601895735
"result.2302",13,15,8,38.72470049,67.96580086,114.59350145,301604.971408902,341,40,0.82419589257504
"result.3069",12,15,11,37.93440048,67.96580086,116.96440148,301562.521729605,338,40,0.823924170616114
"result.3263",14,11,12,39.5150005,64.80460082,117.75470149,301540.803289034,345,40,0.823785150078989
"result.4030",13,11,15,38.72470049,64.80460082,120.12560152,301459.852737815,341,40,0.823266982622433
"result.1535",14,15,5,39.5150005,67.96580086,112.22260142,301392.723012415,345,40,0.822837282780411
"result.2496",15,11,9,40.30530051,64.80460082,115.38380146,301378.902186597,348,40,0.822748815165877
"result.3836",11,15,14,37.14410047,67.96580086,119.33530151,301265.373974522,334,40,0.822022116903633
"result.2767",14,12,10,39.5150005,65.59490083,116.17410147,301121.242505279,344,40,0.821099526066351
"result.3534",13,12,13,38.72470049,65.59490083,118.5450015,301121.242505279,341,40,0.821099526066351
"result.768",15,15,2,40.30530051,67.96580086,109.85170139,300925.776540142,348,40,0.819848341232228
"result.2000",15,12,7,40.30530051,65.59490083,113.80320144,300875.429246091,348,40,0.819526066350711
"result.3038",13,13,11,38.72470049,66.38520084,116.96440148,300685.886492019,341,40,0.818312796208531
"result.2271",14,13,8,39.5150005,66.38520084,114.59350145,300602.961537112,344,40,0.817781990521327
"result.3805",12,13,14,37.93440048,66.38520084,119.33530151,300520.036582205,337,40,0.817251184834123
"result.3728",15,8,14,40.30530051,62.43370079,119.33530151,300296.43536451,347,40,0.81581990521327
"result.1504",15,13,5,40.30530051,66.38520084,112.22260142,300271.261717485,347,40,0.815658767772512
"result.2542",13,14,9,38.72470049,67.17550085,115.38380146,300153.784698033,340,40,0.814906793048973
"result.3999",14,9,15,39.5150005,63.2240008,120.12560152,300109.360615048,344,40,0.8146224328594
"result.3232",15,9,12,40.30530051,63.2240008,117.75470149,300069.872541282,347,40,0.814369668246445
"result.3309",12,14,12,37.93440048,67.17550085,117.75470149,300069.872541282,337,40,0.814369668246445
