"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,76.65910097,181.7690023,92.46510117,1288431.67883658,993,40,1
"result.4080",15,14,15,76.65910097,180.97870229,92.46510117,1282829.80197207,991,40,0.986023571138287
"result.3840",15,15,14,76.65910097,181.7690023,91.67480116,1277419.44226533,989,40,0.972524968904324
"result.4064",15,13,15,76.65910097,180.18840228,92.46510117,1277227.92510757,989,40,0.972047142276573
"result.4095",14,15,15,75.86880096,181.7690023,92.46510117,1275148.87802383,983,40,0.966860014039236
"result.3824",15,14,14,76.65910097,180.97870229,91.67480116,1271865.44469026,987,40,0.958667996699548
"result.4048",15,12,15,76.65910097,179.39810227,92.46510117,1271626.04824306,987,40,0.958070713414859
"result.4079",14,14,15,75.86880096,180.97870229,92.46510117,1269604.75246721,981,40,0.953027672073004
"result.3584",15,15,13,76.65910097,181.7690023,90.88450115,1266407.20569407,985,40,0.945049937808648
"result.3808",15,13,14,76.65910097,180.18840228,91.67480116,1266311.44711519,985,40,0.944811024494772
"result.4032",15,11,15,76.65910097,178.60780226,92.46510117,1266024.17137855,985,40,0.944094284553146
"result.3839",14,15,14,75.86880096,181.7690023,91.67480116,1264250.16966465,979,40,0.939668230686814
"result.4063",14,13,15,75.86880096,180.18840228,92.46510117,1264060.62691058,979,40,0.939195330106772
"result.4094",13,15,15,75.07850095,181.7690023,92.46510117,1261866.07721108,973,40,0.933720028078472
"result.3568",15,14,13,76.65910097,180.97870229,90.88450115,1260901.08740845,983,40,0.93131242226081
"result.3792",15,12,14,76.65910097,179.39810227,91.67480116,1260757.44954013,983,40,0.930954052289996
"result.4016",15,10,15,76.65910097,177.81750225,92.46510117,1260422.29451405,982,40,0.930117855691432
"result.3823",14,14,14,75.86880096,180.97870229,91.67480116,1258753.42979655,977,40,0.925954113865593
"result.4047",14,12,15,75.86880096,179.39810227,92.46510117,1258516.50135396,977,40,0.92536298814054
"result.4078",13,14,15,75.07850095,180.97870229,92.46510117,1256379.70296234,971,40,0.920031773007722
"result.3328",15,15,12,76.65910097,181.7690023,90.09420114,1255394.96912282,981,40,0.917574906712972
"result.3552",15,13,13,76.65910097,180.18840228,90.88450115,1255394.96912282,981,40,0.917574906712972
"result.3776",15,11,14,76.65910097,178.60780226,91.67480116,1255203.45196506,980,40,0.917097080085221
"result.4000",15,9,15,76.65910097,177.02720224,92.46510117,1254820.41764954,980,40,0.916141426829719
"result.3583",14,15,13,75.86880096,181.7690023,90.88450115,1253351.46130548,975,40,0.912476447334392
"result.3807",14,13,14,75.86880096,180.18840228,91.67480116,1253256.68992844,975,40,0.912239997044371
"result.4031",14,11,15,75.86880096,178.60780226,92.46510117,1252972.37579733,974,40,0.911530646174308
"result.3838",13,15,14,75.07850095,181.7690023,91.67480116,1251080.89706398,969,40,0.906811492469304
"result.4062",13,13,15,75.07850095,180.18840228,92.46510117,1250893.3287136,969,40,0.906343517936971
"result.3312",15,14,12,76.65910097,180.97870229,90.09420114,1249936.73012663,978,40,0.903956847822071
"result.3536",15,12,13,76.65910097,179.39810227,90.88450115,1249888.85083719,978,40,0.903837391165134
"result.3760",15,10,14,76.65910097,177.81750225,91.67480116,1249649.45438999,978,40,0.903240107880445
"result.3984",15,8,15,76.65910097,176.23690223,92.46510117,1249218.54078503,978,40,0.902164997968005
"result.4093",12,15,15,74.28820094,181.7690023,92.46510117,1248583.27639833,963,40,0.900580042117708
"result.3567",14,14,13,75.86880096,180.97870229,90.88450115,1247902.10712589,973,40,0.898880555658181
"result.3791",14,12,14,75.86880096,179.39810227,91.67480116,1247759.95006033,972,40,0.89852588022315
"result.4015",14,10,15,75.86880096,177.81750225,92.46510117,1247428.2502407,972,40,0.897698304208077
"result.3822",13,14,14,75.07850095,180.97870229,91.67480116,1245641.41490283,967,40,0.893240231031637
"result.4046",13,12,15,75.07850095,179.39810227,92.46510117,1245406.95446485,966,40,0.892655262866221
"result.3296",15,13,12,76.65910097,180.18840228,90.09420114,1244478.49113045,976,40,0.890338788931171
"result.3072",15,15,11,76.65910097,181.7690023,89.30390113,1244382.73255157,976,40,0.890099875617295
"result.3520",15,11,13,76.65910097,178.60780226,90.88450115,1244382.73255157,976,40,0.890099875617295
"result.3744",15,9,14,76.65910097,177.02720224,91.67480116,1244095.45681493,976,40,0.889383135675669
"result.3968",15,7,15,76.65910097,175.44660222,92.46510117,1243616.66392052,976,40,0.888188569106292
"result.4077",12,14,15,74.28820094,180.97870229,92.46510117,1243154.65345747,960,40,0.887035873942439
"result.3327",14,15,12,75.86880096,181.7690023,90.09420114,1242452.7529463,970,40,0.88528466398197
"result.3551",14,13,13,75.86880096,180.18840228,90.88450115,1242452.7529463,970,40,0.88528466398197
"result.3775",14,11,14,75.86880096,178.60780226,91.67480116,1242263.21019222,970,40,0.884811763401929
"result.3999",14,9,15,75.86880096,177.02720224,92.46510117,1241884.12468408,970,40,0.883865962241844
"result.3582",13,15,13,75.07850095,181.7690023,90.88450115,1240295.71691688,964,40,0.879902956860137
"result.3806",13,13,14,75.07850095,180.18840228,91.67480116,1240201.93274168,964,40,0.87966896959397
