"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,78.23970099,74.28820094,120.12560152,698204.427470908,739,40,1
"result.3840",15,15,14,78.23970099,74.28820094,119.33530151,693610.977290179,736,40,0.981586133206696
"result.4095",14,15,15,77.44940098,74.28820094,120.12560152,691151.857496455,731,40,0.971728204519371
"result.4080",15,14,15,78.23970099,73.49790093,120.12560152,690776.720795686,735,40,0.970224385610827
"result.3584",15,15,13,78.23970099,74.28820094,118.5450015,689017.527109449,734,40,0.963172266413392
"result.3839",14,15,14,77.44940098,74.28820094,119.33530151,686604.805802399,729,40,0.953500336380545
"result.3824",15,14,14,78.23970099,73.49790093,119.33530151,686232.13710624,732,40,0.952006411017452
"result.3328",15,15,12,78.23970099,74.28820094,117.75470149,684424.076928719,731,40,0.944758399620088
"result.4094",13,15,15,76.65910097,74.28820094,120.12560152,684099.287522001,724,40,0.943456409038743
"result.4079",14,14,15,77.44940098,73.49790093,120.12560152,683799.178161386,727,40,0.942253353911908
"result.4064",15,13,15,78.23970099,72.70760092,120.12560152,683349.014120463,731,40,0.940448771221655
"result.3583",14,15,13,77.44940098,74.28820094,118.5450015,682057.754108343,726,40,0.935272468241719
"result.3568",15,14,13,78.23970099,73.49790093,118.5450015,681687.553416795,730,40,0.933788436424077
"result.3072",15,15,11,78.23970099,74.28820094,116.96440148,679830.62674799,729,40,0.926344532826784
"result.3838",13,15,14,76.65910097,74.28820094,119.33530151,679598.634314619,721,40,0.925414539554394
"result.3823",14,14,14,77.44940098,73.49790093,119.33530151,679300.499357693,725,40,0.92421939926392
"result.3808",15,13,14,78.23970099,72.70760092,119.33530151,678853.296922302,728,40,0.922426688828208
"result.3327",14,15,12,77.44940098,74.28820094,117.75470149,677510.702414288,724,40,0.917044600102893
"result.3312",15,14,12,78.23970099,73.49790093,117.75470149,677142.96972735,727,40,0.915570461830702
"result.4093",12,15,15,75.86880096,74.28820094,120.12560152,677046.717547547,716,40,0.915184613558115
"result.4078",13,14,15,76.65910097,73.49790093,120.12560152,676821.635527086,720,40,0.914282322212988
"result.4063",14,13,15,77.44940098,72.70760092,120.12560152,676446.498826317,723,40,0.912778503304444
"result.4048",15,12,15,78.23970099,71.91730091,120.12560152,675921.307445241,727,40,0.910673156832482
"result.2816",15,15,10,78.23970099,74.28820094,116.17410147,675237.17656726,726,40,0.90793066603348
"result.3582",13,15,13,76.65910097,74.28820094,118.5450015,675097.981107238,719,40,0.907372670070046
"result.3567",14,14,13,77.44940098,73.49790093,118.5450015,674801.820553999,722,40,0.906185444615932
"result.3552",15,13,13,78.23970099,72.70760092,118.5450015,674357.579724142,726,40,0.904404606434762
"result.3071",14,15,11,77.44940098,74.28820094,116.96440148,672963.650720232,721,40,0.898816731964067
"result.3056",15,14,11,78.23970099,73.49790093,116.96440148,672598.386037905,725,40,0.897352487237326
"result.3837",12,15,14,75.86880096,74.28820094,119.33530151,672592.46282684,714,40,0.897328742728244
"result.3822",13,14,14,76.65910097,73.49790093,119.33530151,672368.861609145,717,40,0.896432387510388
"result.3807",14,13,14,77.44940098,72.70760092,119.33530151,671996.192912986,721,40,0.894938462147295
"result.3792",15,12,14,78.23970099,71.91730091,119.33530151,671474.456738364,724,40,0.892846966638964
"result.2560",15,15,9,78.23970099,74.28820094,115.38380146,670643.72638653,724,40,0.889516799240176
"result.3326",13,15,12,76.65910097,74.28820094,117.75470149,670597.327899856,716,40,0.889330800585698
"result.3311",14,14,12,77.44940098,73.49790093,117.75470149,670303.141750306,720,40,0.888151489967945
"result.4092",11,15,15,75.07850095,74.28820094,120.12560152,669994.147573094,709,40,0.886912818077486
"result.3296",15,13,12,78.23970099,72.70760092,117.75470149,669861.862525981,723,40,0.886382524041315
"result.4077",12,14,15,75.86880096,73.49790093,120.12560152,669844.092892786,712,40,0.886311290514069
"result.4062",13,13,15,76.65910097,72.70760092,120.12560152,669543.983532171,716,40,0.885108235387233
"result.4047",14,12,15,77.44940098,71.91730091,120.12560152,669093.819491249,719,40,0.88330365269698
"result.4032",15,11,15,78.23970099,71.1270009,120.12560152,668493.600770019,723,40,0.88089754244331
"result.2815",14,15,10,77.44940098,74.28820094,116.17410147,668416.599026176,719,40,0.88058886382524
"result.3581",12,15,13,75.86880096,74.28820094,118.5450015,668138.208106132,711,40,0.879472871898373
"result.2800",15,14,10,78.23970099,73.49790093,116.17410147,668053.802348459,722,40,0.879134512643951
"result.3566",13,14,13,76.65910097,73.49790093,118.5450015,667916.087691203,715,40,0.878582452807788
"result.3551",14,13,13,77.44940098,72.70760092,118.5450015,667545.886999655,719,40,0.877098420990146
"result.3536",15,12,13,78.23970099,71.91730091,118.5450015,667027.606031488,722,40,0.875020776445447
"result.3070",13,15,11,76.65910097,74.28820094,116.96440148,666096.674692475,714,40,0.871288931101349
"result.2304",15,15,8,78.23970099,74.28820094,114.59350145,666050.276205801,721,40,0.871102932446871
"result.3055",14,14,11,77.44940098,73.49790093,116.96440148,665804.462946613,718,40,0.870117535319957
"result.3836",11,15,14,75.07850095,74.28820094,119.33530151,665586.29133906,706,40,0.869242945902094
"result.3821",12,14,14,75.86880096,73.49790093,119.33530151,665437.223860597,710,40,0.868645375756856
"result.3040",15,13,11,78.23970099,72.70760092,116.96440148,665366.14532782,721,40,0.868360441647869
"result.3806",13,13,14,76.65910097,72.70760092,119.33530151,665139.08890367,714,40,0.867450235466382
"result.3791",14,12,14,77.44940098,71.91730091,119.33530151,664691.88646828,717,40,0.86565752503067
"result.3776",15,11,14,78.23970099,71.1270009,119.33530151,664095.616554426,720,40,0.863267244449721
"result.2559",14,15,9,77.44940098,74.28820094,115.38380146,663869.547332121,717,40,0.862360995686414
"result.3325",12,15,12,75.86880096,74.28820094,117.75470149,663683.953385425,709,40,0.861617001068503
"result.2544",15,14,9,78.23970099,73.49790093,115.38380146,663509.218659014,720,40,0.860916538050576
"result.3310",13,14,12,76.65910097,73.49790093,117.75470149,663463.313773262,713,40,0.860732518105188
"result.3295",14,13,12,77.44940098,72.70760092,117.75470149,663095.581086324,716,40,0.859258379832997
"result.4091",10,15,15,74.28820094,74.28820094,120.12560152,662941.57759864,701,40,0.858641022596858
"result.4076",11,14,15,75.07850095,73.49790093,120.12560152,662866.550258486,705,40,0.858340258815149
"result.4061",12,13,15,75.86880096,72.70760092,120.12560152,662641.468238025,709,40,0.857437967470022
"result.3280",15,12,12,78.23970099,71.91730091,117.75470149,662580.755324611,720,40,0.857194586251929
"result.4046",13,12,15,76.65910097,71.91730091,120.12560152,662266.331537256,712,40,0.855934148561478
"result.4031",14,11,15,77.44940098,71.1270009,120.12560152,661741.14015618,715,40,0.853828802089517
"result.2814",13,15,10,76.65910097,74.28820094,116.17410147,661596.021485093,712,40,0.853247061617001
"result.2048",15,15,7,78.23970099,74.28820094,113.80320144,661456.826025071,719,40,0.852689065653568
"result.2799",14,14,10,77.44940098,73.49790093,116.17410147,661305.784142919,715,40,0.85208358067197
"result.3580",11,15,13,75.07850095,74.28820094,118.5450015,661178.435105027,704,40,0.8515730737267
"result.4016",15,10,15,78.23970099,70.33670089,120.12560152,661065.894094796,719,40,0.851121928054137
"result.3565",12,14,13,75.86880096,73.49790093,118.5450015,661030.354828407,708,40,0.850979460999643
"result.2784",15,13,10,78.23970099,72.70760092,116.17410147,660870.428129659,719,40,0.850338359254422
"result.3550",13,13,13,76.65910097,72.70760092,118.5450015,660734.194275169,711,40,0.84979223554553
"result.3535",14,12,13,77.44940098,71.91730091,118.5450015,660289.953445311,715,40,0.848011397364359
"result.3520",15,11,13,78.23970099,71.1270009,118.5450015,659697.632338834,718,40,0.845636946456132
"result.2303",14,15,8,77.44940098,74.28820094,114.59350145,659322.495638065,714,40,0.844133127547588
"result.3069",12,15,11,75.86880096,74.28820094,116.96440148,659229.698664717,707,40,0.843761130238632
"result.3054",13,14,11,76.65910097,73.49790093,116.96440148,659010.539855321,710,40,0.842882583402588
"result.2288",15,14,8,78.23970099,73.49790093,114.59350145,658964.634969569,718,40,0.8426985634572
"result.3039",14,13,11,77.44940098,72.70760092,116.96440148,658645.275172993,714,40,0.841418338675848
"result.3835",10,15,14,74.28820094,74.28820094,119.33530151,658580.119851281,699,40,0.841157149075943
"result.3820",11,14,14,75.07850095,73.49790093,119.33530151,658505.586112049,703,40,0.840858364003324
"result.3805",12,13,14,75.86880096,72.70760092,119.33530151,658281.984894354,706,40,0.839962008785468
"result.3024",15,12,11,78.23970099,71.91730091,116.96440148,658133.904617735,717,40,0.839368396058411
"result.3790",13,12,14,76.65910097,71.91730091,119.33530151,657909.316198195,710,40,0.838468083422375
"result.3775",14,11,14,77.44940098,71.1270009,119.33530151,657387.580023573,713,40,0.836376587914045
"result.2558",13,15,9,76.65910097,74.28820094,115.38380146,657095.368277711,709,40,0.835205192132652
"result.1792",15,15,6,78.23970099,74.28820094,113.01290143,656863.375844341,716,40,0.834275198860263
"result.2543",14,14,9,77.44940098,73.49790093,115.38380146,656807.105339226,713,40,0.834049626023982
"result.3324",11,15,12,75.07850095,74.28820094,117.75470149,656770.578870993,702,40,0.833903201551308
"result.3760",15,10,14,78.23970099,70.33670089,119.33530151,656716.776370488,716,40,0.833687522260477
"result.3309",12,14,12,75.86880096,73.49790093,117.75470149,656623.485796218,705,40,0.833313546242431
"result.2528",15,13,9,78.23970099,72.70760092,115.38380146,656374.710931498,716,40,0.832316276860976
"result.3294",13,13,12,76.65910097,72.70760092,117.75470149,656329.299646668,709,40,0.832134235624678
"result.4075",10,14,15,74.28820094,73.49790093,120.12560152,655889.007624186,698,40,0.830369227116229
"result.4090",9,15,15,73.49790093,74.28820094,120.12560152,655889.007624186,694,40,0.830369227116229
"result.3279",14,12,12,77.44940098,71.91730091,117.75470149,655888.020422342,712,40,0.830365269698049
"result.4060",11,13,15,75.07850095,72.70760092,120.12560152,655738.952943879,701,40,0.829767699552811
"result.4045",12,12,15,75.86880096,71.91730091,120.12560152,655438.843583264,705,40,0.828564644425976
"result.3264",15,11,12,78.23970099,71.1270009,117.75470149,655299.648123242,716,40,0.828006648462543
"result.4030",13,11,15,76.65910097,71.1270009,120.12560152,654988.679542341,708,40,0.826760061735723
"result.2047",14,15,7,77.44940098,74.28820094,113.80320144,654775.44394401,712,40,0.825905259408761
"result.2813",12,15,10,75.86880096,74.28820094,116.17410147,654775.44394401,704,40,0.825905259408761
"result.2798",13,14,10,76.65910097,73.49790093,116.17410147,654557.765937379,708,40,0.825032648699988
"result.2032",15,14,7,78.23970099,73.49790093,113.80320144,654420.051280123,715,40,0.824480588863825
"result.4015",14,10,15,77.44940098,70.33670089,120.12560152,654388.460821111,711,40,0.824353951482053
"result.3579",10,15,13,74.28820094,74.28820094,118.5450015,654218.662103921,697,40,0.823673275555028
"result.2783",14,13,10,77.44940098,72.70760092,116.17410147,654194.969259662,711,40,0.823578297518699
"result.3564",11,14,13,75.07850095,73.49790093,118.5450015,654144.621965612,700,40,0.823376469191499
"result.3549",12,13,13,75.86880096,72.70760092,118.5450015,653922.501550683,704,40,0.822486050100914
