"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,123.28680156,119.33530151,120.12560152,1767344.02466202,1476,40,1
"result.4095",14,15,15,122.49650155,119.33530151,120.12560152,1756014.8962988,1466,40,0.97592615900986
"result.3840",15,15,14,123.28680156,119.33530151,119.33530151,1755716.76134187,1471,40,0.97529263687854
"result.4080",15,14,15,123.28680156,118.5450015,120.12560152,1755639.75959803,1471,40,0.975129011957206
"result.4094",13,15,15,121.70620154,119.33530151,120.12560152,1744685.76793558,1457,40,0.951852318019719
"result.3839",14,15,14,122.49650155,119.33530151,119.33530151,1744462.16671788,1461,40,0.951377176421229
"result.4079",14,14,15,122.49650155,118.5450015,120.12560152,1744385.65857496,1461,40,0.951214600377596
"result.3584",15,15,13,123.28680156,119.33530151,118.5450015,1744089.49802173,1466,40,0.95058527375708
"result.3824",15,14,14,123.28680156,118.5450015,119.33530151,1744089.49802173,1466,40,0.95058527375708
"result.4064",15,13,15,123.28680156,117.75470149,120.12560152,1743935.49453404,1466,40,0.950258023914411
"result.4093",12,15,15,120.91590153,119.33530151,120.12560152,1733356.63957236,1447,40,0.927778477029578
"result.3838",13,15,14,121.70620154,119.33530151,119.33530151,1733207.5720939,1452,40,0.927461715963919
"result.4078",13,14,15,121.70620154,118.5450015,120.12560152,1733131.5575519,1452,40,0.927300188797986
"result.3583",14,15,13,122.49650155,119.33530151,118.5450015,1732909.43713697,1456,40,0.926828193832599
"result.3823",14,14,14,122.49650155,118.5450015,119.33530151,1732909.43713697,1456,40,0.926828193832599
"result.4063",14,13,15,122.49650155,117.75470149,120.12560152,1732756.42085113,1456,40,0.926503041745332
"result.3568",15,14,13,123.28680156,118.5450015,118.5450015,1732539.23644542,1461,40,0.926041535556954
"result.3328",15,15,12,123.28680156,119.33530151,117.75470149,1732462.23470158,1461,40,0.92587791063562
"result.3808",15,13,14,123.28680156,117.75470149,119.33530151,1732462.23470158,1461,40,0.92587791063562
"result.4048",15,12,15,123.28680156,116.96440148,120.12560152,1732231.22947005,1461,40,0.925387035871617
"result.4092",11,15,15,120.12560152,119.33530151,120.12560152,1722027.51120914,1438,40,0.903704636039438
"result.3837",12,15,14,120.91590153,119.33530151,119.33530151,1721952.97746991,1442,40,0.903546255506608
"result.4077",12,14,15,120.91590153,118.5450015,120.12560152,1721877.45652884,1442,40,0.903385777218376
"result.3582",13,15,13,121.70620154,119.33530151,118.5450015,1721729.37625222,1447,40,0.903071113908118
"result.3822",13,14,14,121.70620154,118.5450015,119.33530151,1721729.37625222,1447,40,0.903071113908118
"result.4062",13,13,15,121.70620154,117.75470149,120.12560152,1721577.34716822,1447,40,0.902748059576253
"result.3567",14,14,13,122.49650155,118.5450015,118.5450015,1721433.21569898,1452,40,0.902441787287602
"result.3327",14,15,12,122.49650155,119.33530151,117.75470149,1721356.70755606,1452,40,0.902279211243969
"result.3807",14,13,14,122.49650155,117.75470149,119.33530151,1721356.70755606,1452,40,0.902279211243969
"result.4047",14,12,15,122.49650155,116.96440148,120.12560152,1721127.1831273,1452,40,0.901791483113069
"result.3312",15,14,12,123.28680156,118.5450015,117.75470149,1720988.97486912,1456,40,0.901497797356828
"result.3552",15,13,13,123.28680156,117.75470149,118.5450015,1720988.97486912,1456,40,0.901497797356828
"result.3072",15,15,11,123.28680156,119.33530151,116.96440148,1720834.97138144,1456,40,0.90117054751416
"result.3792",15,12,14,123.28680156,116.96440148,119.33530151,1720834.97138144,1456,40,0.90117054751416
"result.4032",15,11,15,123.28680156,116.17410147,120.12560152,1720526.96440607,1456,40,0.900516047828823
"result.3836",11,15,14,120.12560152,119.33530151,119.33530151,1710698.38284592,1433,40,0.879630795049297
"result.4091",10,15,15,119.33530151,119.33530151,120.12560152,1710698.38284592,1428,40,0.879630795049297
"result.4076",11,14,15,120.12560152,118.5450015,120.12560152,1710623.35550577,1433,40,0.879471365638766
"result.3581",12,15,13,120.91590153,119.33530151,118.5450015,1710549.31536746,1438,40,0.879314033983637
"result.3821",12,14,14,120.91590153,118.5450015,119.33530151,1710549.31536746,1438,40,0.879314033983637
"result.4061",12,13,15,120.91590153,117.75470149,120.12560152,1710398.27348531,1438,40,0.878993077407174
"result.3566",13,14,13,121.70620154,118.5450015,118.5450015,1710327.19495253,1442,40,0.87884203901825
"result.3326",13,15,12,121.70620154,119.33530151,117.75470149,1710251.18041053,1442,40,0.878680511852318
"result.3806",13,13,14,121.70620154,117.75470149,119.33530151,1710251.18041053,1442,40,0.878680511852318
"result.4046",13,12,15,121.70620154,116.96440148,120.12560152,1710023.13678454,1442,40,0.878195930354521
"result.3311",14,14,12,122.49650155,118.5450015,117.75470149,1709956.99426098,1447,40,0.878055380742605
"result.3551",14,13,13,122.49650155,117.75470149,118.5450015,1709956.99426098,1447,40,0.878055380742605
"result.3071",14,15,11,122.49650155,119.33530151,116.96440148,1709803.97797514,1447,40,0.877730228655339
"result.3791",14,12,14,122.49650155,116.96440148,119.33530151,1709803.97797514,1447,40,0.877730228655339
"result.3296",15,13,12,123.28680156,117.75470149,117.75470149,1709515.71503666,1451,40,0.877117684078037
"result.4031",14,11,15,122.49650155,116.17410147,120.12560152,1709497.94540346,1447,40,0.877079924480806
"result.3056",15,14,11,123.28680156,118.5450015,116.96440148,1709438.71329282,1451,40,0.876954059156702
"result.3536",15,12,13,123.28680156,116.96440148,118.5450015,1709438.71329282,1451,40,0.876954059156702
