"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,107.48080136,123.28680156,120.12560152,1591780.04870221,1307,40,1
"result.4080",15,14,15,107.48080136,122.49650155,120.12560152,1581576.3304413,1303,40,0.976706949491535
"result.3840",15,15,14,107.48080136,123.28680156,119.33530151,1581307.8115397,1303,40,0.976093974478154
"result.4095",14,15,15,106.69050135,123.28680156,120.12560152,1580075.78363823,1298,40,0.973281500887349
"result.4064",15,13,15,107.48080136,121.70620154,120.12560152,1571372.61218039,1299,40,0.95341389898307
"result.3824",15,14,14,107.48080136,122.49650155,119.33530151,1571171.22300419,1299,40,0.952954167723034
"result.3584",15,15,13,107.48080136,123.28680156,118.5450015,1570835.57437718,1299,40,0.952187948956308
"result.4079",14,14,15,106.69050135,122.49650155,120.12560152,1569947.09271747,1294,40,0.950159722809093
"result.3839",14,15,14,106.69050135,123.28680156,119.33530151,1569680.54821955,1294,40,0.949551254964928
"result.4094",13,15,15,105.90020134,123.28680156,120.12560152,1568371.51857424,1288,40,0.946563001774698
"result.4048",15,12,15,107.48080136,120.91590153,120.12560152,1561168.89391948,1295,40,0.930120848474605
"result.3808",15,13,14,107.48080136,121.70620154,119.33530151,1561034.63446868,1295,40,0.929814360967914
"result.3568",15,14,13,107.48080136,122.49650155,118.5450015,1560766.11556707,1295,40,0.929201385954534
"result.3328",15,15,12,107.48080136,123.28680156,117.75470149,1560363.33721467,1295,40,0.928281923434463
"result.4063",14,13,15,106.69050135,121.70620154,120.12560152,1559818.40179671,1290,40,0.927037944730837
"result.3823",14,14,14,106.69050135,122.49650155,119.33530151,1559618.49342327,1289,40,0.926581593847714
"result.3583",14,15,13,106.69050135,123.28680156,118.5450015,1559285.31280088,1289,40,0.925821009042508
"result.4078",13,14,15,105.90020134,122.49650155,120.12560152,1558317.85499363,1284,40,0.923612496126651
"result.3838",13,15,14,105.90020134,123.28680156,119.33530151,1558053.28489941,1284,40,0.923008535451703
"result.4093",12,15,15,105.10990133,123.28680156,120.12560152,1556667.25351025,1279,40,0.919844502662047
"result.4032",15,11,15,107.48080136,120.12560152,120.12560152,1550965.17565857,1291,40,0.90682779796614
"result.3792",15,12,14,107.48080136,120.91590153,119.33530151,1550898.04593317,1291,40,0.906674554212794
"result.3552",15,13,13,107.48080136,121.70620154,118.5450015,1550696.65675696,1291,40,0.906214822952759
"result.3312",15,14,12,107.48080136,122.49650155,117.75470149,1550361.00812996,1290,40,0.905448604186033
"result.3072",15,15,11,107.48080136,123.28680156,116.96440148,1549891.10005215,1290,40,0.904375897912617
"result.4047",14,12,15,106.69050135,120.91590153,120.12560152,1549689.71087595,1285,40,0.903916166652581
