"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,111.68770518,149.85945252,120.1703157,2011345.65411415,1498,28,1
"result.3825",0,15,14,111.68770518,150.56633673,119.46343149,2008945.87988754,1497,28,0.988071970267186
"result.3794",1,13,14,112.39458939,149.15256831,119.46343149,2002677.99739547,1500,28,0.956917585867895
"result.4049",0,13,15,111.68770518,149.15256831,120.1703157,2001858.17461361,1495,28,0.952842673149341
"result.3554",1,14,13,112.39458939,149.85945252,118.75654728,2000263.03472439,1499,28,0.944914062276013
"result.3809",0,14,14,111.68770518,149.85945252,119.46343149,1999514.20908995,1494,28,0.941192039456826
"result.3009",0,12,11,112.680069368,149.76464916,118.385389336,1997811.57892714,1500,28.5,0.932729150331353
"result.3314",1,15,12,112.39458939,150.56633673,118.04966307,1997735.74820815,1498,28,0.932352235261253
"result.3953",0,7,15,112.680069368,146.19882418,121.23804932,1997238.48323611,1500,28.5,0.929880589676543
"result.3569",0,15,13,111.68770518,150.56633673,118.75654728,1997058.6261604,1493,28,0.928986613683713
"result.4018",1,11,15,112.39458939,147.73879989,120.1703157,1995433.10938224,1497,28,0.920907015092249
"result.2769",0,13,10,112.680069368,150.477814156,117.67222434,1995232.64831751,1499,28.5,0.919910627384705
"result.3713",0,8,14,112.680069368,146.911989176,120.524884324,1995175.33874841,1499,28.5,0.919625771319223
"result.4068",3,14,15,112.786726353,148.514198676,119.09157441,1994835.11475766,1499,27.5,0.917934694786876
"result.3778",1,12,14,112.39458939,148.4456841,119.46343149,1993186.63247891,1496,28,0.909740946634683
"result.3473",0,9,13,112.680069368,147.625154172,119.811719328,1992997.5751225,1498,28.5,0.908801240830941
"result.2529",0,14,9,112.680069368,151.190979152,116.959059344,1992539.09856968,1498,28.5,0.906522392307093
"result.3828",3,15,14,112.786726353,149.214737349,118.391035737,1992455.03956524,1499,27.5,0.906104578709006
"result.4033",0,12,15,111.68770518,148.4456841,120.1703157,1992370.69511307,1491,28,0.905685346298681
"result.4083",2,15,15,112.08618768,149.214737349,119.09157441,1991795.98942168,1494,27.5,0.902828783169315
"result.3283",2,13,12,113.1014736,149.15256831,118.04966307,1991424.06648085,1500,28,0.900980147640462
"result.3538",1,13,13,112.39458939,149.15256831,118.75654728,1990827.83173041,1495,28,0.898016574754241
"result.3233",0,10,12,112.680069368,148.338319168,119.098554332,1990705.19235838,1497,28.5,0.897406998211698
"result.3793",0,13,14,111.68770518,149.15256831,119.46343149,1990082.53829236,1490,28,0.894312108646464
"result.2289",0,15,8,112.680069368,151.904144148,116.245894348,1989730.92968364,1497,28.5,0.892564445098519
"result.3043",2,14,11,113.1014736,149.85945252,117.34277886,1988880.88508086,1499,28,0.888339315424351
"result.3987",2,9,15,113.1014736,146.32503147,120.1703157,1988767.85479641,1499,28,0.887777500659191
"result.3298",1,14,12,112.39458939,149.85945252,118.04966307,1988356.70713675,1494,28,0.885733899450919
"result.2993",0,11,11,112.680069368,149.051484164,118.385389336,1988298.19045606,1496,28.5,0.885443043461491
"result.3553",0,14,13,111.68770518,149.85945252,118.75654728,1987682.76406575,1489,28,0.88238407891365
"result.3937",0,6,15,112.680069368,145.485659184,121.23804932,1987495.85648862,1496,28.5,0.881455058544756
"result.3747",2,10,14,113.1014736,147.03191568,119.46343149,1986620.27939197,1498,28,0.87710302012114
"result.2498",1,12,9,113.393234364,149.76464916,116.959059344,1986233.59509319,1500,28.5,0.875181013558211
"result.3442",1,7,13,113.393234364,146.19882418,119.811719328,1986233.59509319,1500,28.5,0.875181013558211
"result.2803",2,15,10,113.1014736,150.56633673,116.63589465,1986224.67339642,1498,28,0.875136668443079
"result.4002",1,10,15,112.39458939,147.03191568,120.1703157,1985885.58254309,1493,28,0.873451224147598
"result.2753",0,12,10,112.680069368,149.76464916,117.67222434,1985776.56941553,1495,28.5,0.872909376580323
"result.3058",1,15,11,112.39458939,150.56633673,117.34277886,1985773.25869792,1493,28,0.872892920724719
"result.3697",0,7,14,112.680069368,146.19882418,120.524884324,1985490.02157002,1495,28.5,0.871485096252918
"result.4052",3,13,15,112.786726353,147.813660003,119.09157441,1985425.51515974,1496,27.5,0.871164468432505
"result.3313",0,15,12,111.68770518,150.56633673,118.04966307,1985171.37243325,1489,28,0.86990125710024
"result.3507",2,11,13,113.1014736,147.73879989,118.75654728,1984359.67370309,1498,28,0.86586672481793
"result.3202",1,8,12,113.393234364,146.911989176,119.098554332,1984042.04815319,1499,28.5,0.864287973383293
"result.3762",1,11,14,112.39458939,147.73879989,119.46343149,1983695.26756234,1493,28,0.862564307401472
"result.3557",4,14,13,113.487265026,148.514198676,117.690497064,1983610.97856209,1500,27.5,0.862145350613785
"result.2258",1,13,8,113.393234364,150.477814156,116.245894348,1983522.99756214,1499,28.5,0.86170804281555
"result.3457",0,8,13,112.680069368,146.911989176,119.811719328,1983369.56751321,1494,28.5,0.860945421830116
"result.2513",0,13,9,112.680069368,150.477814156,116.959059344,1983140.3292368,1494,28.5,0.859805997568192
"result.3812",3,14,14,112.786726353,148.514198676,118.391035737,1983100.7905532,1495,27.5,0.85960947133319
"result.4017",0,11,15,111.68770518,147.73879989,120.1703157,1982883.21561254,1488,28,0.858528019448022
"result.4067",2,14,15,112.08618768,148.514198676,119.09157441,1982444.83454177,1490,27.5,0.856349055115282
"result.3267",2,12,12,113.1014736,148.4456841,118.04966307,1981986.03772976,1497,28,0.85406861474956
"result.2962",1,9,11,113.393234364,147.625154172,118.385389336,1981735.1566374,1499,28.5,0.852821615304434
"result.3522",1,12,13,112.39458939,148.4456841,118.75654728,1981392.62873643,1492,28,0.851119087232468
"result.3217",0,9,12,112.680069368,147.625154172,119.098554332,1981134.4943182,1494,28.5,0.849836035276354
"result.3317",4,15,12,113.487265026,149.214737349,116.989958391,1981104.73153729,1499,27.5,0.849688099969891
"result.2018",1,14,7,113.393234364,151.190979152,115.532729352,1980697.0554553,1498,28.5,0.847661754168947
"result.3572",3,15,13,112.786726353,149.214737349,117.690497064,1980665.36477491,1494,27.5,0.847504236276764
"result.3777",0,12,14,111.68770518,148.4456841,119.46343149,1980650.86749476,1487,28,0.847432177836102
"result.3906",1,4,15,113.393234364,144.059329192,121.23804932,1980466.36630372,1498,28.5,0.846515118361062
