"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3537",0,13,13,115.29122418,157.2153057,107.72159835,1952512.6841803,1500,19,1
"result.4001",0,10,15,115.29122418,155.46846897,108.88615617,1951691.80797674,1500,19,0.995565137430807
"result.3297",0,14,12,115.29122418,157.79758461,107.13931944,1949151.00068001,1499,19,0.981838181859496
"result.3761",0,11,14,115.29122418,156.05074788,108.30387726,1948525.57119158,1498,19,0.978459238949634
"result.3057",0,15,11,115.29122418,158.37986352,106.55704053,1945711.13849367,1497,19,0.963253995855259
"result.3521",0,12,13,115.29122418,156.63302679,107.72159835,1945281.15572037,1497,19,0.96093097260473
"result.3985",0,9,15,115.29122418,154.88619006,108.88615617,1944382.10083076,1497,19,0.956073742171805
"result.3730",1,9,14,115.87350309,154.88619006,108.30387726,1943751.93324015,1500,19,0.952669201209596
"result.3281",0,13,12,115.29122418,157.2153057,107.13931944,1941958.56156311,1496,19,0.942980338396093
"result.3745",0,10,14,115.29122418,155.46846897,108.30387726,1941254.95338863,1496,19,0.939179027622499
"result.3026",1,13,11,115.87350309,157.2153057,106.55704053,1941159.00681938,1499,19,0.938660667062464
"result.3490",1,10,13,115.87350309,155.46846897,107.72159835,1940569.70536012,1499,19,0.935476909301751
"result.3954",1,7,15,115.87350309,153.72163224,108.88615617,1939508.96273344,1499,19,0.92974614533247
"result.4084",3,15,15,115.488399753,156.282809616,107.444431611,1939248.60047513,1496,18.5,0.92833951321328
"result.3041",0,14,11,115.29122418,157.79758461,106.55704053,1938557.78871979,1494,19,0.924607336323723
"result.3829",4,15,14,116.062968906,156.282809616,106.869862458,1938474.69649218,1499,18.5,0.924158422579575
"result.3505",0,11,13,115.29122418,156.05074788,107.72159835,1938049.62726045,1494,19,0.921861945209461
"result.2786",1,14,10,115.87350309,157.79758461,105.97476162,1937701.7715917,1498,19,0.919982621532953
"result.3250",1,11,12,115.87350309,156.05074788,107.13931944,1937308.90395219,1498,19,0.917860116359146
"result.3969",0,8,15,115.29122418,154.30391115,108.88615617,1937072.39368478,1494,19,0.916582346912802
"result.3714",1,8,14,115.87350309,154.30391115,108.30387726,1936444.59514526,1497,19,0.913190604976768
"result.2801",0,15,10,115.29122418,158.37986352,105.97476162,1935078.83719042,1493,19,0.90581196638762
"result.3265",0,12,12,115.29122418,156.63302679,107.13931944,1934766.12244621,1493,19,0.90412249493269
"result.4053",4,13,15,116.062968906,155.13367131,107.444431611,1934566.48137829,1498,18.5,0.903043914879369
"result.3923",2,5,15,116.455782,152.55707442,108.88615617,1934488.15378469,1500,19,0.902620742528307
"result.2546",1,15,9,115.87350309,158.37986352,105.39248271,1934165.9628361,1497,19,0.900880074968681
"result.3729",0,9,14,115.29122418,154.88619006,108.30387726,1933984.33558568,1493,19,0.899898816295364
"result.3010",1,12,11,115.87350309,156.63302679,106.55704053,1933969.52901635,1496,19,0.899818822381778
"result.3474",1,9,13,115.87350309,154.88619006,107.72159835,1933301.65402918,1496,19,0.896210563586303
"result.2291",2,15,8,116.455782,158.37986352,104.8102038,1933145.69149892,1500,19,0.895367961029868
"result.2755",2,12,10,116.455782,156.63302679,105.97476162,1933066.72312917,1500,19,0.894941326824077
"result.3219",2,9,12,116.455782,154.88619006,107.13931944,1932513.94454092,1500,19,0.891954887383543
"result.3938",1,6,15,115.87350309,153.13935333,108.88615617,1932162.3378746,1496,19,0.890055298582261
"result.4068",3,14,15,115.488399753,155.708240463,107.444431611,1932119.01003221,1493,18.5,0.889821215750279
"result.3683",2,6,14,116.455782,153.13935333,108.30387726,1931487.35573416,1499,19,0.886408642708266
"result.3025",0,13,11,115.29122418,157.2153057,106.55704053,1931404.43894592,1492,19,0.885960676792186
"result.3813",4,14,14,116.062968906,155.708240463,106.869862458,1931347.95128449,1497,18.5,0.885655496773317
"result.3489",0,10,13,115.29122418,155.46846897,107.72159835,1930818.09880052,1491,19,0.882792917814191
"result.2770",1,13,10,115.87350309,157.2153057,105.97476162,1930551.58055261,1495,19,0.881353027369648
"result.3558",5,14,13,116.637538059,155.708240463,106.295293305,1930474.08470374,1500,18.5,0.880934348599426
"result.3234",1,10,12,115.87350309,155.46846897,107.13931944,1930080.1393852,1495,19,0.878806021161078
