"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,73.49790093,96.41660122,92.46510117,655246.339223659,693,40,1
"result.4080",15,14,15,73.49790093,95.62630121,92.46510117,649875.467590678,691,40,0.977149877149877
"result.3840",15,15,14,73.49790093,96.41660122,91.67480116,649645.943161918,690,40,0.976173376173376
"result.4095",14,15,15,72.70760092,96.41660122,92.46510117,648200.679662114,686,40,0.97002457002457
"result.4064",15,13,15,73.49790093,94.8360012,92.46510117,644504.595957697,688,40,0.954299754299754
"result.3824",15,14,14,73.49790093,95.62630121,91.67480116,644320.976414689,688,40,0.953518553518553
"result.3584",15,15,13,73.49790093,96.41660122,90.88450115,644045.547100178,688,40,0.952346752346752
"result.4079",14,14,15,72.70760092,95.62630121,92.46510117,642887.559337015,683,40,0.947420147420148
"result.3839",14,15,14,72.70760092,96.41660122,91.67480116,642660.502912865,683,40,0.946454146454147
"result.4094",13,15,15,71.91730091,96.41660122,92.46510117,641155.020100569,679,40,0.94004914004914
"result.4048",15,12,15,73.49790093,94.04570119,92.46510117,639133.724324716,685,40,0.931449631449632
"result.3808",15,13,14,73.49790093,94.8360012,91.67480116,638996.009667461,685,40,0.930863730863731
"result.3568",15,14,13,73.49790093,95.62630121,90.88450115,638766.485238701,685,40,0.92988722988723
"result.3328",15,15,12,73.49790093,96.41660122,90.09420114,638445.151038437,685,40,0.928520128520129
"result.4063",14,13,15,72.70760092,94.8360012,92.46510117,637574.439011916,680,40,0.924815724815725
"result.3823",14,14,14,72.70760092,95.62630121,91.67480116,637392.793872596,680,40,0.924042924042924
"result.3583",14,15,13,72.70760092,96.41660122,90.88450115,637120.326163616,680,40,0.922883722883723
"result.4078",13,14,15,71.91730091,95.62630121,92.46510117,635899.651083352,676,40,0.917690417690418
"result.3838",13,15,14,71.91730091,96.41660122,91.67480116,635675.062663812,676,40,0.916734916734917
"result.4093",12,15,15,71.1270009,96.41660122,92.46510117,634109.360539025,671,40,0.91007371007371
"result.4032",15,11,15,73.49790093,93.25540118,92.46510117,633762.852691736,682,40,0.908599508599508
"result.3792",15,12,14,73.49790093,94.04570119,91.67480116,633671.042920232,682,40,0.908208908208908
"result.3552",15,13,13,73.49790093,94.8360012,90.88450115,633487.423377224,682,40,0.907427707427707
"result.3312",15,14,12,73.49790093,95.62630121,90.09420114,633211.994062712,682,40,0.906255906255906
"result.3072",15,15,11,73.49790093,96.41660122,89.30390113,632844.754976696,682,40,0.904693504693505
"result.4047",14,12,15,72.70760092,94.04570119,92.46510117,632261.318686816,678,40,0.902211302211302
"result.3807",14,13,14,72.70760092,94.8360012,91.67480116,632125.084832327,677,40,0.901631701631701
"result.3567",14,14,13,72.70760092,95.62630121,90.88450115,631898.028408177,677,40,0.9006657006657
"result.3327",14,15,12,72.70760092,96.41660122,90.09420114,631580.149414368,677,40,0.899313299313299
"result.4062",13,13,15,71.91730091,94.8360012,92.46510117,630644.282066134,673,40,0.895331695331695
"result.3822",13,14,14,71.91730091,95.62630121,91.67480116,630464.611330503,673,40,0.894567294567295
"result.3582",13,15,13,71.91730091,96.41660122,90.88450115,630195.105227055,673,40,0.893420693420694
"result.4077",12,14,15,71.1270009,95.62630121,92.46510117,628911.742829688,668,40,0.887960687960688
"result.3837",12,15,14,71.1270009,96.41660122,91.67480116,628689.62241476,668,40,0.887015687015687
"result.4016",15,10,15,73.49790093,92.46510117,92.46510117,628391.981058755,679,40,0.885749385749386
"result.3776",15,11,14,73.49790093,93.25540118,91.67480116,628346.076173003,679,40,0.885554085554085
"result.3536",15,12,13,73.49790093,94.04570119,90.88450115,628208.361515747,679,40,0.884968184968185
"result.3296",15,13,12,73.49790093,94.8360012,90.09420114,627978.837086987,679,40,0.883991683991684
"result.3056",15,14,11,73.49790093,95.62630121,89.30390113,627657.502886723,679,40,0.882624582624583
"result.2816",15,15,10,73.49790093,96.41660122,88.51360112,627244.358914956,678,40,0.880866880866881
"result.4092",11,15,15,70.33670089,96.41660122,92.46510117,627063.70097748,664,40,0.88009828009828
"result.4031",14,11,15,72.70760092,93.25540118,92.46510117,626948.198361717,675,40,0.879606879606879
"result.3791",14,12,14,72.70760092,94.04570119,91.67480116,626857.375792057,675,40,0.879220479220479
"result.3551",14,13,13,72.70760092,94.8360012,90.88450115,626675.730652738,675,40,0.878447678447678
"result.3311",14,14,12,72.70760092,95.62630121,90.09420114,626403.262943758,674,40,0.877288477288477
"result.3071",14,15,11,72.70760092,96.41660122,89.30390113,626039.972665119,674,40,0.875742875742876
"result.4046",13,12,15,71.91730091,94.04570119,92.46510117,625388.913048916,670,40,0.872972972972973
"result.3806",13,13,14,71.91730091,94.8360012,91.67480116,625254.159997193,670,40,0.872399672399672
"result.3566",13,14,13,71.91730091,95.62630121,90.88450115,625029.571577653,670,40,0.871444171444172
"result.3326",13,15,12,71.91730091,96.41660122,90.09420114,624715.147790298,670,40,0.87010647010647
"result.4061",12,13,15,71.1270009,94.8360012,92.46510117,623714.125120352,666,40,0.865847665847666
"result.3821",12,14,14,71.1270009,95.62630121,91.67480116,623536.428788409,665,40,0.865091665091665
"result.3581",12,15,13,71.1270009,96.41660122,90.88450115,623269.884290494,665,40,0.863957663957664
"result.3760",15,10,14,73.49790093,92.46510117,91.67480116,623021.109425774,676,40,0.862899262899263
"result.4000",15,9,15,73.49790093,91.67480116,92.46510117,623021.109425774,676,40,0.862899262899263
"result.3520",15,11,13,73.49790093,93.25540118,90.88450115,622929.29965427,676,40,0.862508662508662
"result.3280",15,12,12,73.49790093,94.04570119,90.09420114,622745.680111262,676,40,0.861727461727462
"result.3040",15,13,11,73.49790093,94.8360012,89.30390113,622470.25079675,676,40,0.86055566055566
"result.2800",15,14,10,73.49790093,95.62630121,88.51360112,622103.011710735,676,40,0.858993258993259
"result.4076",11,14,15,70.33670089,95.62630121,92.46510117,621923.834576025,661,40,0.858230958230958
"result.3836",11,15,14,70.33670089,96.41660122,91.67480116,621704.182165707,661,40,0.857296457296457
"result.2560",15,15,9,73.49790093,96.41660122,87.72330111,621643.962853215,675,40,0.857040257040257
"result.4015",14,10,15,72.70760092,92.46510117,92.46510117,621635.078036618,672,40,0.857002457002457
"result.3775",14,11,14,72.70760092,93.25540118,91.67480116,621589.666751788,672,40,0.856809256809257
"result.3535",14,12,13,72.70760092,94.04570119,90.88450115,621453.432897298,672,40,0.856229656229656
"result.3295",14,13,12,72.70760092,94.8360012,90.09420114,621226.376473148,672,40,0.855263655263655
"result.3055",14,14,11,72.70760092,95.62630121,89.30390113,620908.497479339,671,40,0.853911253911254
"result.2815",14,15,10,72.70760092,96.41660122,88.51360112,620499.79591587,671,40,0.852172452172452
"result.4030",13,11,15,71.91730091,93.25540118,92.46510117,620133.544031698,667,40,0.850614250614251
"result.3790",13,12,14,71.91730091,94.04570119,91.67480116,620043.708663883,667,40,0.85023205023205
"result.4091",10,15,15,69.54640088,96.41660122,92.46510117,620018.041415935,656,40,0.85012285012285
"result.3550",13,13,13,71.91730091,94.8360012,90.88450115,619864.037928251,667,40,0.84946764946765
"result.3310",13,14,12,71.91730091,95.62630121,90.09420114,619594.531824804,667,40,0.848321048321048
"result.3070",13,15,11,71.91730091,96.41660122,89.30390113,619235.190353541,667,40,0.846792246792247
"result.4045",12,12,15,71.1270009,94.04570119,92.46510117,618516.507411016,663,40,0.843734643734644
"result.3805",12,13,14,71.1270009,94.8360012,91.67480116,618383.235162059,663,40,0.843167643167643
"result.3565",12,14,13,71.1270009,95.62630121,90.88450115,618161.11474713,663,40,0.842222642222642
