"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,107.48080136,131.98010167,134.3510017,1905812.90412685,1431,40,1
"result.3840",15,15,14,107.48080136,131.98010167,133.56070169,1894602.23998492,1427,40,0.977519103614839
"result.4080",15,14,15,107.48080136,131.18980166,134.3510017,1894400.85080872,1426,40,0.977115255176783
"result.4095",14,15,15,106.69050135,131.98010167,134.3510017,1891799.57394944,1420,40,0.971898879518549
"result.3584",15,15,13,107.48080136,131.98010167,132.77040168,1883391.575843,1422,40,0.955038207229679
"result.3824",15,14,14,107.48080136,131.18980166,133.56070169,1883257.3163922,1422,40,0.954768974937641
"result.4064",15,13,15,107.48080136,130.39950165,134.3510017,1882988.7974906,1422,40,0.954230510353565
"result.3839",14,15,14,106.69050135,131.98010167,133.56070169,1880671.34116151,1416,40,0.949583283842103
"result.4079",14,14,15,106.69050135,131.18980166,134.3510017,1880471.43278807,1416,40,0.949182404877856
"result.4094",13,15,15,105.90020134,131.98010167,134.3510017,1877786.24377204,1410,40,0.943797759037099
"result.3328",15,15,12,107.48080136,131.98010167,131.98010167,1872180.91170108,1418,40,0.932557310844518
"result.3568",15,14,13,107.48080136,131.18980166,132.77040168,1872113.78197568,1418,40,0.9324226946985
"result.3808",15,13,14,107.48080136,130.39950165,133.56070169,1871912.39279948,1418,40,0.932018846260443
"result.4048",15,12,15,107.48080136,129.60920164,134.3510017,1871576.74417247,1418,40,0.931345765530348
"result.3583",14,15,13,106.69050135,131.98010167,132.77040168,1869543.10837357,1412,40,0.927267688165657
"result.3823",14,14,14,106.69050135,131.18980166,133.56070169,1869409.83612461,1412,40,0.927000435522825
"result.4063",14,13,15,106.69050135,130.39950165,134.3510017,1869143.2916267,1412,40,0.926465930237162
"result.3838",13,15,14,105.90020134,131.98010167,133.56070169,1866740.44233809,1406,40,0.921647464069367
"result.4078",13,14,15,105.90020134,131.18980166,134.3510017,1866542.01476742,1405,40,0.921249554578929
"result.4093",12,15,15,105.10990133,131.98010167,134.3510017,1863772.91359464,1399,40,0.915696638555648
"result.3072",15,15,11,107.48080136,131.98010167,131.18980166,1860970.24755916,1414,40,0.910076414459358
"result.3312",15,14,12,107.48080136,131.18980166,131.98010167,1860970.24755916,1414,40,0.910076414459358
"result.3552",15,13,13,107.48080136,130.39950165,132.77040168,1860835.98810836,1414,40,0.90980718216732
"result.3792",15,12,14,107.48080136,129.60920164,133.56070169,1860567.46920675,1414,40,0.909268717583244
"result.4032",15,11,15,107.48080136,128.81890163,134.3510017,1860164.69085435,1413,40,0.908461020707131
"result.3327",14,15,12,106.69050135,131.98010167,131.98010167,1858414.87558563,1408,40,0.904952092489211
"result.3567",14,14,13,106.69050135,131.18980166,132.77040168,1858348.23946115,1408,40,0.904818466167795
"result.3807",14,13,14,106.69050135,130.39950165,133.56070169,1858148.33108772,1408,40,0.904417587203547
"result.4047",14,12,15,106.69050135,129.60920164,134.3510017,1857815.15046532,1407,40,0.903749455596468
"result.3582",13,15,13,105.90020134,131.98010167,132.77040168,1855694.64090413,1401,40,0.899497169101635
"result.3822",13,14,14,105.90020134,131.18980166,133.56070169,1855562.35585702,1401,40,0.89923189610801
"result.4062",13,13,15,105.90020134,130.39950165,134.3510017,1855297.7857628,1401,40,0.898701350120759
"result.3837",12,15,14,105.10990133,131.98010167,133.56070169,1852809.54351467,1395,40,0.893711644296631
"result.4077",12,14,15,105.10990133,131.18980166,134.3510017,1852612.59674677,1395,40,0.893316704280002
"result.3056",15,14,11,107.48080136,131.18980166,131.18980166,1849826.71314264,1410,40,0.887730134220216
"result.2816",15,15,10,107.48080136,131.98010167,130.39950165,1849759.58341723,1410,40,0.887595518074197
"result.3296",15,13,12,107.48080136,130.39950165,131.98010167,1849759.58341723,1410,40,0.887595518074197
"result.4092",11,15,15,104.31960132,131.98010167,134.3510017,1849759.58341723,1389,40,0.887595518074197
"result.3536",15,12,13,107.48080136,129.60920164,132.77040168,1849558.19424103,1409,40,0.88719166963614
"result.3776",15,11,14,107.48080136,128.81890163,133.56070169,1849222.54561403,1409,40,0.886518588906046
"result.4016",15,10,15,107.48080136,128.02860162,134.3510017,1848752.63753622,1409,40,0.885576275883914
"result.3071",14,15,11,106.69050135,131.98010167,131.18980166,1847286.64279769,1403,40,0.882636496812765
"result.3311",14,14,12,106.69050135,131.18980166,131.98010167,1847286.64279769,1403,40,0.882636496812765
"result.3551",14,13,13,106.69050135,130.39950165,132.77040168,1847153.37054874,1403,40,0.882369244169933
"result.3791",14,12,14,106.69050135,129.60920164,133.56070169,1846886.82605082,1403,40,0.88183473888427
"result.4031",14,11,15,106.69050135,128.81890163,134.3510017,1846487.00930395,1403,40,0.881032980955775
"result.3326",13,15,12,105.90020134,131.98010167,131.98010167,1844648.83947018,1397,40,0.877346874133903
"result.3566",13,14,13,105.90020134,131.18980166,132.77040168,1844582.69694662,1397,40,0.877214237637091
"result.3806",13,13,14,105.90020134,130.39950165,133.56070169,1844384.26937595,1397,40,0.876816328146652
"result.4046",13,12,15,105.90020134,129.60920164,134.3510017,1844053.55675817,1397,40,0.876153145662589
"result.3581",12,15,13,105.10990133,131.98010167,132.77040168,1841846.1734347,1391,40,0.871726650037613
"result.3821",12,14,14,105.10990133,131.18980166,133.56070169,1841714.87558943,1391,40,0.871463356693194
"result.4061",12,13,15,105.10990133,130.39950165,134.3510017,1841452.27989889,1391,40,0.870936770004355
"result.3836",11,15,14,104.31960132,131.98010167,133.56070169,1838878.64469125,1385,40,0.865775824523894
"result.2800",15,14,10,107.48080136,131.18980166,130.39950165,1838683.17872611,1405,40,0.865383853981075
"result.3040",15,13,11,107.48080136,130.39950165,131.18980166,1838683.17872611,1405,40,0.865383853981075
"result.4076",11,14,15,104.31960132,131.18980166,134.3510017,1838683.17872611,1384,40,0.865383853981075
"result.2560",15,15,9,107.48080136,131.98010167,129.60920164,1838548.91927531,1405,40,0.865114621689037
"result.3280",15,12,12,107.48080136,129.60920164,131.98010167,1838548.91927531,1405,40,0.865114621689037
"result.3520",15,11,13,107.48080136,128.81890163,132.77040168,1838280.40037371,1405,40,0.864576157104961
"result.3760",15,10,14,107.48080136,128.02860162,133.56070169,1837877.6220213,1405,40,0.863768460228847
"result.4000",15,9,15,107.48080136,127.23830161,134.3510017,1837340.5842181,1405,40,0.862691531060696
"result.3055",14,14,11,106.69050135,131.18980166,131.18980166,1836225.04613423,1399,40,0.860454527457735
"result.2815",14,15,10,106.69050135,131.98010167,130.39950165,1836158.41000975,1399,40,0.860320901136319
"result.3295",14,13,12,106.69050135,130.39950165,131.98010167,1836158.41000975,1399,40,0.860320901136319
"result.3535",14,12,13,106.69050135,129.60920164,132.77040168,1835958.50163632,1399,40,0.859920022172071
"result.4091",10,15,15,103.52930131,131.98010167,134.3510017,1835746.25323983,1378,40,0.859494397592747
"result.3775",14,11,14,106.69050135,128.81890163,133.56070169,1835625.32101393,1399,40,0.859251890564992
"result.4015",14,10,15,106.69050135,128.02860162,134.3510017,1835158.86814257,1399,40,0.858316506315081
"result.3070",13,15,11,105.90020134,131.98010167,131.18980166,1833603.03803623,1393,40,0.855196579166172
"result.3310",13,14,12,105.90020134,131.18980166,131.98010167,1833603.03803623,1393,40,0.855196579166172
"result.3550",13,13,13,105.90020134,130.39950165,132.77040168,1833470.75298912,1393,40,0.854931306172546
"result.3790",13,12,14,105.90020134,129.60920164,133.56070169,1833206.18289489,1393,40,0.854400760185295
"result.4030",13,11,15,105.90020134,128.81890163,134.3510017,1832809.32775355,1393,40,0.853604941204418
"result.3325",12,15,12,105.10990133,131.98010167,131.98010167,1830882.80335473,1387,40,0.849741655778596
"result.3565",12,14,13,105.10990133,131.18980166,132.77040168,1830817.1544321,1387,40,0.849610009106387
"result.3805",12,13,14,105.10990133,130.39950165,133.56070169,1830620.20766419,1387,40,0.849215069089757
"result.4045",12,12,15,105.10990133,129.60920164,134.3510017,1830291.96305102,1387,40,0.848556835728709
"result.3580",11,15,13,104.31960132,131.98010167,132.77040168,1827997.70596527,1380,40,0.843956130973592
"result.3820",11,14,14,104.31960132,131.18980166,133.56070169,1827867.39532184,1380,40,0.843694817278378
"result.2784",15,13,10,107.48080136,130.39950165,130.39950165,1827606.77403499,1401,40,0.843172189887952
"result.4060",11,13,15,104.31960132,130.39950165,134.3510017,1827606.77403499,1380,40,0.843172189887952
"result.2544",15,14,9,107.48080136,131.18980166,129.60920164,1827539.64430959,1401,40,0.843037573741933
