"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,109.06140138,73.49790093,106.69050135,855208.021559252,965,40,1
"result.4095",14,15,15,108.27110137,73.49790093,106.69050135,849010.861982736,958,40,0.978402229447283
"result.3840",15,15,14,109.06140138,73.49790093,105.90020134,848873.14732548,962,40,0.977922278990556
"result.4080",15,14,15,109.06140138,72.70760092,106.69050135,846012.236381196,960,40,0.967951695308871
"result.4094",13,15,15,107.48080136,73.49790093,106.69050135,842813.70240622,951,40,0.956804458894566
"result.3839",14,15,14,108.27110137,73.49790093,105.90020134,842721.892634716,955,40,0.956484491923414
"result.3584",15,15,13,109.06140138,73.49790093,105.10990133,842538.273091708,958,40,0.955844557981112
"result.4079",14,14,15,108.27110137,72.70760092,106.69050135,839881.712929158,953,40,0.946586158848119
"result.3824",15,14,14,109.06140138,72.70760092,105.90020134,839745.479074668,956,40,0.946111369148991
"result.4064",15,13,15,109.06140138,71.91730091,106.69050135,836816.451203139,955,40,0.935903390617742
"result.4093",12,15,15,106.69050135,73.49790093,106.69050135,836616.542829703,944,40,0.935206688341849
"result.3838",13,15,14,107.48080136,73.49790093,105.90020134,836570.637943951,948,40,0.935046704856273
"result.3583",14,15,13,108.27110137,73.49790093,105.10990133,836432.923286695,951,40,0.934566754399546
"result.3328",15,15,12,109.06140138,73.49790093,104.31960132,836203.398857935,954,40,0.933766836971667
"result.4078",13,14,15,107.48080136,72.70760092,106.69050135,833751.18947712,946,40,0.925220622387366
"result.3823",14,14,14,108.27110137,72.70760092,105.90020134,833660.366907461,950,40,0.924904095921281
"result.3568",15,14,13,109.06140138,72.70760092,105.10990133,833478.721768141,953,40,0.924271042989111
"result.4063",14,13,15,108.27110137,71.91730091,106.69050135,830752.56387558,948,40,0.914770088248955
"result.3808",15,13,14,109.06140138,71.91730091,105.90020134,830617.810823857,951,40,0.914300459307426
"result.3837",12,15,14,106.69050135,73.49790093,105.90020134,830419.383253187,941,40,0.913608917789131
"result.4092",11,15,15,105.90020134,73.49790093,106.69050135,830419.383253187,937,40,0.913608917789131
"result.3582",13,15,13,107.48080136,73.49790093,105.10990133,830327.573481683,944,40,0.91328895081798
"result.3327",14,15,12,108.27110137,73.49790093,104.31960132,830143.953938675,948,40,0.912649016875677
"result.3072",15,15,11,109.06140138,73.49790093,103.52930131,829868.524624163,951,40,0.911689115962223
"result.4048",15,12,15,109.06140138,71.1270009,106.69050135,827620.666025083,950,40,0.903855085926614
"result.4077",12,14,15,106.69050135,72.70760092,106.69050135,827620.666025083,939,40,0.903855085926614
"result.3822",13,14,14,107.48080136,72.70760092,105.90020134,827575.254740253,943,40,0.903696822693571
"result.3567",14,14,13,108.27110137,72.70760092,105.10990133,827439.020885763,946,40,0.903222032994444
"result.3312",15,14,12,109.06140138,72.70760092,104.31960132,827211.964461614,949,40,0.90243071682923
"result.4062",13,13,15,107.48080136,71.91730091,106.69050135,824688.676548021,941,40,0.893636785880167
"result.3807",14,13,14,108.27110137,71.91730091,105.90020134,824598.841180206,944,40,0.893323699919148
"result.3552",15,13,13,109.06140138,71.91730091,105.10990133,824419.170444574,948,40,0.89269752799711
"result.3836",11,15,14,105.90020134,73.49790093,105.90020134,824268.128562422,934,40,0.89217113072199
"result.3581",12,15,13,106.69050135,73.49790093,105.10990133,824222.223676671,937,40,0.892011147236414
"result.4091",10,15,15,105.10990133,73.49790093,106.69050135,824222.223676671,930,40,0.892011147236414
"result.3326",13,15,12,107.48080136,73.49790093,104.31960132,824084.509019415,941,40,0.891531196779687
"result.3071",14,15,11,108.27110137,73.49790093,103.52930131,823854.984590655,944,40,0.890731279351809
"result.2816",15,15,10,109.06140138,73.49790093,102.7390013,823533.650390391,947,40,0.889611394952779
"result.4047",14,12,15,108.27110137,71.1270009,106.69050135,821623.414822002,943,40,0.882954017649791
"result.3792",15,12,14,109.06140138,71.1270009,105.90020134,821490.142573045,946,40,0.882489549465862
"result.3821",12,14,14,106.69050135,72.70760092,105.90020134,821490.142573045,936,40,0.882489549465862
"result.4076",11,14,15,105.90020134,72.70760092,106.69050135,821490.142573045,932,40,0.882489549465862
"result.3566",13,14,13,107.48080136,72.70760092,105.10990133,821399.320003385,939,40,0.882173022999777
"result.3311",14,14,12,108.27110137,72.70760092,104.31960132,821217.674864066,942,40,0.881539970067606
"result.3056",15,14,11,109.06140138,72.70760092,103.52930131,820945.207155086,946,40,0.88059039066935
"result.4061",12,13,15,106.69050135,71.91730091,106.69050135,818624.789220462,934,40,0.872503483511379
"result.3806",13,13,14,107.48080136,71.91730091,105.90020134,818579.871536554,937,40,0.87234694053087
"result.3551",14,13,13,108.27110137,71.91730091,105.10990133,818445.118484831,941,40,0.871877311589341
"result.4032",15,11,15,109.06140138,70.33670089,106.69050135,818424.880847026,944,40,0.871806781235485
