"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,126.691273126,109.242774432,128.208533882,1774419.7211611,1499,34.5,1
"result.4065",0,14,15,126.691273126,108.484144054,128.96716426,1772523.97359576,1498,34.5,0.988652631959628
"result.3793",0,13,14,127.18116128,108.14206528,128.70428896,1770151.61322315,1500,35,0.97445240469072
"result.4033",0,12,15,127.18116128,107.38050144,129.4658528,1768086.26422864,1499,35,0.962089854105947
"result.4083",2,15,15,127.211215703,108.392988528,127.96394479,1764469.73385575,1498,33.5,0.940442403822706
"result.3826",1,15,14,126.95516568,108.81871344,127.71085119,1764337.89852691,1496,34,0.939653277662387
"result.4081",0,15,15,126.19948017,108.81871344,128.4665367,1764213.6143695,1492,34,0.938909350516469
"result.3314",1,15,12,127.449903504,109.242774432,126.691273126,1763920.19618382,1499,34.5,0.93715303854563
"result.3569",0,15,13,126.691273126,109.242774432,127.449903504,1763920.19618382,1494,34.5,0.93715303854563
"result.3057",0,15,11,127.18116128,109.66519296,126.41959744,1763217.94159873,1497,35,0.932949556298978
"result.4001",0,10,15,127.669172855,106.263563035,129.96263105,1763148.58675504,1500,35.5,0.932534419309686
"result.3811",2,14,14,127.71085119,108.06302793,127.71085119,1762514.63267608,1500,34,0.928739763108556
"result.4066",1,14,15,126.95516568,108.06302793,128.4665367,1762452.92213959,1495,34,0.928370382615965
"result.3554",1,14,13,127.449903504,108.484144054,127.449903504,1762159.79678643,1498,34.5,0.926615823451484
"result.2545",0,15,9,127.669172855,110.08599336,125.37571466,1762103.97904388,1499,35.5,0.926281715430238
"result.3809",0,14,14,126.691273126,108.484144054,128.208533882,1762097.36198637,1494,34.5,0.926242107737581
"result.3297",0,14,12,127.18116128,108.90362912,127.18116128,1761521.40492466,1496,35,0.922794604032914
"result.4051",2,13,15,127.71085119,107.30734242,128.4665367,1760545.50555719,1499,34,0.916953167390419
"result.2785",0,14,10,127.669172855,109.321507295,126.140200725,1760537.06747715,1499,35.5,0.916902659611063
"result.3794",1,13,14,127.449903504,107.725513676,128.208533882,1760252.69743926,1497,34.5,0.915200507099494
