"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,114.923138085,128.995359075,132.122519295,1958657.08674963,1500,38.5,1
"result.4065",0,14,15,114.923138085,128.21356902,132.90430935,1958305.88411618,1500,38.5,0.998707162320505
"result.3826",1,15,14,115.282047,128.52390375,131.63963475,1950438.47881775,1499,38,0.969745881735125
"result.4066",1,14,15,115.282047,127.744971,132.4185675,1950088.7498454,1499,38,0.968458468857184
"result.4081",0,15,15,114.50311425,128.52390375,132.4185675,1948722.91642634,1493,38,0.963430599644682
"result.3569",0,15,13,114.923138085,128.995359075,131.34072924,1947067.39984578,1495,38.5,0.957336356576656
"result.3809",0,14,14,114.923138085,128.21356902,132.122519295,1946786.43773902,1495,38.5,0.956302086433059
"result.4049",0,13,15,114.923138085,127.431778965,132.90430935,1946364.99457888,1495,38.5,0.954750681217665
"result.3057",0,15,11,115.34163459,129.46510005,130.24973702,1944982.36613604,1497,39,0.949660986615767
"result.3297",0,14,12,115.34163459,128.68046308,131.03437399,1944840.34478766,1497,39,0.949138181451461
"result.3537",0,13,13,115.34163459,127.89582611,131.81901096,1944556.30209089,1497,39,0.948092571122851
"result.3777",0,12,14,115.34163459,127.11118914,132.60364793,1944130.23804573,1497,39,0.946524155629935
"result.4017",0,11,15,115.34163459,126.32655217,133.3882849,1943562.15265219,1497,39,0.944432934972714
"result.2545",0,15,9,115.758615966,129.93314037,129.145666792,1942464.54096869,1499,39.5,0.940392436392327
"result.2785",0,14,10,115.758615966,129.145666792,129.93314037,1942464.54096869,1499,39.5,0.940392436392327
"result.3025",0,13,11,115.758615966,128.358193214,130.720613948,1942320.97374467,1499,39.5,0.939863940592258
"result.3265",0,12,12,115.758615966,127.570719636,131.508087526,1942033.83929664,1499,39.5,0.938806948992119
"result.3827",2,15,14,115.633679338,128.05071873,131.154978578,1942008.58711591,1498,37.5,0.938713991344242
"result.4067",2,14,15,115.633679338,127.274653768,131.93104354,1941660.3696895,1498,37.5,0.937432142728519
"result.3505",0,11,13,115.758615966,126.783246058,132.295561104,1941603.13762458,1499,39.5,0.937221461591911
"result.3745",0,10,14,115.758615966,125.99577248,133.083034682,1941028.86872851,1498,39.5,0.935107478391634
"result.4082",1,15,15,114.857614376,128.05071873,131.93104354,1940389.02552862,1492,37.5,0.932752104829502
"result.3315",2,15,12,116.06097975,128.52390375,130.08176925,1940379.04479538,1500,38,0.932715364022981
"result.3985",0,9,15,115.758615966,125.208298902,133.87050826,1940311.03260842,1498,39.5,0.932464999391288
"result.3555",2,14,13,116.06097975,127.744971,130.860702,1940167.78959181,1500,38,0.931937697054818
"result.3795",2,13,14,116.06097975,126.96603825,131.63963475,1939815.69758586,1500,38,0.930641585441215
"result.4035",2,12,15,116.06097975,126.1871055,132.4185675,1939322.76877753,1500,38,0.92882702918217
"result.2993",0,11,11,116.17410147,127.23830161,131.18980166,1939220.801734,1500,40,0.92845167084659
"result.3570",1,15,13,115.282047,128.52390375,130.860702,1938897.42273007,1495,38,0.927261256763052
"result.3233",0,10,12,116.17410147,126.4480016,131.98010167,1938785.44572074,1500,40,0.926849050010836
"result.3810",1,14,14,115.282047,127.744971,131.63963475,1938617.63955219,1494,38,0.926231326460699
"result.3473",0,9,13,116.17410147,125.65770159,132.77040168,1938204.97103639,1500,40,0.924712222229831
"result.4050",1,13,15,115.282047,126.96603825,132.4185675,1938197.96478536,1494,38,0.924686431007169
"result.3713",0,8,14,116.17410147,124.86740158,133.56070169,1937479.37768096,1500,40,0.922041187503575
"result.3058",1,15,11,115.70492814,128.995359075,129.77714913,1936975.69968461,1497,38.5,0.920187061622995
"result.3298",1,14,12,115.70492814,128.21356902,130.558939185,1936834.26297781,1497,38.5,0.919666408625539
"result.3953",0,7,15,116.17410147,124.07710157,134.3510017,1936608.66565443,1499,40,0.918835945832068
"result.3538",1,13,13,115.70492814,127.431778965,131.34072924,1936551.3895642,1496,38.5,0.918625102630625
"result.3778",1,12,14,115.70492814,126.64998891,132.122519295,1936127.07944379,1496,38.5,0.917063143638255
"result.4085",4,15,15,116.314887166,127.09904889,130.95053522,1935908.74735608,1500,36.5,0.916259425434717
"result.4018",1,11,15,115.70492814,125.868198855,132.90430935,1935561.33261657,1496,38.5,0.914980531648429
"result.3313",0,15,12,114.923138085,128.995359075,130.558939185,1935477.71294194,1491,38.5,0.914672713153311
"result.3553",0,14,13,114.923138085,128.21356902,131.34072924,1935266.99136187,1491,38.5,0.913897010545614
"result.3793",0,13,14,114.923138085,127.431778965,132.122519295,1934915.78872842,1491,38.5,0.912604172866119
"result.2546",1,15,9,116.12627156,129.46510005,128.68046308,1934620.60449365,1498,39,0.911517548607779
"result.2786",1,14,10,116.12627156,128.68046308,129.46510005,1934620.60449365,1498,39,0.911517548607779
"result.3026",1,13,11,116.12627156,127.89582611,130.24973702,1934477.61701364,1498,39,0.910991186945757
"result.4033",0,12,15,114.923138085,126.64998891,132.90430935,1934424.10504159,1491,38.5,0.910794200114825
"result.3266",1,12,12,116.12627156,127.11118914,131.03437399,1934191.64205363,1498,39,0.909938463621713
"result.3506",1,11,13,116.12627156,126.32655217,131.81901096,1933762.67961361,1498,39,0.908359378635649
"result.3828",3,15,14,115.977975,127.5757725,130.6685185,1933368.7541603,1497,37,0.906909270861844
