"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3569",0,15,13,101.58001728,126.249450048,172.686029376,2214598.39635819,1499,29.5,1
"result.3809",0,14,14,101.58001728,125.523878496,173.411600928,2211122.3774322,1498,29.5,0.984627079720461
"result.4049",0,13,15,101.58001728,124.798306944,174.13717248,2207539.40407771,1497,29.5,0.968781146509242
"result.3313",0,15,12,101.58001728,126.249450048,171.960457824,2205293.36107938,1496,29.5,0.958847874944001
"result.3553",0,14,13,101.58001728,125.523878496,172.686029376,2201870.81936763,1495,29.5,0.943711461130299
"result.3778",1,12,14,102.305588832,124.072735392,173.411600928,2201171.41380131,1500,29.5,0.940618294423504
"result.3042",1,14,11,102.305588832,125.523878496,171.234886272,2198963.18683305,1499,29.5,0.930852266716249
"result.3827",2,15,14,102.15467078,125.17544166,171.93638251,2198594.54446039,1498,29,0.92922192179373
"result.3793",0,13,14,101.58001728,124.798306944,173.411600928,2198341.32322739,1494,29.5,0.928102034384921
"result.3969",0,8,15,102.438,122.1939,175.608,2198137.79506175,1500,30,0.927201917805675
"result.2257",0,13,8,102.438,125.8524,170.4861,2197918.4200323,1500,30,0.926231717438298
"result.4018",1,11,15,102.305588832,123.34716384,174.13717248,2197455.12939131,1499,29.5,0.924182784379586
"result.3233",0,10,12,102.438,123.6573,173.4129,2196657.01361298,1500,30,0.920653065325871
"result.3057",0,15,11,101.58001728,126.249450048,171.234886272,2195988.32580056,1493,29.5,0.917695749888001
"result.3282",1,13,12,102.305588832,124.798306944,171.960457824,2195516.19839479,1498,29.5,0.915607735661022
"result.4067",2,14,15,102.15467078,124.45604257,172.6557816,2195105.21536083,1497,29,0.913790136403982
"result.1521",0,15,5,102.438,127.3158,168.291,2194847.16962004,1499,30,0.912648912294997
"result.4033",0,12,15,101.58001728,124.072735392,174.13717248,2194704.87265866,1493,29.5,0.912019594707863
"result.2497",0,12,9,102.438,125.1207,171.2178,2194518.10707587,1499,30,0.911193611743929
"result.2546",1,15,9,102.305588832,126.249450048,169.783743168,2192930.95706609,1497,29.5,0.904174337369601
"result.3473",0,9,13,102.438,122.9256,174.1446,2192872.79435501,1498,30,0.903917108988589
"result.3297",0,14,12,101.58001728,125.523878496,171.960457824,2192619.26130306,1492,29.5,0.902795842540138
"result.4082",1,15,15,101.43527169,125.17544166,172.6557816,2192245.84196298,1491,29,0.901144371167826
"result.3522",1,12,13,102.305588832,124.072735392,172.686029376,2191961.49156783,1497,29.5,0.899886813010319
"result.1761",0,14,6,102.438,126.5841,169.0227,2191721.07545041,1498,30,0.898823557059852
"result.2737",0,11,10,102.438,124.389,171.9495,2191008.10660471,1498,30,0.895670405865871
"result.1969",0,11,7,102.86374126,124.90597153,170.459914088,2190119.35346383,1500,30.5,0.891739837168232
"result.3681",0,6,14,102.86374126,121.232266485,175.603101151,2189841.70141598,1500,30.5,0.89051190288825
"result.2786",1,14,10,102.305588832,125.523878496,170.50931472,2189645.54621088,1496,29.5,0.889644393707587
"result.3571",2,15,13,102.15467078,125.17544166,171.21698342,2189395.404107,1495,29,0.888538123948031
"result.3537",0,13,13,101.58001728,124.798306944,172.686029376,2189143.24237706,1491,29.5,0.887422922260597
"result.3713",0,8,14,102.438,122.1939,174.8763,2188978.88758232,1497,30,0.88669605246762
"result.3796",3,13,14,102.87406987,123.73664348,171.93638251,2188628.4367633,1500,29,0.885146160876875
"result.2945",0,8,11,102.86374126,122.701748503,173.398878124,2188564.50199585,1500,30.5,0.884863405200334
"result.2001",0,13,7,102.438,125.8524,169.7544,2188485.29376607,1497,30,0.884513101641017
