"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,146.99580186,42.67620054,113.01290143,708955.055553467,1020,40,1
"result.4095",14,15,15,146.20550185,42.67620054,113.01290143,705143.469233287,1015,40,0.986746987951807
"result.3840",15,15,14,146.99580186,42.67620054,112.22260142,703997.327892254,1017,40,0.982761816496756
"result.4094",13,15,15,145.41520184,42.67620054,113.01290143,701331.882913107,1009,40,0.973493975903615
"result.3839",14,15,14,146.20550185,42.67620054,112.22260142,700212.396021865,1011,40,0.969601482854495
"result.3584",15,15,13,146.99580186,42.67620054,111.43230141,699039.600231041,1013,40,0.965523632993512
"result.4093",12,15,15,144.62490183,42.67620054,113.01290143,697520.296592927,1004,40,0.960240963855422
"result.3838",13,15,14,145.41520184,42.67620054,112.22260142,696427.464151477,1006,40,0.956441149212233
"result.4080",15,14,15,146.99580186,41.88590053,113.01290143,695826.258228403,1011,40,0.954350736278447
"result.3583",14,15,13,146.20550185,42.67620054,111.43230141,695281.322810444,1008,40,0.952455977757183
"result.3328",15,15,12,146.99580186,42.67620054,110.6420014,694081.872569828,1010,40,0.948285449490269
"result.4092",11,15,15,143.83460182,42.67620054,113.01290143,693708.710272747,998,40,0.946987951807229
"result.3837",12,15,14,144.62490183,42.67620054,112.22260142,692642.532281089,1000,40,0.943280815569972
"result.4079",14,14,15,146.20550185,41.88590053,113.01290143,692085.256840078,1005,40,0.941343150379295
"result.3582",13,15,13,145.41520184,42.67620054,111.43230141,691523.045389847,1002,40,0.939388322520853
"result.3824",15,14,14,146.99580186,41.88590053,112.22260142,690960.340338694,1007,40,0.937431778395634
"result.3327",14,15,12,146.20550185,42.67620054,110.6420014,690350.249599022,1004,40,0.93531047265987
"result.4091",10,15,15,143.04430181,42.67620054,113.01290143,689897.123952567,993,40,0.933734939759036
"result.3072",15,15,11,146.99580186,42.67620054,109.85170139,689124.144908615,1006,40,0.931047265987025
"result.3836",11,15,14,143.83460182,42.67620054,112.22260142,688857.6004107,995,40,0.930120481927711
"result.4078",13,14,15,145.41520184,41.88590053,113.01290143,688344.255451753,1000,40,0.928335564480143
"result.3581",12,15,13,144.62490183,42.67620054,111.43230141,687764.76796925,997,40,0.926320667284523
"result.3823",14,14,14,146.20550185,41.88590053,112.22260142,687245.499799238,1002,40,0.924515154635637
"result.3326",13,15,12,145.41520184,42.67620054,110.6420014,686618.626628217,999,40,0.922335495829472
"result.3568",15,14,13,146.99580186,41.88590053,111.43230141,686094.422448985,1004,40,0.92051282051282
"result.4090",9,15,15,142.2540018,42.67620054,113.01290143,686085.537632387,987,40,0.920481927710843
"result.3071",14,15,11,146.20550185,42.67620054,109.85170139,685419.176387601,1001,40,0.918164967562558
"result.3835",10,15,14,143.04430181,42.67620054,112.22260142,685072.668540312,989,40,0.916960148285449
"result.4077",12,14,15,144.62490183,41.88590053,113.01290143,684603.254063429,995,40,0.915327978580991
"result.2816",15,15,10,146.99580186,42.67620054,109.06140138,684166.417247402,1002,40,0.913809082483781
"result.3580",11,15,13,143.83460182,42.67620054,111.43230141,684006.490548653,991,40,0.913253012048193
"result.3822",13,14,14,145.41520184,41.88590053,112.22260142,683530.659259783,996,40,0.911598530875639
"result.3325",12,15,12,144.62490183,42.67620054,110.6420014,682887.003657411,993,40,0.909360518999073
"result.4064",15,13,15,146.99580186,41.09560052,113.01290143,682697.460903339,1001,40,0.908701472556894
"result.3567",14,14,13,146.20550185,41.88590053,111.43230141,682405.742758399,998,40,0.907687158891978
"result.4089",8,15,15,141.46370179,42.67620054,113.01290143,682273.951312208,982,40,0.907228915662651
"result.3070",13,15,11,145.41520184,42.67620054,109.85170139,681714.207866587,995,40,0.905282669138091
"result.3834",9,15,14,142.2540018,42.67620054,112.22260142,681287.736669923,984,40,0.903799814643188
"result.3312",15,14,12,146.99580186,41.88590053,110.6420014,681228.504559275,1000,40,0.903593862630007
"result.4076",11,14,15,143.83460182,41.88590053,113.01290143,680862.252675104,989,40,0.902320392681839
"result.2815",14,15,10,146.20550185,42.67620054,109.06140138,680488.103176179,997,40,0.901019462465245
"result.3579",10,15,13,143.04430181,42.67620054,111.43230141,680248.213128056,986,40,0.900185356811863
"result.3821",12,14,14,144.62490183,41.88590053,112.22260142,679815.818720328,991,40,0.898681907115642
"result.2560",15,15,9,146.99580186,42.67620054,108.27110137,679208.689586189,999,40,0.896570898980537
"result.3324",11,15,12,143.83460182,42.67620054,110.6420014,679155.380686606,988,40,0.896385542168674
"result.4063",14,13,15,146.20550185,41.09560052,113.01290143,679027.044446869,996,40,0.895939312806783
"result.3566",13,14,13,145.41520184,41.88590053,111.43230141,678717.063067813,993,40,0.894861497271136
"result.4088",7,15,15,140.67340178,42.67620054,113.01290143,678462.364992028,976,40,0.893975903614458
"result.3069",12,15,11,144.62490183,42.67620054,109.85170139,678009.239345573,990,40,0.892400370713624
"result.3808",15,13,14,146.99580186,41.09560052,112.22260142,677923.352785133,998,40,0.892101740294511
"result.3311",14,14,12,146.20550185,41.88590053,110.6420014,677565.985717559,995,40,0.89085916314832
"result.3833",8,15,14,141.46370179,42.67620054,112.22260142,677502.804799535,978,40,0.890639481000927
"result.4075",10,14,15,143.04430181,41.88590053,113.01290143,677121.251286779,984,40,0.889312806782686
"result.2814",13,15,10,145.41520184,42.67620054,109.06140138,676809.789104957,992,40,0.88822984244671
"result.3578",9,15,13,142.2540018,42.67620054,111.43230141,676489.935707459,980,40,0.887117701575533
"result.3056",15,14,11,146.99580186,41.88590053,109.85170139,676362.586669566,997,40,0.886674904747194
"result.3820",11,14,14,143.83460182,41.88590053,112.22260142,676100.978180872,986,40,0.885765283355645
"result.2559",14,15,9,146.20550185,42.67620054,108.27110137,675557.029964758,993,40,0.883873957367933
"result.3323",10,15,12,143.04430181,42.67620054,110.6420014,675423.7577158,982,40,0.883410565338276
"result.4062",13,13,15,145.41520184,41.09560052,113.01290143,675356.627990399,990,40,0.883177153056671
"result.3565",12,14,13,144.62490183,41.88590053,111.43230141,675028.383377227,988,40,0.882035835650293
"result.4087",6,15,15,139.88310177,42.67620054,113.01290143,674650.778671848,971,40,0.880722891566265
"result.3068",11,15,11,143.83460182,42.67620054,109.85170139,674304.270824559,984,40,0.879518072289157
"result.3807",14,13,14,146.20550185,41.09560052,112.22260142,674278.603576611,992,40,0.879428826416778
"result.2304",15,15,8,146.99580186,42.67620054,107.48080136,674250.961924976,995,40,0.879332715477294
"result.3310",13,14,12,145.41520184,41.88590053,110.6420014,673903.466875842,989,40,0.878124463666632
"result.3832",7,15,14,140.67340178,42.67620054,112.22260142,673717.872929146,973,40,0.877479147358666
"result.4074",9,14,15,142.2540018,41.88590053,113.01290143,673380.249898454,978,40,0.876305220883534
"result.3552",15,13,13,146.99580186,41.09560052,111.43230141,673149.244666928,994,40,0.875502008032129
"result.2813",12,15,10,144.62490183,42.67620054,109.06140138,673131.475033734,986,40,0.875440222428174
"result.3577",8,15,13,141.46370179,42.67620054,111.43230141,672731.658286862,975,40,0.874050046339203
"result.3055",14,14,11,146.20550185,41.88590053,109.85170139,672726.228676719,991,40,0.874031167404661
"result.3819",10,14,14,143.04430181,41.88590053,112.22260142,672386.137641417,980,40,0.872848659595648
"result.2558",13,15,9,145.41520184,42.67620054,108.27110137,671905.370343326,988,40,0.871177015755329
"result.3322",9,15,12,142.2540018,42.67620054,110.6420014,671692.134744995,977,40,0.870435588507878
"result.4061",12,13,15,144.62490183,41.09560052,113.01290143,671686.21153393,985,40,0.87041499330656
"result.2800",15,14,10,146.99580186,41.88590053,109.06140138,671496.668779857,993,40,0.869755946864381
"result.3564",11,14,13,143.83460182,41.88590053,111.43230141,671339.703686641,982,40,0.869210174029451
"result.4086",5,15,15,139.09280176,42.67620054,113.01290143,670839.192351668,965,40,0.867469879518072
"result.3806",13,13,14,145.41520184,41.09560052,112.22260142,670633.854368089,987,40,0.866755912539045
"result.2303",14,15,8,146.20550185,42.67620054,107.48080136,670625.956753336,990,40,0.866728452270621
"result.3067",10,15,11,143.04430181,42.67620054,109.85170139,670599.302303544,979,40,0.866635773864689
"result.3309",12,14,12,144.62490183,41.88590053,110.6420014,670240.948034126,984,40,0.865389764184945
"result.3831",6,15,14,139.88310177,42.67620054,112.22260142,669932.941058758,968,40,0.864318813716404
"result.4073",8,14,15,141.46370179,41.88590053,113.01290143,669639.24851013,973,40,0.863297634984382
"result.4048",15,12,15,146.99580186,40.30530051,113.01290143,669568.663578274,992,40,0.863052208835342
"result.3551",14,13,13,146.20550185,41.09560052,111.43230141,669530.162706353,989,40,0.862918340026774
"result.2812",11,15,10,143.83460182,42.67620054,109.06140138,669453.160962511,981,40,0.862650602409638
