"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3313",0,15,12,115.317531,120.4427546,140.30299605,1948690.91317079,1499,23,1
"result.3553",0,14,13,115.317531,119.80210165,140.943649,1947176.3375072,1498,23,0.991781723836321
"result.3793",0,13,14,115.317531,119.1614487,141.58430195,1945567.10086463,1497,23,0.983049805412413
"result.4033",0,12,15,115.317531,118.52079575,142.2249549,1943863.20324309,1497,23,0.973804244728274
"result.2802",1,15,10,115.95818395,120.4427546,139.02169015,1941621.8416187,1500,23,0.961642337433275
"result.3042",1,14,11,115.95818395,119.80210165,139.6623431,1940194.03851917,1499,23,0.95389490000814
"result.3057",0,15,11,115.317531,120.4427546,139.6623431,1939792.78114718,1495,23,0.951717627538388
"result.3282",1,13,12,115.95818395,119.1614487,140.30299605,1938671.04854633,1499,23,0.945630966754663
"result.3297",0,14,12,115.317531,119.80210165,140.30299605,1938325.53597308,1495,23,0.943756172504824
"result.3522",1,12,13,115.95818395,118.52079575,140.943649,1937052.8717002,1498,23,0.936850537672843
"result.3537",0,13,13,115.317531,119.1614487,140.943649,1936763.62982,1494,23,0.93528107521103
"result.3762",1,11,14,115.95818395,117.8801428,141.58430195,1935339.50798076,1498,23,0.927553612762683
"result.3777",0,12,14,115.317531,118.52079575,141.58430195,1935107.06268794,1493,23,0.926292335657006
"result.3828",3,15,14,115.956949539,119.125172204,140.035441793,1934364.39285683,1497,22.5,0.922262516667285
"result.4002",1,10,15,115.95818395,117.23948985,142.2249549,1933530.95738801,1497,23,0.917740192024178
"result.4017",0,11,15,115.317531,117.8801428,142.2249549,1933355.83457691,1493,23,0.916789953842753
"result.4068",3,14,15,115.956949539,118.491527671,140.669086326,1932781.44327184,1497,22.5,0.913673235091377
"result.2546",1,15,9,115.95818395,120.4427546,138.3810372,1932674.27552829,1497,23,0.913091729569098
"result.4083",2,15,15,115.323305006,119.125172204,140.669086326,1932499.04628705,1492,22.5,0.912140913884488
"result.2465",0,10,9,116.56375668,118.506485958,139.876508016,1932192.70311144,1500,23.5,0.910478657664119
"result.3921",0,5,15,116.56375668,115.268603828,143.761966572,1931606.12366302,1500,23.5,0.907295804529098
"result.2771",2,13,10,116.5988369,119.1614487,139.02169015,1931579.36353815,1500,23,0.907150600759105
