"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,119.33530151,65.59490083,230.76760292,1806399.70401942,1468,40,1
"result.3840",15,15,14,119.33530151,65.59490083,229.97730291,1800213.40366319,1465,40,0.988584986429131
"result.4095",14,15,15,118.5450015,65.59490083,230.76760292,1794436.79207228,1458,40,0.977925934021896
"result.3584",15,15,13,119.33530151,65.59490083,229.1870029,1794027.10330696,1463,40,0.977169972858262
"result.3839",14,15,14,118.5450015,65.59490083,229.97730291,1788291.46059258,1455,40,0.96658651656739
"result.3328",15,15,12,119.33530151,65.59490083,228.39670289,1787840.80295073,1460,40,0.965754959287393
"result.4080",15,14,15,119.33530151,64.80460082,230.76760292,1784635.85216377,1459,40,0.959841157075979
"result.4094",13,15,15,117.75470149,65.59490083,230.76760292,1782473.88012513,1448,40,0.955851868043791
"result.3583",14,15,13,118.5450015,65.59490083,229.1870029,1782146.12911288,1453,40,0.955247099112884
"result.3072",15,15,11,119.33530151,65.59490083,227.60640288,1781654.5025945,1458,40,0.954339945716524
"result.3824",15,14,14,119.33530151,64.80460082,229.97730291,1778524.08554677,1456,40,0.948563673789096
"result.3838",13,15,14,117.75470149,65.59490083,229.97730291,1776369.51752196,1446,40,0.944588046705649
"result.3327",14,15,12,118.5450015,65.59490083,228.39670289,1776000.79763318,1450,40,0.943907681658379
"result.2816",15,15,10,119.33530151,65.59490083,226.81610287,1775468.20223827,1455,40,0.942924932145655
"result.4079",14,14,15,118.5450015,64.80460082,230.76760292,1772817.07168586,1449,40,0.93803304370002
"result.3568",15,14,13,119.33530151,64.80460082,229.1870029,1772412.31892977,1454,40,0.937286190502213
"result.4093",12,15,15,116.96440148,65.59490083,230.76760292,1770510.96817798,1439,40,0.933777802065687
"result.3582",13,15,13,117.75470149,65.59490083,229.1870029,1770265.15491879,1443,40,0.933324225367506
"result.3071",14,15,11,118.5450015,65.59490083,227.60640288,1769855.46615348,1448,40,0.932568264203873
"result.2560",15,15,9,119.33530151,65.59490083,226.02580286,1769281.90188204,1453,40,0.931509918574786
"result.3823",14,14,14,118.5450015,64.80460082,229.97730291,1766745.78034447,1447,40,0.926830245732918
"result.3312",15,14,12,119.33530151,64.80460082,228.39670289,1766300.55231277,1451,40,0.926008707215331
"result.3837",12,15,14,116.96440148,65.59490083,229.97730291,1764447.57445134,1436,40,0.922589576843908
"result.3326",13,15,12,117.75470149,65.59490083,228.39670289,1764160.79231562,1441,40,0.922060404029364
"result.2815",14,15,10,118.5450015,65.59490083,226.81610287,1763710.13467378,1445,40,0.921228846749367
"result.2304",15,15,8,119.33530151,65.59490083,225.23550285,1763095.60152581,1450,40,0.920094905003917
"result.4064",15,13,15,119.33530151,64.01430081,230.76760292,1762872.00030811,1450,40,0.919682314151957
"result.4078",13,14,15,117.75470149,64.80460082,230.76760292,1760998.29120796,1440,40,0.916224930324061
"result.3567",14,14,13,118.5450015,64.80460082,229.1870029,1760674.48900308,1444,40,0.915627447765816
"result.3056",15,14,11,119.33530151,64.80460082,227.60640288,1760188.78569577,1449,40,0.914731223928448
"result.4092",11,15,15,116.17410147,65.59490083,230.76760292,1758548.05623083,1429,40,0.911703736087582
"result.3581",12,15,13,116.96440148,65.59490083,229.1870029,1758384.18072471,1434,40,0.911401351622129
"result.3070",13,15,11,117.75470149,65.59490083,227.60640288,1758056.42971245,1438,40,0.910796582691222
"result.2559",14,15,9,118.5450015,65.59490083,226.02580286,1757564.80319408,1443,40,0.909889429294861
"result.2048",15,15,7,119.33530151,65.59490083,224.44520284,1756909.30116958,1447,40,0.908679891433047
"result.3808",15,13,14,119.33530151,64.01430081,229.97730291,1756834.76743035,1447,40,0.908542361149061
"result.3822",13,14,14,117.75470149,64.80460082,229.97730291,1754967.47514218,1437,40,0.90509681767674
"result.3311",14,14,12,118.5450015,64.80460082,228.39670289,1754603.19766169,1442,40,0.904424649798714
"result.2800",15,14,10,119.33530151,64.80460082,226.81610287,1754077.01907877,1446,40,0.903453740641565
"result.3836",11,15,14,116.17410147,65.59490083,229.97730291,1752525.63138073,1426,40,0.900591106982167
"result.3325",12,15,12,116.96440148,65.59490083,228.39670289,1752320.78699807,1431,40,0.90021312640035
"result.2814",13,15,10,117.75470149,65.59490083,226.81610287,1751952.06710929,1436,40,0.899532761353079
"result.2303",14,15,8,118.5450015,65.59490083,225.23550285,1751419.47171438,1440,40,0.898550011840356
"result.4063",14,13,15,118.5450015,64.01430081,230.76760292,1751197.35129945,1440,40,0.898140153378145
"result.3552",15,13,13,119.33530151,64.01430081,229.1870029,1750797.53455258,1445,40,0.897402408146165
"result.1792",15,15,6,119.33530151,65.59490083,223.65490283,1750723.00081335,1445,40,0.897264877862178
"result.4077",12,14,15,116.96440148,64.80460082,230.76760292,1749179.51073005,1430,40,0.894416816948103
"result.3566",13,14,13,117.75470149,64.80460082,229.1870029,1748936.6590764,1435,40,0.893968705029419
"result.3055",14,14,11,118.5450015,64.80460082,227.60640288,1748531.9063203,1439,40,0.893221851831612
"result.2544",15,14,9,119.33530151,64.80460082,226.02580286,1747965.25246177,1444,40,0.892176257354682
"result.4091",10,15,15,115.38380146,65.59490083,230.76760292,1746585.14428368,1419,40,0.889629670109478
"result.3580",11,15,13,116.17410147,65.59490083,229.1870029,1746503.20653062,1424,40,0.889478477876751
"result.3069",12,15,11,116.96440148,65.59490083,227.60640288,1746257.39327143,1429,40,0.889024901178571
"result.2558",13,15,9,117.75470149,65.59490083,226.02580286,1745847.70450612,1433,40,0.888268940014937
"result.2047",14,15,7,118.5450015,65.59490083,224.44520284,1745274.14023468,1438,40,0.88721059438585
"result.3807",14,13,14,118.5450015,64.01430081,229.97730291,1745200.10009637,1438,40,0.887073974898446
"result.3296",15,13,12,119.33530151,64.01430081,228.39670289,1744760.30167481,1442,40,0.886262455143269
"result.1536",15,15,5,119.33530151,65.59490083,222.86460282,1744536.70045712,1442,40,0.88584986429131
"result.3821",12,14,14,116.96440148,64.80460082,229.97730291,1743189.16993988,1427,40,0.883363389620562
"result.3310",13,14,12,117.75470149,64.80460082,228.39670289,1742905.84301062,1432,40,0.882840592382097
"result.2799",14,14,10,118.5450015,64.80460082,226.81610287,1742460.61497891,1437,40,0.88201905386451
"result.2288",15,14,8,119.33530151,64.80460082,225.23550285,1741853.48584477,1441,40,0.8808987740678
"result.4048",15,12,15,119.33530151,63.2240008,230.76760292,1741108.14845246,1441,40,0.879523471227936
"result.3835",10,15,14,115.38380146,65.59490083,229.97730291,1740603.68831011,1417,40,0.878592637120426
"result.3324",11,15,12,116.17410147,65.59490083,228.39670289,1740480.78168051,1421,40,0.878365848771336
"result.2813",12,15,10,116.96440148,65.59490083,226.81610287,1740193.99954479,1426,40,0.877836675956792
"result.2302",13,15,8,117.75470149,65.59490083,225.23550285,1739743.34190295,1431,40,0.877005118676795
"result.4062",13,13,15,117.75470149,64.01430081,230.76760292,1739522.70229079,1431,40,0.876597992604332
"result.3551",14,13,13,118.5450015,64.01430081,229.1870029,1739202.84889329,1435,40,0.876007796418748
"result.1791",14,15,6,118.5450015,65.59490083,223.65490283,1739128.80875498,1435,40,0.875871176931344
"result.3040",15,13,11,119.33530151,64.01430081,227.60640288,1738723.06879704,1440,40,0.875122502140372
"result.1280",15,15,4,119.33530151,65.59490083,222.07430281,1738350.40010088,1440,40,0.87443485072044
"result.4076",11,14,15,116.17410147,64.80460082,230.76760292,1737360.73025215,1420,40,0.872608703572144
"result.3565",12,14,13,116.96440148,64.80460082,229.1870029,1737198.82914971,1425,40,0.872309962293022
"result.3054",13,14,11,117.75470149,64.80460082,227.60640288,1736875.02694483,1430,40,0.871712479734776
"result.2543",14,14,9,118.5450015,64.80460082,226.02580286,1736389.32363752,1434,40,0.870816255897408
"result.2032",15,14,7,119.33530151,64.80460082,224.44520284,1735741.71922778,1439,40,0.869621290780917
"result.3792",15,12,14,119.33530151,63.2240008,229.97730291,1735145.44931392,1438,40,0.868521048509026
"result.3579",10,15,13,115.38380146,65.59490083,229.1870029,1734622.23233653,1414,40,0.867555604131373
"result.4090",9,15,15,114.59350145,65.59490083,230.76760292,1734622.23233653,1409,40,0.867555604131373
"result.3068",11,15,11,116.17410147,65.59490083,227.60640288,1734458.35683041,1419,40,0.86725321966592
"result.2557",12,15,9,116.96440148,65.59490083,226.02580286,1734130.60581816,1424,40,0.866648450735013
"result.2046",13,15,7,117.75470149,65.59490083,224.44520284,1733638.97929978,1428,40,0.865741297338652
"result.3806",13,13,14,117.75470149,64.01430081,229.97730291,1733565.43276239,1428,40,0.865605588647831
"result.3295",14,13,12,118.5450015,64.01430081,228.39670289,1733205.59769021,1433,40,0.86494161793905
"result.1535",14,15,5,118.5450015,65.59490083,222.86460282,1732983.47727528,1433,40,0.864531759476838
"result.2784",15,13,10,119.33530151,64.01430081,226.81610287,1732685.83591928,1437,40,0.863982549137476
"result.1024",15,15,3,119.33530151,65.59490083,221.2840028,1732164.09974465,1437,40,0.863019837149571
"result.3820",11,14,14,116.17410147,64.80460082,229.97730291,1731410.86473758,1418,40,0.861629961564384
"result.3309",12,14,12,116.96440148,64.80460082,228.39670289,1731208.48835954,1422,40,0.861256534965481
"result.2798",13,14,10,117.75470149,64.80460082,226.81610287,1730844.21087905,1427,40,0.860584367087455
"result.2287",14,14,8,118.5450015,64.80460082,225.23550285,1730318.03229613,1432,40,0.859613457930306
"result.1776",15,14,6,119.33530151,64.80460082,223.65490283,1729629.95261078,1436,40,0.858343807494034
"result.4047",14,12,15,118.5450015,63.2240008,230.76760292,1729577.63091304,1431,40,0.858247263056269
"result.3536",15,12,13,119.33530151,63.2240008,229.1870029,1729182.75017539,1436,40,0.857518625790116
"result.3834",9,15,14,114.59350145,65.59490083,229.97730291,1728681.74523949,1407,40,0.856594167258685
"result.3323",10,15,12,115.38380146,65.59490083,228.39670289,1728640.77636296,1412,40,0.856518571142321
"result.2812",11,15,10,116.17410147,65.59490083,226.81610287,1728435.9319803,1417,40,0.856140590560504
"result.2301",12,15,8,116.96440148,65.59490083,225.23550285,1728067.21209152,1421,40,0.855460225513234
"result.4061",12,13,15,116.96440148,64.01430081,230.76760292,1727848.05328212,1421,40,0.855055831830519
"result.3550",13,13,13,117.75470149,64.01430081,229.1870029,1727608.163234,1426,40,0.854613184691331
"result.1790",13,15,6,117.75470149,65.59490083,223.65490283,1727534.61669661,1426,40,0.85447747600051
"result.3039",14,13,11,118.5450015,64.01430081,227.60640288,1727208.34648713,1430,40,0.853875439459351
"result.1279",14,15,4,118.5450015,65.59490083,222.07430281,1726838.14579558,1430,40,0.853192342022333
"result.2528",15,13,9,119.33530151,64.01430081,226.02580286,1726648.60304151,1435,40,0.852842596134579
"result.768",15,15,2,119.33530151,65.59490083,220.49370279,1725977.79938842,1435,40,0.851604823578702
"result.4075",10,14,15,115.38380146,64.80460082,230.76760292,1725541.94977424,1411,40,0.850800590196186
"result.3564",11,14,13,116.17410147,64.80460082,229.1870029,1725460.99922302,1415,40,0.850651219556624
"result.3053",12,14,11,116.96440148,64.80460082,227.60640288,1725218.14756937,1420,40,0.85020310763794
