"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,116.88845,68.129268,241.792108,1925517.38470654,1500,25,1
"result.3825",0,15,14,116.88845,68.129268,241.124174,1920198.27590901,1498,25,0.975406109205142
"result.3058",1,15,11,117.556384,68.129268,239.120372,1915122.3263708,1500,25,0.951936510560906
"result.3569",0,15,13,116.88845,68.129268,240.45624,1914879.16711148,1496,25,0.950812218410284
"result.3810",1,14,14,117.556384,67.461334,241.124174,1912237.7900593,1499,25,0.93859931936235
"result.2802",1,15,10,117.556384,68.129268,238.452438,1909772.82266585,1498,25,0.927202083247221
"result.3313",0,15,12,116.88845,68.129268,239.788306,1909560.05831395,1494,25,0.926218327615426
"result.2257",0,13,8,118.051068975,67.4577537,239.475025635,1907049.7720624,1500,25.5,0.914611551314265
"result.3554",1,14,13,117.556384,67.461334,240.45624,1906940.73246911,1497,25,0.914107386434093
"result.497",0,15,1,118.051068975,68.806908774,234.752982876,1906834.89321484,1500,25.5,0.913618018917752
"result.4065",0,14,15,116.88845,67.461334,241.792108,1906639.76328785,1492,25,0.912715799335897
"result.4017",0,11,15,118.051068975,66.108598626,244.197068394,1905760.49897706,1499,25.5,0.908650356935187
"result.2035",2,15,7,118.224318,68.129268,236.448636,1904484.10877573,1500,25,0.90274872897119
"result.2546",1,15,9,117.556384,68.129268,237.784504,1904423.3189609,1496,25,0.902467655933534
"result.1249",0,14,4,118.051068975,68.132331237,236.776715487,1904417.50617983,1499,25.5,0.902440779456981
"result.3057",0,15,11,116.88845,68.129268,239.120372,1904240.94951642,1491,25,0.901624436820568
"result.3795",2,13,14,118.224318,66.7934,241.124174,1904062.15594339,1500,25,0.900797751415699
"result.3009",0,12,11,118.051068975,66.783176163,241.498758246,1903934.02877283,1499,25.5,0.900205331564826
"result.2787",2,14,10,118.224318,67.461334,238.452438,1901794.15946955,1499,25,0.890311247054934
"result.2001",0,13,7,118.051068975,67.4577537,238.800448098,1901677.80087349,1498,25.5,0.88977324140144
"result.3298",1,14,12,117.556384,67.461334,239.788306,1901643.67487892,1495,25,0.889615453505835
"result.3809",0,14,14,116.88845,67.461334,241.124174,1901372.80261579,1490,25,0.888363025117458
"result.241",0,15,0,118.051068975,68.806908774,234.078405339,1901355.48260215,1498,25.5,0.88828294280667
