"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,105.90020134,74.28820094,134.3510017,1056957.52643456,1057,40,1
"result.3840",15,15,14,105.90020134,74.28820094,133.56070169,1050740.12922024,1054,40,0.981589236514584
"result.4095",14,15,15,105.10990133,74.28820094,134.3510017,1049069.78369998,1050,40,0.976643061249845
"result.4080",15,14,15,105.90020134,73.49790093,134.3510017,1045713.29742994,1052,40,0.966703938377439
"result.3584",15,15,13,105.90020134,74.28820094,132.77040168,1044522.73200592,1051,40,0.963178473029167
"result.3839",14,15,14,105.10990133,74.28820094,133.56070169,1042898.78497233,1046,40,0.958369691521782
"result.4094",13,15,15,104.31960132,74.28820094,134.3510017,1041182.04096539,1042,40,0.95328612249969
"result.3824",15,14,14,105.90020134,73.49790093,133.56070169,1039562.04273917,1049,40,0.948489034078037
"result.3328",15,15,12,105.90020134,74.28820094,131.98010167,1038305.3347916,1048,40,0.944767709543751
"result.4079",14,14,15,105.10990133,73.49790093,134.3510017,1037909.4668521,1044,40,0.943595477699093
"result.3583",14,15,13,105.10990133,74.28820094,132.77040168,1036727.78624468,1043,40,0.94009632179372
"result.3838",13,15,14,104.31960132,74.28820094,133.56070169,1035057.44072442,1039,40,0.935150146528981
"result.4064",15,13,15,105.90020134,72.70760092,134.3510017,1034469.06842532,1046,40,0.933407876754877
"result.3568",15,14,13,105.90020134,73.49790093,132.77040168,1033410.78804841,1046,40,0.930274129778636
"result.4093",12,15,15,103.52930131,74.28820094,134.3510017,1033294.2982308,1034,40,0.929929183749534
"result.3072",15,15,11,105.90020134,74.28820094,131.18980166,1032087.93757728,1045,40,0.926356946058334
"result.3823",14,14,14,105.10990133,73.49790093,133.56070169,1031804.11704709,1041,40,0.925516505521329
"result.3327",14,15,12,105.10990133,74.28820094,131.98010167,1030556.78751704,1040,40,0.921822952065657
"result.4078",13,14,15,104.31960132,73.49790093,134.3510017,1030105.63627427,1036,40,0.920487017020748
"result.3582",13,15,13,104.31960132,74.28820094,132.77040168,1028932.84048344,1036,40,0.917014170558272
"result.3808",15,13,14,105.90020134,72.70760092,133.56070169,1028383.95625811,1043,40,0.91538883164149
"result.3312",15,14,12,105.90020134,73.49790093,131.98010167,1027259.53335765,1043,40,0.912059225479234
"result.3837",12,15,14,103.52930131,74.28820094,133.56070169,1027216.0964765,1031,40,0.911930601536179
"result.4063",14,13,15,105.10990133,72.70760092,134.3510017,1026749.15000423,1038,40,0.910547894148342
"result.2816",15,15,10,105.90020134,74.28820094,130.39950165,1025870.54036296,1042,40,0.907946182572918
"result.3567",14,14,13,105.10990133,73.49790093,132.77040168,1025698.76724208,1038,40,0.907437533343565
"result.4092",11,15,15,102.7390013,74.28820094,134.3510017,1025406.55549622,1026,40,0.906572244999379
"result.3071",14,15,11,105.10990133,74.28820094,131.18980166,1024385.78878939,1037,40,0.903549582337594
"result.3822",13,14,14,104.31960132,73.49790093,133.56070169,1024046.19135501,1033,40,0.902543976964622
"result.4048",15,12,15,105.90020134,71.91730091,134.3510017,1023224.83942069,1040,40,0.900111815132315
"result.3326",13,15,12,104.31960132,74.28820094,131.98010167,1022808.24024247,1032,40,0.898878194587563
"result.4077",12,14,15,103.52930131,73.49790093,134.3510017,1022301.80569643,1028,40,0.897378556342403
"result.3552",15,13,13,105.90020134,72.70760092,132.77040168,1022298.8440909,1040,40,0.897369786528104
"result.3581",12,15,13,103.52930131,74.28820094,132.77040168,1021137.89472221,1028,40,0.893932019322824
"result.3056",15,14,11,105.90020134,73.49790093,131.18980166,1021108.27866688,1039,40,0.893844321179832
"result.3807",14,13,14,105.10990133,72.70760092,133.56070169,1020709.44912185,1035,40,0.892663319520876
"result.2560",15,15,9,105.90020134,74.28820094,129.60920164,1019653.14314864,1039,40,0.889535419087501
"result.3311",14,14,12,105.10990133,73.49790093,131.98010167,1019593.41743707,1035,40,0.889358561165801
"result.3836",11,15,14,102.7390013,74.28820094,133.56070169,1019374.75222859,1023,40,0.888711056543378
"result.4062",13,13,15,104.31960132,72.70760092,134.3510017,1019029.23158315,1031,40,0.887687911541806
"result.2815",14,15,10,105.10990133,74.28820094,130.39950165,1018214.79006174,1034,40,0.885276212609531
"result.3566",13,14,13,104.31960132,73.49790093,132.77040168,1017986.74643575,1030,40,0.884600936908495
"result.4091",10,15,15,101.94870129,74.28820094,134.3510017,1017518.81276163,1018,40,0.883215306249224
"result.3792",15,12,14,105.90020134,71.91730091,133.56070169,1017205.86977704,1037,40,0.882288629204943
"result.3070",13,15,11,104.31960132,74.28820094,131.18980166,1016683.6400015,1029,40,0.880742218616854
"result.3821",12,14,14,103.52930131,73.49790093,133.56070169,1016288.26566292,1025,40,0.879571448407914
"result.3296",15,13,12,105.90020134,72.70760092,131.98010167,1016213.73192369,1037,40,0.879350741414717
