"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3313",0,15,12,132.14599448,102.85590292,125.33434528,1703543.8670055,1500,26,1
"result.3553",0,14,13,132.14599448,102.174738,126.0155102,1701459.19627853,1499,26,0.987425651974988
"result.3793",0,13,14,132.14599448,101.49357308,126.69667512,1699251.89786174,1498,26,0.974111636419094
"result.4083",2,15,15,132.217197252,101.861208087,126.145999419,1698909.52516544,1498,25.5,0.972046507676285
"result.4033",0,12,15,132.14599448,100.81240816,127.37784004,1696921.97175512,1497,26,0.960057953332317
"result.3057",0,15,11,132.14599448,102.85590292,124.65318036,1694285.47642395,1496,26,0.944155101418331
"result.4018",1,11,15,132.8271594,100.13124324,127.37784004,1694144.20174006,1500,26,0.943302958670123
"result.2802",1,15,10,132.8271594,102.85590292,123.97201544,1693712.79247045,1499,26,0.940700777794723
"result.3297",0,14,12,132.14599448,102.174738,125.33434528,1692262.11954189,1495,26,0.931950587158762
"result.3042",1,14,11,132.8271594,102.174738,124.65318036,1691740.6358094,1499,26,0.928805093792894
"result.4082",1,15,15,131.542619715,101.861208087,126.145999419,1690241.6194248,1491,25.5,0.919763304376777
"result.3537",0,13,13,132.14599448,101.49357308,126.0155102,1690116.13497001,1494,26,0.919006405368309
"result.3827",2,15,14,132.217197252,101.861208087,125.471421882,1689824.44749075,1494,25.5,0.917247000474663
"result.3282",1,13,12,132.8271594,101.49357308,125.33434528,1689645.21935703,1498,26,0.916165929540949
"result.3572",3,15,13,132.891774789,101.861208087,124.796844345,1689314.57068248,1498,25.5,0.914171517927633
"result.2737",0,11,10,133.410045712,101.089055256,125.157877936,1687916.12383082,1500,26.5,0.905736345322331
"result.3777",0,12,14,132.14599448,100.81240816,126.69667512,1687847.5227083,1493,26,0.905322556046972
"result.4067",2,14,15,132.217197252,101.18663055,126.145999419,1687658.46870739,1493,25.5,0.904182217300767
"result.3522",1,12,13,132.8271594,100.81240816,126.0155102,1687426.54311335,1497,26,0.90278328503889
"result.3812",3,14,14,132.891774789,101.18663055,125.471421882,1687198.01403405,1497,25.5,0.901404839925362
"result.3953",0,7,15,133.410045712,98.338332664,128.596281176,1687095.95078717,1500,26.5,0.900789213308555
"result.3267",2,12,12,133.50832432,100.81240816,125.33434528,1686912.01249729,1500,26,0.899679731584567
"result.3557",4,14,13,133.566352326,101.18663055,124.796844345,1686645.46842605,1500,25.5,0.898071987074878
"result.1521",0,15,5,133.410045712,103.839777848,121.719474696,1686212.6875094,1499,26.5,0.895461532678337
"result.2977",0,10,11,133.410045712,100.401374608,125.845558584,1685644.87540226,1499,26.5,0.892036595130338
"result.4017",0,11,15,132.14599448,100.13124324,127.37784004,1685456.28275678,1492,26,0.890899039194754
"result.3762",1,11,14,132.8271594,100.13124324,126.69667512,1685084.60707835,1496,26,0.888657160286716
"result.2801",0,15,10,132.14599448,102.85590292,123.97201544,1685027.0858424,1492,26,0.888310202836662
"result.4052",3,13,15,132.891774789,100.512053013,126.145999419,1684960.51129143,1496,25.5,0.88790863746582
"result.3507",2,11,13,133.50832432,100.13124324,126.0155102,1684620.01248031,1499,26,0.88585481165167
"result.1761",0,14,6,133.410045712,103.1520972,122.407155344,1684509.25118797,1499,26.5,0.885186720034341
"result.3797",4,13,14,133.566352326,100.512053013,125.471421882,1684457.38781836,1499,25.5,0.884873889786962
"result.2546",1,15,9,132.8271594,102.85590292,123.29085052,1684406.67822611,1495,26,0.884568018911088
"result.2291",2,15,8,133.50832432,102.85590292,122.6096856,1683690.82328424,1499,26,0.880250114381577
"result.3217",0,9,12,133.410045712,99.71369396,126.533239232,1683247.44650543,1498,26.5,0.877575747705457
"result.3041",0,14,11,132.14599448,102.174738,124.65318036,1683065.04280525,1491,26,0.876475522342535
"result.4087",6,15,15,133.5868,100.858034,124.903658,1682864.70718104,1499,25,0.875267134932463
"result.2001",0,13,7,133.410045712,102.464416552,123.094835992,1682679.63439829,1498,26.5,0.874150810157459
"result.4002",1,10,15,132.8271594,99.45007832,127.37784004,1682619.41125203,1494,26,0.873787555284429
"result.2786",1,14,10,132.8271594,102.174738,123.97201544,1682496.15146072,1494,26,0.873044075034315
"result.3747",2,10,14,133.50832432,99.45007832,126.69667512,1682204.12057052,1498,26,0.871282598749428
"result.4037",4,12,15,133.566352326,99.837475476,126.145999419,1682147.74717691,1498,25.5,0.870942564871941
"result.2531",2,14,9,133.50832432,102.174738,123.29085052,1681832.44489209,1498,26,0.869040719841391
"result.4081",0,15,15,130.868042178,101.861208087,126.145999419,1681573.71368416,1483,25.5,0.867480101077271
"result.3826",1,15,14,131.542619715,101.861208087,125.471421882,1681202.89418723,1487,25.5,0.865243386497614
"result.3281",0,13,12,132.14599448,101.49357308,125.33434528,1680980.37207828,1490,26,0.863901174317523
"result.3571",2,15,13,132.217197252,101.861208087,124.796844345,1680739.36981607,1490,25.5,0.86244749327304
"result.2241",0,12,8,133.410045712,101.776735904,123.78251664,1680723.83714036,1497,26.5,0.862353803047687
"result.3457",0,8,13,133.410045712,99.026013312,127.22091988,1680723.83714036,1497,26.5,0.862353803047687
"result.3026",1,13,11,132.8271594,101.49357308,124.65318036,1680462.36490401,1494,26,0.860776650907426
"result.3316",3,15,12,132.891774789,101.861208087,124.122266808,1680183.14057068,1494,25.5,0.859092421403553
"result.1986",1,12,7,134.09772636,101.776735904,123.094835992,1680001.87672922,1500,26.5,0.857999071457449
"result.2771",2,13,10,133.50832432,101.49357308,123.97201544,1679850.17460714,1497,26,0.857084032331859
"result.3987",2,9,15,133.50832432,98.7689134,127.37784004,1679664.33676792,1497,26,0.855963092877841
"result.3061",4,15,11,133.566352326,101.861208087,123.447689271,1679534.20645106,1497,25.5,0.855178170889152
"result.4066",1,14,15,131.542619715,101.18663055,126.145999419,1679047.96631602,1486,25.5,0.852245260380726
"result.3521",0,12,13,132.14599448,100.81240816,126.0155102,1678773.07366148,1489,26,0.850587158761629
"result.2481",0,11,9,133.410045712,101.089055256,124.470197288,1678641.85941417,1496,26.5,0.849795698705026
"result.3811",2,14,14,132.217197252,101.18663055,125.471421882,1678633.55711002,1489,25.5,0.849745620742864
"result.3266",1,12,12,132.8271594,100.81240816,125.33434528,1678305.31855598,1493,26,0.847765746530425
"result.3556",3,14,13,132.891774789,101.18663055,124.796844345,1678127.05696935,1493,25.5,0.84669050562992
"result.3697",0,7,14,133.410045712,98.338332664,127.908600528,1678074.04730703,1496,26.5,0.846370761157029
"result.2226",1,11,8,134.09772636,101.089055256,123.78251664,1677972.5826006,1500,26.5,0.845758744825428
"result.3011",2,12,11,133.50832432,100.81240816,124.65318036,1677744.01242937,1496,26,0.844380051852981
"result.3442",1,7,13,134.09772636,98.338332664,127.22091988,1677655.505393,1499,26.5,0.843846193789175
"result.3301",4,14,12,133.566352326,101.18663055,124.122266808,1677528.46589402,1496,25.5,0.843079915041896
"result.2756",3,12,10,134.18948924,100.81240816,123.97201544,1677089.15528166,1500,26,0.840430074729297
"result.3046",5,14,11,134.240929863,101.18663055,123.447689271,1676837.78388401,1500,25.5,0.838913848978792
"result.1265",0,15,4,133.410045712,103.839777848,121.031794048,1676686.06215624,1495,26.5,0.837998691595255
"result.3972",3,8,15,134.18948924,98.08774848,127.37784004,1676591.05930445,1499,26,0.837425651974989
"result.3761",0,11,14,132.14599448,100.13124324,126.69667512,1676443.14755487,1488,26,0.836533475674851
"result.2721",0,10,10,133.410045712,100.401374608,125.157877936,1676433.70121973,1495,26.5,0.836476497129478
"result.4051",2,13,15,132.217197252,100.512053013,126.145999419,1676407.41224934,1488,25.5,0.836317926925247
"result.3506",1,11,13,132.8271594,100.13124324,126.0155102,1676025.01241664,1492,26,0.83401136190331
"result.3796",3,13,14,132.891774789,100.512053013,125.471421882,1675950.02727382,1492,25.5,0.833559065399013
"result.2466",1,10,9,134.09772636,100.401374608,124.470197288,1675816.45758894,1499,26.5,0.832753397778905
"result.2545",0,15,9,132.14599448,102.85590292,123.29085052,1675768.69526085,1488,26,0.832465304254995
"result.1010",1,15,3,134.09772636,103.839777848,120.3441134,1675753.04214742,1499,26.5,0.832370887571654
"result.3251",2,11,12,133.50832432,100.13124324,125.33434528,1675513.9583588,1495,26,0.830928778404758
"result.3541",4,13,13,133.566352326,100.512053013,124.796844345,1675401.16530321,1495,25.5,0.830248431567534
"result.3937",0,6,15,133.410045712,97.650652016,128.596281176,1675298.07700545,1494,26.5,0.829626622033482
"result.2290",1,15,8,132.8271594,102.85590292,122.6096856,1675100.56398177,1491,26,0.828435260027451
"result.1505",0,14,5,133.410045712,103.1520972,121.719474696,1675045.71606894,1494,26.5,0.828104427567705
"result.3682",1,6,14,134.09772636,97.650652016,127.908600528,1674928.64140767,1498,26.5,0.827398254877396
"result.2996",3,11,11,134.18948924,100.13124324,124.65318036,1674909.98538135,1499,26,0.827285725179198
"result.3286",5,13,12,134.240929863,100.512053013,124.122266808,1674760.82633749,1499,25.5,0.826386025430806
"result.4086",5,15,15,132.918866,100.858034,124.903658,1674450.38364514,1491,25,0.824513492562665
"result.2035",2,15,7,133.50832432,102.85590292,121.92852068,1674336.9853771,1495,26,0.823829495195974
"result.1250",1,14,4,134.09772636,103.1520972,121.031794048,1674167.65610944,1498,26.5,0.822808132390388
"result.2961",0,9,11,133.410045712,99.71369396,125.845558584,1674099.36255703,1494,26.5,0.822396198321041
"result.4001",0,10,15,132.14599448,99.45007832,127.37784004,1673990.59375843,1487,26,0.82174012505719
"result.2785",0,14,10,132.14599448,102.174738,123.97201544,1673867.96606861,1487,26,0.821000457526307
"result.3831",6,15,14,133.5868,100.858034,124.235724,1673865.43067205,1495,25,0.820985164483482
"result.4036",3,12,15,132.891774789,99.837475476,126.145999419,1673652.0514841,1491,25.5,0.819698100710835
"result.3746",1,10,14,132.8271594,99.45007832,126.69667512,1673621.44648598,1490,26,0.819513497026079
"result.2706",1,9,10,134.09772636,99.71369396,125.157877936,1673533.50169425,1498,26.5,0.818983030317881
"result.1780",3,15,6,134.18948924,102.85590292,121.24735576,1673477.95944686,1498,26,0.818648009760561
"result.1745",0,13,6,133.410045712,102.464416552,122.407155344,1673279.18951339,1494,26.5,0.817449066307266
"result.2530",1,14,9,132.8271594,102.174738,123.29085052,1673251.66711203,1490,26,0.817283056275736
"result.3576",7,15,13,134.254734,100.858034,123.56779,1673190.48493388,1498,25,0.816914016699808
"result.3491",2,10,13,133.50832432,99.45007832,126.0155102,1673160.01239541,1494,26,0.816730211987189
"result.3781",4,12,14,133.566352326,99.837475476,125.471421882,1673152.30467864,1494,25.5,0.816683720466064
"result.3236",3,10,12,134.18948924,99.45007832,125.33434528,1672606.29148673,1498,26,0.813390269940522
"result.3825",0,15,14,130.868042178,101.861208087,125.471421882,1672581.34088371,1479,25.5,0.813239772520564
"result.465",0,13,1,134.6638681,103.42740385,120.08685145,1672561.77368467,1500,27,0.813121746797201
"result.3526",5,12,13,134.240929863,99.837475476,124.796844345,1672561.69481764,1498,25.5,0.813121271085879
"result.2275",2,14,8,133.50832432,102.174738,122.6096856,1672540.55293136,1494,26,0.81299374714046
"result.1921",0,8,7,134.6638681,99.9566856,124.25171335,1672496.887865,1500,27,0.812730367541048
"result.1490",1,13,5,134.09772636,102.464416552,121.719474696,1672455.43918842,1497,26.5,0.812480356794621
"result.3570",1,15,13,131.542619715,101.861208087,124.796844345,1672164.16894966,1483,25.5,0.810723468618449
"result.3922",1,5,15,134.09772636,96.962971368,128.596281176,1672074.9465393,1497,26.5,0.810185295551116
"result.3025",0,13,11,132.14599448,101.49357308,124.65318036,1671844.60918655,1486,26,0.808795943266738
"result.2020",3,14,7,134.18948924,102.174738,121.92852068,1671734.62352661,1497,26,0.808132530120481
"result.4071",6,14,15,133.5868,100.1901,124.903658,1671719.90779574,1494,25,0.808043767555247
"result.3315",2,15,12,132.217197252,101.861208087,124.122266808,1671654.29214139,1486,25.5,0.807647986071419
"result.3201",0,8,12,133.410045712,99.026013312,126.533239232,1671638.84342609,1493,26.5,0.807554802279716
"result.1235",2,13,4,134.785407008,102.464416552,121.031794048,1671534.77706052,1500,26.5,0.806927093221664
"result.3137",0,4,12,134.6638681,97.180111,127.7224316,1671458.71475025,1500,27,0.80646829944262
"result.1985",0,12,7,133.410045712,101.776735904,123.094835992,1671386.48248958,1493,26.5,0.806032607813939
