"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,110.6420014,108.27110137,134.3510017,1609435.16648261,1334,40,1
"result.3840",15,15,14,110.6420014,108.27110137,133.56070169,1599967.90079741,1330,40,0.978614038021966
"result.4095",14,15,15,109.85170139,108.27110137,134.3510017,1597939.20100773,1324,40,0.974031331883816
"result.4080",15,14,15,110.6420014,107.48080136,134.3510017,1597687.46453748,1329,40,0.973462674917768
"result.3584",15,15,13,110.6420014,108.27110137,132.77040168,1590500.63511222,1326,40,0.957228076043932
"result.3839",14,15,14,109.85170139,108.27110137,133.56070169,1588539.55864886,1320,40,0.952798126777053
"result.3824",15,14,14,110.6420014,107.48080136,133.56070169,1588289.30298137,1325,40,0.952232814851982
"result.4094",13,15,15,109.06140138,108.27110137,134.3510017,1586443.23553285,1315,40,0.948062663767631
"result.4079",14,14,15,109.85170139,107.48080136,134.3510017,1586275.41121935,1320,40,0.947683559123599
"result.4064",15,13,15,110.6420014,106.69050135,134.3510017,1585939.76259235,1324,40,0.946925349835536
"result.3328",15,15,12,110.6420014,108.27110137,131.98010167,1581033.36942703,1322,40,0.935842114065897
"result.3583",14,15,13,109.85170139,108.27110137,132.77040168,1579139.91628999,1317,40,0.93156492167029
"result.3568",15,14,13,110.6420014,107.48080136,132.77040168,1578891.14142527,1321,40,0.931002954786196
"result.3838",13,15,14,109.06140138,108.27110137,133.56070169,1577111.21650031,1311,40,0.92698221553214
"result.3823",14,14,14,109.85170139,107.48080136,133.56070169,1576944.37938865,1316,40,0.926605340915426
"result.3808",15,13,14,110.6420014,106.69050135,133.56070169,1576610.70516533,1320,40,0.925851591681998
"result.4093",12,15,15,108.27110137,108.27110137,134.3510017,1574947.27005798,1305,40,0.922093995651447
"result.4078",13,14,15,109.06140138,107.48080136,134.3510017,1574863.35790123,1310,40,0.921904443329431
"result.4063",14,13,15,109.85170139,106.69050135,134.3510017,1574611.62143097,1315,40,0.921335786363383
"result.4048",15,12,15,110.6420014,105.90020134,134.3510017,1574192.06064722,1319,40,0.920388024753304
"result.3072",15,15,11,110.6420014,108.27110137,131.18980166,1571566.10374184,1318,40,0.914456152087863
"result.3327",14,15,12,109.85170139,108.27110137,131.98010167,1569740.27393112,1313,40,0.910331716563528
