"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,139.88310177,73.49790093,113.01290143,1161898.56326818,1274,40,1
"result.4095",14,15,15,139.09280176,73.49790093,113.01290143,1155334.16460565,1267,40,0.981943341276145
"result.3840",15,15,14,139.88310177,73.49790093,112.22260142,1153773.39849008,1270,40,0.977650149691452
"result.4080",15,14,15,139.88310177,72.70760092,113.01290143,1149405.03032981,1267,40,0.965634101138469
"result.4094",13,15,15,138.30250175,73.49790093,113.01290143,1148769.76594312,1260,40,0.96388668255229
"result.3839",14,15,14,139.09280176,73.49790093,112.22260142,1147254.9047133,1263,40,0.959719761308323
"result.3584",15,15,13,139.88310177,73.49790093,111.43230141,1145648.23371198,1265,40,0.955300299382905
"result.4079",14,14,15,139.09280176,72.70760092,113.01290143,1142911.21659914,1260,40,0.947771600035301
"result.4093",12,15,15,137.51220174,73.49790093,113.01290143,1142205.36728059,1253,40,0.945830023828435
"result.3824",15,14,14,139.88310177,72.70760092,112.22260142,1141367.23291492,1263,40,0.943524571800981
"result.3838",13,15,14,138.30250175,73.49790093,112.22260142,1140736.41093652,1256,40,0.941789372925195
"result.3583",14,15,13,139.09280176,73.49790093,111.43230141,1139175.64482096,1258,40,0.937496181340502
"result.3328",15,15,12,139.88310177,73.49790093,110.6420014,1137523.06893388,1261,40,0.932950449074357
"result.4064",15,13,15,139.88310177,71.91730091,113.01290143,1136911.49739145,1261,40,0.931268202276939
"result.4078",13,14,15,138.30250175,72.70760092,113.01290143,1136417.40286846,1253,40,0.929909098932133
"result.4092",11,15,15,136.72190173,73.49790093,113.01290143,1135640.96861805,1246,40,0.92777336510458
"result.3823",14,14,14,139.09280176,72.70760092,112.22260142,1134918.83046907,1256,40,0.92578698329294
"result.3837",12,15,14,137.51220174,73.49790093,112.22260142,1134217.91715974,1248,40,0.923858984542066
"result.3568",15,14,13,139.88310177,72.70760092,111.43230141,1133329.43550003,1259,40,0.921415042463494
"result.3582",13,15,13,138.30250175,73.49790093,111.43230141,1132703.05592993,1251,40,0.9196920632981
"result.3327",14,15,12,139.09280176,73.49790093,110.6420014,1131096.38492861,1254,40,0.915272601372681
"result.4063",14,13,15,139.09280176,71.91730091,113.01290143,1130488.26859263,1253,40,0.913599858794457
"result.4077",12,14,15,137.51220174,72.70760092,113.01290143,1129923.58913778,1246,40,0.912046597828965
"result.3072",15,15,11,139.88310177,73.49790093,109.85170139,1129397.90415579,1256,40,0.910600598765809
"result.4091",10,15,15,135.93160172,73.49790093,113.01290143,1129076.56995552,1238,40,0.909716706380725
"result.3808",15,13,14,139.88310177,71.91730091,112.22260142,1128961.06733976,1256,40,0.90939899391051
"result.3822",13,14,14,138.30250175,72.70760092,112.22260142,1128470.42802323,1249,40,0.908049394784899
"result.3836",11,15,14,136.72190173,73.49790093,112.22260142,1127699.42338296,1241,40,0.905928596158938
"result.3567",14,14,13,139.09280176,72.70760092,111.43230141,1126926.44433901,1251,40,0.903802366550579
"result.3581",12,15,13,137.51220174,73.49790093,111.43230141,1126230.4670389,1244,40,0.901887945255697
"result.3312",15,14,12,139.88310177,72.70760092,110.6420014,1125291.63808513,1254,40,0.899305513126006
"result.3326",13,15,12,138.30250175,73.49790093,110.6420014,1124669.70092333,1247,40,0.897594753671005
"result.4048",15,12,15,139.88310177,71.1270009,113.01290143,1124417.96445308,1254,40,0.896902303415409
"result.4062",13,13,15,138.30250175,71.91730091,113.01290143,1124065.0397938,1246,40,0.895931515311976
"result.4076",11,14,15,136.72190173,72.70760092,113.01290143,1123429.77540711,1239,40,0.894184096725796
"result.3071",14,15,11,139.09280176,73.49790093,109.85170139,1123017.12503626,1249,40,0.893049021404859
"result.3807",14,13,14,139.09280176,71.91730091,112.22260142,1122582.75622484,1249,40,0.891854205277557
"result.4090",9,15,15,135.14130171,73.49790093,113.01290143,1122512.17129299,1231,40,0.891660047656871
"result.3821",12,14,14,137.51220174,72.70760092,112.22260142,1122022.02557738,1242,40,0.890311806276858
"result.2816",15,15,10,139.88310177,73.49790093,109.06140138,1121272.73937769,1252,40,0.888250748457261
"result.3835",10,15,14,135.93160172,73.49790093,112.22260142,1121180.92960618,1234,40,0.887998207775809
"result.3552",15,13,13,139.88310177,71.91730091,111.43230141,1121010.63728807,1252,40,0.887529785544082
"result.3566",13,14,13,138.30250175,72.70760092,111.43230141,1120523.45317799,1244,40,0.886189690637665
"result.3580",11,15,13,136.72190173,73.49790093,111.43230141,1119757.87814787,1237,40,0.884083827213295
"result.3311",14,14,12,139.09280176,72.70760092,110.6420014,1118934.05820895,1247,40,0.881817749808218
"result.3325",12,15,12,137.51220174,73.49790093,110.6420014,1118243.01691806,1240,40,0.879916905969328
"result.4047",14,12,15,139.09280176,71.1270009,113.01290143,1118065.32058611,1247,40,0.879428117553614
"result.4061",12,13,15,137.51220174,71.91730091,113.01290143,1117641.81099498,1239,40,0.878263171829494
"result.3056",15,14,11,139.88310177,72.70760092,109.85170139,1117253.84067024,1250,40,0.877195983788517
"result.4075",10,14,15,135.93160172,72.70760092,113.01290143,1116935.96167643,1232,40,0.876321595622628
"result.3070",13,15,11,138.30250175,73.49790093,109.85170139,1116636.34591674,1242,40,0.875497444043909
"result.3792",15,12,14,139.88310177,71.1270009,112.22260142,1116554.9017646,1249,40,0.87527341602004
"result.3806",13,13,14,138.30250175,71.91730091,112.22260142,1116204.44510993,1242,40,0.874309416644603
"result.4089",8,15,15,134.3510017,73.49790093,113.01290143,1115947.77263046,1224,40,0.873603388933015
"result.3820",11,14,14,136.72190173,72.70760092,112.22260142,1115573.62313153,1235,40,0.872574217768817
"result.2815",14,15,10,139.09280176,73.49790093,109.06140138,1114937.86514391,1245,40,0.870825441437038
"result.3551",14,13,13,139.09280176,71.91730091,111.43230141,1114677.24385706,1245,40,0.870108551760657
"result.3834",9,15,14,135.14130171,73.49790093,112.22260142,1114662.4358294,1227,40,0.870067819392681
"result.3565",12,14,13,137.51220174,72.70760092,111.43230141,1114120.46201698,1237,40,0.868577014724751
"result.3579",10,15,13,135.93160172,73.49790093,111.43230141,1113285.28925684,1230,40,0.866279709170892
"result.2560",15,15,9,139.88310177,73.49790093,108.27110137,1113147.57459959,1247,40,0.865900898148713
"result.3296",15,13,12,139.88310177,71.91730091,110.6420014,1113060.20723638,1247,40,0.865660577177654
"result.3310",13,14,12,138.30250175,72.70760092,110.6420014,1112576.47833276,1240,40,0.864329986490431
"result.4032",15,11,15,139.88310177,70.33670089,113.01290143,1111924.43151471,1247,40,0.862536404553878
"result.3324",11,15,12,136.72190173,73.49790093,110.6420014,1111816.33291278,1232,40,0.862239058267652
"result.4046",13,12,15,138.30250175,71.1270009,113.01290143,1111712.67671915,1239,40,0.861953931691819
"result.4060",11,13,15,136.72190173,71.91730091,113.01290143,1111218.58219616,1232,40,0.860594828347012
"result.3055",14,14,11,139.09280176,72.70760092,109.85170139,1110941.67207888,1243,40,0.859833133065857
"result.4074",9,14,15,135.14130171,72.70760092,113.01290143,1110442.14794575,1225,40,0.85845909451946
"result.3069",12,15,11,137.51220174,73.49790093,109.85170139,1110255.56679721,1235,40,0.857945866682959
"result.3791",14,12,14,139.09280176,71.1270009,112.22260142,1110246.68198062,1242,40,0.857921427262174
"result.3805",12,13,14,137.51220174,71.91730091,112.22260142,1109826.13399502,1235,40,0.856764628011649
"result.4088",7,15,15,133.56070169,73.49790093,113.01290143,1109383.37396793,1217,40,0.855546730209161
"result.2800",15,14,10,139.88310177,72.70760092,109.06140138,1109216.04325535,1245,40,0.855086454451029
"result.3819",10,14,14,135.93160172,72.70760092,112.22260142,1109125.22068569,1227,40,0.854836629260775
"result.3536",15,12,13,139.88310177,71.1270009,111.43230141,1108691.83907611,1245,40,0.853644528624671
"result.2814",13,15,10,138.30250175,73.49790093,109.06140138,1108602.99091014,1238,40,0.853400134416814
"result.3550",13,13,13,138.30250175,71.91730091,111.43230141,1108343.85042606,1238,40,0.852687317977231
