"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,117.75470149,90.09420114,120.12560152,1274414.3998518,1225,40,1
"result.3840",15,15,14,117.75470149,90.09420114,119.33530151,1266030.09458962,1220,40,0.977779521996781
"result.4095",14,15,15,116.96440148,90.09420114,120.12560152,1265861.28307427,1216,40,0.97733212982222
"result.4080",15,14,15,117.75470149,89.30390113,120.12560152,1263235.32616889,1219,40,0.970372695995709
"result.3584",15,15,13,117.75470149,90.09420114,118.5450015,1257645.78932743,1216,40,0.955559043993564
"result.3839",14,15,14,116.96440148,90.09420114,119.33530151,1257533.2483172,1212,40,0.955260782543856
"result.4094",13,15,15,116.17410147,90.09420114,120.12560152,1257308.16629674,1208,40,0.954664259644441
"result.3824",15,14,14,117.75470149,89.30390113,119.33530151,1254924.56744409,1215,40,0.948347134466203
"result.4079",14,14,15,116.96440148,89.30390113,120.12560152,1254757.23673151,1211,40,0.947903666784401
"result.4064",15,13,15,117.75470149,88.51360112,120.12560152,1252056.25248598,1214,40,0.940745391991418
"result.3328",15,15,12,117.75470149,90.09420114,117.75470149,1249261.48406525,1212,40,0.933338565990346
"result.3583",14,15,13,116.96440148,90.09420114,118.5450015,1249205.21356014,1208,40,0.933189435265492
"result.3838",13,15,14,116.17410147,90.09420114,119.33530151,1249036.40204479,1204,40,0.93274204309093
"result.4093",12,15,15,115.38380146,90.09420114,120.12560152,1248755.04951921,1200,40,0.931996389466661
"result.3568",15,14,13,117.75470149,89.30390113,118.5450015,1246613.8087193,1211,40,0.926321572936697
"result.3823",14,14,14,116.96440148,89.30390113,119.33530151,1246502.25491091,1207,40,0.926025927815496
"result.4078",13,14,15,116.17410147,89.30390113,120.12560152,1246279.14729414,1203,40,0.925434637573093
"result.3808",15,13,14,117.75470149,88.51360112,119.33530151,1243819.04029857,1210,40,0.918914746935625
"result.4063",14,13,15,116.96440148,88.51360112,120.12560152,1243653.19038876,1206,40,0.918475203746582
"result.3072",15,15,11,117.75470149,90.09420114,116.96440148,1240877.17880307,1208,40,0.911118087987128
"result.3327",14,15,12,116.96440148,90.09420114,117.75470149,1240877.17880307,1204,40,0.911118087987128
"result.4048",15,12,15,117.75470149,87.72330111,120.12560152,1240877.17880307,1208,40,0.911118087987128
"result.3582",13,15,13,116.17410147,90.09420114,118.5450015,1240764.63779284,1200,40,0.91081982653742
"result.3837",12,15,14,115.38380146,90.09420114,119.33530151,1240539.55577238,1196,40,0.910223303638004
"result.4092",11,15,15,114.59350145,90.09420114,120.12560152,1240201.93274168,1192,40,0.909328519288882
"result.3312",15,14,12,117.75470149,89.30390113,117.75470149,1238303.0499945,1207,40,0.904296011407192
"result.3567",14,14,13,116.96440148,89.30390113,118.5450015,1238247.27309031,1203,40,0.904148188846592
"result.3822",13,14,14,116.17410147,89.30390113,119.33530151,1238079.94237773,1199,40,0.903704721164789
"result.4077",12,14,15,115.38380146,89.30390113,120.12560152,1237801.05785676,1195,40,0.902965608361785
"result.3552",15,13,13,117.75470149,88.51360112,118.5450015,1235581.82811116,1206,40,0.897084101879832
"result.3807",14,13,14,116.96440148,88.51360112,119.33530151,1235471.26150462,1202,40,0.896791073087136
"result.4062",13,13,15,116.17410147,88.51360112,120.12560152,1235250.12829154,1197,40,0.896205015501746
"result.3792",15,12,14,117.75470149,87.72330111,119.33530151,1232713.51315305,1204,40,0.889482359405046
"result.3071",14,15,11,116.96440148,90.09420114,116.96440148,1232549.144046,1200,40,0.889046740708763
"result.4047",14,12,15,116.96440148,87.72330111,120.12560152,1232549.144046,1200,40,0.889046740708763
"result.2816",15,15,10,117.75470149,90.09420114,116.17410147,1232492.87354089,1204,40,0.888897609983909
"result.3326",13,15,12,116.17410147,90.09420114,117.75470149,1232492.87354089,1196,40,0.888897609983909
"result.3581",12,15,13,115.38380146,90.09420114,118.5450015,1232324.06202554,1192,40,0.888450217809348
"result.3836",11,15,14,114.59350145,90.09420114,119.33530151,1232042.70949996,1188,40,0.887704564185079
"result.4091",10,15,15,113.80320144,90.09420114,120.12560152,1231648.81596416,1183,40,0.886660649111102
"result.3056",15,14,11,117.75470149,89.30390113,116.96440148,1229992.29126971,1203,40,0.882270449877686
"result.3311",14,14,12,116.96440148,89.30390113,117.75470149,1229992.29126971,1199,40,0.882270449877686
"result.3566",13,14,13,116.17410147,89.30390113,118.5450015,1229880.73746132,1195,40,0.881974804756485
"result.4032",15,11,15,117.75470149,86.9330011,120.12560152,1229698.10512016,1203,40,0.881490783982837
"result.3821",12,14,14,115.38380146,89.30390113,119.33530151,1229657.62984455,1191,40,0.881383514514082
"result.4076",11,14,15,114.59350145,89.30390113,120.12560152,1229322.96841939,1186,40,0.880496579150478
"result.3296",15,13,12,117.75470149,88.51360112,117.75470149,1227344.61592376,1202,40,0.875253456824039
"result.3551",14,13,13,116.96440148,88.51360112,118.5450015,1227289.33262048,1198,40,0.875106942427691
"result.3806",13,13,14,116.17410147,88.51360112,119.33530151,1227123.48271067,1193,40,0.874667399238648
"result.4061",12,13,15,115.38380146,88.51360112,120.12560152,1226847.06619431,1189,40,0.87393482725691
"result.3536",15,12,13,117.75470149,87.72330111,118.5450015,1224549.84750303,1200,40,0.867846630822966
"result.3791",14,12,14,116.96440148,87.72330111,119.33530151,1224440.26809833,1196,40,0.867556218358777
"result.2815",14,15,10,116.96440148,90.09420114,116.17410147,1224221.10928893,1196,40,0.866975393430399
"result.3070",13,15,11,116.17410147,90.09420114,116.96440148,1224221.10928893,1192,40,0.866975393430399
"result.4046",13,12,15,116.17410147,87.72330111,120.12560152,1224221.10928893,1192,40,0.866975393430399
"result.2560",15,15,9,117.75470149,90.09420114,115.38380146,1224108.5682787,1200,40,0.866677131980691
"result.3325",12,15,12,115.38380146,90.09420114,117.75470149,1224108.5682787,1188,40,0.866677131980691
"result.3580",11,15,13,114.59350145,90.09420114,118.5450015,1223883.48625824,1184,40,0.866080609081276
"result.3835",10,15,14,113.80320144,90.09420114,119.33530151,1223545.86322755,1180,40,0.865185824732153
"result.4090",9,15,15,113.01290143,90.09420114,120.12560152,1223095.69918663,1175,40,0.863992778933322
"result.3055",14,14,11,116.96440148,89.30390113,116.96440148,1221737.30944911,1195,40,0.860392710908782
"result.2800",15,14,10,117.75470149,89.30390113,116.17410147,1221681.53254491,1199,40,0.860244888348181
"result.3310",13,14,12,116.17410147,89.30390113,117.75470149,1221681.53254491,1191,40,0.860244888348181
"result.3776",15,11,14,117.75470149,86.9330011,119.33530151,1221607.98600752,1199,40,0.860049971874468
"result.3565",12,14,13,115.38380146,89.30390113,118.5450015,1221514.20183233,1187,40,0.859801420666379
"result.4031",14,11,15,116.96440148,86.9330011,120.12560152,1221445.09770324,1195,40,0.859618277670944
"result.3820",11,14,14,114.59350145,89.30390113,119.33530151,1221235.31731137,1182,40,0.859062307863375
"result.4075",10,14,15,113.80320144,89.30390113,120.12560152,1220844.87898201,1178,40,0.85802754993917
"result.3040",15,13,11,117.75470149,88.51360112,116.96440148,1219107.40373635,1198,40,0.853422811768245
"result.3295",14,13,12,116.96440148,88.51360112,117.75470149,1219107.40373635,1194,40,0.853422811768245
"result.3550",13,13,13,116.17410147,88.51360112,118.5450015,1218996.83712981,1190,40,0.85312978297555
"result.3805",12,13,14,115.38380146,88.51360112,119.33530151,1218775.70391672,1185,40,0.85254372539016
"result.4016",15,10,15,117.75470149,86.14270109,120.12560152,1218519.03143725,1197,40,0.851863479978546
"result.4060",11,13,15,114.59350145,88.51360112,120.12560152,1218444.00409709,1181,40,0.851664639012074
"result.3280",15,12,12,117.75470149,87.72330111,117.75470149,1216386.18185301,1196,40,0.846210902240885
"result.3535",14,12,13,116.96440148,87.72330111,118.5450015,1216331.39215066,1192,40,0.846065696008791
"result.3790",13,12,14,116.17410147,87.72330111,119.33530151,1216167.02304361,1188,40,0.845630077312507
"result.2814",13,15,10,116.17410147,90.09420114,116.17410147,1215949.34503698,1188,40,0.845053176876889
"result.2559",14,15,9,116.96440148,90.09420114,115.38380146,1215893.07453187,1192,40,0.844904046152035
"result.3069",12,15,11,115.38380146,90.09420114,116.96440148,1215893.07453187,1184,40,0.844904046152035
"result.4045",12,12,15,115.38380146,87.72330111,120.12560152,1215893.07453187,1184,40,0.844904046152035
"result.2304",15,15,8,117.75470149,90.09420114,114.59350145,1215724.26301652,1196,40,0.844456653977473
"result.3324",11,15,12,114.59350145,90.09420114,117.75470149,1215724.26301652,1180,40,0.844456653977473
"result.3579",10,15,13,113.80320144,90.09420114,118.5450015,1215442.91049094,1176,40,0.843711000353204
"result.3834",9,15,14,113.01290143,90.09420114,119.33530151,1215049.01695514,1171,40,0.842667085279227
"result.4089",8,15,15,112.22260142,90.09420114,120.12560152,1214542.5824091,1167,40,0.841324908755543
"result.3520",15,11,13,117.75470149,86.9330011,118.5450015,1213517.86689489,1195,40,0.8386091597661
"result.2799",14,14,10,116.96440148,89.30390113,116.17410147,1213482.3276285,1191,40,0.838514971939876
"result.3054",13,14,11,116.17410147,89.30390113,116.96440148,1213482.3276285,1187,40,0.838514971939876
"result.3775",14,11,14,116.96440148,86.9330011,119.33530151,1213409.27469204,1191,40,0.838321363630417
"result.2544",15,14,9,117.75470149,89.30390113,115.38380146,1213370.77382012,1195,40,0.838219326818675
"result.3309",12,14,12,115.38380146,89.30390113,117.75470149,1213370.77382012,1183,40,0.838219326818675
"result.4030",13,11,15,116.17410147,86.9330011,120.12560152,1213192.09028633,1187,40,0.837745771359051
"result.3564",11,14,13,114.59350145,89.30390113,118.5450015,1213147.66620334,1179,40,0.837628036576272
"result.3819",10,14,14,113.80320144,89.30390113,119.33530151,1212813.00477818,1174,40,0.836741101212668
"result.4074",9,14,15,113.01290143,89.30390113,120.12560152,1212366.78954464,1170,40,0.835558520727862
"result.3039",14,13,11,116.96440148,88.51360112,116.96440148,1210925.47485221,1190,40,0.8317386811088
"result.2784",15,13,10,117.75470149,88.51360112,116.17410147,1210870.19154894,1194,40,0.831592166712452
"result.3294",13,13,12,116.17410147,88.51360112,117.75470149,1210870.19154894,1186,40,0.831592166712452
"result.3549",12,13,13,115.38380146,88.51360112,118.5450015,1210704.34163913,1181,40,0.831152623523409
"result.3760",15,10,14,117.75470149,86.14270109,119.33530151,1210502.458862,1193,40,0.83061758434389
"result.3804",11,13,14,114.59350145,88.51360112,119.33530151,1210427.92512277,1177,40,0.830420051541671
"result.4015",14,10,15,116.96440148,86.14270109,120.12560152,1210341.05136049,1189,40,0.830189814633125
