"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,94.8360012,71.91730091,114.59350145,781567.699996491,860,40,1
"result.3840",15,15,14,94.8360012,71.91730091,113.80320144,776177.577927549,857,40,0.98
"result.4095",14,15,15,94.04570119,71.91730091,114.59350145,775054.635829853,853,40,0.975833333333333
"result.4080",15,14,15,94.8360012,71.1270009,114.59350145,772979.043952573,856,40,0.968131868131868
"result.3584",15,15,13,94.8360012,71.91730091,113.01290143,770787.455858608,854,40,0.96
"result.3839",14,15,14,94.04570119,71.91730091,113.80320144,769709.43144482,850,40,0.956
"result.4094",13,15,15,93.25540118,71.91730091,114.59350145,768541.571663216,846,40,0.951666666666667
"result.3824",15,14,14,94.8360012,71.1270009,113.80320144,767648.15399428,853,40,0.948351648351649
"result.4079",14,14,15,94.04570119,71.1270009,114.59350145,766537.551919635,849,40,0.944230769230769
"result.3328",15,15,12,94.8360012,71.91730091,112.22260142,765397.333789667,851,40,0.94
"result.4064",15,13,15,94.8360012,70.33670089,114.59350145,764390.387908656,851,40,0.936263736263736
"result.3583",14,15,13,94.04570119,71.91730091,113.01290143,764364.227059786,847,40,0.936166666666666
"result.3838",13,15,14,93.25540118,71.91730091,113.80320144,763241.28496209,843,40,0.932
"result.3568",15,14,13,94.8360012,71.1270009,113.01290143,762317.264035986,850,40,0.928571428571429
"result.4093",12,15,15,92.46510117,71.91730091,114.59350145,762028.507496579,839,40,0.9275
"result.3823",14,14,14,94.04570119,71.1270009,113.80320144,761251.086044327,846,40,0.924615384615385
"result.4078",13,14,15,93.25540118,71.1270009,114.59350145,760096.059886697,841,40,0.92032967032967
"result.3072",15,15,11,94.8360012,71.91730091,111.43230141,760007.211720725,848,40,0.92
"result.3808",15,13,14,94.8360012,70.33670089,113.80320144,759118.73006101,848,40,0.916703296703297
"result.3327",14,15,12,94.04570119,71.91730091,112.22260142,759019.022674753,844,40,0.916333333333333
"result.4063",14,13,15,94.04570119,70.33670089,114.59350145,758020.468009417,844,40,0.912628205128205
