"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,101.43527169,154.67080435,141.00222164,2212194.43918391,1497,29,1
"result.3825",0,15,14,101.43527169,155.39020344,140.28282255,2211144.51301438,1497,29,0.995274711848338
"result.3554",1,14,13,102.15467078,154.67080435,139.56342346,2205150.25367775,1500,29,0.968297002897365
"result.3314",1,15,12,102.15467078,155.39020344,138.84402437,2203987.14397789,1500,29,0.963062321980418
"result.4049",0,13,15,101.43527169,153.95140526,141.00222164,2201905.16272258,1494,29,0.95369217611372
"result.2769",0,13,10,102.305588832,155.272312128,138.584166432,2201440.70977305,1500,29.5,0.95160186340112
"result.3809",0,14,14,101.43527169,154.67080435,140.28282255,2200907.73286154,1494,29,0.949203152369642
"result.2529",0,14,9,102.305588832,155.99788368,137.85859488,2200148.0891087,1500,29.5,0.945784306617472
"result.3569",0,15,13,101.43527169,155.39020344,139.56342346,2199805.31038354,1493,29,0.944241599810397
"result.2289",0,15,8,102.305588832,156.723455232,137.133023328,2198747.75005566,1499,29.5,0.939481953435186
"result.4018",1,11,15,102.15467078,152.51260708,141.00222164,2196797.01128789,1498,29,0.930702476312021
"result.4083",2,15,15,101.982594428,154.043639136,139.780339216,2195916.97600179,1496,28.5,0.926741797522249
"result.3778",1,12,14,102.15467078,153.23200617,140.28282255,2195898.24470164,1497,29,0.926657495603472
"result.3953",0,7,15,102.305588832,150.918882816,142.212024192,2195731.63517218,1498,29.5,0.92590765427334
"result.3713",0,8,14,102.305588832,151.644454368,141.48645264,2195031.46564566,1498,29.5,0.922756477682198
"result.3538",1,13,13,102.15467078,153.95140526,139.56342346,2194893.74086994,1497,29,0.922136634811564
"result.3473",0,9,13,102.305588832,152.37002592,140.760881088,2194223.57773044,1498,29.5,0.919120504692419
"result.3298",1,14,12,102.15467078,154.67080435,138.84402437,2193783.49979281,1497,29,0.917139893936296
"result.3233",0,10,12,102.305588832,153.095597472,140.035309536,2193307.97142653,1497,29.5,0.914999735304001
"result.3058",1,15,11,102.15467078,155.39020344,138.12462528,2192567.52147024,1496,29,0.911667272977669
"result.2993",0,11,11,102.305588832,153.821169024,139.309737984,2192284.64673392,1497,29.5,0.910394169516946
"result.4033",0,12,15,101.43527169,153.23200617,141.00222164,2191615.88626126,1490,29,0.907384352227441
"result.2753",0,12,10,102.305588832,154.546740576,138.584166432,2191153.60365261,1497,29.5,0.905303807331253
"result.4052",3,13,15,102.695759424,152.617309144,139.780339216,2190798.28841204,1499,28.5,0.90370467879714
"result.3793",0,13,14,101.43527169,153.95140526,140.28282255,2190670.95270869,1490,29,0.903131592890946
"result.2513",0,13,9,102.305588832,155.272312128,137.85859488,2189914.84218261,1496,29.5,0.899728648746925
"result.3812",3,14,14,102.695759424,153.33047414,139.06717422,2189805.8897977,1499,28.5,0.899238298636148
"result.3507",2,11,13,102.87406987,152.51260708,139.56342346,2189693.25550261,1500,29,0.898731377753973
"result.3553",0,14,13,101.43527169,154.67080435,139.56342346,2189621.02653917,1490,29,0.898406304739285
"result.3572",3,15,13,102.695759424,154.043639136,138.354009224,2188709.02817133,1499,28.5,0.894301773195053
"result.3267",2,12,12,102.87406987,153.23200617,138.84402437,2188681.67770027,1500,29,0.894178679914235
"result.2273",0,14,8,102.305588832,155.99788368,137.133023328,2188568.36232392,1496,29.5,0.893668693763959
"result.3313",0,15,12,101.43527169,155.39020344,138.84402437,2188466.1077527,1489,29,0.893208487772456
"result.3027",2,13,11,102.87406987,153.95140526,138.12462528,2187563.618024,1500,29,0.889146750722944
"result.2033",0,15,7,102.305588832,156.723455232,136.407451776,2187114.16407653,1495,29.5,0.887123942382355
"result.4002",1,10,15,102.15467078,151.79320799,141.00222164,2186434.76123464,1494,29,0.884066228142861
