"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.2801",0,15,10,143.761966572,90.013123214,121.096791662,1567048.62585433,1500,23.5,1
"result.3777",0,12,14,143.761966572,88.070393936,123.687097366,1566023.74120695,1500,23.5,0.993364628936125
"result.4082",1,15,15,142.86560785,89.05076005,123.0053664,1564910.0614801,1495,23,0.986154375320987
"result.3041",0,14,11,143.761966572,89.365546788,121.744368088,1564094.54657657,1499,23.5,0.980874518698244
"result.3827",2,15,14,143.5062608,89.05076005,122.36471345,1563740.47249544,1498,23,0.978582150558665
"result.4017",0,11,15,143.761966572,87.42281751,124.334673792,1562647.65060379,1498,23.5,0.971506936019832
"result.3572",3,15,13,144.14691375,89.05076005,121.7240605,1562497.78419923,1500,23,0.970536661748699
"result.3281",0,13,12,143.761966572,88.717970362,122.391944514,1561019.89263441,1498,23.5,0.960968405506619
"result.4067",2,14,15,143.5062608,88.4101071,123.0053664,1560618.76376659,1496,23,0.958371392380096
"result.3026",1,13,11,144.409542998,88.717970362,121.744368088,1559754.94491646,1500,23.5,0.952778803382738
"result.3812",3,14,14,144.14691375,88.4101071,122.36471345,1559421.30238256,1499,23,0.950618714419753
"result.2545",0,15,9,143.761966572,90.013123214,120.449215236,1558668.68667864,1496,23.5,0.945746083654201
"result.4002",1,10,15,144.409542998,86.775241084,124.334673792,1558059.29580722,1499,23.5,0.941800727886492
"result.4081",0,15,15,142.2249549,89.05076005,123.0053664,1557892.52757212,1488,23,0.940721026747061
"result.3521",0,12,13,143.761966572,88.070393936,123.03952094,1557824.66402785,1496,23.5,0.940281660425128
"result.2290",1,15,8,144.409542998,90.013123214,119.80163881,1557272.03014936,1499,23.5,0.936703764263234
"result.3826",1,15,14,142.86560785,89.05076005,122.36471345,1556759.48824323,1491,23,0.933385434008562
"result.3266",1,12,12,144.409542998,88.070393936,122.391944514,1556605.88228501,1499,23.5,0.932390948889709
"result.4052",3,13,15,144.14691375,87.76945415,123.0053664,1556226.49434217,1497,23,0.92993469219354
"result.2785",0,14,10,143.761966572,89.365546788,121.096791662,1555774.89473308,1495,23.5,0.927010918297379
"result.3571",2,15,13,143.5062608,89.05076005,121.7240605,1555553.34960279,1494,23,0.925576577222419
"result.3797",4,13,14,144.7875667,87.76945415,122.36471345,1555001.6864531,1500,23,0.922004965812493
"result.3761",0,11,14,143.761966572,87.42281751,123.687097366,1554508.86075689,1494,23.5,0.918814283453768
"result.2530",1,14,9,144.409542998,89.365546788,120.449215236,1554425.7620017,1498,23.5,0.918276280394536
"result.3316",3,15,12,144.14691375,89.05076005,121.08340755,1554274.11165082,1496,23,0.91729445638863
"result.4066",1,14,15,142.86560785,88.4101071,123.0053664,1553651.71571406,1489,23,0.913264902429005
"result.3506",1,11,13,144.409542998,87.42281751,123.03952094,1553335.70186004,1497,23.5,0.911218946146948
"result.2275",2,14,8,145.057119424,89.365546788,119.80163881,1553001.67745191,1500,23.5,0.909056384830424
"result.3061",4,15,11,144.7875667,89.05076005,120.4427546,1552921.7743873,1499,23,0.908539071507197
"result.3025",0,13,11,143.761966572,88.717970362,121.744368088,1552760.52812312,1494,23.5,0.907495121050689
"result.3811",2,14,14,143.5062608,88.4101071,122.36471345,1552490.54103864,1492,23,0.905747154103823
"result.3251",2,11,12,145.057119424,87.42281751,122.391944514,1552089.22053214,1500,23.5,0.903148900258452
"result.4037",4,12,15,144.7875667,87.1288012,123.0053664,1551733.25320684,1498,23,0.900844274761313
"result.2770",1,13,10,144.409542998,88.717970362,121.096791662,1551458.37606053,1496,23.5,0.899064648276104
"result.3556",3,14,13,144.14691375,88.4101071,121.7240605,1551256.792946,1495,23,0.897759546508317
"result.4001",0,10,15,143.761966572,86.775241084,124.334673792,1551072.48282154,1493,23.5,0.896566274592542
"result.2289",0,15,8,143.761966572,90.013123214,119.80163881,1550288.74750295,1492,23.5,0.891492167308402
"result.2515",2,13,9,145.057119424,88.717970362,120.449215236,1550081.81530864,1499,23.5,0.890152434200116
"result.3301",4,14,12,144.7875667,88.4101071,121.08340755,1549950.47143615,1498,23,0.889302079642487
"result.3746",1,10,14,144.409542998,86.775241084,123.687097366,1549944.40364156,1496,23.5,0.889262795154455
"result.3825",0,15,14,142.2249549,89.05076005,122.36471345,1549778.50399102,1484,23,0.88818871745846
"result.3265",0,12,12,143.761966572,88.070393936,122.391944514,1549625.58684876,1492,23.5,0.88719869191413
"result.4051",2,13,15,143.5062608,87.76945415,123.0053664,1549309.93214509,1491,23,0.885155060865282
"result.2034",1,15,7,144.409542998,90.013123214,119.154062384,1548854.3434999,1495,23.5,0.882205460906869
"result.3491",2,10,13,145.057119424,86.775241084,123.03952094,1548743.54515964,1498,23.5,0.881488123494559
"result.3441",0,7,13,145.28470986,85.73106753,124.3427697,1548740.58400908,1500,24,0.881468952231889
"result.1729",0,12,6,145.28470986,89.00324568,119.76172029,1548616.13719638,1499,24,0.880663251041942
"result.3570",1,15,13,142.86560785,89.05076005,121.7240605,1548608.91500635,1487,23,0.880616492696139
"result.3046",5,14,11,145.42821965,88.4101071,120.4427546,1548571.57650909,1500,23,0.880374753506334
"result.3010",1,12,11,144.409542998,88.070393936,121.744368088,1548369.87232583,1495,23.5,0.879068867907941
"result.753",0,15,2,145.28470986,90.96655257,117.14397777,1548180.57335194,1499,24,0.877843296877126
"result.3796",3,13,14,144.14691375,87.76945415,122.36471345,1548121.14801747,1493,23,0.877458561730737
"result.4087",6,15,15,144.470953524,88.076590087,121.659750336,1548060.58237156,1495,22.5,0.877066443910118
"result.2705",0,9,10,145.28470986,87.03993879,122.37946281,1547558.33928846,1499,24,0.873814790927389
"result.2529",0,14,9,143.761966572,89.365546788,120.449215236,1547455.24288959,1491,23.5,0.873147317896514
"result.3315",2,15,12,143.5062608,89.05076005,121.08340755,1547366.22671015,1490,23,0.872571003886173
"result.1779",2,15,6,145.057119424,90.013123214,118.506485958,1547344.44454933,1498,23.5,0.872429980484202
"result.4022",5,11,15,145.42821965,86.48814825,123.0053664,1547139.04036061,1499,23,0.87110014008342
"result.2755",2,12,10,145.057119424,88.070393936,121.096791662,1547040.29224274,1498,23.5,0.870460818960213
"result.3541",4,13,13,144.7875667,87.76945415,121.7240605,1546860.31636696,1496,23,0.869295608103191
"result.3832",7,15,14,145.104598057,88.076590087,121.026105803,1546752.14300872,1498,22.5,0.86859526551051
"result.4065",0,14,15,142.2249549,88.4101071,123.0053664,1546684.66766153,1483,23,0.868158412477914
"result.3986",1,9,15,144.409542998,86.127664658,124.334673792,1546431.98762956,1494,23.5,0.866522495912232
"result.3505",0,11,13,143.761966572,87.42281751,123.03952094,1546370.07091,1491,23.5,0.866121630887704
"result.2274",1,14,8,144.409542998,89.365546788,119.80163881,1546068.634249,1494,23.5,0.864170051163036
"result.3060",3,15,11,144.14691375,89.05076005,120.4427546,1546050.4391024,1492,23,0.864052251028561
"result.1524",3,15,5,145.70469585,90.013123214,117.858909532,1545759.05065122,1500,23.5,0.862165726040404
"result.2500",3,12,9,145.70469585,88.070393936,120.449215236,1545636.84659947,1500,23.5,0.861374545070942
"result.993",0,14,3,145.28470986,90.31211694,117.7984134,1545629.41369166,1498,24,0.861326422483202
"result.1969",0,11,7,145.28470986,88.34881005,120.41615592,1545629.41369166,1498,24,0.861326422483202
"result.3810",1,14,14,142.86560785,88.4101071,122.36471345,1545559.77969471,1485,23,0.860875593787894
"result.3286",5,13,12,145.42821965,87.76945415,121.08340755,1545527.43719356,1499,23,0.86066619998264
"result.3577",8,15,13,145.73824259,88.076590087,120.39246127,1545372.97719383,1500,22.5,0.859666185575789
"result.3731",2,9,14,145.057119424,86.127664658,123.687097366,1545276.20886451,1497,23.5,0.859039682121068
"result.3250",1,11,12,144.409542998,87.42281751,122.391944514,1545160.25079762,1493,23.5,0.858288939290046
"result.3681",0,6,14,145.28470986,85.0766319,124.99720533,1545007.17962818,1498,24,0.857297916533465
"result.4036",3,12,15,144.14691375,87.1288012,123.0053664,1544867.17686522,1492,23,0.856391502055891
"result.2805",4,15,10,144.7875667,89.05076005,119.80210165,1544661.55218311,1495,23,0.855060234123305
"result.2019",2,14,7,145.057119424,89.365546788,119.154062384,1544607.07379001,1496,23.5,0.85470752676829
"result.2769",0,13,10,143.761966572,88.717970362,121.096791662,1544501.16361182,1490,23.5,0.854021836594756
"result.3555",2,14,13,143.5062608,88.4101071,121.7240605,1544362.31831069,1488,23,0.853122915827551
"result.2945",0,8,11,145.28470986,86.38550316,123.03389844,1544136.05193931,1497,24,0.851658008203833
"result.3476",3,9,13,145.70469585,86.127664658,123.03952094,1544048.19392665,1499,23.5,0.851089192467957
"result.2995",2,11,11,145.057119424,87.42281751,121.744368088,1543877.10825419,1496,23.5,0.849981539110712
"result.4072",7,14,15,145.104598057,87.442945554,121.659750336,1543664.34823003,1496,22.5,0.848604075108791
"result.3781",4,12,14,144.7875667,87.1288012,122.36471345,1543651.30917972,1494,23,0.848519656889305
"result.2550",5,15,9,145.42821965,89.05076005,119.1614487,1543199.56595228,1498,23,0.845594953170404
"result.2514",1,13,9,144.409542998,88.717970362,120.449215236,1543161.80720459,1492,23.5,0.845350493169471
"result.3300",3,14,12,144.14691375,88.4101071,121.08340755,1543092.28350944,1491,23,0.844900378596882
"result.1764",3,14,6,145.70469585,89.365546788,118.506485958,1543070.56151261,1499,23.5,0.844759744712274
"result.3745",0,10,14,143.761966572,86.775241084,123.687097366,1542993.98030684,1489,23.5,0.844263937971412
"result.1233",0,13,4,145.28470986,89.65768131,118.45284903,1542953.80721869,1497,24,0.844003846899333
"result.2690",1,8,10,145.93914549,86.38550316,122.37946281,1542841.13240179,1500,24,0.843274360686812
"result.2740",3,11,10,145.70469585,87.42281751,121.096791662,1542520.64327971,1499,23.5,0.841199430349701
"result.2209",0,10,8,145.28470986,87.69437442,121.07059155,1542518.24337425,1497,24,0.841183892734516
"result.4050",1,13,15,142.86560785,87.76945415,123.0053664,1542393.36994801,1484,23,0.840375429537024
"result.3526",5,12,13,145.42821965,87.1288012,121.7240605,1542363.91986567,1497,23,0.840184762007038
"result.3817",8,14,14,145.73824259,87.442945554,121.026105803,1542330.21328569,1499,22.5,0.839966536798944
"result.2033",0,15,7,143.761966572,90.013123214,119.154062384,1541908.80832726,1488,23.5,0.837238250962604
"result.3490",1,10,13,144.409542998,86.775241084,123.03952094,1541829.5114759,1492,23.5,0.83672486242242
"result.3045",4,14,11,144.7875667,88.4101071,120.4427546,1541749.67529099,1494,23,0.836207982095891
"result.2259",2,13,8,145.057119424,88.717970362,119.80163881,1541748.04210806,1495,23.5,0.83619740844278
"result.3971",2,8,15,145.057119424,85.480088232,124.334673792,1541687.21164674,1495,23.5,0.835803576137982
"result.2295",6,15,8,146.0688726,89.05076005,118.52079575,1541664.48040991,1500,23,0.835656408169859
"result.3569",0,15,13,142.2249549,89.05076005,121.7240605,1541664.48040991,1480,23,0.835656408169859
"result.3009",0,12,11,143.761966572,88.070393936,121.744368088,1541426.50966966,1488,23.5,0.834115723403133
"result.978",1,13,3,145.93914549,89.65768131,117.7984134,1541341.04379469,1499,24,0.83356239499177
"result.4086",5,15,15,143.837308991,88.076590087,121.659750336,1541270.84297519,1488,22.5,0.833107896539178
"result.3795",2,13,14,143.5062608,87.76945415,122.36471345,1541240.60958184,1487,23,0.832912157648981
"result.3921",0,5,15,145.28470986,84.42219627,125.65164096,1541149.32843459,1496,24,0.832321179645094
"result.1954",1,10,7,145.93914549,87.69437442,120.41615592,1541091.02902684,1499,24,0.831943734042595
"result.3271",6,12,12,146.0688726,87.1288012,121.08340755,1541005.00892305,1500,23,0.83138681740909
"result.3235",2,10,12,145.057119424,86.775241084,122.391944514,1540592.26334302,1494,23.5,0.828714594651617
"result.3185",0,7,12,145.28470986,85.73106753,123.68833407,1540589.31777745,1496,24,0.82869552429033
"result.3716",3,8,14,145.70469585,85.480088232,123.687097366,1540504.27642575,1498,23.5,0.828144944353605
"result.3314",1,15,12,142.86560785,89.05076005,121.08340755,1540458.34176948,1483,23,0.827847551383715
"result.1778",1,15,6,144.409542998,90.013123214,118.506485958,1540436.65685045,1491,23.5,0.827707157550504
"result.2790",5,14,10,145.42821965,88.4101071,119.80210165,1540334.49365532,1496,23,0.827045726324575
"result.4021",4,11,15,144.7875667,86.48814825,123.0053664,1540323.44987444,1493,23,0.826974226000831
"result.2004",3,13,7,145.70469585,88.717970362,119.154062384,1540259.86832224,1498,23.5,0.826562582414685
"result.1473",0,12,5,145.28470986,89.00324568,119.10728466,1540153.75393301,1495,24,0.825875570125513
"result.2754",1,12,10,144.409542998,88.070393936,121.096791662,1540133.86236665,1491,23.5,0.825746786926174
"result.3666",1,5,14,145.93914549,84.42219627,124.99720533,1540028.46626348,1499,24,0.825064425008608
"result.3540",3,13,13,144.14691375,87.76945415,121.7240605,1540015.80169277,1489,23,0.824982431267935
"result.3831",6,15,14,144.470953524,88.076590087,121.026105803,1539997.76683838,1491,22.5,0.824865668907127
"result.497",0,15,1,145.28470986,90.96655257,116.48954214,1539531.51986953,1495,24,0.821847064175777
"result.3985",0,9,15,143.761966572,86.127664658,124.334673792,1539497.31503929,1487,23.5,0.821625613165251
"result.2930",1,7,11,145.93914549,85.73106753,123.03389844,1539340.92565189,1498,24,0.82061310739838
"result.2449",0,9,9,145.28470986,87.03993879,121.72502718,1539282.62624414,1495,24,0.820235661795881
"result.2980",3,10,11,145.70469585,86.775241084,121.744368088,1539282.2359082,1497,23.5,0.820233134659
"result.3461",4,8,13,146.352272276,85.480088232,123.03952094,1539249.64816106,1500,23.5,0.820022153067144
"result.3059",2,15,11,143.5062608,89.05076005,120.4427546,1539179.1038175,1486,23,0.819565430549927
"result.4057",8,13,15,145.73824259,86.809301021,121.659750336,1539170.41999646,1497,22.5,0.819509209222988
"result.2273",0,14,8,143.761966572,89.365546788,119.80163881,1539135.59104609,1487,23.5,0.819283717495649
"result.3766",5,11,14,145.42821965,86.48814825,122.36471345,1539081.0245254,1496,23,0.818930439579524
"result.1523",2,15,5,145.057119424,90.013123214,117.858909532,1538889.01042611,1494,23.5,0.81768729011727
"result.2535",6,14,9,146.0688726,88.4101071,119.1614487,1538846.73860243,1499,23,0.817413611282936
"result.2499",2,12,9,145.057119424,88.070393936,120.449215236,1538767.34950347,1494,23.5,0.816899625507675
"result.3285",4,13,12,144.7875667,87.76945415,121.08340755,1538718.94628082,1492,23,0.816586250393888
"result.1749",4,13,6,146.352272276,88.717970362,118.506485958,1538697.28584713,1500,23.5,0.816446015085184
"result.3576",7,15,13,145.104598057,88.076590087,120.39246127,1538653.96424951,1494,22.5,0.816165539739961
"result.3809",0,14,14,142.2249549,88.4101071,122.36471345,1538629.01835079,1479,23,0.816004033471965
"result.1218",1,12,4,145.93914549,89.00324568,118.45284903,1538590.88134834,1498,24,0.815757124550859
"result.3730",1,9,14,144.409542998,86.127664658,123.687097366,1538377.65436065,1490,23.5,0.814376637305062
"result.3249",0,11,12,143.761966572,87.42281751,122.391944514,1538231.28106311,1487,23.5,0.813428978321642
"result.4035",2,12,15,143.5062608,87.1288012,123.0053664,1538001.10052359,1485,23,0.811938729350467
"result.2194",1,9,8,145.93914549,87.03993879,121.07059155,1537903.34073675,1498,24,0.81130580694063
"result.2725",4,10,10,146.352272276,86.775241084,121.096791662,1537899.42917145,1500,23.5,0.811280482444573
"result.2804",3,15,10,144.14691375,89.05076005,119.80210165,1537826.76655398,1488,23,0.810810045668492
"result.3802",9,13,14,146.371887123,86.809301021,121.026105803,1537811.09829402,1500,22.5,0.81070860525855
"result.242",1,15,0,145.93914549,90.96655257,115.83510651,1537778.33335283,1498,24,0.810496476466043
"result.3511",6,11,13,146.0688726,86.48814825,121.7240605,1537767.60344212,1498,23,0.81042700821986
"result.2018",1,14,7,144.409542998,89.365546788,119.154062384,1537711.50649631,1490,23.5,0.810063821931537
"result.3554",1,14,13,142.86560785,88.4101071,121.7240605,1537467.84367537,1482,23,0.808486285146783
"result.3030",5,13,11,145.42821965,87.76945415,120.4427546,1537350.04334598,1495,23,0.807723615026836
"result.2244",3,12,8,145.70469585,88.070393936,119.80163881,1537326.97108012,1496,23.5,0.807574239147635
"result.1268",3,15,4,145.70469585,90.013123214,117.211333106,1537265.86905424,1496,23.5,0.807178648662904
"result.3321",8,15,12,145.73824259,88.076590087,119.758816737,1537239.4352086,1496,22.5,0.807007509037682
"result.1713",0,11,6,145.28470986,88.34881005,119.76172029,1537229.25383464,1494,24,0.806941592161749
"result.3475",2,9,13,145.057119424,86.127664658,123.03952094,1537185.7575092,1493,23.5,0.806659985582924
"result.737",0,14,2,145.28470986,90.31211694,117.14397777,1537042.5836156,1494,24,0.805733040376827
"result.2994",1,11,11,144.409542998,87.42281751,121.744368088,1536984.7997352,1489,23.5,0.805358932433144
"result.4071",6,14,15,144.470953524,87.442945554,121.659750336,1536923.45587968,1490,22.5,0.804961776280087
"result.3425",0,6,13,145.28470986,85.0766319,124.3427697,1536918.1368029,1494,24,0.80492733918688
"result.3956",3,7,15,145.70469585,84.832511806,124.334673792,1536838.1548731,1496,23.5,0.804409515269793
"result.3780",3,12,14,144.14691375,87.1288012,122.36471345,1536820.99365238,1488,23,0.804298409041722
"result.1939",2,9,7,146.59358112,87.03993879,120.41615592,1536449.49925599,1500,24,0.801893257228339
"result.2549",4,15,9,144.7875667,89.05076005,119.1614487,1536401.32997892,1491,23,0.801581396739415
"result.2513",0,13,9,143.761966572,88.717970362,120.449215236,1536241.79910053,1486,23.5,0.800548552138825
"result.3299",2,14,12,143.5062608,88.4101071,121.08340755,1536234.09558273,1484,23,0.800498677551276
"result.1763",2,14,6,145.057119424,89.365546788,118.506485958,1536212.47012811,1492,23.5,0.800358668706156
"result.4093",12,15,15,146.61670842,87.09283107,120.30088896,1536153.83684616,1500,22,0.799979061514821
"result.3906",1,4,15,145.93914549,83.76776064,125.65164096,1536090.73366984,1497,24,0.799570515059121
"result.2689",0,8,10,145.28470986,86.38550316,122.37946281,1535922.56230133,1493,24,0.7984817296673
"result.3220",3,9,12,145.70469585,86.127664658,122.391944514,1535921.62448493,1495,23.5,0.798475657998839
"result.2775",6,13,10,146.0688726,87.76945415,119.80210165,1535909.09288826,1497,23,0.798394525166782
"result.1989",4,12,7,146.352272276,88.070393936,119.154062384,1535812.72709659,1499,23.5,0.797770627846053
"result.3066",9,15,11,146.371887123,88.076590087,119.125172204,1535754.17971565,1499,22.5,0.797391576800289
"result.1458",1,11,5,145.93914549,88.34881005,119.10728466,1535715.71151806,1497,24,0.79714252363536
"result.3170",1,6,12,145.93914549,85.0766319,123.68833407,1535715.71151806,1497,24,0.79714252363536
"result.4006",5,10,15,145.42821965,85.8474953,123.0053664,1535678.75117275,1494,23,0.796903232700103
"result.2739",2,11,10,145.057119424,87.42281751,121.096791662,1535664.99597625,1492,23.5,0.796814177962973
"result.3701",4,7,14,146.352272276,84.832511806,123.687097366,1535628.60632528,1499,23.5,0.796578581852066
"result.3816",7,14,14,145.104598057,87.442945554,121.026105803,1535624.42974966,1492,22.5,0.796551541609972
"result.3525",4,12,13,144.7875667,87.1288012,121.7240605,1535569.3651526,1491,23,0.796195039017296
"result.1013",4,15,3,146.352272276,90.013123214,116.56375668,1535567.23273484,1499,23.5,0.796181233187404
"result.4049",0,13,15,142.2249549,87.76945415,123.0053664,1535476.80775094,1477,23,0.795595798208767
"result.482",1,14,1,145.93914549,90.31211694,116.48954214,1535340.68936629,1496,24,0.794714532211599
"result.3651",2,4,14,146.59358112,83.76776064,124.99720533,1534942.68379415,1500,24,0.792137740117623
"result.3044",3,14,11,144.14691375,88.4101071,120.4427546,1534927.77407289,1487,23,0.792041210685447
"result.3489",0,10,13,143.761966572,86.775241084,123.03952094,1534915.47779215,1485,23.5,0.791961601350282
"result.2294",5,15,8,145.42821965,89.05076005,118.52079575,1534902.79409232,1494,23,0.791879483762691
"result.2258",1,13,8,144.409542998,88.717970362,119.80163881,1534865.23834865,1488,23.5,0.791636338062837
"result.3970",1,8,15,144.409542998,85.480088232,124.334673792,1534804.67945189,1488,23.5,0.791244263937972
"result.1508",3,14,5,145.70469585,89.365546788,117.858909532,1534638.4819415,1495,23.5,0.790168257819506
"result.2434",1,8,9,145.93914549,86.38550316,121.72502718,1534590.64506274,1496,24,0.789858549364078
"result.2965",4,9,11,146.352272276,86.127664658,121.744368088,1534585.25528785,1498,23.5,0.789823654552807
"result.4042",9,12,15,146.371887123,86.175656488,121.659750336,1534578.79767086,1498,22.5,0.789781846252711
"result.4085",4,15,15,143.203664458,88.076590087,121.659750336,1534481.10357883,1482,22.5,0.789149349168238
"result.2915",2,6,11,146.59358112,85.0766319,123.03389844,1534440.41197354,1499,24,0.788885901080719
"result.977",0,13,3,145.28470986,89.65768131,117.7984134,1534429.20054897,1493,24,0.788813315387931
"result.3751",6,10,14,146.0688726,85.8474953,122.36471345,1534410.29405449,1497,23,0.788690909801399
"result.2520",7,13,9,146.70952555,87.76945415,119.1614487,1534396.09490764,1500,23,0.788598980813726
"result.3794",1,13,14,142.86560785,87.76945415,122.36471345,1534360.0711462,1480,23,0.788365753567225
"result.2484",3,11,9,145.70469585,87.42281751,120.449215236,1534271.86978624,1495,23.5,0.787794714911124
"result.3561",8,14,13,145.73824259,87.442945554,120.39246127,1534255.185991,1495,22.5,0.787686699660392
"result.3270",5,12,12,145.42821965,87.1288012,121.08340755,1534246.21502427,1493,23,0.787628619277188
"result.1953",0,10,7,145.28470986,87.69437442,120.41615592,1534180.30692358,1492,24,0.787201913008035
"result.1203",2,11,4,146.59358112,88.34881005,118.45284903,1534126.49208565,1499,24,0.786853501682653
"result.3234",1,10,12,144.409542998,86.775241084,122.391944514,1533714.61931023,1488,23.5,0.784186929690384
