"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3809",0,14,14,136.0521554,91.6269618,132.58143715,1652766.24727691,1499,27,1
"result.4049",0,13,15,136.0521554,90.93281815,133.2755808,1648832.96253803,1497,27,0.976350352633135
"result.3313",0,15,12,136.0521554,92.32110545,131.19314985,1647849.64135331,1497,27,0.970437940791418
"result.3058",1,15,11,136.74629905,92.32110545,130.4990062,1647493.77273408,1500,27,0.968298210791559
"result.4034",1,12,15,136.74629905,90.2386745,133.2755808,1644594.6475541,1499,27,0.950866650980675
"result.4083",2,15,15,136.160768304,91.461526184,132.034684416,1644290.20255426,1496,26.5,0.949036115596941
"result.3553",0,14,13,136.0521554,91.6269618,131.8872935,1644113.02085138,1495,27,0.947970775792896
"result.3828",3,15,14,136.848448952,91.461526184,131.347003768,1643987.43447193,1499,26.5,0.94721566300924
"result.3298",1,14,12,136.74629905,91.6269618,131.19314985,1643803.97705046,1499,27,0.946112589214071
"result.3793",0,13,14,136.0521554,90.93281815,132.58143715,1640245.29085815,1493,27,0.924715289215479
"result.4068",3,14,15,136.848448952,90.773845536,132.034684416,1640169.17447768,1498,26.5,0.924257624521369
"result.1777",0,15,6,137.305579908,93.171643509,128.198577159,1640042.67242487,1500,27.5,0.923497006071723
"result.3538",1,13,13,136.74629905,90.93281815,131.8872935,1639982.40294958,1497,27,0.923134624008816
"result.3057",0,15,11,136.0521554,92.32110545,130.4990062,1639130.86018213,1493,27,0.918014555794866
"result.3489",0,10,13,137.305579908,89.668950144,133.10234787,1638762.38930822,1500,27.5,0.915799052262487
"result.2802",1,15,10,136.74629905,92.32110545,129.80486255,1638730.50798549,1496,27,0.915607359545026
"result.2547",2,15,9,137.4404427,92.32110545,129.1107189,1638241.18863405,1500,27,0.912665230795219
"result.2753",0,12,10,137.305579908,91.07002749,131.000731851,1638088.55608894,1499,27.5,0.911747497626049
"result.2017",0,14,7,137.305579908,92.471104836,128.899115832,1636606.1230065,1499,27.5,0.902834077425883
"result.4033",0,12,15,136.0521554,90.2386745,133.2755808,1636246.45137362,1492,27,0.900671481059167
"result.3778",1,12,14,136.74629905,90.2386745,132.58143715,1636029.05043142,1495,27,0.899364315175793
"result.4082",1,15,15,135.473087656,91.461526184,132.034684416,1635985.70658176,1488,26.5,0.899103701762832
"result.4053",4,13,15,137.5361296,90.086164888,132.034684416,1635923.26676242,1499,26.5,0.898728270079869
"result.3827",2,15,14,136.160768304,91.461526184,131.347003768,1635726.19108262,1492,26.5,0.897543313830517
"result.3523",2,12,13,137.4404427,90.2386745,131.8872935,1635724.68911234,1499,27,0.897534282939072
"result.3297",0,14,12,136.0521554,91.6269618,131.19314985,1635459.79442584,1491,27,0.895941551585792
