"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,117.696235468,111.084087408,146.128472126,1910509.78817476,1499,24.5,1
"result.4065",0,14,15,117.696235468,110.422872602,146.789686932,1907731.08938782,1498,24.5,0.985913744864458
"result.3569",0,15,13,117.696235468,111.084087408,145.46725732,1901864.94750428,1496,24.5,0.95617609513387
"result.3554",1,14,13,118.357450274,110.422872602,145.46725732,1901165.3583382,1500,24.5,0.952629618081435
"result.3809",0,14,14,117.696235468,110.422872602,146.128472126,1899137.70610229,1495,24.5,0.942350696574912
"result.3794",1,13,14,118.357450274,109.761657796,146.128472126,1898371.04888392,1498,24.5,0.938464226681087
"result.4049",0,13,15,117.696235468,109.761657796,146.789686932,1896307.54993041,1493,24.5,0.928003584862786
"result.4034",1,12,15,118.357450274,109.10044299,146.789686932,1895473.24648689,1497,24.5,0.9237741911548
"result.3058",1,15,11,118.357450274,111.084087408,144.144827708,1895162.76765863,1497,24.5,0.922200258776983
"result.3233",0,10,12,118.892252,108.873242,146.277546,1893443.60564136,1500,25,0.913485188648291
"result.3313",0,15,12,117.696235468,111.084087408,144.806042514,1893220.10683381,1492,24.5,0.912352190267741
"result.2257",0,13,8,118.892252,110.877044,143.60581,1893072.31098804,1500,25,0.911602958288641
"result.3298",1,14,12,118.357450274,110.422872602,144.806042514,1892523.69761848,1496,24.5,0.908821833565543
"result.4084",3,15,15,118.45284903,109.94518584,145.28470986,1892089.34023897,1497,24,0.906619914848593
"result.3283",2,13,12,119.01866508,109.761657796,144.806042514,1891700.66854582,1500,24.5,0.904649593826582
"result.4069",4,14,15,119.10728466,109.29075021,145.28470986,1891218.2125501,1500,24,0.902203845377937
"result.3553",0,14,13,117.696235468,110.422872602,145.46725732,1890544.32281676,1491,24.5,0.898787648285367
"result.2497",0,12,9,118.892252,110.20911,144.273744,1890420.20632148,1499,25,0.898158455719709
"result.3473",0,9,13,118.892252,108.205308,146.94548,1890420.20632148,1499,25,0.898158455719709
"result.3538",1,13,13,118.357450274,109.761657796,145.46725732,1889781.13463558,1495,24.5,0.894918764228165
