"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,120.12560152,99.57780126,135.14130171,1616539.07095295,1393,40,1
"result.3840",15,15,14,120.12560152,99.57780126,134.3510017,1607085.62609358,1389,40,0.978783649052842
"result.4095",14,15,15,119.33530151,99.57780126,135.14130171,1605903.94548616,1384,40,0.976131605184447
"result.4080",15,14,15,120.12560152,98.78750125,135.14130171,1603709.39578666,1387,40,0.971206380857428
"result.3584",15,15,13,120.12560152,99.57780126,133.56070169,1597632.18123421,1385,40,0.957567298105683
"result.3839",14,15,14,119.33530151,99.57780126,134.3510017,1596512.69434296,1380,40,0.955054835493519
"result.4094",13,15,15,118.5450015,99.57780126,135.14130171,1595268.82001936,1375,40,0.952263210368893
"result.3824",15,14,14,120.12560152,98.78750125,134.3510017,1594330.97826744,1383,40,0.950158413647945
"result.4079",14,14,15,119.33530151,98.78750125,135.14130171,1593158.67607754,1378,40,0.94752741774676
"result.4064",15,13,15,120.12560152,97.99720124,135.14130171,1590879.72062037,1382,40,0.942412761714855
"result.3328",15,15,12,120.12560152,99.57780126,132.77040168,1588178.73637483,1381,40,0.936350947158524
"result.3583",14,15,13,119.33530151,99.57780126,133.56070169,1587121.44319977,1376,40,0.933978065802592
"result.3838",13,15,14,118.5450015,99.57780126,134.3510017,1585939.76259235,1371,40,0.931326021934197
"result.3568",15,14,13,120.12560152,98.78750125,133.56070169,1584952.56074822,1379,40,0.929110446438463
"result.4093",12,15,15,117.75470149,99.57780126,135.14130171,1584633.69455257,1366,40,0.92839481555334
"result.3823",14,14,14,119.33530151,98.78750125,134.3510017,1583841.95867358,1374,40,0.926617924005761
"result.4078",13,14,15,118.5450015,98.78750125,135.14130171,1582607.95636842,1369,40,0.923848454636092
"result.3808",15,13,14,120.12560152,97.99720124,134.3510017,1581576.3304413,1378,40,0.921533178243049
"result.4063",14,13,15,119.33530151,97.99720124,135.14130171,1580413.40666892,1373,40,0.918923230309073
"result.3072",15,15,11,120.12560152,99.57780126,131.98010167,1578725.29151546,1377,40,0.915134596211366
"result.4048",15,12,15,120.12560152,97.20690123,135.14130171,1578050.04545407,1376,40,0.913619142572283
"result.3327",14,15,12,119.33530151,99.57780126,132.77040168,1577730.19205658,1372,40,0.912901296111665
"result.3582",13,15,13,118.5450015,99.57780126,133.56070169,1576610.70516533,1367,40,0.910388833499502
"result.3312",15,14,12,120.12560152,98.78750125,132.77040168,1575574.143229,1375,40,0.90806247922898
"result.3837",12,15,14,117.75470149,99.57780126,134.3510017,1575366.83084173,1362,40,0.907597208374876
