"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3553",0,14,13,106.73951571,109.56705255,180.25547355,2108111.94028578,1500,28,1
"result.3057",0,15,11,106.73951571,110.27393676,178.84170513,2105071.77885387,1498,28,0.985768986034608
"result.3793",0,13,14,106.73951571,108.86016834,180.96235776,2102724.9875731,1498,28,0.974783641920971
"result.3827",2,15,14,107.182416969,109.284032988,179.337900288,2100643.43222388,1500,27.5,0.965039868799751
"result.3297",0,14,12,106.73951571,109.56705255,179.54858934,2099844.8346376,1497,28,0.961301628690596
"result.4033",0,12,15,106.73951571,108.15328413,181.66924197,2097231.36252947,1496,28,0.949067950018592
"result.2801",0,15,10,106.73951571,110.27393676,178.13482092,2096751.33704022,1496,28,0.94682094781353
"result.4067",2,14,15,107.182416969,108.583494315,180.038438961,2095330.80735773,1498,27.5,0.940171439817819
"result.4082",1,15,15,106.481878296,109.284032988,180.038438961,2095065.74337198,1493,27.5,0.938930673704762
"result.3522",1,12,13,107.44639992,108.15328413,180.25547355,2094691.36010622,1500,28,0.93717818338386
"result.3537",0,13,13,106.73951571,108.86016834,180.25547355,2094511.21809039,1495,28,0.93633493752324
"result.2290",1,15,8,107.44639992,110.27393676,176.7210525,2093886.01932956,1499,28,0.933408378359914
"result.3571",2,15,13,107.182416969,109.284032988,178.637361615,2092437.79381676,1497,27.5,0.926629226015777
"result.3026",1,13,11,107.44639992,108.86016834,178.84170513,2091845.82269534,1499,28,0.923858205632586
"result.1745",0,13,6,107.687914396,109.827409384,176.864919008,2091796.37050557,1500,28.5,0.923626719634552
"result.3041",0,14,11,106.73951571,109.56705255,178.84170513,2091577.72898942,1494,28,0.922603257381194
"result.2481",0,11,9,107.687914396,108.401079392,179.004413996,2089605.54900315,1500,28.5,0.913371470992394
"result.3713",0,8,14,107.687914396,106.261584404,182.570238976,2089167.38470267,1499,28.5,0.911320421263962
"result.3762",1,11,14,107.44639992,107.44639992,180.96235776,2089161.35343979,1498,28,0.911292188886101
"result.3777",0,12,14,106.73951571,108.15328413,180.96235776,2089070.92921223,1493,28,0.910868912532536
"result.2530",1,14,9,107.44639992,109.56705255,177.42793671,2088785.52774401,1498,28,0.909532946541593
"result.2545",0,15,9,106.73951571,110.27393676,177.42793671,2088430.89522657,1493,28,0.907872909592453
"result.1249",0,14,4,107.687914396,110.54057438,175.438589016,2088400.59717683,1499,28.5,0.907731084239206
"result.3796",3,13,14,107.882955642,107.882955642,179.337900288,2087265.78006626,1500,27.5,0.902418998512755
"result.3811",2,14,14,107.182416969,108.583494315,179.337900288,2087177.76919681,1495,27.5,0.902007019102972
"result.3826",1,15,14,106.481878296,109.284032988,179.337900288,2086913.73658843,1490,27.5,0.900771080873624
"result.3217",0,9,12,107.687914396,106.9747494,181.143908984,2086757.48105001,1499,28.5,0.900039647757588
"result.1985",0,12,7,107.687914396,109.114244388,177.578084004,2086593.16943733,1499,28.5,0.899270504109427
"result.3266",1,12,12,107.44639992,108.15328413,179.54858934,2086476.88418424,1497,28,0.898726172139618
"result.3281",0,13,12,106.73951571,108.86016834,179.54858934,2086297.44860768,1492,28,0.89788623312551
"result.2034",1,15,7,107.44639992,110.27393676,176.01416829,2085510.47525224,1496,28,0.894202406110883
"result.753",0,15,2,107.687914396,111.253739376,174.012259024,2084785.74169784,1498,28.5,0.890809923979646
"result.3300",3,14,12,107.882955642,108.583494315,177.936822942,2084406.80197871,1499,27.5,0.889036104873089
"result.3315",2,15,12,107.182416969,109.284032988,177.936822942,2084232.15540963,1494,27.5,0.888218583231802
"result.2721",0,10,10,107.687914396,107.687914396,179.717578992,2084128.49524712,1498,28.5,0.887733349386998
"result.2770",1,13,10,107.44639992,108.86016834,178.13482092,2083577.65738824,1496,28,0.885154874053414
"result.4002",1,10,15,107.44639992,106.73951571,181.66924197,2083523.96800313,1496,28,0.884903553718484
"result.4017",0,11,15,106.73951571,107.44639992,181.66924197,2083523.96800313,1491,28,0.884903553718484
"result.1489",0,13,5,107.687914396,109.827409384,176.151754012,2083361.70772127,1497,28.5,0.884144012362243
"result.2785",0,14,10,106.73951571,109.56705255,178.13482092,2083310.62334124,1491,28,0.88390488607179
"result.3953",0,7,15,107.687914396,105.548419408,183.283403972,2083252.16664615,1497,28.5,0.883631249930135
"result.1523",2,15,5,108.15328413,110.27393676,174.60039987,2082369.64622325,1500,28,0.879500166517496
"result.4036",3,12,15,107.882955642,107.182416969,180.038438961,2081812.54408446,1498,27.5,0.876892368051911
"result.4051",2,13,15,107.182416969,107.882955642,180.038438961,2081812.54408446,1493,27.5,0.876892368051911
"result.4066",1,14,15,106.481878296,108.583494315,180.038438961,2081635.83476062,1488,27.5,0.876065190643207
"result.2804",3,15,10,107.882955642,109.284032988,176.535745596,2081336.04773653,1498,27.5,0.874661885778634
"result.4081",0,15,15,105.781339623,109.284032988,180.038438961,2081282.41611295,1483,27.5,0.874410835825797
"result.2225",0,11,8,107.687914396,108.401079392,178.291249,2081280.42729398,1497,28.5,0.874401526152193
"result.3457",0,8,13,107.687914396,106.261584404,181.85707398,2081006.57460618,1496,28.5,0.873119620071923
"result.3506",1,11,13,107.44639992,107.44639992,180.25547355,2081000.56690291,1495,28,0.873091497976789
"result.3491",2,10,13,108.15328413,106.73951571,180.25547355,2080910.495895,1500,28,0.87266987504648
"result.3521",0,12,13,106.73951571,108.15328413,180.25547355,2080910.495895,1490,28,0.87266987504648
"result.2259",2,13,8,108.15328413,108.86016834,176.7210525,2080640.28287125,1500,28,0.87140500625555
