"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,142.570019925,99.482191681,110.887793275,1572741.31560676,1497,22.5,1
"result.3827",2,15,14,143.203664458,99.482191681,110.254148742,1570704.24114083,1499,22.5,0.986499725777584
"result.4067",2,14,15,143.203664458,98.848547148,110.887793275,1569669.29435334,1499,22.5,0.979640837862411
"result.3521",0,12,13,143.5062608,98.6605543,110.83296035,1569218.1878121,1500,23,0.976651225989039
"result.3761",0,11,14,143.5062608,98.01990135,111.4736133,1568040.1845182,1500,23,0.968844261752516
"result.4001",0,10,15,143.5062608,97.3792484,112.11426625,1566744.3808949,1499,23,0.96025660109234
"result.4081",0,15,15,141.936375392,99.482191681,110.887793275,1565751.35420406,1490,22.5,0.953675529628964
"result.3826",1,15,14,142.570019925,99.482191681,110.254148742,1563754.22237472,1493,22.5,0.940439966665811
"result.2545",0,15,9,143.5062608,100.58251315,108.27034855,1562798.06986031,1497,23,0.934103270899988
"result.4066",1,14,15,142.570019925,98.848547148,110.887793275,1562723.8549978,1492,22.5,0.933611427812209
"result.2785",0,14,10,143.5062608,99.9418602,108.9110015,1562032.36771927,1497,23,0.929028744146248
"result.3571",2,15,13,143.203664458,99.482191681,109.620504209,1561677.2052722,1495,22.5,0.926674981184129
"result.3025",0,13,11,143.5062608,99.30120725,109.55165445,1561148.86524885,1496,23,0.923173520968856
"result.3811",2,14,14,143.203664458,98.848547148,110.254148742,1560699.75552847,1494,22.5,0.920197142597579
"result.2290",1,15,8,144.14691375,100.58251315,107.6296956,1560486.23839602,1499,23,0.918782103585812
"result.3265",0,12,12,143.5062608,98.6605543,110.1923074,1560147.56244903,1496,23,0.916537601367811
"result.2530",1,14,9,144.14691375,99.9418602,108.27034855,1559776.28105371,1499,23,0.91407701353255
"result.4051",2,13,15,143.203664458,98.214902615,110.887793275,1559607.31169723,1494,22.5,0.912957205353785
"result.3316",3,15,12,143.837308991,99.482191681,108.986859676,1559520.30289651,1497,22.5,0.912380573183924
"result.3505",0,11,13,143.5062608,98.01990135,110.83296035,1559028.45931981,1495,23,0.909120985343114
"result.2770",1,13,10,144.14691375,99.30120725,108.9110015,1558947.99748769,1499,23,0.908587741803744
"result.3556",3,14,13,143.837308991,98.848547148,109.620504209,1558596.27960936,1497,22.5,0.906256806982373
"result.3010",1,12,11,144.14691375,98.6605543,109.55165445,1558001.38769794,1498,23,0.902314288399395
"result.3745",0,10,14,143.5062608,97.3792484,111.4736133,1557791.55586121,1495,23,0.900923672894765
"result.3796",3,13,14,143.837308991,98.214902615,110.254148742,1557556.75341131,1496,22.5,0.899367570005629
"result.3061",4,15,11,144.470953524,99.482191681,108.353215143,1557283.51524765,1499,22.5,0.897556742665192
"result.3250",1,11,12,144.14691375,98.01990135,110.1923074,1556936.45168448,1498,23,0.895256653319502
"result.3825",0,15,14,141.936375392,99.482191681,110.254148742,1556804.20360861,1486,22.5,0.894380207554035
"result.3985",0,9,15,143.5062608,96.73859545,112.11426625,1556436.85207322,1494,23,0.891945664022763
"result.3301",4,14,12,144.470953524,98.848547148,108.986859676,1556413.42724047,1499,22.5,0.891790420966596
"result.4036",3,12,15,143.837308991,97.581258082,110.887793275,1556401.72430236,1496,22.5,0.891712862253691
"result.4065",0,14,15,141.936375392,98.848547148,110.887793275,1555778.41564225,1486,22.5,0.887582017762007
"result.2755",2,12,10,144.7875667,98.6605543,108.9110015,1555774.2252204,1500,23,0.88755424663972
"result.3490",1,10,13,144.14691375,97.3792484,110.83296035,1555753.18944729,1497,23,0.887414836564067
"result.3541",4,13,13,144.470953524,98.214902615,109.620504209,1555427.327499,1499,22.5,0.885255256374853
"result.3570",1,15,13,142.570019925,99.482191681,109.620504209,1554767.12914268,1488,22.5,0.880879933331619
"result.2995",2,11,11,144.7875667,98.01990135,109.55165445,1554763.98221701,1500,23,0.880859077756522
"result.3730",1,9,14,144.14691375,96.73859545,111.4736133,1554451.60098639,1496,23,0.878788838133087
"result.4087",6,15,15,144.1104399,98.37103941,109.64924775,1554419.94697353,1496,22,0.878579057950227
"result.3781",4,12,14,144.470953524,97.581258082,110.254148742,1554325.21602324,1498,22.5,0.877951248889963
"result.3810",1,14,14,142.570019925,98.848547148,110.254148742,1553794.00439781,1488,22.5,0.874430757747662
"result.3235",2,10,12,144.7875667,97.3792484,110.1923074,1553634.88709557,1499,23,0.873376241945891
"result.2289",0,15,8,143.5062608,100.58251315,107.6296956,1553550.74400315,1493,23,0.872818601643282
"result.4021",4,11,15,144.470953524,96.947613549,110.887793275,1553107.09281319,1497,22.5,0.869878398511929
"result.3970",1,8,15,144.14691375,96.0979425,112.11426625,1553031.68630177,1496,23,0.869378658026564
"result.2529",0,14,9,143.5062608,99.9418602,108.27034855,1552843.94202681,1492,23,0.868134423101368
"result.4050",1,13,15,142.570019925,98.214902615,110.887793275,1552706.39438884,1487,22.5,0.867222855624415
"result.3315",2,15,12,143.203664458,99.482191681,108.986859676,1552650.16940358,1491,22.5,0.866850236590676
"result.3475",2,9,13,144.7875667,96.73859545,110.83296035,1552386.93985609,1499,23,0.865105739207824
"result.2449",0,9,9,145.057119424,97.784040326,109.440415994,1552332.54237741,1500,23.5,0.864745231582089
"result.3832",7,15,14,144.73700703,98.37103941,109.02268062,1552257.27574295,1498,22,0.864246418101276
"result.3526",5,12,13,145.104598057,97.581258082,109.620504209,1552170.34894114,1500,22.5,0.863670329361567
"result.2769",0,13,10,143.5062608,99.30120725,108.9110015,1552019.33972107,1492,23,0.862669548135801
"result.3555",2,14,13,143.203664458,98.848547148,109.620504209,1551730.21670359,1490,22.5,0.860753447332745
"result.4072",7,14,15,144.73700703,97.74447228,109.64924775,1551234.48377563,1498,22,0.857468083650419
"result.2034",1,15,7,144.14691375,100.58251315,106.98904265,1551197.62983414,1495,23,0.857223842055638
"result.2689",0,8,10,145.057119424,97.1364639,110.08799242,1551176.76361237,1500,23.5,0.857085555645092
"result.3009",0,12,11,143.5062608,98.6605543,109.55165445,1551076.93708595,1491,23,0.856423976746583
"result.3715",2,8,14,144.7875667,96.0979425,111.4736133,1551020.14049856,1498,23,0.856047569542322
"result.3766",5,11,14,145.104598057,96.947613549,110.254148742,1551005.14336427,1500,22.5,0.85594817925058
"result.3795",2,13,14,143.203664458,98.214902615,110.254148742,1550695.2699161,1490,22.5,0.853894559417571
"result.2274",1,14,8,144.14691375,99.9418602,107.6296956,1550546.83560369,1495,23,0.852910842840149
"result.3060",3,15,11,143.837308991,99.482191681,108.353215143,1550453.3243913,1493,22.5,0.852291117331208
"result.3249",0,11,12,143.5062608,98.01990135,110.1923074,1550016.73412143,1491,23,0.849397708933713
"result.2929",0,7,11,145.057119424,96.488887474,110.735568846,1549899.32392469,1499,23.5,0.848619598030514
"result.2514",1,13,9,144.14691375,99.30120725,108.27034855,1549777.71514952,1494,23,0.847813661949114
"result.4006",5,10,15,145.104598057,96.313969016,110.887793275,1549723.41722972,1499,22.5,0.847453814128496
"result.3300",3,14,12,143.837308991,98.848547148,108.986859676,1549587.05255959,1492,22.5,0.846550086517254
"result.4035",2,12,15,143.203664458,97.581258082,110.887793275,1549545.32904112,1489,22.5,0.846273572845157
"result.3955",2,7,15,144.7875667,95.45728955,112.11426625,1549534.48902299,1497,23,0.846201732949386
"result.3817",8,14,14,145.36357416,97.74447228,109.02268062,1549047.21437364,1500,22,0.842972424694905
"result.3460",3,8,13,145.42821965,96.0979425,110.83296035,1548929.71054621,1500,23,0.842193693274385
"result.2754",1,12,10,144.14691375,98.6605543,108.9110015,1548890.26847164,1494,23,0.841932299382538
"result.3489",0,10,13,143.5062608,97.3792484,110.83296035,1548838.73082753,1490,23,0.841590744697189
"result.1779",2,15,6,144.7875667,100.58251315,106.3483897,1548761.95025569,1497,23,0.841081897921059
"result.3540",3,13,13,143.837308991,98.214902615,109.620504209,1548605.27781699,1492,22.5,0.840043584928106
"result.3169",0,6,12,145.057119424,95.841311048,111.383145272,1548500.22331437,1498,23.5,0.83934735873836
"result.2805",4,15,10,144.470953524,99.482191681,107.71957061,1548176.59410585,1495,22.5,0.837202575553213
"result.2019",2,14,7,144.7875667,99.9418602,106.98904265,1548167.68966546,1497,23,0.837143563283885
"result.4057",8,13,15,145.36357416,97.11790515,109.64924775,1547962.92697779,1500,22,0.835786542477642
"result.2994",1,11,11,144.14691375,98.01990135,109.55165445,1547884.49557003,1493,23,0.835266755140417
"result.3569",0,15,13,141.936375392,99.482191681,109.620504209,1547857.05301316,1482,22.5,0.835084885479108
"result.4086",5,15,15,143.48387277,98.37103941,109.64924775,1547661.59937799,1490,22,0.833789558422254
"result.3729",0,9,14,143.5062608,96.73859545,111.4736133,1547542.92720423,1490,23,0.833003084037015
"result.3780",3,12,14,143.837308991,97.581258082,110.254148742,1547508.00016349,1491,22.5,0.832771612563765
"result.3700",3,7,14,145.42821965,95.45728955,111.4736133,1547497.17439773,1500,23,0.83269986712247
"result.2259",2,13,8,144.7875667,99.30120725,107.6296956,1547454.57695719,1496,23,0.832417561719276
"result.3045",4,14,11,144.470953524,98.848547148,108.353215143,1547364.51196582,1495,22.5,0.831820675301188
"result.753",0,15,2,145.057119424,101.669498882,104.907381012,1547161.95316537,1498,23.5,0.830478260284993
"result.3409",0,5,13,145.057119424,95.193734622,112.030721698,1546979.46178142,1497,23.5,0.829268837768626
"result.3809",0,14,14,141.936375392,98.848547148,110.254148742,1546888.25326715,1481,22.5,0.828664372897746
"result.993",0,14,3,145.057119424,101.021922456,105.554957438,1546796.97039746,1497,23.5,0.828059415252258
"result.3234",1,10,12,144.14691375,97.3792484,110.1923074,1546760.39644471,1493,23,0.827817029222752
"result.2499",2,12,9,144.7875667,98.6605543,108.27034855,1546622.61213087,1496,23,0.82690389322723
"result.3285",4,13,12,144.470953524,98.214902615,108.986859676,1546436.41809149,1494,22.5,0.825669932156019
"result.1233",0,13,4,145.057119424,100.37434603,106.202533864,1546310.32670692,1497,23.5,0.824834288541943
"result.4020",3,11,15,143.837308991,96.947613549,110.887793275,1546295.2195991,1491,22.5,0.824734169424229
"result.1524",3,15,5,145.42821965,100.58251315,105.70773675,1546243.70526781,1499,23,0.824392769239545
"result.3969",0,8,15,143.5062608,96.0979425,112.11426625,1546129.32325154,1489,23,0.823634726953186
"result.3940",3,6,15,145.42821965,94.8166366,112.11426625,1545945.26023687,1499,23,0.822414888791229
"result.2550",5,15,9,145.104598057,99.482191681,107.085926077,1545819.97854723,1497,22.5,0.821584611256691
"result.4049",0,13,15,141.936375392,98.214902615,110.887793275,1545805.47708044,1481,22.5,0.821488505895048
"result.3314",1,15,12,142.570019925,99.482191681,108.986859676,1545780.03591064,1484,22.5,0.821319899997428
"result.1764",3,14,6,145.42821965,99.9418602,106.3483897,1545706.50421212,1499,23,0.820832584432577
"result.1473",0,12,5,145.057119424,99.726769604,106.85011029,1545702.02209374,1497,23.5,0.820802880154049
"result.2739",2,11,10,144.7875667,98.01990135,108.9110015,1545671.7951865,1495,23,0.820602557807752
"result.3831",6,15,14,144.1104399,98.37103941,109.02268062,1545537.54727653,1492,22,0.819712858570606
"result.3474",1,9,13,144.14691375,96.73859545,110.83296035,1545517.97109567,1492,23,0.819583121629544
"result.3525",4,12,13,144.470953524,97.581258082,109.620504209,1545392.31248288,1494,22.5,0.818750346117702
"result.3649",0,4,14,145.057119424,94.546158196,112.678298124,1545337.03932583,1497,23.5,0.818384035121313
"result.2790",5,14,10,145.104598057,98.848547148,107.71957061,1545062.59492227,1497,22.5,0.81656521368455
"result.2004",3,13,7,145.42821965,99.30120725,106.98904265,1545049.92514407,1498,23,0.816481247446284
"result.1713",0,11,6,145.057119424,99.079193178,107.497686716,1544972.05655792,1497,23.5,0.815965190088578
"result.3154",1,5,12,145.70469585,95.193734622,111.383145272,1544903.62228894,1500,23.5,0.815511656644939
"result.3554",1,14,13,142.570019925,98.848547148,109.620504209,1544864.15379782,1484,22.5,0.815250087683116
"result.2979",2,10,11,144.7875667,97.3792484,109.55165445,1544602.12612409,1495,23,0.813513555460837
"result.4071",6,14,15,144.1104399,97.74447228,109.64924775,1544519.18298006,1491,22,0.81296386755893
