"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,72.70760092,109.85170139,106.69050135,852142.759833233,787,40,1
"result.4080",15,14,15,72.70760092,109.06140138,106.69050135,846012.236381196,784,40,0.978609073059833
"result.3840",15,15,14,72.70760092,109.85170139,105.90020134,845830.591241876,784,40,0.977975267817161
"result.4095",14,15,15,71.91730091,109.85170139,106.69050135,842880.338530698,778,40,0.967681099514312
"result.4064",15,13,15,72.70760092,108.27110137,106.69050135,839881.712929158,781,40,0.957218146119665
"result.3824",15,14,14,72.70760092,109.06140138,105.90020134,839745.479074668,781,40,0.956742792187661
"result.3584",15,15,13,72.70760092,109.85170139,105.10990133,839518.422650519,781,40,0.955950535634322
"result.4079",14,14,15,71.91730091,109.06140138,106.69050135,836816.451203139,775,40,0.946522682649581
"result.3839",14,15,14,71.91730091,109.85170139,105.90020134,836636.780467508,775,40,0.94589576659433
"result.4048",15,12,15,72.70760092,107.48080136,106.69050135,833751.18947712,778,40,0.935827219179498
"result.3808",15,13,14,72.70760092,108.27110137,105.90020134,833660.366907461,778,40,0.935510316558162
"result.4094",13,15,15,71.1270009,109.85170139,106.69050135,833617.917228163,770,40,0.935362199028624
"result.3568",15,14,13,72.70760092,109.06140138,105.10990133,833478.721768141,778,40,0.93487651131549
"result.3328",15,15,12,72.70760092,109.85170139,104.31960132,833206.254059162,778,40,0.933925803451483
"result.4063",14,13,15,71.91730091,108.27110137,106.69050135,830752.56387558,772,40,0.925364265784851
"result.3823",14,14,14,71.91730091,109.06140138,105.90020134,830617.810823857,772,40,0.924894078743412
"result.3583",14,15,13,71.91730091,109.85170139,105.10990133,830393.222404317,772,40,0.924110433674348
"result.4032",15,11,15,72.70760092,106.69050135,106.69050135,827620.666025083,775,40,0.91443629223933
"result.4078",13,14,15,71.1270009,109.06140138,106.69050135,827620.666025083,767,40,0.91443629223933
"result.3792",15,12,14,72.70760092,107.48080136,105.90020134,827575.254740253,775,40,0.914277840928663
"result.3838",13,15,14,71.1270009,109.85170139,105.90020134,827442.96969314,767,40,0.9138162653715
"result.3552",15,13,13,72.70760092,108.27110137,105.10990133,827439.020885763,775,40,0.913802486996659
"result.3312",15,14,12,72.70760092,109.06140138,104.31960132,827211.964461614,775,40,0.913010230443319
"result.3072",15,15,11,72.70760092,109.85170139,103.52930131,826894.085467804,775,40,0.911901071268644
"result.4047",14,12,15,71.91730091,107.48080136,106.69050135,824688.676548021,770,40,0.90420584892012
"result.3807",14,13,14,71.91730091,108.27110137,105.90020134,824598.841180206,770,40,0.903892390892494
"result.3567",14,14,13,71.91730091,109.06140138,105.10990133,824419.170444574,770,40,0.903265474837243
"result.4093",12,15,15,70.33670089,109.85170139,106.69050135,824355.495925628,761,40,0.903043298542937
"result.3327",14,15,12,71.91730091,109.85170139,104.31960132,824149.664341127,769,40,0.902325100754366
"result.4062",13,13,15,71.1270009,108.27110137,106.69050135,821623.414822002,764,40,0.893510385450036
"result.3776",15,11,14,72.70760092,106.69050135,105.90020134,821490.142573045,772,40,0.893045365299163
"result.3822",13,14,14,71.1270009,109.06140138,105.90020134,821490.142573045,764,40,0.893045365299163
"result.4016",15,10,15,72.70760092,105.90020134,106.69050135,821490.142573045,772,40,0.893045365299163
"result.3536",15,12,13,72.70760092,107.48080136,105.10990133,821399.320003385,772,40,0.892728462677827
"result.3582",13,15,13,71.1270009,109.85170139,105.10990133,821268.022158116,764,40,0.892270331714374
"result.3296",15,13,12,72.70760092,108.27110137,104.31960132,821217.674864066,772,40,0.892094657435155
"result.3056",15,14,11,72.70760092,109.06140138,103.52930131,820945.207155086,772,40,0.891143949571148
"result.2816",15,15,10,72.70760092,109.85170139,102.7390013,820581.916876447,772,40,0.889876339085805
"result.4031",14,11,15,71.91730091,106.69050135,106.69050135,818624.789220462,767,40,0.883047432055389
"result.3791",14,12,14,71.91730091,107.48080136,105.90020134,818579.871536554,767,40,0.882890703041576
"result.3551",14,13,13,71.91730091,108.27110137,105.10990133,818445.118484831,767,40,0.882420516000138
"result.4077",12,14,15,70.33670089,109.06140138,106.69050135,818424.880847026,758,40,0.882349901829079
"result.3837",12,15,14,70.33670089,109.85170139,105.90020134,818249.158918771,758,40,0.881736764148669
"result.3311",14,14,12,71.91730091,109.06140138,104.31960132,818220.530065292,767,40,0.881636870931074
"result.3071",14,15,11,71.91730091,109.85170139,103.52930131,817906.106277937,766,40,0.880539767834384
"result.4046",13,12,15,71.1270009,107.48080136,106.69050135,815626.163618922,761,40,0.872584478660742
"result.3806",13,13,14,71.1270009,108.27110137,105.90020134,815537.315452951,761,40,0.872274465226827
"result.3760",15,10,14,72.70760092,105.90020134,105.90020134,815405.030405837,769,40,0.871812889669664
"result.3520",15,11,13,72.70760092,106.69050135,105.10990133,815359.619121007,769,40,0.871654438358995
"result.3566",13,14,13,71.1270009,109.06140138,105.10990133,815359.619121007,761,40,0.871654438358995
"result.4000",15,9,15,72.70760092,105.10990133,106.69050135,815359.619121007,769,40,0.871654438358995
"result.3280",15,12,12,72.70760092,107.48080136,104.31960132,815223.385266518,769,40,0.871179084426992
"result.3326",13,15,12,71.1270009,109.85170139,104.31960132,815093.074623093,761,40,0.870724398057249
"result.4092",11,15,15,69.54640088,109.85170139,106.69050135,815093.074623093,752,40,0.870724398057249
"result.3040",15,13,11,72.70760092,108.27110137,103.52930131,814996.328842368,769,40,0.870386827873653
"result.2800",15,14,10,72.70760092,109.06140138,102.7390013,814678.449848559,769,40,0.869277668698977
"result.2560",15,15,9,72.70760092,109.85170139,101.94870129,814269.74828509,769,40,0.867851606902966
"result.3775",14,11,14,71.91730091,106.69050135,105.90020134,812560.901892903,764,40,0.861889015190658
"result.4015",14,10,15,71.91730091,105.90020134,106.69050135,812560.901892903,764,40,0.861889015190658
"result.4061",12,13,15,70.33670089,108.27110137,106.69050135,812494.265768425,755,40,0.861656505115222
"result.3535",14,12,13,71.91730091,107.48080136,105.10990133,812471.066525088,764,40,0.861575557163033
"result.3821",12,14,14,70.33670089,109.06140138,105.90020134,812362.474322233,755,40,0.861196651854914
"result.3295",14,13,12,71.91730091,108.27110137,104.31960132,812291.395789456,764,40,0.860948641107781
"result.3581",12,15,13,70.33670089,109.85170139,105.10990133,812142.821911915,755,40,0.8604302297544
"result.3055",14,14,11,71.91730091,109.06140138,103.52930131,812021.889686009,764,40,0.860008267024904
"result.2815",14,15,10,71.91730091,109.85170139,102.7390013,811662.548214746,764,40,0.858754434914402
"result.4030",13,11,15,71.1270009,106.69050135,106.69050135,809628.912415842,758,40,0.851658571871448
