"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,103.53706784,142.36346828,146.4504578,2158664.52785101,1494,26,1
"result.3570",1,15,13,104.21823276,142.36346828,145.08812796,2152653.55869451,1497,26,0.971171050650908
"result.3810",1,14,14,104.21823276,141.68230336,145.76929288,2152411.77987309,1497,26,0.970011465696282
"result.4050",1,13,15,104.21823276,141.00113844,146.4504578,2152073.28952309,1497,26,0.968388046759803
"result.2289",0,15,8,104.527458496,143.725255432,143.037574784,2148887.1959307,1498,26.5,0.953107360999306
"result.2529",0,14,9,104.527458496,143.037574784,143.725255432,2148887.1959307,1498,26.5,0.953107360999306
"result.2769",0,13,10,104.527458496,142.349894136,144.41293608,2148788.3328834,1498,26.5,0.952633208211515
"result.3825",0,15,14,103.53706784,142.36346828,145.76929288,2148624.22772147,1491,26,0.951846150537781
"result.3009",0,12,11,104.527458496,141.662213488,145.100616728,2148590.60678882,1498,26.5,0.951684902635939
"result.4065",0,14,15,103.53706784,141.68230336,146.4504578,2148335.98944024,1491,26,0.950463743376186
"result.3249",0,11,12,104.527458496,140.97453284,145.788297376,2148294.01764695,1498,26.5,0.950262444272572
"result.3489",0,10,13,104.527458496,140.286852192,146.475978024,2147898.56545778,1498,26.5,0.948365833121418
"result.3729",0,9,14,104.527458496,139.599171544,147.163658672,2147404.25022132,1498,26.5,0.945995069182475
"result.3969",0,8,15,104.527458496,138.911490896,147.85133932,2146811.07193757,1498,26.5,0.943150152455741
"result.3059",2,15,11,104.89939768,142.36346828,143.72579812,2146378.37111355,1500,26,0.941074894737022
"result.3299",2,14,12,104.89939768,141.68230336,144.40696304,2146232.35566845,1500,26,0.940374596372266
"result.3539",2,13,13,104.89939768,141.00113844,145.08812796,2145988.99659329,1500,26,0.939207432431009
"result.3779",2,12,14,104.89939768,140.31997352,145.76929288,2145648.29388806,1500,26,0.937573402913246
"result.4019",2,11,15,104.89939768,139.6388086,146.4504578,2145210.24755277,1500,26,0.93547250781898
"result.3314",1,15,12,104.21823276,142.36346828,144.40696304,2142547.20395886,1494,26,0.922700399547492
"result.3554",1,14,13,104.21823276,141.68230336,145.08812796,2142353.78090172,1494,26,0.92177273158379
"result.3794",1,13,14,104.21823276,141.00113844,145.76929288,2142063.646316,1494,26,0.920381229638238
"result.4034",1,12,15,104.21823276,140.31997352,146.4504578,2141676.80020172,1493,26,0.918525893710834
"result.3458",1,8,13,105.215139144,138.911490896,146.475978024,2140833.10965035,1500,26.5,0.9144795059257
"result.3698",1,7,14,105.215139144,138.223810248,147.163658672,2140236.02887789,1500,26.5,0.911615872641555
"result.3938",1,6,15,105.215139144,137.5361296,147.85133932,2139539.43464336,1500,26.5,0.908274967143384
"result.2273",0,14,8,104.527458496,143.037574784,143.037574784,2138605.43901237,1495,26.5,0.903795471069275
"result.3569",0,15,13,103.53706784,142.36346828,145.08812796,2138583.92759193,1488,26,0.903692301075562
"result.2033",0,15,7,104.527458496,143.725255432,142.349894136,2138556.00748872,1495,26.5,0.903558394675381
"result.2513",0,13,9,104.527458496,142.349894136,143.725255432,2138556.00748872,1495,26.5,0.903558394675381
"result.2753",0,12,10,104.527458496,141.662213488,144.41293608,2138407.71291778,1495,26.5,0.902847165493699
"result.3809",0,14,14,103.53706784,141.68230336,145.76929288,2138343.72902424,1487,26,0.902540295107567
"result.2993",0,11,11,104.527458496,140.97453284,145.100616728,2138160.55529955,1494,26.5,0.901661783524226
"result.4084",3,15,15,104.559518235,140.986705233,145.034170455,2138021.51045178,1495,25.5,0.900994916539991
"result.4049",0,13,15,103.53706784,141.00113844,146.4504578,2138007.45102947,1487,26,0.900927486752374
"result.3233",0,10,12,104.527458496,140.286852192,145.788297376,2137814.53463403,1494,26.5,0.900002248766965
"result.3473",0,9,13,104.527458496,139.599171544,146.475978024,2137369.65092122,1494,26.5,0.897868561221915
"result.3713",0,8,14,104.527458496,138.911490896,147.163658672,2136825.90416112,1494,26.5,0.895260720889077
"result.2803",2,15,10,104.89939768,142.36346828,143.0446332,2136205.96177178,1496,26,0.892287441992407
"result.3953",0,7,15,104.527458496,138.223810248,147.85133932,2136183.29435372,1494,26.5,0.892178727768452
"result.3043",2,14,11,104.89939768,141.68230336,143.72579812,2136108.61814171,1496,26,0.891820576415904
"result.3283",2,13,12,104.89939768,141.00113844,144.40696304,2135913.93088158,1496,26,0.890886845262895
"result.3523",2,12,13,104.89939768,140.31997352,145.08812796,2135621.89999139,1496,26,0.889486248533385
