"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4083",2,15,15,132.134893408,111.488816313,115.618031732,1703234.30217502,1500,19.5,1
"result.3505",0,11,13,132.62280222,110.51900185,115.89560194,1698721.21014097,1500,20,0.973629688662763
"result.3745",0,10,14,132.62280222,109.92160184,116.49300195,1698247.89690326,1500,20,0.970864086422818
"result.3985",0,9,15,132.62280222,109.32420183,117.09040196,1697679.92101801,1500,20,0.967545363734884
"result.4082",1,15,15,131.545005491,111.488816313,115.618031732,1695630.57761174,1493,19.5,0.955570907363831
"result.3827",2,15,14,132.134893408,111.488816313,115.028143815,1694544.33124555,1496,19.5,0.949223894130093
"result.4067",2,14,15,132.134893408,110.898928396,115.618031732,1694222.48047039,1496,19.5,0.947343297616391
"result.3572",3,15,13,132.724781325,111.488816313,114.438255898,1693380.49585321,1499,19.5,0.942423522808229
"result.3812",3,14,14,132.724781325,110.898928396,115.028143815,1693103.39218837,1499,19.5,0.940804386779215
"result.4052",3,13,15,132.724781325,110.309040479,115.618031732,1692733.92063525,1498,19.5,0.938645538740528
"result.2289",0,15,8,132.62280222,112.90860189,112.90860189,1690722.21642367,1497,20,0.926891010807683
"result.2529",0,14,9,132.62280222,112.31120188,113.5060019,1690674.8850999,1497,20,0.926614450583688
"result.2769",0,13,10,132.62280222,111.71380187,114.10340191,1690532.89112859,1497,20,0.925784769911705
"result.3009",0,12,11,132.62280222,111.11640186,114.70080192,1690296.23450973,1497,20,0.924401968791732
"result.3249",0,11,12,132.62280222,110.51900185,115.29820193,1689964.91524334,1497,20,0.92246604722377
"result.3489",0,10,13,132.62280222,109.92160184,115.89560194,1689538.9333294,1496,20,0.919977005207819
"result.2034",1,15,7,133.22020223,112.90860189,112.31120188,1689352.16648425,1500,20,0.918885713513138
"result.2274",1,14,8,133.22020223,112.31120188,112.90860189,1689352.16648425,1500,20,0.918885713513138
"result.2514",1,13,9,133.22020223,111.71380187,113.5060019,1689257.07742838,1500,20,0.918330101531599
"result.2754",1,12,10,133.22020223,111.11640186,114.10340191,1689066.89931665,1500,20,0.917218877568521
"result.3729",0,9,14,132.62280222,109.32420183,116.49300195,1689018.28876792,1496,20,0.916934842743879
"result.2994",1,11,11,133.22020223,110.51900185,114.70080192,1688781.63214906,1499,20,0.915552041623906
"result.3969",0,8,15,132.62280222,108.72680182,117.09040196,1688402.98155889,1496,20,0.91333955983195
"result.3234",1,10,12,133.22020223,109.92160184,115.29820193,1688401.2759256,1499,20,0.913329593697751
"result.4081",0,15,15,130.955117574,111.488816313,115.618031732,1688026.85304846,1486,19.5,0.911141814727661
"result.3474",1,9,13,133.22020223,109.32420183,115.89560194,1687925.83064628,1499,20,0.910551533790059
"result.3714",1,8,14,133.22020223,108.72680182,116.49300195,1687355.2963111,1499,20,0.907217861900827
"result.3826",1,15,14,131.545005491,111.488816313,115.028143815,1686979.40119535,1489,19.5,0.905021480537984
"result.3954",1,7,15,133.22020223,108.12940181,117.09040196,1686689.67292005,1499,20,0.903328578030057
"result.4066",1,14,15,131.545005491,110.898928396,115.618031732,1686658.987254,1489,19.5,0.903149279544435
"result.3571",2,15,13,132.134893408,111.488816313,114.438255898,1685854.36031609,1492,19.5,0.898447788260184
"result.3811",2,14,14,132.134893408,110.898928396,115.028143815,1685578.48822309,1492,19.5,0.896835848391298
"result.4051",2,13,15,132.134893408,110.309040479,115.618031732,1685210.65876576,1492,19.5,0.894686595232783
"result.3316",3,15,12,132.724781325,111.488816313,113.848367981,1684651.73041067,1495,19.5,0.891420737894259
"result.3556",3,14,13,132.724781325,110.898928396,114.438255898,1684420.81068997,1495,19.5,0.890071457870081
"result.3796",3,13,14,132.724781325,110.309040479,115.028143815,1684097.52308099,1495,19.5,0.888182465836229
"result.4036",3,12,15,132.724781325,109.719152562,115.618031732,1683681.86758372,1494,19.5,0.885753761792707
"result.3061",4,15,11,133.314669242,111.488816313,113.258480064,1683371.5114791,1498,19.5,0.88394032944021
