"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,127.81969452,107.14297923,128.44626165,1759069.35367267,1499,22,1
"result.4065",0,14,15,127.81969452,106.5164121,129.07282878,1757313.04423383,1498,22,0.989794346869696
"result.3569",0,15,13,127.81969452,107.14297923,127.81969452,1750488.52755719,1495,22,0.950138094706232
"result.3314",1,15,12,128.44626165,107.14297923,127.19312739,1750446.46468408,1499,22,0.949893673601851
"result.3554",1,14,13,128.44626165,106.5164121,127.81969452,1748782.39838803,1498,22,0.940224031665365
"result.3809",0,14,14,127.81969452,106.5164121,128.44626165,1748782.39838803,1495,22,0.940224031665365
"result.3794",1,13,14,128.44626165,105.88984497,128.44626165,1747017.4795892,1497,22,0.929968350823638
"result.4049",0,13,15,127.81969452,105.88984497,129.07282878,1746975.90867951,1494,22,0.929726788445624
"result.3779",2,12,14,129.07282878,105.26327784,128.44626165,1745151.70828757,1500,22,0.91912663107667
"result.4034",1,12,15,128.44626165,105.26327784,129.07282878,1745151.70828757,1497,22,0.91912663107667
"result.4019",2,11,15,129.07282878,104.63671071,129.07282878,1743226.16342942,1500,22,0.907937576076108
"result.3953",0,7,15,129.263484732,103.284058879,130.530773798,1742697.74310715,1500,22.5,0.904867004116066
"result.2737",0,11,10,129.263484732,105.818637011,127.362551133,1742126.84325683,1500,22.5,0.901549589931697
"result.3313",0,15,12,127.81969452,107.14297923,127.19312739,1741907.70144172,1492,22,0.900276189412463
"result.3058",1,15,11,128.44626165,107.14297923,126.56656026,1741823.57569549,1495,22,0.899787347203701
"result.2803",2,15,10,129.07282878,107.14297923,125.93999313,1741655.32420303,1499,22,0.898809662786175
"result.4085",4,15,15,128.83506792,105.917291415,127.59626919,1741161.00877967,1497,21.5,0.895937269325119
"result.2977",0,10,11,129.263484732,105.184992478,127.996195666,1740310.34373307,1499,22.5,0.890994181163251
"result.3553",0,14,13,127.81969452,106.5164121,127.81969452,1740251.75254224,1491,22,0.890653716461034
"result.3298",1,14,12,128.44626165,106.5164121,127.19312739,1740209.93565084,1495,22,0.890410724719837
"result.3043",2,14,11,129.07282878,106.5164121,126.56656026,1740084.48497663,1498,22,0.889681749496243
"result.1521",0,15,5,129.263484732,108.353215143,124.194328468,1739479.94395078,1499,22.5,0.886168851440534
"result.4070",5,14,15,129.454467285,105.29789205,127.59626919,1739300.7940267,1500,21.5,0.885127837856587
"result.3538",1,13,13,128.44626165,105.88984497,127.81969452,1738495.4431034,1494,22,0.88044806333073
"result.3793",0,13,14,127.81969452,105.88984497,128.44626165,1738495.4431034,1490,22,0.88044806333073
"result.3283",2,13,12,129.07282878,105.88984497,127.19312739,1738412.30128402,1497,22,0.879964938574702
"result.3217",0,9,12,129.263484732,104.551347945,128.629840199,1738390.04423652,1499,22.5,0.879835606179467
"result.1761",0,14,6,129.263484732,107.71957061,124.827973001,1738130.54430456,1498,22.5,0.878327690641117
"result.3778",1,12,14,128.44626165,105.26327784,128.44626165,1736680.09805317,1493,22,0.869899363036384
"result.2001",0,13,7,129.263484732,107.085926077,125.461617534,1736677.34468555,1498,22.5,0.869883363626362
"result.3523",2,12,13,129.07282878,105.26327784,127.81969452,1736638.7731252,1497,22,0.869659230021553
"result.4033",0,12,15,127.81969452,105.26327784,129.07282878,1736638.7731252,1489,22,0.869659230021553
"result.3268",3,12,12,129.69939591,105.26327784,127.19312739,1736514.79834128,1500,22,0.86893883097706
"result.3457",0,8,13,129.263484732,103.917703412,129.263484732,1736365.94476719,1498,22.5,0.868073864980343
"result.2241",0,12,8,129.263484732,106.452281544,126.095262067,1735120.34509376,1497,22.5,0.860835870396266
"result.3763",2,11,14,129.07282878,104.63671071,128.44626165,1734763.90050015,1496,22,0.858764623836794
"result.4018",1,11,15,128.44626165,104.63671071,129.07282878,1734763.90050015,1492,22,0.858764623836794
"result.3508",3,11,13,129.69939591,104.63671071,127.81969452,1734681.74260763,1499,22,0.858287216533501
"result.3442",1,7,13,129.897129265,103.284058879,129.263484732,1734238.04532508,1500,22.5,0.855708957565878
"result.3697",0,7,14,129.263484732,103.284058879,129.897129265,1734238.04532508,1497,22.5,0.855708957565878
"result.2481",0,11,9,129.263484732,105.818637011,126.7289066,1733459.54552918,1496,22.5,0.851185210950831
"result.3057",0,15,11,127.81969452,107.14297923,126.56656026,1733326.87532624,1488,22,0.850414284118695
"result.2226",1,11,8,129.897129265,105.818637011,126.095262067,1733247.11176135,1500,22.5,0.849950789897378
"result.2802",1,15,10,128.44626165,107.14297923,125.93999313,1733200.68670689,1492,22,0.849681020805552
"result.2547",2,15,9,129.07282878,107.14297923,125.313426,1732990.37234132,1495,22,0.848458915283644
"result.4084",3,15,15,128.215668555,105.917291415,127.59626919,1732790.04239131,1490,21.5,0.847294827716718
"result.4003",2,10,15,129.07282878,104.01014358,129.07282878,1732787.68340888,1495,22,0.847281120020428
"result.3748",3,10,14,129.69939591,104.01014358,128.44626165,1732746.85044434,1499,22,0.847043845731965
"result.3829",4,15,14,128.83506792,105.917291415,126.976869825,1732708.77087297,1494,21.5,0.846822571002074
"result.2292",3,15,8,129.69939591,107.14297923,124.68685887,1732695.93222951,1499,22,0.846747967552977
"result.3574",5,15,13,129.454467285,105.917291415,126.35747046,1732546.22783631,1497,21.5,0.845878057572784
"result.3682",1,6,14,129.897129265,102.650414346,129.897129265,1732047.56060525,1499,22.5,0.84298037640393
"result.3937",0,6,15,129.263484732,102.650414346,130.530773798,1732006.34591017,1496,22.5,0.842740883936074
"result.3297",0,14,12,127.81969452,106.5164121,127.19312739,1731721.10669644,1487,22,0.841083401256703
"result.2721",0,10,10,129.263484732,105.184992478,127.362551133,1731694.94599181,1496,22.5,0.840931385290055
"result.3042",1,14,11,128.44626165,106.5164121,126.56656026,1731637.47291364,1491,22,0.840597417774307
"result.2466",1,10,9,129.897129265,105.184992478,126.7289066,1731526.01662434,1499,22.5,0.839949761841561
"result.2787",2,14,10,129.07282878,106.5164121,125.93999313,1731470.20534804,1494,22,0.839625450809517
"result.2532",3,14,9,129.69939591,106.5164121,125.313426,1731219.30399963,1498,22,0.83816750036233
"result.4069",4,14,15,128.83506792,105.29789205,127.59626919,1730978.78065815,1493,21.5,0.836769854971041
"result.3814",5,14,14,129.454467285,105.29789205,126.976869825,1730857.58628871,1496,21.5,0.836065612501834
"result.3988",3,9,15,129.69939591,103.38357645,129.07282878,1730710.1218514,1498,22,0.835208718572453
"result.3559",6,14,13,130.07386665,105.29789205,126.35747046,1730655.59567297,1500,21.5,0.834891875053155
"result.1265",0,15,4,129.263484732,108.353215143,123.560683935,1730605.04627756,1495,22.5,0.834598140028988
"result.1010",1,15,3,129.897129265,108.353215143,122.927039402,1730170.00227397,1499,22.5,0.832070163979401
"result.3537",0,13,13,127.81969452,105.88984497,127.81969452,1730014.97752728,1487,22,0.831169338215836
"result.3282",1,13,12,128.44626165,105.88984497,127.19312739,1729973.4066176,1490,22,0.830927775837822
"result.3027",2,13,11,129.07282878,105.88984497,126.56656026,1729848.69388854,1494,22,0.830203088703781
"result.2961",0,9,11,129.263484732,104.551347945,127.996195666,1729826.54648166,1495,22.5,0.83007439341394
"result.3922",1,5,15,129.897129265,102.016769813,130.530773798,1729752.76708924,1498,22.5,0.829645672329507
"result.2706",1,9,10,129.897129265,104.551347945,127.362551133,1729700.61269115,1498,22.5,0.82934261087327
"result.2772",3,13,10,129.69939591,105.88984497,125.93999313,1729640.8393401,1497,22,0.828995276813709
"result.1505",0,14,5,129.263484732,107.71957061,124.194328468,1729307.54661773,1495,22.5,0.827058562337242
"result.4054",5,13,15,129.454467285,104.678492685,127.59626919,1729069.61288537,1496,21.5,0.82567596477965
"result.1250",1,14,4,129.897129265,107.71957061,123.560683935,1728918.29671978,1498,22.5,0.824796689029717
"result.3799",6,13,14,130.07386665,104.678492685,126.976869825,1728908.97093685,1499,21.5,0.824742498291054
"result.3973",4,8,15,130.32596304,102.75700932,129.07282878,1728531.21582769,1500,22,0.822547419492869
"result.3522",1,12,13,128.44626165,105.26327784,127.81969452,1728208.48781876,1489,22,0.820672094996095
"result.3777",0,12,14,127.81969452,105.26327784,128.44626165,1728208.48781876,1486,22,0.820672094996095
"result.3267",2,12,12,129.07282878,105.26327784,127.19312739,1728125.83796282,1493,22,0.820191828966435
"result.3012",3,12,11,129.69939591,105.26327784,126.56656026,1727960.53825093,1497,22,0.819231296907111
"result.1745",0,13,6,129.263484732,107.085926077,124.827973001,1727906.24698512,1494,22.5,0.818915818430155
"result.3201",0,8,12,129.263484732,103.917703412,128.629840199,1727854.34699873,1494,22.5,0.818614235322485
"result.2946",1,8,11,129.897129265,103.917703412,127.996195666,1727770.89996178,1498,22.5,0.818129336992506
"result.2757",4,12,10,130.32596304,105.26327784,125.93999313,1727712.58868309,1500,22,0.817790498818128
"result.1490",1,13,5,129.897129265,107.085926077,124.194328468,1727562.28236942,1498,22.5,0.816917091167559
"result.4039",6,12,15,130.07386665,104.05909332,127.59626919,1727062.53907295,1498,21.5,0.814013157142548
"result.1985",0,12,7,129.263484732,106.452281544,125.461617534,1726401.14737972,1493,22.5,0.810169908307728
"result.3762",1,11,14,128.44626165,104.63671071,128.44626165,1726342.71651714,1489,22,0.809830375249127
"result.3507",2,11,13,129.07282878,104.63671071,127.81969452,1726301.63757088,1492,22,0.809591671597481
"result.4017",0,11,15,127.81969452,104.63671071,129.07282878,1726301.63757088,1485,22,0.809591671597481
"result.3252",3,11,12,129.69939591,104.63671071,127.19312739,1726178.4007321,1496,22,0.808875560642539
"result.1730",1,12,6,129.897129265,106.452281544,124.827973001,1726101.95922287,1497,22.5,0.808431370392927
"result.2997",4,11,11,130.32596304,104.63671071,126.56656026,1725973.00600081,1499,22,0.807682042384304
"result.3441",0,7,13,129.263484732,103.284058879,129.263484732,1725778.347543,1493,22.5,0.80655091101569
"result.3186",1,7,12,129.897129265,103.284058879,128.629840199,1725736.87843623,1497,22.5,0.806309940199268
"result.1475",2,12,5,130.530773798,106.452281544,124.194328468,1725717.28873548,1500,22.5,0.806196107359609
"result.2931",2,7,11,130.530773798,103.284058879,127.996195666,1725612.4711159,1500,22.5,0.805587027750001
"result.2225",0,11,8,129.263484732,105.818637011,126.095262067,1724792.24780153,1493,22.5,0.800820831969963
"result.2801",0,15,10,127.81969452,107.14297923,125.93999313,1724746.04921076,1484,22,0.800552378824926
"result.2546",1,15,9,128.44626165,107.14297923,125.313426,1724577.7977183,1488,22,0.799574694407402
"result.1970",1,11,7,129.897129265,105.818637011,125.461617534,1724537.32728013,1496,22.5,0.79933952670582
"result.4083",2,15,15,127.59626919,105.917291415,127.59626919,1724419.07600294,1483,21.5,0.798652386108316
"result.3828",3,15,14,128.215668555,105.917291415,126.976869825,1724378.44024378,1486,21.5,0.798416257750993
"result.3747",2,10,14,129.07282878,104.01014358,128.44626165,1724376.09271272,1491,22,0.798402616596918
"result.4002",1,10,15,128.44626165,104.01014358,129.07282878,1724376.09271272,1488,22,0.798402616596918
"result.2291",2,15,8,129.07282878,107.14297923,124.68685887,1724325.42047961,1491,22,0.798108167781114
"result.3492",3,10,13,129.69939591,104.01014358,127.81969452,1724294.42678363,1495,22,0.797928068019991
"result.3573",4,15,13,128.83506792,105.917291415,126.35747046,1724256.53296628,1490,21.5,0.797707872679027
"result.1715",2,11,6,130.530773798,105.818637011,124.827973001,1724197.4332516,1500,22.5,0.797364453020296
"result.3237",4,10,12,130.32596304,104.01014358,127.19312739,1724131.09492546,1498,22,0.796978970866136
"result.3318",5,15,12,129.454467285,105.917291415,125.738071095,1724053.35417044,1493,21.5,0.796527230892415
"result.2036",3,15,7,129.69939591,107.14297923,124.06029174,1723988.91749469,1495,22,0.796152798946065
"result.3841",0,0,15,130.6932018,99.9418602,131.9745077,1723814.29151877,1500,23,0.795138073352514
