"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3777",0,12,14,111.79755072,134.50642821,133.9241493,2013882.95273211,1500,19,1
"result.4017",0,11,15,111.79755072,133.9241493,134.50642821,2013882.95273211,1500,19,1
"result.3537",0,13,13,111.79755072,135.08870712,133.34187039,2013807.14309715,1500,19,0.999602231482547
"result.3297",0,14,12,111.79755072,135.67098603,132.75959148,2013655.52382723,1500,19,0.998806694447642
"result.3057",0,15,11,111.79755072,136.25326494,132.17731257,2013428.09492235,1500,19,0.997613388895285
"result.3761",0,11,14,111.79755072,133.9241493,133.9241493,2005164.84471163,1497,19,0.95425662049295
"result.3521",0,12,13,111.79755072,134.50642821,133.34187039,2005126.93989415,1497,19,0.954057736234223
"result.4001",0,10,15,111.79755072,133.34187039,134.50642821,2005126.93989415,1497,19,0.954057736234223
"result.3281",0,13,12,111.79755072,135.08870712,132.75959148,2005013.22544171,1497,19,0.953461083458045
"result.3041",0,14,11,111.79755072,135.67098603,132.17731257,2004823.70135431,1497,19,0.952466662164413
"result.2801",0,15,10,111.79755072,136.25326494,131.59503366,2004558.36763194,1497,19,0.95107447235333
"result.4084",3,15,15,112.040984835,134.449181802,132.725474343,1999352.487598,1496,18.5,0.923759538252815
"result.3490",1,10,13,112.37982963,133.34187039,133.34187039,1998119.48418339,1498,19,0.917290044757712
"result.3250",1,11,12,112.37982963,133.9241493,132.75959148,1998081.38194498,1498,19,0.917090124643472
"result.3730",1,9,14,112.37982963,132.75959148,133.9241493,1998081.38194498,1498,19,0.917090124643472
"result.3010",1,12,11,112.37982963,134.50642821,132.17731257,1997967.07522977,1498,19,0.91649036430075
"result.3970",1,8,15,112.37982963,132.17731257,134.50642821,1997967.07522977,1498,19,0.91649036430075
"result.2770",1,13,10,112.37982963,135.08870712,131.59503366,1997776.56403775,1498,19,0.915490763729548
"result.2530",1,14,9,112.37982963,135.67098603,131.01275475,1997509.84836891,1498,19,0.914091322929864
"result.2290",1,15,8,112.37982963,136.25326494,130.43047584,1997166.92822327,1498,19,0.912292041901699
"result.3505",0,11,13,111.79755072,133.9241493,133.34187039,1996446.73669114,1493,19,0.908513240985899
"result.3745",0,10,14,111.79755072,133.34187039,133.9241493,1996446.73669114,1493,19,0.908513240985899
"result.3265",0,12,12,111.79755072,134.50642821,132.75959148,1996370.92705618,1493,19,0.908115472468447
"result.3985",0,9,15,111.79755072,132.75959148,134.50642821,1996370.92705618,1493,19,0.908115472468447
"result.3025",0,13,11,111.79755072,135.08870712,132.17731257,1996219.30778626,1493,19,0.907319935433542
"result.2785",0,14,10,111.79755072,135.67098603,131.59503366,1995991.87888138,1493,19,0.906126629881184
"result.2545",0,15,9,111.79755072,136.25326494,131.01275475,1995688.64034154,1493,19,0.904535555811373
"result.4053",4,13,15,112.615553988,133.300043496,132.725474343,1992429.46123288,1497,18.5,0.887434842388422
"result.3813",4,14,14,112.615553988,133.874612649,132.15090519,1992355.10575217,1497,18.5,0.887044703729349
"result.3573",4,15,13,112.615553988,134.449181802,131.576336037,1992206.39479074,1497,18.5,0.886264426411203
"result.3219",2,9,12,112.96210854,132.75959148,132.75959148,1990969.49056523,1499,19,0.879774465599949
"result.2979",2,10,11,112.96210854,133.34187039,132.17731257,1990931.1909059,1499,19,0.879573509630194
"result.3459",2,8,13,112.96210854,132.17731257,133.34187039,1990931.1909059,1499,19,0.879573509630194
"result.2739",2,11,10,112.96210854,133.9241493,131.59503366,1990816.29192791,1499,19,0.87897064172093
"result.3699",2,7,14,112.96210854,131.59503366,133.9241493,1990816.29192791,1499,19,0.87897064172093
"result.4068",3,14,15,112.040984835,133.874612649,132.725474343,1990808.24619801,1493,18.5,0.878928426268279
"result.3828",3,15,14,112.040984835,134.449181802,132.15090519,1990697.28202399,1493,18.5,0.878346204034714
"result.2499",2,12,9,112.96210854,134.50642821,131.01275475,1990624.79363127,1499,19,0.877965861872157
"result.3939",2,6,15,112.96210854,131.01275475,134.50642821,1990624.79363127,1499,19,0.877965861872157
"result.2259",2,13,8,112.96210854,135.08870712,130.43047584,1990356.69601596,1499,19,0.876559170083873
"result.2019",2,14,7,112.96210854,135.67098603,129.84819693,1990011.999082,1499,19,0.874750566356081
"result.1779",2,15,6,112.96210854,136.25326494,129.26591802,1989590.70282938,1499,19,0.872540050688779
"result.3234",1,10,12,112.37982963,133.34187039,132.75959148,1989394.0715887,1495,19,0.871508338596636
"result.3474",1,9,13,112.37982963,132.75959148,133.34187039,1989394.0715887,1495,19,0.871508338596636
"result.2994",1,11,11,112.37982963,133.9241493,132.17731257,1989317.86711189,1495,19,0.871108498368156
"result.3714",1,8,14,112.37982963,132.17731257,133.9241493,1989317.86711189,1495,19,0.871108498368156
"result.2754",1,12,10,112.37982963,134.50642821,131.59503366,1989165.45815827,1495,19,0.870308817911194
"result.3954",1,7,15,112.37982963,131.59503366,134.50642821,1989165.45815827,1495,19,0.870308817911194
"result.4083",2,15,15,111.466415682,134.449181802,132.725474343,1989099.39791801,1489,18.5,0.869962203871372
"result.2514",1,13,9,112.37982963,135.08870712,131.01275475,1988936.84472785,1495,19,0.869109297225751
"result.2274",1,14,8,112.37982963,135.67098603,130.43047584,1988632.02682061,1494,19,0.867509936311827
"result.2034",1,15,7,112.37982963,136.25326494,129.84819693,1988251.00443656,1494,19,0.865510735169422
"result.3489",0,10,13,111.79755072,133.34187039,133.34187039,1987766.53348814,1490,19,0.862968745737576
"result.3249",0,11,12,111.79755072,133.9241493,132.75959148,1987728.62867066,1490,19,0.862769861478849
"result.3729",0,9,14,111.79755072,132.75959148,133.9241493,1987728.62867066,1490,19,0.862769861478849
"result.3009",0,12,11,111.79755072,134.50642821,132.17731257,1987614.91421822,1490,19,0.86217320870267
"result.3969",0,8,15,111.79755072,132.17731257,134.50642821,1987614.91421822,1490,19,0.86217320870267
"result.2769",0,13,10,111.79755072,135.08870712,131.59503366,1987425.39013082,1490,19,0.861178787409039
"result.2529",0,14,9,111.79755072,135.67098603,131.01275475,1987160.05640845,1490,19,0.859786597597955
"result.2289",0,15,8,111.79755072,136.25326494,130.43047584,1986818.91305113,1490,19,0.857996639269418
"result.2145",0,6,8,113.258480064,132.724781325,132.134893408,1986279.06959186,1499,19.5,0.855164113660212
"result.2385",0,5,9,113.258480064,132.134893408,132.724781325,1986279.06959186,1499,19.5,0.855164113660212
"result.1905",0,7,7,113.258480064,133.314669242,131.545005491,1986200.24899386,1499,19.5,0.854750546803871
"result.2625",0,4,10,113.258480064,131.545005491,133.314669242,1986200.24899386,1499,19.5,0.854750546803871
"result.1665",0,8,6,113.258480064,133.904557159,130.955117574,1986042.60779786,1499,19.5,0.85392341309119
"result.2865",0,3,11,113.258480064,130.955117574,133.904557159,1986042.60779786,1499,19.5,0.85392341309119
"result.1425",0,9,5,113.258480064,134.494445076,130.365229657,1985806.14600386,1499,19.5,0.852682712522166
"result.3105",0,2,12,113.258480064,130.365229657,134.494445076,1985806.14600386,1499,19.5,0.852682712522166
"result.1185",0,10,4,113.258480064,135.084332993,129.77534174,1985490.86361186,1499,19.5,0.851028445096803
"result.3345",0,1,13,113.258480064,129.77534174,135.084332993,1985490.86361186,1499,19.5,0.851028445096803
