"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,113.80835781,144.20437884,120.1703157,1972194.78933978,1498,28,1
"result.4050",1,13,15,114.51524202,142.79061042,120.1703157,1964989.10870646,1500,28,0.963904526943113
"result.3810",1,14,14,114.51524202,143.49749463,119.46343149,1963100.79651696,1499,28,0.954445389739087
"result.4065",0,14,15,113.80835781,143.49749463,120.1703157,1962527.16782341,1494,28,0.951571906982009
"result.3505",0,11,13,114.819564356,142.6329992,119.811719328,1962163.57606997,1500,28.5,0.949750563932322
"result.3570",1,15,13,114.51524202,144.20437884,118.75654728,1961098.04116446,1498,28,0.944412971492394
"result.3825",0,15,14,113.80835781,144.20437884,119.46343149,1960593.64352013,1493,28,0.941886288378412
"result.3265",0,12,12,114.819564356,143.346164196,119.098554332,1960236.45112919,1500,28.5,0.940097001705927
"result.3025",0,13,11,114.819564356,144.059329192,118.385389336,1958192.53073745,1499,28.5,0.929858375102174
"result.2785",0,14,10,114.819564356,144.772494188,117.67222434,1956031.81489475,1498,28.5,0.919034684121064
"result.3969",0,8,15,114.819564356,140.493504212,121.23804932,1955739.82626736,1498,28.5,0.917572023177671
"result.4084",3,15,15,114.888342372,142.909889292,119.09157441,1955326.48539002,1498,27.5,0.915501471447628
"result.4034",1,12,15,114.51524202,142.08372621,120.1703157,1955261.43985147,1496,28,0.915175638316314
"result.3729",0,9,14,114.819564356,141.206669208,120.524884324,1954104.68995397,1497,28.5,0.909381121894669
"result.3539",2,13,13,115.22212623,142.79061042,118.75654728,1953858.45144581,1500,28,0.908147637385827
"result.2545",0,15,9,114.819564356,145.485659184,116.959059344,1953754.3036011,1497,28.5,0.907625928762597
"result.3794",1,13,14,114.51524202,142.79061042,119.46343149,1953430.34924348,1495,28,0.906003141633623
"result.4049",0,13,15,113.80835781,142.79061042,120.1703157,1952859.54630703,1490,28,0.903143813964019
"result.3489",0,10,13,114.819564356,141.919834204,119.811719328,1952352.75818962,1497,28.5,0.90060515623431
"result.3299",2,14,12,115.22212623,143.49749463,118.04966307,1951843.33340595,1499,28,0.898053290631437
"result.3554",1,14,13,114.51524202,143.49749463,118.75654728,1951484.81547248,1494,28,0.896257363908263
