"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,99.5112,130.2426,174.1446,2257018.0529654,1498,30,1
"result.3553",0,14,13,99.924777224,130.049158593,173.398878124,2253341.51805151,1500,30.5,0.984420486330382
"result.3793",0,13,14,99.924777224,129.314417584,174.133619133,2250104.88846511,1499,30.5,0.970705095054128
"result.3825",0,15,14,99.5112,130.2426,173.4129,2247534.78383529,1495,30,0.959814138990766
"result.3057",0,15,11,99.924777224,130.783899602,171.929396106,2246868.25887871,1498,30.5,0.956989703777873
"result.4033",0,12,15,99.924777224,128.579676575,174.868360142,2246760.37122583,1498,30.5,0.956532524068665
"result.3314",1,15,12,100.2429,130.2426,171.9495,2244954.77679254,1500,30,0.948881220922077
"result.4065",0,14,15,99.5112,129.5109,174.1446,2244338.17626334,1494,30,0.946268343144957
"result.3297",0,14,12,99.924777224,130.049158593,172.664137115,2243793.46077163,1497,30.5,0.943960082065432
"result.2529",0,14,9,100.33664928,130.58519796,171.16251936,2242653.69357757,1500,31,0.939130257517082
"result.3505",0,11,13,100.33664928,128.37188952,174.11359728,2242653.69357757,1500,31,0.939130257517082
"result.3554",1,14,13,100.2429,129.5109,172.6812,2241842.00182113,1499,30,0.935690670212421
"result.3537",0,13,13,99.924777224,129.314417584,173.398878124,2240610.77501167,1496,30.5,0.930473280643782
"result.2769",0,13,10,100.33664928,129.84742848,171.90028884,2239595.33085498,1499,31,0.926170281626958
"result.3745",0,10,14,100.33664928,127.63412004,174.85136676,2239213.03551466,1498,31,0.924550284640691
"result.3794",1,13,14,100.2429,128.7792,173.4129,2238621.88978175,1498,30,0.922045272926567
"result.3569",0,15,13,99.5112,130.2426,172.6812,2238051.51470518,1492,30,0.919628277981532
"result.3026",1,13,11,100.659518233,129.314417584,171.929396106,2237958.00801732,1500,30.5,0.919232038382068
"result.4002",1,10,15,100.659518233,127.110194557,174.868360142,2237414.6032951,1500,30.5,0.91692933175848
"result.3777",0,12,14,99.924777224,128.579676575,174.133619133,2237320.20159883,1495,30.5,0.916529299512923
"result.2801",0,15,10,99.924777224,130.783899602,171.194655097,2237266.25777239,1495,30.5,0.91630070965832
"result.3009",0,12,11,100.33664928,129.109659,172.63805832,2236427.7408923,1497,31,0.912747449455044
"result.2033",0,15,7,100.33664928,131.32296744,169.6869804,2235881.60469184,1497,31,0.910433168046094
"result.3985",0,9,15,100.33664928,126.89635056,175.58913624,2235663.15021166,1497,31,0.909507455482514
"result.3058",1,15,11,100.2429,130.2426,171.2178,2235401.77774236,1496,30,0.908399875640716
"result.4034",1,12,15,100.2429,128.0475,174.1446,2235294.44067438,1496,30,0.907945029064521
"result.2241",0,12,8,100.746838064,129.63747545,171.121467594,2234943.17809543,1500,31.5,0.906456535067185
"result.3809",0,14,14,99.5112,129.5109,173.4129,2234908.1839261,1491,30,0.90630824539982
"result.3266",1,12,12,100.659518233,128.579676575,172.664137115,2234751.92015619,1499,30.5,0.905646069302906
"result.3217",0,9,12,100.746838064,127.415118728,174.08460989,2234666.74727563,1500,31.5,0.905285144658371
"result.2290",1,15,8,100.659518233,130.783899602,169.725173079,2234371.53685063,1499,30.5,0.904034174666395
"result.3041",0,14,11,99.924777224,130.049158593,171.929396106,2234245.40349175,1494,30.5,0.903499677800482
"result.4017",0,11,15,99.924777224,127.844935566,174.868360142,2233921.74053311,1494,30.5,0.902128138672856
"result.1265",0,15,4,100.746838064,131.859832172,168.158325298,2233892.74098019,1500,31.5,0.902005251513689
"result.3249",0,11,12,100.33664928,128.37188952,173.3758278,2233150.92368953,1496,31,0.898861761001341
"result.4083",2,15,15,100.128874176,129.151736256,172.686029376,2233144.29425873,1495,29.5,0.898833668433144
"result.2273",0,14,8,100.33664928,130.58519796,170.42474988,2232987.08282939,1496,31,0.898167476578655
"result.3298",1,14,12,100.2429,129.5109,171.9495,2232342.67130494,1495,30,0.895436748219156
"result.2481",0,11,9,100.746838064,128.896689876,171.862253168,2231791.8667497,1499,31.5,0.8931026844067
"result.4049",0,13,15,99.5112,128.7792,174.1446,2231658.29956129,1490,30,0.892536686289912
"result.2530",1,14,9,100.659518233,130.049158593,170.459914088,2231437.15135061,1498,30.5,0.891599558899027
"result.3506",1,11,13,100.659518233,127.844935566,173.398878124,2231437.15135061,1498,30.5,0.891599558899027
"result.1505",0,14,5,100.746838064,131.119046598,168.899110872,2231128.43278217,1499,31.5,0.890291347425545
"result.3457",0,8,13,100.746838064,126.674333154,174.825395464,2231128.43278217,1499,31.5,0.890291347425545
"result.3281",0,13,12,99.924777224,129.314417584,172.664137115,2231116.66155823,1493,30.5,0.890241466233435
"result.3572",3,15,13,100.854445728,129.151736256,171.234886272,2230424.59593422,1499,29.5,0.887308801073955
"result.2513",0,13,9,100.33664928,129.84742848,171.16251936,2229983.33372685,1495,31,0.885438928829426
"result.3489",0,10,13,100.33664928,127.63412004,174.11359728,2229764.87924667,1495,31,0.884513216265846
"result.2787",2,14,10,100.9746,129.5109,170.4861,2229499.80596798,1500,30,0.88338995404599
"result.3763",2,11,14,100.9746,127.3158,173.4129,2229337.62514264,1500,30,0.882702704109695
"result.3538",1,13,13,100.2429,128.7792,172.6812,2229176.22779954,1494,30,0.882018774221401
"result.3313",0,15,12,99.5112,130.2426,171.9495,2228568.24557508,1489,30,0.879442416972296
"result.2721",0,10,10,100.746838064,128.155904302,172.603038742,2228529.98307604,1498,31.5,0.87928027758269
"result.2770",1,13,10,100.659518233,129.314417584,171.194655097,2228394.08490614,1497,30.5,0.878704401806939
"result.1745",0,13,6,100.746838064,130.378261024,169.639896446,2228253.55225624,1498,31.5,0.878108887173875
"result.3746",1,10,14,100.659518233,127.110194557,174.133619133,2228013.70160058,1497,30.5,0.877092507170429
"result.3521",0,12,13,99.924777224,128.579676575,173.398878124,2227880.03197183,1492,30.5,0.876526074957182
"result.2545",0,15,9,99.924777224,130.783899602,170.459914088,2227664.25666607,1491,30.5,0.875611715538765
"result.3697",0,7,14,100.746838064,125.93354758,175.566181038,2227479.54596079,1498,31.5,0.874828994029194
"result.3812",3,14,14,100.854445728,128.426164704,171.960457824,2227291.9771197,1498,29.5,0.874034161015988
"result.2978",1,10,11,101.07441876,127.63412004,172.63805832,2227124.95323061,1500,31,0.87332638833758
"result.2002",1,13,7,101.07441876,129.84742848,169.6869804,2227014.92284904,1500,31,0.872860128700777
"result.2753",0,12,10,100.33664928,129.109659,171.90028884,2226870.35738422,1494,31,0.872247524798408
"result.1953",0,10,7,101.15536248,128.67557139,171.0715689,2226705.87217187,1500,32,0.871550509898718
"result.3027",2,13,11,100.9746,128.7792,171.2178,2226418.37028649,1499,30,0.870332205256389
"result.3729",0,9,14,100.33664928,126.89635056,174.85136676,2226269.60756371,1494,31,0.869701815248561
"result.1777",0,15,6,100.33664928,131.32296744,168.94921092,2226160.38032362,1494,31,0.869238958966773
"result.2929",0,7,11,101.15536248,126.4442031,174.04672662,2226146.257728,1500,32,0.869179113711211
"result.977",0,13,3,101.15536248,130.90693968,168.09641118,2225922.41195045,1500,32,0.868230555236208
"result.3954",1,7,15,101.07441876,125.4208116,175.58913624,2225914.61903341,1499,31,0.868197532332745
"result.3778",1,12,14,100.2429,128.0475,173.4129,2225902.44722617,1493,30,0.868145953647452
"result.4003",2,10,15,100.9746,126.5841,174.1446,2225877.76753535,1499,30,0.868041372135408
"result.2802",1,15,10,100.2429,130.2426,170.4861,2225848.77869218,1493,30,0.867918530359355
"result.1985",0,12,7,100.746838064,129.63747545,170.38068202,2225268.09940238,1497,31.5,0.865457870758679
"result.3010",1,12,11,100.659518233,128.579676575,171.929396106,2225242.33751723,1496,30.5,0.865348703390136
"result.2961",0,9,11,100.746838064,127.415118728,173.343824316,2225157.52707446,1497,31.5,0.864989314595153
"result.2034",1,15,7,100.659518233,130.783899602,168.99043207,2224698.932795,1496,30.5,0.86304599676655
"result.2785",0,14,10,99.924777224,130.049158593,171.194655097,2224697.34621187,1490,30.5,0.863039273535532
"result.3761",0,11,14,99.924777224,127.844935566,174.133619133,2224535.51473255,1490,30.5,0.86235350397172
"result.3986",1,9,15,100.659518233,126.375453548,174.868360142,2224481.57090611,1496,30.5,0.862124914117115
"result.3905",0,4,15,101.15536248,124.21283481,177.02188434,2224243.56861883,1499,32,0.861116366673681
"result.4052",3,13,15,100.854445728,127.700593152,172.686029376,2224053.1678369,1497,29.5,0.860309533159447
"result.1009",0,15,3,100.746838064,131.859832172,167.417539724,2224051.80379525,1496,31.5,0.860303752959895
"result.2242",1,12,8,101.07441876,129.109659,170.42474988,2223989.08735604,1499,31,0.860037988688686
"result.3827",2,15,14,100.128874176,129.151736256,171.960457824,2223761.33503915,1492,29.5,0.859072876043938
"result.3937",0,6,15,100.746838064,125.192762006,176.306966612,2223720.08681149,1496,31.5,0.858898084469317
"result.3218",1,9,12,101.07441876,126.89635056,173.3758278,2223714.01140213,1499,31,0.858872339596678
"result.2993",0,11,11,100.33664928,128.37188952,172.63805832,2223648.15380149,1493,31,0.858593264485599
"result.2193",0,9,8,101.15536248,127.93178196,171.81535833,2223460.1083974,1499,32,0.85779641201117
"result.2017",0,14,7,100.33664928,130.58519796,169.6869804,2223320.47208121,1493,31,0.857204695640229
"result.3267",2,12,12,100.9746,128.0475,171.9495,2223228.81405478,1498,30,0.856816289842593
"result.1217",0,12,4,101.15536248,130.16315025,168.84020061,2223068.37828669,1499,32,0.856136434679914
"result.1266",1,15,4,101.07441876,131.32296744,167.47367196,2222943.79873119,1498,31,0.855608522139056
"result.2291",2,15,8,100.9746,130.2426,169.0227,2222850.39212898,1498,30,0.855212706657906
"result.3042",1,14,11,100.2429,129.5109,171.2178,2222843.34078875,1492,30,0.855182826225892
"result.3969",0,8,15,100.33664928,126.15858108,175.58913624,2222665.10864066,1493,31,0.854427557949488
"result.4018",1,11,15,100.2429,127.3158,174.1446,2222521.32958481,1492,30,0.853818286497307
"result.3169",0,6,12,101.15536248,125.70041367,174.79051605,2222508.76384282,1499,32,0.853765038492404
"result.2225",0,11,8,100.746838064,128.896689876,171.121467594,2222172.0742206,1496,31.5,0.852338298179956
"result.3250",1,11,12,100.659518233,127.844935566,172.664137115,2221981.90918387,1495,30.5,0.851532463648616
"result.3475",2,9,13,101.394259242,126.375453548,173.398878124,2221889.09407073,1500,30.5,0.851139154634077
"result.2274",1,14,8,100.659518233,130.049158593,169.725173079,2221818.8877672,1495,30.5,0.85084165166154
"result.3201",0,8,12,100.746838064,126.674333154,174.08460989,2221674.49874496,1496,31.5,0.85022979544409
"result.3025",0,13,11,99.924777224,129.314417584,171.929396106,2221622.54810479,1489,30.5,0.850009651823091
"result.1523",2,15,5,101.394259242,130.783899602,167.520950052,2221451.19712669,1500,30.5,0.849283542873172
"result.1249",0,14,4,100.746838064,131.119046598,168.158325298,2221342.7817612,1495,31.5,0.848824126953513
"result.241",0,15,0,101.15536248,132.39451854,165.86504289,2221333.57351069,1498,32,0.848785106498637
"result.4001",0,10,15,99.924777224,127.110194557,174.868360142,2221083.10984039,1489,30.5,0.847723753277047
"result.3316",3,15,12,100.854445728,129.151736256,170.50931472,2220973.64425653,1496,29.5,0.847259887000769
"result.2482",1,11,9,101.07441876,128.37188952,171.16251936,2220853.22148148,1498,31,0.846749589039794
"result.4067",2,14,15,100.128874176,128.426164704,172.686029376,2220598.5397966,1491,29.5,0.845670361755442
"result.2257",0,13,8,100.33664928,129.84742848,170.42474988,2220371.33659872,1492,31,0.844707576031896
"result.3233",0,10,12,100.33664928,127.63412004,173.3758278,2220316.72297867,1492,31,0.844476147890999
"result.1506",1,14,5,101.07441876,130.58519796,168.21144144,2220193.0391921,1498,31,0.843952031218972
"result.3458",1,8,13,101.07441876,126.15858108,174.11359728,2220193.0391921,1498,31,0.843952031218972
"result.1457",0,11,5,101.15536248,129.41936082,169.58399004,2220102.42173416,1498,32,0.843568034886119
"result.2433",0,8,9,101.15536248,127.18799253,172.55914776,2220102.42173416,1498,32,0.843568034886119
"result.2531",2,14,9,100.9746,129.5109,169.7544,2219931.13727284,1497,30,0.8428422078046
"result.3507",2,11,13,100.9746,127.3158,172.6812,2219931.13727284,1497,30,0.8428422078046
"result.3282",1,13,12,100.2429,128.7792,171.9495,2219730.56581734,1491,30,0.841992275516237
"result.2739",2,11,10,101.394259242,127.844935566,171.194655097,2219152.23817046,1500,30.5,0.839541581128419
"result.1714",1,11,6,101.487623638,128.896689876,169.639896446,2219130.52217096,1500,31.5,0.83944955841709
"result.2465",0,10,9,100.746838064,128.155904302,171.862253168,2218965.4767109,1495,31.5,0.838750169437708
"result.2690",1,8,10,101.487623638,126.674333154,172.603038742,2218963.44413135,1500,31.5,0.838741556272938
"result.2514",1,13,9,100.659518233,129.314417584,170.459914088,2218830.16179495,1494,30.5,0.838176765231813
"result.481",0,14,1,101.15536248,131.65072911,166.60883232,2218759.34706887,1498,32,0.837876684036097
"result.3409",0,5,13,101.15536248,124.95662424,175.53430548,2218759.34706887,1498,32,0.837876684036097
"result.1763",2,14,6,101.394259242,130.049158593,168.255691061,2218659.60410842,1499,30.5,0.837454017897401
"result.3490",1,10,13,100.659518233,127.110194557,173.398878124,2218612.79990606,1494,30.5,0.837255682582378
"result.1489",0,13,5,100.746838064,130.378261024,168.899110872,2218523.18739922,1495,31.5,0.836875944783605
"result.3265",0,12,12,99.924777224,128.579676575,172.664137115,2218439.86234483,1488,30.5,0.836522850401441
"result.3715",2,8,14,101.394259242,125.640712539,174.133619133,2218331.18140038,1499,30.5,0.836062309076722
"result.3441",0,7,13,100.746838064,125.93354758,174.825395464,2218080.89808754,1494,31.5,0.835001720129503
"result.2289",0,15,8,99.924777224,130.783899602,169.725173079,2218062.25555975,1488,30.5,0.834922721419211
"result.738",1,14,2,101.487623638,131.119046598,166.67675415,2217960.97589365,1500,31.5,0.834493543408032
"result.1665",0,8,6,101.562244696,127.699587081,171.012897319,2217944.36874993,1500,32.5,0.834423169746759
"result.2805",4,15,10,101.58001728,129.151736256,169.058171616,2217913.98364145,1500,29.5,0.83429441122168
"result.3556",3,14,13,100.854445728,128.426164704,171.234886272,2217894.12067616,1495,29.5,0.834210240842091
"result.2722",1,10,10,101.07441876,127.63412004,171.90028884,2217607.32522535,1497,31,0.832994929754097
"result.3666",1,5,14,101.487623638,124.451976432,175.566181038,2217459.74177481,1500,31.5,0.832369536975578
"result.689",0,11,2,101.562244696,129.939930714,168.025772475,2217434.61366633,1500,32.5,0.83226305526964
