"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3057",0,15,11,118.051068975,124.796844345,129.518887104,1908124.16630018,1500,25.5,1
"result.3297",0,14,12,118.051068975,124.122266808,130.193464641,1907694.40860507,1500,25.5,0.997621550725547
"result.3537",0,13,13,118.051068975,123.447689271,130.868042178,1907157.21148617,1500,25.5,0.99464848913248
"result.3777",0,12,14,118.051068975,122.773111734,131.542619715,1906512.57494351,1500,25.5,0.991080815220802
"result.4017",0,11,15,118.051068975,122.098534197,132.217197252,1905760.49897706,1499,25.5,0.986918528990509
"result.3827",2,15,14,118.224318,123.56779,130.24713,1902743.55334232,1499,25,0.970221557097721
"result.4067",2,14,15,118.224318,122.899856,130.915064,1902163.36819785,1499,25,0.967010582747274
"result.4082",1,15,15,117.556384,123.56779,130.915064,1901696.12099367,1495,25,0.964424651683329
"result.2801",0,15,10,118.051068975,124.796844345,128.844309567,1898186.0196007,1496,25.5,0.944998360528276
"result.3041",0,14,11,118.051068975,124.122266808,129.518887104,1897809.98161747,1496,25.5,0.942917217413129
"result.3281",0,13,12,118.051068975,123.447689271,130.193464641,1897326.50421047,1496,25.5,0.940241461979369
"result.3506",1,11,13,118.725646512,122.098534197,130.868042178,1897092.9002062,1500,25.5,0.938948604909471
"result.3521",0,12,13,118.051068975,122.773111734,130.868042178,1896735.58737969,1496,25.5,0.936971094226997
"result.3746",1,10,14,118.725646512,121.42395666,131.542619715,1896336.5266628,1500,25.5,0.934762534186433
"result.3761",0,11,14,118.051068975,122.098534197,131.542619715,1896037.23112513,1496,25.5,0.933106114156011
"result.3986",1,9,15,118.725646512,120.749379123,132.217197252,1895472.09975606,1500,25.5,0.929978453360105
"result.4001",0,10,15,118.051068975,121.42395666,132.217197252,1895231.4354468,1495,25.5,0.928646521766412
"result.3316",3,15,12,118.892252,123.56779,128.911262,1893867.94238801,1500,25,0.92110041121788
"result.3556",3,14,13,118.892252,122.899856,129.579196,1893390.56354803,1500,25,0.918458407669131
"result.3571",2,15,13,118.224318,123.56779,129.579196,1892985.89409441,1495,25,0.916218806658392
"result.3796",3,13,14,118.892252,122.231922,130.24713,1892807.10052138,1500,25,0.915229292220658
"result.3811",2,14,14,118.224318,122.899856,130.24713,1892458.45305398,1495,25,0.913299739067078
"result.4036",3,12,15,118.892252,121.563988,130.915064,1892117.55330808,1499,25,0.911413064872465
"result.3826",1,15,14,117.556384,123.56779,130.24713,1891993.58976412,1491,25,0.910727001528969
"result.4051",2,13,15,118.224318,122.231922,130.915064,1891825.52380547,1495,25,0.909796857957499
"result.4066",1,14,15,117.556384,122.899856,130.915064,1891416.68250182,1491,25,0.907534168276548
"result.4081",0,15,15,116.88845,123.56779,130.915064,1890891.02939712,1486,25,0.90462499582961
"result.3185",0,7,12,119.203861,120.56619084,131.46482956,1889406.67422911,1500,26,0.896409986505673
"result.2290",1,15,8,118.725646512,124.796844345,127.495154493,1889042.92463718,1497,25.5,0.894396852214289
"result.2530",1,14,9,118.725646512,124.122266808,128.16973203,1888772.79122882,1497,25.5,0.89290182695606
"result.3425",0,6,13,119.203861,119.88502592,132.14599448,1888466.42325689,1500,26,0.891206265273674
