"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,154.13551398,84.58656255,111.52894914,1454091.38523406,1497,22,1
"result.3826",1,15,14,154.76208111,84.58656255,110.90238201,1451800.06556701,1498,22,0.984445676253898
"result.3571",2,15,13,155.38864824,84.58656255,110.27581488,1449442.33083713,1500,22,0.968440502544143
"result.4066",1,14,15,154.76208111,83.95999542,111.52894914,1449187.4937813,1497,22,0.966710574535452
"result.3811",2,14,14,155.38864824,83.95999542,110.90238201,1446880.18530283,1499,22,0.951047712835139
"result.3825",0,15,14,154.13551398,84.58656255,110.90238201,1445922.33250803,1492,22,0.944545454470425
"result.2289",0,15,8,155.876555118,85.542011955,108.353215143,1444781.1359195,1500,22.5,0.936798590752058
"result.4051",2,13,15,155.38864824,83.33342829,111.52894914,1444196.03283831,1498,22,0.932826695044753
"result.3570",1,15,13,154.76208111,84.58656255,110.27581488,1443597.80530956,1494,22,0.928765705742496
"result.4065",0,14,15,154.13551398,83.95999542,111.52894914,1443320.33793603,1491,22,0.926882154783226
"result.3505",0,11,13,155.876555118,83.007433823,111.521437808,1442966.16286593,1499,22.5,0.924477883662801
"result.2529",0,14,9,155.876555118,84.908367422,108.986859676,1442465.48064426,1499,22.5,0.92107906791404
"result.3796",3,13,14,156.01521537,83.33342829,110.90238201,1441873.22751185,1499,22,0.917058635019586
"result.3315",2,15,12,155.38864824,84.58656255,109.64924775,1441206.86304829,1496,22,0.912535107050914
"result.3810",1,14,14,154.76208111,83.95999542,110.90238201,1441045.99100725,1493,22,0.911443048250061
"result.3745",0,10,14,155.876555118,82.37378929,112.155082341,1440087.2400913,1498,22.5,0.904934693107429
"result.2769",0,13,10,155.876555118,84.274722889,109.620504209,1440024.65481359,1498,22.5,0.904509841138835
"result.4036",3,12,15,156.01521537,82.70686116,111.52894914,1439117.0024051,1498,22,0.8983483615279
"result.4087",6,15,15,156.08863998,83.618914275,110.25308697,1439019.16830524,1498,21.5,0.897684227542379
"result.3060",3,15,11,156.01521537,84.58656255,109.02268062,1438749.50572419,1498,22,0.895853658395675
"result.3555",2,14,13,155.38864824,83.95999542,110.27581488,1438705.72097908,1495,22,0.895556431382599
"result.4050",1,13,15,154.76208111,83.33342829,111.52894914,1438372.66173816,1491,22,0.893295502305603
"result.3490",1,10,13,156.510199651,82.37378929,111.521437808,1437772.09363945,1500,22.5,0.889218624350458
"result.3569",0,15,13,154.13551398,84.58656255,110.27581488,1437753.279782,1488,22,0.88909090894085
"result.2514",1,13,9,156.510199651,84.274722889,108.986859676,1437520.73488183,1499,22.5,0.887512308313987
"result.3009",0,12,11,155.876555118,83.641078356,110.254148742,1437458.65842751,1496,22.5,0.887090910426438
"result.3985",0,9,15,155.876555118,81.740144757,112.788726874,1437083.14676126,1496,22.5,0.884541798614867
"result.3781",4,12,14,156.6417825,82.70686116,110.90238201,1436779.19219407,1500,22,0.882478442807242
"result.3832",7,15,14,156.708039345,83.618914275,109.633687605,1436613.10361773,1500,21.5,0.881350972239063
"result.2033",0,15,7,155.876555118,85.542011955,107.71957061,1436332.12342874,1496,22.5,0.879443574991726
"result.3300",3,14,12,156.01521537,83.95999542,109.64924775,1436299.52785153,1496,22,0.879222304180843
"result.2805",4,15,10,156.6417825,84.58656255,108.39611349,1436225.73333729,1499,22,0.878721359776782
"result.3795",2,13,14,155.38864824,83.33342829,110.90238201,1436082.57197967,1493,22,0.877749527632903
"result.3314",1,15,12,154.76208111,84.58656255,109.64924775,1435395.54505212,1490,22,0.873085735231094
"result.3809",0,14,14,154.13551398,83.95999542,110.90238201,1435211.79671167,1487,22,0.871838383664981
"result.2754",1,12,10,156.510199651,83.641078356,109.620504209,1435007.14730553,1498,22.5,0.870449147949276
"result.3730",1,9,14,156.510199651,81.740144757,112.155082341,1434818.62823731,1498,22.5,0.869169410921922
"result.3249",0,11,12,155.876555118,83.007433823,110.887793275,1434767.49148601,1495,22.5,0.868822275776851
"result.2273",0,14,8,155.876555118,84.908367422,108.353215143,1434079.05343121,1495,22.5,0.864148904122305
"result.4072",7,14,15,156.708039345,82.99951491,110.25308697,1434027.86137226,1499,21.5,0.863801393528469
"result.4021",4,11,15,156.6417825,82.08029403,111.52894914,1433950.40248165,1498,22,0.863275573984894
"result.3045",4,14,11,156.6417825,83.95999542,109.02268062,1433827.41162459,1498,22,0.862440666644794
"result.3540",3,13,13,156.01521537,83.33342829,110.27581488,1433727.05108523,1495,22,0.86175938225527
"result.1778",1,15,6,156.510199651,85.542011955,107.085926077,1433687.51382798,1497,22.5,0.861490988757803
"result.4035",2,12,15,155.38864824,82.70686116,111.52894914,1433337.41605005,1492,22,0.859114395801826
"result.4086",5,15,15,155.469240615,83.618914275,110.25308697,1433308.77478022,1492,21.5,0.858919968289178
"result.3059",2,15,11,155.38864824,84.58656255,109.02268062,1432971.39525944,1492,22,0.856629711557683
"result.3554",1,14,13,154.76208111,83.95999542,110.27581488,1432904.4882332,1489,22,0.856175521964668
"result.4049",0,13,15,154.13551398,83.33342829,111.52894914,1432549.290638,1485,22,0.853764309566453
"result.2499",2,12,9,157.143844184,83.641078356,108.986859676,1432488.47149528,1500,22.5,0.853351446774109
"result.3475",2,9,13,157.143844184,81.740144757,111.521437808,1432488.47149528,1500,22.5,0.853351446774109
"result.2994",1,11,11,156.510199651,83.007433823,110.254148742,1432367.88035042,1497,22.5,0.852532829566329
"result.3489",0,10,13,155.876555118,82.37378929,111.521437808,1431951.15398909,1494,22.5,0.849703937190075
"result.3970",1,8,15,156.510199651,81.106500224,112.788726874,1431739.48345635,1496,22.5,0.848267039475152
"result.2513",0,13,9,155.876555118,84.274722889,108.986859676,1431700.81287825,1493,22.5,0.848004529315693
"result.3817",8,14,14,157.32743871,82.99951491,109.633687605,1431607.77615966,1500,21.5,0.847372961725115
"result.3766",5,11,14,157.26834963,82.08029403,110.90238201,1431598.07934949,1500,22,0.847307136198104
"result.2018",1,14,7,156.510199651,84.908367422,107.71957061,1431488.12469872,1496,22.5,0.84656072343868
"result.3285",4,13,12,156.6417825,83.33342829,109.64924775,1431306.09905482,1497,22,0.845325066172702
"result.2790",5,14,10,157.26834963,83.95999542,108.39611349,1431289.37229826,1500,22,0.845211518774448
"result.3780",3,12,14,156.01521537,82.70686116,110.90238201,1431032.07542529,1494,22,0.843464892618954
"result.1523",2,15,5,157.143844184,85.542011955,106.452281544,1430974.21306875,1499,22.5,0.843072101582737
"result.3831",6,15,14,156.08863998,83.618914275,109.633687605,1430934.79095521,1494,21.5,0.84280448972324
"result.3299",2,14,12,155.38864824,83.95999542,109.64924775,1430531.25665534,1490,22,0.84006514993006
"result.2804",3,15,10,156.01521537,84.58656255,108.39611349,1430480.83040394,1493,22,0.839722837920617
"result.3794",1,13,14,154.76208111,83.33342829,110.90238201,1430291.91644749,1487,22,0.838440420246221
"result.2739",2,11,10,157.143844184,83.007433823,109.620504209,1429901.61334996,1499,22.5,0.835790898738848
"result.3234",1,10,12,156.510199651,82.37378929,110.887793275,1429602.9340165,1495,22.5,0.833763353165147
"result.3313",0,15,12,154.13551398,84.58656255,109.64924775,1429584.22705596,1484,22,0.833636363411274
"result.1953",0,10,7,157.6006257,83.2848835,108.9110015,1429538.55081451,1500,23,0.83332629622284
"result.3715",2,8,14,157.143844184,81.106500224,112.155082341,1429459.95464222,1498,22.5,0.832792756391365
"result.2929",0,7,11,157.6006257,81.36292465,111.4736133,1429409.18080992,1500,23,0.832448084874381
"result.2753",0,12,10,155.876555118,83.641078356,109.620504209,1429197.40176988,1492,22.5,0.831010450571892
"result.2258",1,13,8,156.510199651,84.274722889,108.353215143,1429163.05619065,1495,22.5,0.830777300101322
"result.3729",0,9,14,155.876555118,81.740144757,112.155082341,1429009.64593675,1492,22.5,0.829735894666108
"result.4057",8,13,15,157.32743871,82.380115545,110.25308697,1428951.95601668,1499,21.5,0.82934427419229
"result.1763",2,14,6,157.143844184,84.908367422,107.085926077,1428829.01363117,1498,22.5,0.828509695894959
"result.3030",5,13,11,157.26834963,83.33342829,109.02268062,1428819.71588847,1499,22,0.828446579385199
"result.4006",5,10,15,157.26834963,81.4537269,111.52894914,1428696.23306798,1498,22,0.827608332415737
"result.3525",4,12,13,156.6417825,82.70686116,110.27581488,1428661.795628,1495,22,0.827374558360509
"result.3576",7,15,13,156.708039345,83.618914275,109.01428824,1428496.6454052,1496,21.5,0.826253457682546
"result.4071",6,14,15,156.08863998,82.99951491,110.25308697,1428359.76705853,1493,21.5,0.825324276936402
