"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,44.25680056,79.82030101,182.55930231,644907.374310102,534,40,1
"result.3840",15,15,14,44.25680056,79.82030101,181.7690023,642115.567494906,533,40,0.989620494751523
"result.3584",15,15,13,44.25680056,79.82030101,180.97870229,639323.760679711,531,40,0.979240989503046
"result.4080",15,14,15,44.25680056,79.030001,182.55930231,638522.152782279,531,40,0.97626073552081
"result.3328",15,15,12,44.25680056,79.82030101,180.18840228,636531.953864516,530,40,0.968861484254569
"result.3824",15,14,14,44.25680056,79.030001,181.7690023,635757.987618719,530,40,0.965983997651031
"result.3072",15,15,11,44.25680056,79.82030101,179.39810227,633740.147049321,529,40,0.958481979006093
"result.4095",14,15,15,43.46650055,79.82030101,182.55930231,633391.171197421,524,40,0.957184540850033
"result.3568",15,14,13,44.25680056,79.030001,180.97870229,632993.82245516,529,40,0.955707259781252
"result.4064",15,13,15,44.25680056,78.23970099,182.55930231,632136.931254456,528,40,0.95252147104162
"result.2816",15,15,10,44.25680056,79.82030101,178.60780226,630948.340234125,528,40,0.948102473757616
"result.3839",14,15,14,43.46650055,79.82030101,181.7690023,630649.218075355,523,40,0.946990383909565
"result.3312",15,14,12,44.25680056,79.030001,180.18840228,630229.6572916,528,40,0.945430521911473
"result.3808",15,13,14,44.25680056,78.23970099,181.7690023,629400.407742532,527,40,0.94234750055054
"result.2560",15,15,9,44.25680056,79.82030101,177.81750225,628156.53341893,527,40,0.937722968509139
"result.3583",14,15,13,43.46650055,79.82030101,180.97870229,627907.264953288,522,40,0.936796226969096
"result.3056",15,14,11,44.25680056,79.030001,179.39810227,627465.49212804,526,40,0.935153784041694
"result.4079",14,14,15,43.46650055,79.030001,182.55930231,627119.971482595,522,40,0.933869191807972
"result.3552",15,13,13,44.25680056,78.23970099,180.97870229,626663.884230608,526,40,0.932173530059458
"result.4048",15,12,15,44.25680056,77.44940098,182.55930231,625751.709726633,526,40,0.928782206562431
"result.2304",15,15,8,44.25680056,79.82030101,177.02720224,625364.726603735,526,40,0.927343463260662
"result.3327",14,15,12,43.46650055,79.82030101,180.18840228,625165.311831221,521,40,0.926602070028628
"result.2800",15,14,10,44.25680056,79.030001,178.60780226,624701.326964481,525,40,0.924877046171915
"result.3823",14,14,14,43.46650055,79.030001,181.7690023,624405.166411242,520,40,0.923775967114439
"result.3296",15,13,12,44.25680056,78.23970099,180.18840228,623927.360718684,525,40,0.921999559568377
"result.3792",15,12,14,44.25680056,77.44940098,181.7690023,623042.827866345,525,40,0.918711003450047
"result.2048",15,15,7,44.25680056,79.82030101,176.23690223,622572.91978854,524,40,0.916963958012185
"result.3071",14,15,11,43.46650055,79.82030101,179.39810227,622423.358709154,520,40,0.91640791308816
"result.2544",15,14,9,44.25680056,79.030001,177.81750225,621937.161800921,524,40,0.914600308302136
"result.4094",13,15,15,42.67620054,79.82030101,182.55930231,621874.968084741,515,40,0.914369081700066
"result.3567",14,14,13,43.46650055,79.030001,180.97870229,621690.361339889,519,40,0.913682742420906
"result.3040",15,13,11,44.25680056,78.23970099,179.39810227,621190.83720676,524,40,0.911825589077295
"result.4063",14,13,15,43.46650055,78.23970099,182.55930231,620848.771767769,519,40,0.91055384276591
"result.3536",15,12,13,44.25680056,77.44940098,180.97870229,620333.946006056,523,40,0.908639800337664
"result.1792",15,15,6,44.25680056,79.82030101,175.44660222,619781.112973345,523,40,0.906584452763708
"result.2815",14,15,10,43.46650055,79.82030101,178.60780226,619681.405587088,518,40,0.906213756147691
"result.4032",15,11,15,44.25680056,76.65910097,182.55930231,619366.48819881,523,40,0.905042942083241
"result.3838",13,15,14,42.67620054,79.82030101,181.7690023,619182.868655803,514,40,0.904360273067606
"result.2288",15,14,8,44.25680056,79.030001,177.02720224,619172.996637361,523,40,0.904323570432357
"result.3311",14,14,12,43.46650055,79.030001,180.18840228,618975.556268536,518,40,0.903589517727373
"result.2784",15,13,10,44.25680056,78.23970099,178.60780226,618454.313694836,523,40,0.901651618586214
"result.3807",14,13,14,43.46650055,78.23970099,181.7690023,618161.11474713,518,40,0.900561550319313
"result.3280",15,12,12,44.25680056,77.44940098,180.18840228,617625.064145768,522,40,0.898568597225281
"result.1536",15,15,5,44.25680056,79.82030101,174.65630221,616989.306158149,522,40,0.896204947515232
"result.2559",14,15,9,43.46650055,79.82030101,177.81750225,616939.452465021,517,40,0.896019599207223
"result.3776",15,11,14,44.25680056,76.65910097,181.7690023,616685.247990158,522,40,0.895074506349556
"result.3582",13,15,13,42.67620054,79.82030101,180.97870229,616490.769226864,512,40,0.894351464435146
"result.2032",15,14,7,44.25680056,79.030001,176.23690223,616408.831473802,522,40,0.894046832562578
"result.3055",14,14,11,43.46650055,79.030001,179.39810227,616260.751197182,517,40,0.89349629303384
"result.2528",15,13,9,44.25680056,78.23970099,177.81750225,615717.790182912,522,40,0.891477648095133
"result.4078",13,14,15,42.67620054,79.030001,182.55930231,615717.790182912,512,40,0.891477648095133
