"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3057",0,15,11,113.487265026,123.995345121,140.808273273,1981438.89780726,1499,27.5,1
"result.3297",0,14,12,113.487265026,123.294806448,141.508811946,1980046.53834904,1499,27.5,0.992711667864044
"result.4067",2,14,15,113.8395586,122.1692824,142.29944825,1979057.635554,1500,27,0.987535237325339
"result.3537",0,13,13,113.487265026,122.594267775,142.209350619,1978542.79013416,1498,27.5,0.984840269157213
"result.4082",1,15,15,113.14541495,122.86342605,142.29944825,1978166.29169098,1496,27,0.982869480876693
"result.3777",0,12,14,113.487265026,121.893729102,142.909889292,1976927.65316262,1497,27.5,0.976385803879505
"result.4017",0,11,15,113.487265026,121.193190429,143.610427965,1975201.12743442,1497,27.5,0.96734827203092
"result.2786",1,14,10,114.187803699,123.294806448,140.1077346,1972543.61172774,1500,27.5,0.953437455386244
"result.2801",0,15,10,113.487265026,123.995345121,140.1077346,1971580.99284305,1495,27.5,0.948398608477436
"result.3026",1,13,11,114.187803699,122.594267775,140.808273273,1971142.65745805,1500,27.5,0.946104133545746
"result.3571",2,15,13,113.8395586,122.86342605,140.91116095,1970884.69797924,1497,27,0.944753839734686
"result.3041",0,14,11,113.487265026,123.294806448,140.808273273,1970244.32776315,1495,27.5,0.941401809626919
"result.3266",1,12,12,114.187803699,121.893729102,141.508811946,1969629.62684678,1499,27.5,0.938184145958008
"result.3811",2,14,14,113.8395586,122.1692824,141.6053046,1969403.69586837,1497,27,0.937001505943091
"result.3281",0,13,12,113.487265026,122.594267775,141.508811946,1968796.2739266,1494,27.5,0.933821944205525
"result.3826",1,15,14,113.14541495,122.86342605,141.6053046,1968516.7000242,1492,27,0.932358509282001
"result.3506",1,11,13,114.187803699,121.193190429,142.209350619,1968004.51989394,1499,27.5,0.92967749262303
"result.4051",2,13,15,113.8395586,121.47513875,142.29944825,1967812.98989745,1496,27,0.928674925203972
"result.3521",0,12,13,113.487265026,121.893729102,142.209350619,1967236.83133339,1494,27.5,0.925659012213255
"result.4066",1,14,15,113.14541495,122.1692824,142.29944825,1966990.21094697,1491,27,0.92436807309753
"result.2961",0,9,11,114.51524202,120.87719991,142.08372621,1966762.97773295,1500,28,0.923178616505513
"result.3746",1,10,14,114.187803699,120.492651756,142.909889292,1966267.33659952,1498,27.5,0.920584173540811
"result.4081",0,15,15,112.4512713,122.86342605,142.29944825,1966030.30217141,1486,27,0.919343412306681
"result.3761",0,11,14,113.487265026,121.193190429,142.909889292,1965565.99998352,1493,27.5,0.916913013650109
"result.3201",0,8,12,114.51524202,120.1703157,142.79061042,1964989.10870646,1500,28,0.91389326525915
"result.1265",0,15,4,114.51524202,125.11850517,137.13553674,1964874.66554346,1500,28,0.913294210340029
"result.3986",1,9,15,114.187803699,119.792113083,143.610427965,1964418.07696352,1497,27.5,0.910904188711354
"result.2290",1,15,8,114.187803699,123.995345121,138.706657254,1963913.73342643,1497,27.5,0.908264192848775
"result.1505",0,14,5,114.51524202,124.41162096,137.84242095,1963844.67707646,1499,28,0.907902716067947
"result.4001",0,10,15,113.487265026,120.492651756,143.610427965,1963783.779877,1492,27.5,0.907583948516085
"result.3060",3,15,11,114.53370225,122.86342605,139.52287365,1963366.30447199,1499,27,0.905398665547409
"result.3441",0,7,13,114.51524202,119.46343149,143.49749463,1963100.79651696,1499,28,0.904008859093666
"result.1745",0,13,6,114.51524202,123.70473675,138.54930516,1962700.24544646,1499,28,0.901912166876745
"result.2530",1,14,9,114.187803699,123.294806448,139.407195927,1962680.8936691,1497,27.5,0.901810869629137
"result.3300",3,14,12,114.53370225,122.1692824,140.2170173,1961986.64464649,1499,27,0.89817680988112
"result.2545",0,15,9,113.487265026,123.995345121,139.407195927,1961723.08787883,1492,27.5,0.896797216954871
"result.1985",0,12,7,114.51524202,122.99785254,139.25618937,1961441.37065346,1498,28,0.895322562766422
"result.2770",1,13,10,114.187803699,122.594267775,140.1077346,1961335.9775702,1496,27.5,0.894770880662258
"result.3315",2,15,12,113.8395586,122.86342605,140.2170173,1961175.90636358,1494,27,0.893932984878675
"result.3681",0,6,14,114.51524202,118.75654728,144.20437884,1961098.04116446,1498,28,0.893525398009061
"result.3830",5,15,14,114.842668216,121.719474696,140.286852192,1961012.28367823,1500,26.5,0.893076498812018
"result.2995",2,11,11,114.888342372,121.193190429,140.808273273,1960570.00797195,1500,27.5,0.890761398193392
"result.3540",3,13,13,114.53370225,121.47513875,140.91116095,1960496.61203495,1498,27,0.890377205761529
"result.2785",0,14,10,113.487265026,123.294806448,140.1077346,1960442.11717727,1491,27.5,0.890091951389793
"result.2225",0,11,8,114.51524202,122.29096833,139.96307358,1960068.05269747,1498,28,0.888133903736979
"result.3010",1,12,11,114.187803699,121.893729102,140.808273273,1959878.98512972,1495,27.5,0.88714422594814
"result.3555",2,14,13,113.8395586,122.1692824,140.91116095,1959749.75618274,1493,27,0.886467774560844
"result.4070",5,14,15,114.842668216,121.031794048,140.97453284,1959491.61391134,1500,26.5,0.885116523918483
"result.3025",0,13,11,113.487265026,122.594267775,140.808273273,1959049.75771904,1491,27.5,0.882803619253837
"result.3921",0,5,15,114.51524202,118.04966307,144.91126305,1958980.84264897,1497,28,0.882442882005337
"result.3235",2,10,12,114.888342372,120.492651756,141.508811946,1958934.9310378,1500,27.5,0.882202556801144
"result.3780",3,12,14,114.53370225,120.7809951,141.6053046,1958896.20663737,1497,27,0.881999853188632
"result.3570",1,15,13,113.14541495,122.86342605,140.91116095,1958867.10835741,1488,27,0.881847537687308
"result.4085",4,15,15,114.154987568,121.719474696,140.97453284,1958824.93875691,1495,26.5,0.881626800109299
"result.2465",0,10,9,114.51524202,121.58408412,140.66995779,1958580.29157847,1497,28,0.880346189788416
"result.3250",1,11,12,114.187803699,121.193190429,141.508811946,1958309.91634766,1495,27.5,0.878930905486782
"result.3795",2,13,14,113.8395586,121.47513875,141.6053046,1958213.90214185,1493,27,0.878428317295486
"result.3265",0,12,12,113.487265026,121.893729102,141.508811946,1957546.00950416,1490,27.5,0.874932220547006
"result.3810",1,14,14,113.14541495,122.1692824,141.6053046,1957395.13674722,1488,27,0.874142474223711
"result.3475",2,9,13,114.888342372,119.792113083,142.209350619,1957187.09017715,1499,27.5,0.873053450485292
"result.4020",3,11,15,114.53370225,120.08685145,142.29944825,1957185.42845375,1497,27,0.873044752162434
"result.2705",0,9,10,114.51524202,120.87719991,141.376842,1956978.08729647,1497,28,0.871959420920732
"result.3490",1,10,13,114.187803699,120.492651756,142.209350619,1956628.77122403,1494,27.5,0.870130919278183
"result.4035",2,12,15,113.8395586,120.7809951,142.29944825,1956568.34424089,1492,27,0.869814613082604
"result.3825",0,15,14,112.4512713,122.86342605,141.6053046,1956439.9104535,1483,27,0.869142323973305
"result.1779",2,15,6,114.888342372,123.995345121,137.305579908,1956003.06894898,1499,27.5,0.866855668787458
"result.3505",0,11,13,113.487265026,121.193190429,142.209350619,1955930.87253262,1489,27.5,0.866477755269297
"result.4050",1,13,15,113.14541495,121.47513875,142.29944825,1955814.13020295,1487,27,0.865866665318365
"result.3715",2,8,14,114.888342372,119.09157441,142.909889292,1955326.48539002,1498,27.5,0.863314079245839
"result.2945",0,8,11,114.51524202,120.1703157,142.08372621,1955261.43985147,1496,28,0.862973597133928
"result.4065",0,14,15,112.4512713,122.1692824,142.29944825,1954922.78633993,1482,27,0.86120090886972
"result.2019",2,14,7,114.888342372,123.294806448,138.006118581,1954875.42968405,1498,27.5,0.860953019551424
"result.3730",1,9,14,114.187803699,119.792113083,142.909889292,1954835.54975882,1494,27.5,0.860744267322346
"result.1009",0,15,3,114.51524202,125.11850517,136.42865253,1954746.44561798,1496,28,0.860277849997887
"result.1234",1,13,4,115.22212623,123.70473675,137.13553674,1954664.49866175,1500,28,0.859848897092839
"result.2789",4,14,10,115.2278459,122.1692824,138.82873,1954334.13148105,1500,27,0.858119583785437
"result.3745",0,10,14,113.487265026,120.492651756,142.909889292,1954204.34680443,1489,27.5,0.857440223420712
"result.2034",1,15,7,114.187803699,123.995345121,138.006118581,1953994.97719701,1493,27.5,0.856344274218046
"result.3170",1,6,12,115.22212623,118.75654728,142.79061042,1953858.45144581,1500,28,0.855629627569899
"result.1249",0,14,4,114.51524202,124.41162096,137.13553674,1953773.67873248,1495,28,0.855185883185366
