"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,86.9330011,82.98150105,147.78610187,1066103.95152041,962,40,1
"result.3840",15,15,14,86.9330011,82.98150105,146.99580186,1060402.86087057,960,40,0.983242655059848
"result.4095",14,15,15,86.14270109,82.98150105,147.78610187,1056412.09741568,953,40,0.971512513601741
"result.4080",15,14,15,86.9330011,82.19120104,147.78610187,1055950.58055355,958,40,0.970155966630395
"result.3584",15,15,13,86.9330011,82.98150105,146.20550185,1054701.77022073,957,40,0.966485310119696
"result.3839",14,15,14,86.14270109,82.98150105,146.99580186,1050762.83486266,951,40,0.954907508161045
"result.3824",15,14,14,86.9330011,82.19120104,146.99580186,1050303.78600514,955,40,0.953558215451578
"result.3328",15,15,12,86.9330011,82.98150105,145.41520184,1049000.67957089,954,40,0.949727965179543
"result.4094",13,15,15,85.35240108,82.98150105,147.78610187,1046720.24331095,945,40,0.943025027203482
"result.4079",14,14,15,86.14270109,82.19120104,147.78610187,1046351.02982125,949,40,0.941939789626406
"result.4064",15,13,15,86.9330011,81.40090103,147.78610187,1045797.20958669,953,40,0.940311933260791
"result.3583",14,15,13,86.14270109,82.98150105,146.20550185,1045113.57230963,948,40,0.938302502720349
"result.3568",15,14,13,86.9330011,82.19120104,146.20550185,1044656.99145672,952,40,0.93696046427276
"result.3072",15,15,11,86.9330011,82.98150105,144.62490183,1043299.58892104,952,40,0.932970620239391
"result.3838",13,15,14,85.35240108,82.98150105,146.99580186,1041122.80885474,942,40,0.926572361262242
"result.3823",14,14,14,86.14270109,82.19120104,146.99580186,1040755.56976873,946,40,0.925492927094668
"result.3808",15,13,14,86.9330011,81.40090103,146.99580186,1040204.7111397,950,40,0.923873775843308
"result.3327",14,15,12,86.14270109,82.98150105,145.41520184,1039464.30975661,946,40,0.921697497279652
"result.3312",15,14,12,86.9330011,82.19120104,145.41520184,1039010.19690831,950,40,0.920362713093943
"result.2816",15,15,10,86.9330011,82.98150105,143.83460182,1037598.4982712,949,40,0.916213275299239
