"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,116.96440148,118.5450015,99.57780126,1380700.49919804,1270,40,1
"result.4080",15,14,15,116.96440148,117.75470149,99.57780126,1371495.82920339,1266,40,0.976811594202898
"result.4095",14,15,15,116.17410147,118.5450015,99.57780126,1371371.44177103,1262,40,0.976498237367803
"result.3840",15,15,14,116.96440148,118.5450015,98.78750125,1369742.55872822,1265,40,0.97239475500345
"result.4064",15,13,15,116.96440148,116.96440148,99.57780126,1362291.15920874,1262,40,0.953623188405797
"result.4079",14,14,15,116.17410147,117.75470149,99.57780126,1362228.96549256,1257,40,0.953466509988249
"result.4094",13,15,15,115.38380146,118.5450015,99.57780126,1362042.38434402,1253,40,0.952996474735605
"result.3824",15,14,14,116.96440148,117.75470149,98.78750125,1360610.94167003,1261,40,0.949390384172993
"result.3839",14,15,14,116.17410147,118.5450015,98.78750125,1360487.54143951,1257,40,0.949079514296905
"result.3584",15,15,13,116.96440148,118.5450015,97.99720124,1358784.61825839,1260,40,0.944789510006901
"result.4048",15,12,15,116.96440148,116.17410147,99.57780126,1353086.48921408,1258,40,0.930434782608695
"result.4063",14,13,15,116.17410147,116.96440148,99.57780126,1353086.48921408,1253,40,0.930434782608695
"result.4078",13,14,15,115.38380146,117.75470149,99.57780126,1352962.10178172,1249,40,0.9301214257736
"result.4093",12,15,15,114.59350145,118.5450015,99.57780126,1352713.326917,1245,40,0.929494712103408
"result.3808",15,13,14,116.96440148,116.96440148,98.78750125,1351479.32461184,1257,40,0.926386013342535
"result.3823",14,14,14,116.17410147,117.75470149,98.78750125,1351417.62449658,1252,40,0.926230578404491
"result.3838",13,15,14,115.38380146,118.5450015,98.78750125,1351232.52415081,1248,40,0.92576427359036
"result.3568",15,14,13,116.96440148,117.75470149,97.99720124,1349726.05413667,1256,40,0.921969174143087
"result.3583",14,15,13,116.17410147,118.5450015,97.99720124,1349603.641108,1252,40,0.921660791226009
"result.3328",15,15,12,116.96440148,118.5450015,97.20690123,1347826.67778857,1255,40,0.917184265010352
"result.4047",14,12,15,116.17410147,116.17410147,99.57780126,1343944.01293561,1249,40,0.907403055229142
"result.4032",15,11,15,116.96440148,115.38380146,99.57780126,1343881.81921943,1253,40,0.907246376811594
"result.4062",13,13,15,115.38380146,116.96440148,99.57780126,1343881.81921943,1245,40,0.907246376811594
"result.4077",12,14,15,114.59350145,117.75470149,99.57780126,1343695.23807089,1240,40,0.90677634155895
"result.4092",11,15,15,113.80320144,118.5450015,99.57780126,1343384.26948999,1236,40,0.90599294947121
"result.3792",15,12,14,116.96440148,116.17410147,98.78750125,1342347.70755365,1253,40,0.903381642512077
"result.3807",14,13,14,116.17410147,116.96440148,98.78750125,1342347.70755365,1248,40,0.903381642512077
"result.3822",13,14,14,115.38380146,117.75470149,98.78750125,1342224.30732314,1244,40,0.90307077263599
"result.3837",12,15,14,114.59350145,118.5450015,98.78750125,1341977.50686211,1240,40,0.902449032883815
"result.3552",15,13,13,116.96440148,116.96440148,97.99720124,1340667.49001495,1252,40,0.899148838279273
"result.3567",14,14,13,116.17410147,117.75470149,97.99720124,1340606.28350061,1247,40,0.898994646820734
"result.3582",13,15,13,115.38380146,118.5450015,97.99720124,1340422.6639576,1243,40,0.898532072445116
"result.3312",15,14,12,116.96440148,117.75470149,97.20690123,1338841.16660331,1251,40,0.894547964113181
"result.3327",14,15,12,116.17410147,118.5450015,97.20690123,1338719.74077648,1247,40,0.894242068155112
"result.3072",15,15,11,116.96440148,118.5450015,96.41660122,1336868.73731874,1250,40,0.889579020013803
"result.4031",14,11,15,116.17410147,115.38380146,99.57780126,1334801.53665714,1245,40,0.884371327849589
"result.4046",13,12,15,115.38380146,116.17410147,99.57780126,1334801.53665714,1241,40,0.884371327849589
"result.4016",15,10,15,116.96440148,114.59350145,99.57780126,1334677.14922478,1249,40,0.884057971014493
"result.4061",12,13,15,114.59350145,116.96440148,99.57780126,1334677.14922478,1236,40,0.884057971014493
"result.4076",11,14,15,113.80320144,117.75470149,99.57780126,1334428.37436006,1232,40,0.883431257344301
"result.4091",10,15,15,113.01290143,118.5450015,99.57780126,1334055.21206298,1227,40,0.882491186839013
"result.3791",14,12,14,116.17410147,116.17410147,98.78750125,1333277.79061072,1244,40,0.880532706619663
"result.3776",15,11,14,116.96440148,115.38380146,98.78750125,1333216.09049547,1248,40,0.880377271681619
"result.3806",13,13,14,115.38380146,116.96440148,98.78750125,1333216.09049547,1240,40,0.880377271681619
"result.3821",12,14,14,114.59350145,117.75470149,98.78750125,1333030.99014969,1235,40,0.879910966867488
"result.3836",11,15,14,113.80320144,118.5450015,98.78750125,1332722.4895734,1231,40,0.87913379217727
"result.3536",15,12,13,116.96440148,116.17410147,97.99720124,1331608.92589323,1248,40,0.876328502415459
"result.3551",14,13,13,116.17410147,116.96440148,97.99720124,1331608.92589323,1243,40,0.876328502415459
"result.3566",13,14,13,115.38380146,117.75470149,97.99720124,1331486.51286455,1239,40,0.87602011949838
"result.3581",12,15,13,114.59350145,118.5450015,97.99720124,1331241.68680721,1235,40,0.875403353664223
"result.3296",15,13,12,116.96440148,116.96440148,97.20690123,1329855.65541805,1247,40,0.871911663216011
"result.3311",14,14,12,116.17410147,117.75470149,97.20690123,1329794.94250464,1242,40,0.871758715236976
"result.3326",13,15,12,115.38380146,118.5450015,97.20690123,1329612.8037644,1238,40,0.871299871299871
"result.3056",15,14,11,116.96440148,117.75470149,96.41660122,1327956.27906995,1246,40,0.867126754083276
"result.3071",14,15,11,116.17410147,118.5450015,96.41660122,1327835.84044497,1242,40,0.866823345084214
"result.2816",15,15,10,116.96440148,118.5450015,95.62630121,1325910.79684892,1245,40,0.861973775017253
"result.4030",13,11,15,115.38380146,115.38380146,99.57780126,1325721.25409484,1236,40,0.861496278887583
"result.4015",14,10,15,116.17410147,114.59350145,99.57780126,1325659.06037866,1240,40,0.861339600470035
"result.4045",12,12,15,114.59350145,116.17410147,99.57780126,1325659.06037866,1232,40,0.861339600470035
"result.4000",15,9,15,116.96440148,113.80320144,99.57780126,1325472.47923012,1245,40,0.860869565217391
"result.4060",11,13,15,113.80320144,116.96440148,99.57780126,1325472.47923012,1228,40,0.860869565217391
"result.4075",10,14,15,113.01290143,117.75470149,99.57780126,1325161.51064922,1223,40,0.860086173129651
"result.4090",9,15,15,112.22260142,118.5450015,99.57780126,1324726.15463596,1219,40,0.858989424206815
"result.3775",14,11,14,116.17410147,115.38380146,98.78750125,1324207.87366779,1240,40,0.857683770727249
"result.3790",13,12,14,115.38380146,116.17410147,98.78750125,1324207.87366779,1236,40,0.857683770727249
"result.3760",15,10,14,116.96440148,114.59350145,98.78750125,1324084.47343728,1244,40,0.857372900851162
"result.3805",12,13,14,114.59350145,116.96440148,98.78750125,1324084.47343728,1231,40,0.857372900851162
"result.3820",11,14,14,113.80320144,117.75470149,98.78750125,1323837.67297625,1227,40,0.856751161098987
"result.3835",10,15,14,113.01290143,118.5450015,98.78750125,1323467.4722847,1222,40,0.855818551470725
"result.3535",14,12,13,116.17410147,116.17410147,97.99720124,1322611.56828584,1239,40,0.853662358010184
"result.3520",15,11,13,116.96440148,115.38380146,97.99720124,1322550.3617715,1243,40,0.853508166551645
"result.3550",13,13,13,115.38380146,116.96440148,97.99720124,1322550.3617715,1235,40,0.853508166551645
"result.3565",12,14,13,114.59350145,117.75470149,97.99720124,1322366.74222849,1230,40,0.853045592176027
"result.3580",11,15,13,113.80320144,118.5450015,97.99720124,1322060.70965681,1226,40,0.85227463488333
"result.3280",15,12,12,116.96440148,116.17410147,97.20690123,1320870.1442328,1242,40,0.849275362318841
"result.3295",14,13,12,116.17410147,116.96440148,97.20690123,1320870.1442328,1238,40,0.849275362318841
"result.3310",13,14,12,115.38380146,117.75470149,97.20690123,1320748.71840597,1234,40,0.848969466360771
"result.3325",12,15,12,114.59350145,118.5450015,97.20690123,1320505.86675231,1230,40,0.848357674444631
"result.3040",15,13,11,116.96440148,116.96440148,96.41660122,1319043.82082116,1242,40,0.844674488152749
"result.3055",14,14,11,116.17410147,117.75470149,96.41660122,1318983.60150867,1237,40,0.844522783653218
"result.3070",13,15,11,115.38380146,118.5450015,96.41660122,1318802.94357119,1233,40,0.844067670154627
"result.2800",15,14,10,116.96440148,117.75470149,95.62630121,1317071.39153659,1241,40,0.83970554405337
"result.2815",14,15,10,116.17410147,118.5450015,95.62630121,1316951.94011345,1236,40,0.839404622013317
"result.4014",13,10,15,115.38380146,114.59350145,99.57780126,1316640.97153255,1232,40,0.838621229925578
"result.4029",12,11,15,114.59350145,115.38380146,99.57780126,1316640.97153255,1228,40,0.838621229925578
"result.3999",14,9,15,116.17410147,113.80320144,99.57780126,1316516.58410019,1236,40,0.838307873090482
"result.4044",11,12,15,113.80320144,116.17410147,99.57780126,1316516.58410019,1224,40,0.838307873090482
"result.3984",15,8,15,116.96440148,113.01290143,99.57780126,1316267.80923547,1240,40,0.83768115942029
"result.4059",10,13,15,113.01290143,116.96440148,99.57780126,1316267.80923547,1219,40,0.83768115942029
"result.4074",9,14,15,112.22260142,117.75470149,99.57780126,1315894.64693839,1215,40,0.836741088915002
"result.4089",8,15,15,111.43230141,118.5450015,99.57780126,1315397.09720895,1210,40,0.835487661574618
"result.3774",13,11,14,115.38380146,115.38380146,98.78750125,1315199.65684012,1231,40,0.834990269772879
"result.3759",14,10,14,116.17410147,114.59350145,98.78750125,1315137.95672486,1236,40,0.834834834834835
"result.3789",12,12,14,114.59350145,116.17410147,98.78750125,1315137.95672486,1227,40,0.834834834834835
"result.2560",15,15,9,116.96440148,118.5450015,94.8360012,1314952.85637909,1240,40,0.834368530020704
"result.3744",15,9,14,116.96440148,113.80320144,98.78750125,1314952.85637909,1240,40,0.834368530020704
"result.3804",11,13,14,113.80320144,116.96440148,98.78750125,1314952.85637909,1223,40,0.834368530020704
"result.3819",10,14,14,113.01290143,117.75470149,98.78750125,1314644.3558028,1218,40,0.833591355330486
"result.3834",9,15,14,112.22260142,118.5450015,98.78750125,1314212.45499599,1214,40,0.83250331076418
"result.3519",14,11,13,116.17410147,115.38380146,97.99720124,1313614.21067845,1235,40,0.830996213604909
"result.3534",13,12,13,115.38380146,116.17410147,97.99720124,1313614.21067845,1231,40,0.830996213604909
"result.3504",15,10,13,116.96440148,114.59350145,97.99720124,1313491.79764978,1239,40,0.830687830687831
"result.3549",12,13,13,114.59350145,116.96440148,97.99720124,1313491.79764978,1226,40,0.830687830687831
"result.3564",11,14,13,113.80320144,117.75470149,97.99720124,1313246.97159244,1222,40,0.830071064853673
"result.3579",10,15,13,113.01290143,118.5450015,97.99720124,1312879.73250642,1218,40,0.829145916102438
"result.3279",14,12,12,116.17410147,116.17410147,97.20690123,1311945.34596095,1234,40,0.826792009400705
"result.3264",15,11,12,116.96440148,115.38380146,97.20690123,1311884.63304754,1238,40,0.82663906142167
"result.3294",13,13,12,115.38380146,116.96440148,97.20690123,1311884.63304754,1230,40,0.82663906142167
"result.3309",12,14,12,114.59350145,117.75470149,97.20690123,1311702.4943073,1226,40,0.826180217484565
"result.3324",11,15,12,113.80320144,118.5450015,97.20690123,1311398.92974023,1221,40,0.825415477589391
"result.3024",15,12,11,116.96440148,116.17410147,96.41660122,1310131.36257237,1237,40,0.822222222222222
"result.3039",14,13,11,116.17410147,116.96440148,96.41660122,1310131.36257237,1233,40,0.822222222222222
"result.3054",13,14,11,115.38380146,117.75470149,96.41660122,1310010.92394738,1229,40,0.821918813223161
"result.3069",12,15,11,114.59350145,118.5450015,96.41660122,1309770.04669742,1225,40,0.821311995225039
"result.2784",15,13,10,116.96440148,116.96440148,95.62630121,1308231.98622426,1236,40,0.817437313089487
"result.2799",14,14,10,116.17410147,117.75470149,95.62630121,1308172.26051269,1232,40,0.817286852069461
"result.2814",13,15,10,115.38380146,118.5450015,95.62630121,1307993.08337798,1228,40,0.816835469009382
"result.4013",12,10,15,114.59350145,114.59350145,99.57780126,1307622.88268644,1224,40,0.81590285938112
"result.3998",13,9,15,115.38380146,113.80320144,99.57780126,1307560.68897026,1228,40,0.815746180963572
"result.4028",11,11,15,113.80320144,115.38380146,99.57780126,1307560.68897026,1219,40,0.815746180963572
"result.3983",14,8,15,116.17410147,113.01290143,99.57780126,1307374.10782172,1232,40,0.815276145710928
"result.4043",10,12,15,113.01290143,116.17410147,99.57780126,1307374.10782172,1215,40,0.815276145710928
