"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,129.57825474,126.96051222,105.36413643,1733379.29292238,1498,24,1
"result.3521",0,12,13,130.259316782,126.292027946,105.133154154,1729515.37471108,1500,24.5,0.977510154068191
"result.3281",0,13,12,130.259316782,126.953242752,104.471939348,1727636.02381492,1500,24.5,0.966571435960012
"result.3041",0,14,11,130.259316782,127.614457558,103.810724542,1725642.77286445,1499,24.5,0.954969765239218
"result.4081",0,15,15,128.92381911,126.96051222,105.36413643,1724624.85204903,1491,24,0.949044980847414
"result.4066",1,14,15,129.57825474,126.30607659,105.36413643,1724444.3481135,1494,24,0.947994361895813
"result.4051",2,13,15,130.23269037,125.65164096,105.36413643,1724173.5922102,1498,24,0.946418433468414
"result.3985",0,9,15,130.259316782,124.308383528,106.455583766,1723763.42196829,1498,24.5,0.94403104713104
"result.2801",0,15,10,130.259316782,128.275672364,103.149509736,1723535.62185967,1498,24.5,0.942705141905807
"result.3826",1,15,14,129.57825474,126.96051222,104.7097008,1722612.96191044,1494,24,0.937334821166384
"result.3811",2,14,14,130.23269037,126.30607659,104.7097008,1722388.73341909,1497,24,0.936029704456321
"result.3745",0,10,14,130.259316782,124.969598334,105.79436896,1722168.82120791,1497,24.5,0.934749710554404
"result.3571",2,15,13,130.23269037,126.96051222,104.05526517,1720492.32095354,1496,24,0.924991679880973
"result.3505",0,11,13,130.259316782,125.63081314,105.133154154,1720460.32039322,1497,24.5,0.924805421365151
"result.3556",3,14,13,130.887126,126.30607659,104.05526517,1720224.92847761,1500,24,0.923435328204225
"result.3490",1,10,13,130.920531588,124.969598334,105.133154154,1720092.60245138,1500,24.5,0.922665127651321
"result.3265",0,12,12,130.259316782,126.292027946,104.471939348,1718637.91952422,1496,24.5,0.914198179563281
"result.3250",1,11,12,130.920531588,125.63081314,104.471939348,1718318.18993013,1499,24.5,0.912337200909591
"result.3316",3,15,12,130.887126,126.96051222,103.40082954,1718262.92917834,1499,24,0.912015556991184
"result.3025",0,13,11,130.259316782,126.953242752,103.810724542,1716701.6186009,1495,24.5,0.902927985148795
"result.3010",1,12,11,130.920531588,126.292027946,103.810724542,1716429.29918171,1499,24.5,0.901342956313554
"result.4065",0,14,15,128.92381911,126.30607659,105.36413643,1715735.03322404,1487,24,0.897301997481126
"result.4050",1,13,15,129.57825474,125.65164096,105.36413643,1715509.40330462,1490,24,0.895988723791625
"result.4035",2,12,15,130.23269037,124.99720533,105.36413643,1715193.52141744,1494,24,0.894150140626327
"result.4020",3,11,15,130.887126,124.3427697,105.36413643,1714787.38756249,1498,24,0.891786247985226
"result.2785",0,14,10,130.259316782,127.614457558,103.149509736,1714651.41762327,1494,24.5,0.890994838121692
"result.3969",0,8,15,130.259316782,123.647168722,106.455583766,1714594.46759612,1494,24.5,0.890663361815383
"result.2770",1,13,10,130.920531588,126.953242752,103.149509736,1714425.93020611,1498,24.5,0.889682393863212
"result.3954",1,7,15,130.920531588,122.985953916,106.455583766,1714082.49552458,1498,24.5,0.887683440300296
"result.3825",0,15,14,128.92381911,126.96051222,104.7097008,1713912.89644624,1486,24,0.886696292815986
"result.3810",1,14,14,129.57825474,126.30607659,104.7097008,1713733.51365317,1490,24,0.885652199447936
"result.3795",2,13,14,130.23269037,125.65164096,104.7097008,1713464.43946355,1493,24,0.884086059395863
"result.4086",5,15,15,130.810438052,125.629826644,104.259804586,1713373.5849095,1497,23.5,0.883557242580644
"result.3780",3,12,14,130.887126,124.99720533,104.7097008,1713105.6738774,1497,24,0.881997872659763
"result.3729",0,9,14,130.259316782,124.308383528,105.79436896,1713056.8168629,1493,24.5,0.881713501545056
"result.4071",6,14,15,131.458014478,124.982250218,104.259804586,1712980.08786285,1500,23.5,0.881266902187842
"result.3765",4,11,14,131.54156163,124.3427697,104.7097008,1712657.21689471,1500,24,0.87938763923964
"result.3714",1,8,14,130.920531588,123.647168722,105.79436896,1712594.27857127,1497,24.5,0.879021308194327
"result.2545",0,15,9,130.259316782,128.275672364,102.48829493,1712487.31659133,1493,24.5,0.878398738481972
"result.2530",1,14,9,130.920531588,127.614457558,102.48829493,1712308.08300333,1497,24.5,0.877355513558564
"result.2515",2,13,9,131.581746394,126.953242752,102.48829493,1712039.23262132,1500,24.5,0.875790676173454
"result.3699",2,7,14,131.581746394,122.985953916,105.79436896,1712039.23262132,1500,24.5,0.875790676173454
"result.3570",1,15,13,129.57825474,126.96051222,104.05526517,1711846.6308985,1489,24,0.874669642332767
"result.3555",2,14,13,130.23269037,126.30607659,104.05526517,1711623.80383522,1493,24,0.873372682602143
"result.3489",0,10,13,130.259316782,124.969598334,105.133154154,1711405.26607536,1493,24.5,0.872100688662111
"result.3540",3,13,13,130.887126,125.65164096,104.05526517,1711311.84594664,1496,24,0.871556938979269
"result.3831",6,15,14,131.458014478,125.629826644,103.61222816,1711160.87687906,1499,23.5,0.870678227038509
"result.3474",1,9,13,130.920531588,124.308383528,105.133154154,1710991.58339079,1496,24.5,0.869692858234054
"result.3525",4,12,13,131.54156163,124.99720533,104.05526517,1710910.75723275,1500,24,0.869222411464146
"result.1505",0,14,5,131.582998,128.911262,100.858034,1710807.46074145,1500,25,0.86862117664306
"result.3873",0,2,15,131.582998,120.896054,107.537374,1710690.05296183,1500,25,0.867937807397006
"result.2449",0,9,9,131.582998,125.571592,103.52977,1710631.34907202,1500,25,0.86759612277398
"result.3459",2,8,13,131.581746394,123.647168722,105.133154154,1710485.97122076,1500,24.5,0.86674995437754
"result.2290",1,15,8,130.920531588,128.275672364,101.827080124,1710075.75757337,1496,24.5,0.864362315399612
"result.2275",2,14,8,131.581746394,127.614457558,101.827080124,1709853.16102053,1499,24.5,0.863066697349574
"result.3315",2,15,12,130.23269037,126.96051222,103.40082954,1709671.61453245,1492,24,0.862010010245166
"result.3249",0,11,12,130.259316782,125.63081314,104.471939348,1709639.81523352,1492,24.5,0.861824923166551
"result.3633",0,3,14,131.582998,121.563988,106.86944,1709457.27127582,1499,25,0.860762430313455
"result.3300",3,14,12,130.887126,126.30607659,103.40082954,1709405.90377021,1495,24,0.860463446943744
"result.3234",1,10,12,130.920531588,124.969598334,104.471939348,1709274.40998313,1495,24.5,0.859698090419475
"result.3285",4,13,12,131.54156163,125.65164096,103.40082954,1709051.62275388,1499,24,0.858401362541847
"result.3219",2,9,12,131.581746394,124.308383528,104.471939348,1708817.65342015,1499,24.5,0.85703954948563
"result.2209",0,10,8,131.582998,126.239526,102.861836,1708635.41681847,1499,25,0.855978845591086
"result.1265",0,15,4,131.582998,129.579196,100.1901,1708283.19347961,1499,25,0.853928737852929
"result.3393",0,4,13,131.582998,122.231922,106.201506,1708107.08181018,1499,25,0.85290368398385
"result.3009",0,12,11,130.259316782,126.292027946,103.810724542,1707760.46433736,1491,24.5,0.850886205058373
"result.2035",2,15,7,131.581746394,128.275672364,101.165865318,1707552.03301969,1498,24.5,0.8496730354297
"result.2994",1,11,11,130.920531588,125.63081314,103.810724542,1707442.7583483,1495,24.5,0.84903700475059
"result.3060",3,15,11,130.887126,126.96051222,102.74639391,1707387.8473481,1494,24,0.848717396553187
"result.3045",4,14,11,131.54156163,126.30607659,102.74639391,1707079.81345811,1498,24,0.84692449247274
"result.2979",2,10,11,131.581746394,124.969598334,103.810724542,1707034.27921951,1498,24.5,0.846659461497729
"result.4049",0,13,15,128.92381911,125.65164096,105.36413643,1706845.21439904,1483,24,0.845559014114838
"result.3153",0,5,12,131.582998,122.899856,105.533572,1706639.48456492,1498,25,0.844361568408192
"result.4034",1,12,15,129.57825474,124.99720533,105.36413643,1706574.45849574,1487,24,0.843983085687438
"result.1969",0,11,7,131.582998,126.90746,102.193902,1706522.0767853,1498,25,0.843678199162139
"result.4019",2,11,15,130.23269037,124.3427697,105.36413643,1706213.45062468,1490,24,0.841881847784238
"result.2769",0,13,10,130.259316782,126.953242752,103.149509736,1705767.21338688,1490,24.5,0.839284534337577
"result.4004",3,10,15,130.887126,123.68833407,105.36413643,1705762.19078585,1494,24,0.83925530040524
"result.2754",1,12,10,130.920531588,126.292027946,103.149509736,1705496.62848628,1494,24.5,0.837709601227401
"result.3953",0,7,15,130.259316782,122.985953916,106.455583766,1705425.51322395,1490,24.5,0.837295676499727
"result.3989",4,9,15,131.54156163,123.03389844,105.36413643,1705220.67897925,1497,24,0.83610344355044
"result.2739",2,11,10,131.581746394,125.63081314,103.149509736,1705135.84861882,1497,24.5,0.835609690413833
"result.3809",0,14,14,128.92381911,126.30607659,104.7097008,1705078.29388724,1482,24,0.83527469443955
"result.2913",0,6,11,131.582998,123.56779,104.865638,1705054.47954004,1497,25,0.835136083586482
"result.2805",4,15,10,131.54156163,126.96051222,102.09195828,1704995.32934545,1497,24,0.834791801256829
"result.4085",4,15,15,130.162861626,125.629826644,104.259804586,1704891.53745946,1489,23.5,0.834187683002461
"result.3938",1,6,15,130.920531588,122.32473911,106.455583766,1704866.99823681,1493,24.5,0.834044853028722
"result.3794",1,13,14,129.57825474,125.65164096,104.7097008,1704854.0653959,1486,24,0.833969577729489
"result.4070",5,14,15,130.810438052,124.982250218,104.259804586,1704541.76230688,1493,23.5,0.832151824875526
"result.3779",2,12,14,130.23269037,124.99720533,104.7097008,1704540.14550801,1489,24,0.832142414335403
"result.1729",0,12,6,131.582998,127.575394,101.525968,1704291.32897251,1497,25,0.830694183487141
"result.3923",2,5,15,131.581746394,121.663524304,106.455583766,1704215.39741848,1497,24.5,0.830252225645884
"result.3764",3,11,14,130.887126,124.3427697,104.7097008,1704136.53422359,1493,24,0.829793204257291
"result.4055",6,13,15,131.458014478,124.334673792,104.259804586,1704104.54336615,1496,23.5,0.829607002216856
"result.3713",0,8,14,130.259316782,123.647168722,105.79436896,1703944.81251788,1489,24.5,0.828677292535708
"result.2529",0,14,9,130.259316782,127.614457558,102.48829493,1703660.0623821,1489,24.5,0.827019911004166
"result.3749",4,10,14,131.54156163,123.68833407,104.7097008,1703643.23154263,1496,24,0.826921947495155
"result.4040",7,12,15,132.105590904,123.687097366,104.259804586,1703579.88063729,1500,23.5,0.826553215026453
"result.3908",3,4,15,132.2429612,121.002309498,106.455583766,1703470.71076897,1500,24.5,0.825917794351211
"result.2514",1,13,9,130.920531588,126.953242752,102.48829493,1703436.02039709,1493,24.5,0.825715879849906
"result.3698",1,7,14,130.920531588,122.985953916,105.79436896,1703436.02039709,1493,24.5,0.825715879849906
"result.2673",0,7,10,131.582998,124.235724,104.197704,1703352.06673555,1497,25,0.825227229518719
"result.3569",0,15,13,128.92381911,126.96051222,104.05526517,1703200.94084346,1481,24,0.824347604784559
"result.2499",2,12,9,131.581746394,126.292027946,102.48829493,1703122.36161809,1496,24.5,0.823890236233944
"result.3734",5,9,14,132.19599726,123.03389844,104.7097008,1703060.23746514,1500,24,0.823528644048995
"result.3554",1,14,13,129.57825474,126.30607659,104.05526517,1703022.67919284,1485,24,0.823310037000059
"result.3683",2,6,14,131.581746394,122.32473911,105.79436896,1702834.72061798,1496,24.5,0.82221602849396
"result.2658",1,6,10,132.250932,123.56779,104.197704,1702794.2307877,1500,25,0.821980358380115
"result.3539",2,13,13,130.23269037,125.65164096,104.05526517,1702755.28671691,1489,24,0.82175368532331
"result.3830",5,15,14,130.810438052,125.629826644,103.61222816,1702731.51295355,1492,23.5,0.82161531068752
"result.2484",3,11,9,132.2429612,125.63081314,102.48829493,1702719.08604508,1500,24.5,0.821542980156278
"result.2550",5,15,9,132.19599726,126.96051222,101.43752265,1702494.06052449,1500,24,0.820233224356089
"result.3524",3,12,13,130.887126,124.99720533,104.05526517,1702398.76341567,1492,24,0.819678549754312
"result.3473",0,9,13,130.259316782,124.308383528,105.133154154,1702350.2117575,1489,24.5,0.819395955959072
"result.3815",6,14,14,131.458014478,124.982250218,103.61222816,1702340.45998793,1495,23.5,0.819339196011443
"result.3668",3,5,14,132.2429612,121.663524304,105.79436896,1702140.91318054,1500,24.5,0.818177738467868
"result.3509",4,11,13,131.54156163,124.3427697,104.05526517,1701953.10928912,1496,24,0.817084630293065
"result.1489",0,13,5,131.582998,128.243328,100.858034,1701943.1733801,1496,25,0.817026798566088
"result.3458",1,8,13,130.920531588,123.647168722,105.133154154,1701890.5643302,1492,24.5,0.816720588816786
"result.3800",7,13,14,132.105590904,124.334673792,103.61222816,1701862.50636329,1499,23.5,0.816557278074016
"result.1474",1,12,5,132.250932,127.575394,100.858034,1701673.19508483,1500,25,0.815455396188109
"result.2433",0,8,9,131.582998,124.903658,103.52977,1701532.24615143,1496,25,0.814635006204904
"result.2289",0,15,8,130.259316782,128.275672364,101.827080124,1701439.011323,1488,24.5,0.814092335058137
