"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,133.698996463,122.927039402,102.016769813,1676668.23983024,1497,22.5,1
"result.4066",1,14,15,134.332640996,122.293394869,102.016769813,1675930.95472942,1500,22.5,0.995549029786791
"result.3826",1,15,14,134.332640996,122.927039402,101.38312528,1674151.09049018,1499,22.5,0.984804037512249
"result.4065",0,14,15,133.698996463,122.293394869,102.016769813,1668025.6200373,1493,22.5,0.947824738056257
"result.4050",1,13,15,134.332640996,121.659750336,102.016769813,1667247.3746531,1496,22.5,0.943126491720091
"result.4035",2,12,15,134.966285529,121.026105803,102.016769813,1666387.20870215,1499,22.5,0.937933693138012
"result.3825",0,15,14,133.698996463,122.927039402,101.38312528,1666254.15138409,1492,22.5,0.937130429707538
"result.3249",0,11,12,135.17777245,121.7240605,101.2231661,1665565.18400109,1500,23,0.932971152250009
"result.3810",1,14,14,134.332640996,122.293394869,101.38312528,1665521.44569383,1495,22.5,0.93270710527205
"result.3795",2,13,14,134.966285529,121.659750336,101.38312528,1664707.32826022,1498,22.5,0.92779230034373
"result.3009",0,12,11,135.17777245,122.36471345,100.58251315,1663734.28289942,1499,23,0.921918051817361
"result.3570",1,15,13,134.332640996,122.927039402,100.749480747,1663687.64617461,1494,22.5,0.921636507171008
"result.3555",2,14,13,134.966285529,122.293394869,100.749480747,1662919.06843494,1498,22.5,0.916996624143365
"result.2769",0,13,10,135.17777245,123.0053664,99.9418602,1661792.41809462,1498,23,0.910195066510007
"result.3953",0,7,15,135.17777245,119.1614487,103.14512495,1661459.52698523,1498,23,0.908185411885889
"result.3315",2,15,12,134.966285529,122.927039402,100.115836214,1661022.42922631,1497,22.5,0.905546664536918
"result.3300",3,14,12,135.599930062,122.293394869,100.115836214,1660218.48826061,1500,22.5,0.900693294670201
"result.3713",0,8,14,135.17777245,119.80210165,102.504472,1660016.99884452,1497,23,0.899476908514712
"result.2529",0,14,9,135.17777245,123.64601935,99.30120725,1659739.58958669,1497,23,0.897802196327947
"result.4086",5,15,15,135.33850008,121.55402322,100.87730793,1659526.45752812,1498,22,0.896515523854637
"result.4049",0,13,15,133.698996463,121.659750336,102.016769813,1659383.00024436,1489,22.5,0.895649476112513
"result.4034",1,12,15,134.332640996,121.026105803,102.016769813,1658563.79457678,1492,22.5,0.890703953653391
"result.3473",0,9,13,135.17777245,120.4427546,101.86381905,1658463.50700068,1497,23,0.890098520268828
"result.3060",3,15,11,135.599930062,122.927039402,99.482191681,1658258.50053918,1499,22.5,0.888860901805269
"result.3809",0,14,14,133.698996463,122.293394869,101.38312528,1657665.21245943,1488,22.5,0.885279237713756
"result.4019",2,11,15,134.966285529,120.39246127,102.016769813,1657662.66834245,1495,22.5,0.885263878948356
"result.2289",0,15,8,135.17777245,124.2866723,98.6605543,1657575.79737563,1496,23,0.88473944127118
"result.3458",1,8,13,135.8184254,119.80210165,101.86381905,1657460.10062355,1500,23,0.88404098310798
"result.3794",1,13,14,134.332640996,121.659750336,101.38312528,1656891.80089749,1491,22.5,0.880610173031852
"result.3831",6,15,14,135.96506721,121.55402322,100.2507408,1656854.11218588,1500,22,0.880382647299176
"result.2274",1,14,8,135.8184254,123.64601935,98.6605543,1656846.90783753,1500,23,0.880339154843017
"result.3233",0,10,12,135.17777245,121.08340755,101.2231661,1656799.05145371,1496,23,0.880050247148239
"result.4004",3,10,15,135.599930062,119.758816737,102.016769813,1656679.62154136,1498,22.5,0.879329251997408
"result.3779",2,12,14,134.966285529,121.026105803,101.38312528,1656036.97759219,1495,22.5,0.875449627857114
"result.3218",1,9,12,135.8184254,120.4427546,101.2231661,1655843.5014604,1499,23,0.874281617682169
"result.3569",0,15,13,133.698996463,122.927039402,100.749480747,1655840.06293794,1487,22.5,0.874260859415077
"result.3554",1,14,13,134.332640996,122.293394869,100.749480747,1655111.93665825,1491,22.5,0.86986518075731
"result.3764",3,11,14,135.599930062,120.39246127,101.38312528,1655100.74254354,1498,22.5,0.869797602189546
"result.2993",0,11,11,135.17777245,121.7240605,100.58251315,1655023.63220361,1495,23,0.869332089152944
"result.2034",1,15,7,135.8184254,124.2866723,98.01990135,1654617.11588835,1499,23,0.866877961152243
"result.3539",2,13,13,134.966285529,121.659750336,100.749480747,1654302.90745859,1494,22.5,0.864981093359792
"result.2978",1,10,11,135.8184254,121.08340755,100.58251315,1654115.41269978,1498,23,0.86384919257182
"result.3524",3,12,13,135.599930062,121.026105803,100.749480747,1653412.97533897,1497,22.5,0.859608597222521
"result.3314",1,15,12,134.332640996,122.927039402,100.115836214,1653224.20185905,1490,22.5,0.858468976829768
"result.2753",0,12,10,135.17777245,122.36471345,99.9418602,1653137.24925038,1494,23,0.857944046282943
"result.3937",0,6,15,135.17777245,118.52079575,103.14512495,1652526.94888316,1494,23,0.854259679472059
"result.3299",2,14,12,134.966285529,122.293394869,100.115836214,1652460.45794164,1493,22.5,0.853858275456386
"result.3509",4,11,13,136.233574595,120.39246127,100.749480747,1652442.14029938,1500,22.5,0.853747692345499
"result.2738",1,11,10,135.8184254,121.7240605,99.9418602,1652275.83434171,1498,23,0.852743707776931
"result.4085",4,15,15,134.71193295,121.55402322,100.87730793,1651843.46466919,1491,22,0.850133503757687
"result.3284",3,13,12,135.599930062,121.659750336,100.115836214,1651616.31992765,1496,22.5,0.848762237096334
"result.3922",1,5,15,135.8184254,117.8801428,103.14512495,1651383.91756204,1497,23,0.847359230300621
"result.2513",0,13,9,135.17777245,123.0053664,99.30120725,1651139.90259402,1493,23,0.845886118538236
"result.3697",0,7,14,135.17777245,119.1614487,102.504472,1651139.90259402,1493,23,0.845886118538236
"result.4070",5,14,15,135.33850008,120.92745609,100.87730793,1650972.19743777,1494,22,0.844873687045663
"result.4033",0,12,15,133.698996463,121.026105803,102.016769813,1650740.38045142,1485,22.5,0.843474214168769
"result.3269",4,12,12,136.233574595,121.026105803,100.115836214,1650691.7878171,1499,22.5,0.84318086174961
"result.3059",2,15,11,134.966285529,122.927039402,99.482191681,1650509.62904133,1492,22.5,0.842081174146898
"result.2498",1,12,9,135.8184254,122.36471345,99.30120725,1650324.76638618,1497,23,0.840965163297503
"result.3907",2,4,15,136.45907835,117.23948985,103.14512495,1650156.21725417,1500,23,0.839947636746114
"result.3682",1,6,14,135.8184254,118.52079575,102.504472,1650046.04239253,1497,23,0.839282514086157
"result.4055",6,13,15,135.96506721,120.30088896,100.87730793,1650021.72409439,1497,22,0.839135705177999
"result.4018",1,11,15,134.332640996,120.39246127,102.016769813,1649880.21450047,1488,22.5,0.83828141558669
"result.3044",3,14,11,135.599930062,122.293394869,99.482191681,1649710.77630959,1495,22.5,0.837258521810983
"result.3457",0,8,13,135.17777245,119.80210165,101.86381905,1649641.89260174,1493,23,0.836842672729705
"result.2483",2,11,9,136.45907835,121.7240605,99.30120725,1649428.11655756,1500,23,0.8355521125327
"result.3830",5,15,14,135.33850008,121.55402322,100.2507408,1649218.8397795,1493,22,0.834288714283575
"result.3793",0,13,14,133.698996463,121.659750336,101.38312528,1649076.27353477,1484,22.5,0.833428045719973
"result.2273",0,14,8,135.17777245,123.64601935,98.6605543,1649031.59223452,1493,23,0.833158305918822
"result.4040",7,12,15,136.59163434,119.67432183,100.87730793,1648992.04463907,1500,22,0.832919558154696
"result.4003",2,10,15,134.966285529,119.758816737,102.016769813,1648938.12798275,1491,22.5,0.832594064758698
"result.3667",2,5,14,136.45907835,117.8801428,102.504472,1648868.03909863,1500,23,0.832170940060843
"result.3029",4,13,11,136.233574595,121.659750336,99.482191681,1648832.03830468,1498,22.5,0.831953604241477
"result.3442",1,7,13,135.8184254,119.1614487,101.86381905,1648596.67762557,1496,23,0.830532738187155
"result.3815",6,14,14,135.96506721,120.92745609,100.2507408,1648313.62707152,1497,22,0.828823969647704
"result.2258",1,13,8,135.8184254,123.0053664,98.6605543,1648262.20883319,1496,23,0.828513559133539
"result.3778",1,12,14,134.332640996,121.026105803,101.38312528,1648262.15610115,1488,22.5,0.828513240791653
"result.1937",0,9,7,136.638625886,121.744368088,99.079193178,1648180.71050827,1500,23.5,0.828021555950197
"result.3217",0,9,12,135.17777245,120.4427546,101.2231661,1648032.91890634,1492,23,0.827129342046469
"result.3988",3,9,15,135.599930062,119.125172204,102.016769813,1647914.12089828,1494,22.5,0.826412161684795
"result.993",0,14,3,136.638625886,124.982250218,96.488887474,1647779.60965396,1500,23.5,0.825600120940766
"result.3121",0,3,12,136.638625886,117.858909532,102.317075308,1647722.30953191,1500,23.5,0.825254201653704
"result.2804",3,15,10,135.599930062,122.927039402,98.848547148,1647696.34448479,1494,22.5,0.825097451366469
"result.3427",2,6,13,136.45907835,118.52079575,101.86381905,1647467.84545129,1499,23,0.823718008881201
"result.2243",2,12,8,136.45907835,122.36471345,98.6605543,1647411.8377054,1499,23,0.823379891634014
"result.3763",2,11,14,134.966285529,120.39246127,101.38312528,1647366.62692417,1491,22.5,0.823106955370499
"result.3800",7,13,14,136.59163434,120.30088896,100.2507408,1647329.70021503,1500,22,0.822884029826106
"result.3553",0,14,13,133.698996463,122.293394869,100.749480747,1647304.80488156,1484,22.5,0.822733737371256
"result.3202",1,8,12,135.8184254,119.80210165,101.2231661,1647035.82326114,1495,23,0.821109902603613
"result.2789",4,14,10,136.233574595,122.293394869,98.848547148,1646862.89176212,1497,22.5,0.820065919821102
"result.2033",0,15,7,135.17777245,124.2866723,98.01990135,1646812.3181719,1492,23,0.819760608424703
