"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,117.75470149,85.35240108,113.01290143,1135852.72341362,1156,40,1
"result.4095",14,15,15,116.96440148,85.35240108,113.01290143,1128229.55077326,1148,40,0.978125265573213
"result.3840",15,15,14,117.75470149,85.35240108,112.22260142,1127909.69737576,1152,40,0.977207444548313
"result.4080",15,14,15,117.75470149,84.56210107,113.01290143,1125335.5685672,1151,40,0.969820968244526
"result.4094",13,15,15,116.17410147,85.35240108,113.01290143,1120606.3781329,1140,40,0.956250531146427
"result.3839",14,15,14,116.96440148,85.35240108,112.22260142,1120339.83363498,1144,40,0.955485680292343
"result.3584",15,15,13,117.75470149,85.35240108,111.43230141,1119966.6713379,1148,40,0.954414889096626
"result.4079",14,14,15,116.96440148,84.56210107,113.01290143,1117782.98085869,1143,40,0.948148777655024
"result.3824",15,14,14,117.75470149,84.56210107,112.22260142,1117466.08906673,1147,40,0.947239454972947
"result.4064",15,13,15,117.75470149,83.77180106,113.01290143,1114818.41372077,1145,40,0.939641936489051
"result.4093",12,15,15,115.38380146,85.35240108,113.01290143,1112983.20549254,1133,40,0.934375796719639
"result.3838",13,15,14,116.17410147,85.35240108,112.22260142,1112769.96989421,1136,40,0.933763916036373
"result.3583",14,15,13,116.96440148,85.35240108,111.43230141,1112450.11649671,1140,40,0.932846095011473
"result.3328",15,15,12,117.75470149,85.35240108,110.6420014,1112023.64530005,1144,40,0.931622333644939
"result.4078",13,14,15,116.17410147,84.56210107,113.01290143,1110230.39315019,1135,40,0.926476587065522
"result.3823",14,14,14,116.96440148,84.56210107,112.22260142,1109966.31665688,1139,40,0.925718818163791
"result.3568",15,14,13,117.75470149,84.56210107,111.43230141,1109596.60956626,1143,40,0.924657941701368
"result.4063",14,13,15,116.96440148,83.77180106,113.01290143,1107336.41094412,1138,40,0.918172289736835
"result.3808",15,13,14,117.75470149,83.77180106,112.22260142,1107022.48075769,1141,40,0.917271465397581
"result.4092",11,15,15,114.59350145,85.35240108,113.01290143,1105360.03285218,1125,40,0.912501062292853
"result.3837",12,15,14,115.38380146,85.35240108,112.22260142,1105200.10615343,1129,40,0.912042151780403
"result.3582",13,15,13,116.17410147,85.35240108,111.43230141,1104933.56165552,1132,40,0.911277300926319
"result.3327",14,15,12,116.96440148,85.35240108,110.6420014,1104560.39935844,1136,40,0.910206509730603
"result.4048",15,12,15,117.75470149,82.98150105,113.01290143,1104301.25887435,1140,40,0.909462904733576
"result.3072",15,15,11,117.75470149,85.35240108,109.85170139,1104080.61926219,1140,40,0.908829778193253
"result.4077",12,14,15,115.38380146,84.56210107,113.01290143,1102677.80544168,1127,40,0.90480439647602
"result.3822",13,14,14,116.17410147,84.56210107,112.22260142,1102466.54424704,1131,40,0.904198181354636
"result.3567",14,14,13,116.96440148,84.56210107,111.43230141,1102149.65245507,1135,40,0.903288858672559
"result.3312",15,14,12,117.75470149,84.56210107,110.6420014,1101727.13006579,1139,40,0.90207642842979
"result.4062",13,13,15,116.17410147,83.77180106,113.01290143,1099854.40816748,1130,40,0.896702642984618
"result.3807",14,13,14,116.96440148,83.77180106,112.22260142,1099592.79967878,1134,40,0.89595195603524
"result.3552",15,13,13,117.75470149,83.77180106,111.43230141,1099226.54779461,1137,40,0.89490099430611
"result.4091",10,15,15,113.80320144,85.35240108,113.01290143,1097736.86021182,1117,40,0.890626327866066
"result.3836",11,15,14,114.59350145,85.35240108,112.22260142,1097630.24241265,1121,40,0.890320387524433
"result.3581",12,15,13,115.38380146,85.35240108,111.43230141,1097417.00681432,1125,40,0.889708506841166
"result.3326",13,15,12,116.17410147,85.35240108,110.6420014,1097097.15341682,1128,40,0.888790685816265
"result.4047",14,12,15,116.96440148,82.98150105,113.01290143,1096889.84102956,1132,40,0.888195801818645
"result.3071",14,15,11,116.96440148,85.35240108,109.85170139,1096670.68222016,1132,40,0.887566924449732
"result.3792",15,12,14,117.75470149,82.98150105,112.22260142,1096578.87244866,1136,40,0.887303475822214
"result.2816",15,15,10,117.75470149,85.35240108,109.06140138,1096137.59322433,1136,40,0.886037222741565
"result.4076",11,14,15,114.59350145,84.56210107,113.01290143,1095125.21773318,1120,40,0.883132205886519
"result.3821",12,14,14,115.38380146,84.56210107,112.22260142,1094966.7718372,1124,40,0.88267754454548
"result.3566",13,14,13,116.17410147,84.56210107,111.43230141,1094702.69534389,1127,40,0.88191977564375
"result.3311",14,14,12,116.96440148,84.56210107,110.6420014,1094332.98825326,1131,40,0.880858899181326
"result.3056",15,14,11,117.75470149,84.56210107,109.85170139,1093857.65056532,1134,40,0.879494915158211
"result.4032",15,11,15,117.75470149,82.19120104,113.01290143,1093784.10402793,1134,40,0.879283872978102
"result.4061",12,13,15,115.38380146,83.77180106,113.01290143,1092372.40539083,1122,40,0.875232996232401
"result.3806",13,13,14,116.17410147,83.77180106,112.22260142,1092163.11859987,1126,40,0.874632446672899
"result.3551",14,13,13,116.96440148,83.77180106,111.43230141,1091849.18841344,1130,40,0.873731622333645
"result.3296",15,13,12,117.75470149,83.77180106,110.6420014,1091430.61483153,1133,40,0.87253052321464
"result.4090",9,15,15,113.01290143,85.35240108,113.01290143,1090113.68757146,1109,40,0.868751593439279
"result.3835",10,15,14,113.80320144,85.35240108,112.22260142,1090060.37867188,1113,40,0.868598623268463
"result.3580",11,15,13,114.59350145,85.35240108,111.43230141,1089900.45197313,1117,40,0.868139712756013
"result.3325",12,15,12,115.38380146,85.35240108,110.6420014,1089633.90747521,1121,40,0.867374861901929
"result.4046",13,12,15,116.17410147,82.98150105,113.01290143,1089478.42318476,1125,40,0.866928698903714
"result.3070",13,15,11,116.17410147,85.35240108,109.85170139,1089260.74517813,1124,40,0.866304070706212
"result.3791",14,12,14,116.96440148,82.98150105,112.22260142,1089219.28270068,1128,40,0.866185093906688
"result.3536",15,12,13,117.75470149,82.98150105,111.43230141,1088856.48602296,1132,40,0.865144046910852
"result.2815",14,15,10,116.96440148,85.35240108,109.06140138,1088780.96508189,1128,40,0.864927339168862
"result.2560",15,15,9,117.75470149,85.35240108,108.27110137,1088194.56718647,1131,40,0.863244667289878
"result.4075",10,14,15,113.80320144,84.56210107,113.01290143,1087572.63002467,1112,40,0.861460015297017
"result.3820",11,14,14,114.59350145,84.56210107,112.22260142,1087466.99942735,1116,40,0.861156907736325
"result.3565",12,14,13,115.38380146,84.56210107,111.43230141,1087255.73823271,1120,40,0.86055069261494
"result.3310",13,14,12,116.17410147,84.56210107,110.6420014,1086938.84644074,1123,40,0.859641369932863
"result.3055",14,14,11,116.96440148,84.56210107,109.85170139,1086516.32405146,1127,40,0.858428939690094
"result.4031",14,11,15,116.96440148,82.19120104,113.01290143,1086443.27111499,1127,40,0.858219313900456
"result.3776",15,11,14,117.75470149,82.19120104,112.22260142,1086135.26413962,1130,40,0.857335486246849
"result.2800",15,14,10,117.75470149,84.56210107,109.06140138,1085988.17106485,1130,40,0.856913401886632
"result.4060",11,13,15,114.59350145,83.77180106,113.01290143,1084890.40261418,1114,40,0.853763349480185
"result.3805",12,13,14,115.38380146,83.77180106,112.22260142,1084733.43752096,1118,40,0.853312937310557
"result.3550",13,13,13,116.17410147,83.77180106,111.43230141,1084471.82903227,1122,40,0.85256225036118
"result.3295",14,13,12,116.96440148,83.77180106,110.6420014,1084105.57714809,1126,40,0.85151128863205
"result.3040",15,13,11,117.75470149,83.77180106,109.85170139,1083634.68186845,1129,40,0.850160052123169
"result.4016",15,10,15,117.75470149,81.40090103,113.01290143,1083266.94918151,1129,40,0.849104841222628
"result.3834",9,15,14,113.01290143,85.35240108,112.22260142,1082490.5149311,1106,40,0.846876859012493
"result.4089",8,15,15,112.22260142,85.35240108,113.01290143,1082490.5149311,1102,40,0.846876859012493
"result.3579",10,15,13,113.80320144,85.35240108,111.43230141,1082383.89713193,1109,40,0.846570918670859
"result.3324",11,15,12,114.59350145,85.35240108,110.6420014,1082170.6615336,1113,40,0.845959037987592
"result.4045",12,12,15,115.38380146,82.98150105,113.01290143,1082067.00533997,1117,40,0.845661595988782
"result.3790",13,12,14,116.17410147,82.98150105,112.22260142,1081859.6929527,1121,40,0.845066711991162
"result.3069",12,15,11,115.38380146,85.35240108,109.85170139,1081850.8081361,1117,40,0.845041216962692
"result.3535",14,12,13,116.96440148,82.98150105,111.43230141,1081548.7243718,1124,40,0.844174385994731
"result.2814",13,15,10,116.17410147,85.35240108,109.06140138,1081424.33693944,1120,40,0.843817455596159
"result.3280",15,12,12,117.75470149,82.98150105,110.6420014,1081134.09959727,1128,40,0.84298461799949
"result.2559",14,15,9,116.96440148,85.35240108,108.27110137,1080891.24794361,1124,40,0.842287753887992
"result.2304",15,15,8,117.75470149,85.35240108,107.48080136,1080251.54114862,1127,40,0.840452111838192
"result.4074",9,14,15,113.01290143,84.56210107,113.01290143,1080020.04231617,1104,40,0.839787824707515
"result.3819",10,14,14,113.80320144,84.56210107,112.22260142,1079967.22701751,1108,40,0.839636270927169
"result.3564",11,14,13,114.59350145,84.56210107,111.43230141,1079808.78112153,1112,40,0.839181609586131
"result.3309",12,14,12,115.38380146,84.56210107,110.6420014,1079544.70462822,1116,40,0.838423840684399
"result.3054",13,14,11,116.17410147,84.56210107,109.85170139,1079174.99753759,1119,40,0.837362964221977
"result.4030",13,11,15,116.17410147,82.19120104,113.01290143,1079102.43820205,1119,40,0.837154754822809
"result.3775",14,11,14,116.96440148,82.19120104,112.22260142,1078845.76572258,1123,40,0.836418231778136
