"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3826",1,15,14,122.29096833,120.1703157,125.11850517,1838709.55560752,1499,28,1
"result.4081",0,15,15,121.58408412,120.1703157,125.82538938,1838409.31891446,1495,28,0.998321087145454
"result.4066",1,14,15,122.29096833,119.46343149,125.82538938,1838220.6996273,1499,28,0.99726633483448
"result.2801",0,15,10,122.664379312,121.23804932,123.377544308,1834820.26264816,1500,28.5,0.978251212807719
"result.3041",0,14,11,122.664379312,120.524884324,124.090709304,1834570.71211941,1500,28.5,0.976855735172
"result.3281",0,13,12,122.664379312,119.811719328,124.8038743,1834196.38632628,1499,28.5,0.974762518718421
"result.3521",0,12,13,122.664379312,119.098554332,125.517039296,1833697.28526877,1499,28.5,0.971971563446983
"result.3761",0,11,14,122.664379312,118.385389336,126.230204292,1833073.40894689,1499,28.5,0.968482869357686
"result.4001",0,10,15,122.664379312,117.67222434,126.943369288,1832324.75736064,1499,28.5,0.964296436450529
"result.3315",2,15,12,122.99785254,120.1703157,123.70473675,1828441.46070504,1499,28,0.942581180374497
"result.3570",1,15,13,122.29096833,120.1703157,124.41162096,1828321.36602781,1495,28,0.941909615232678
"result.3825",0,15,14,121.58408412,120.1703157,125.11850517,1828081.17667337,1490,28,0.940566484949041
"result.3555",2,14,13,122.99785254,119.46343149,124.41162096,1828072.69940204,1499,28,0.940519080350795
"result.3810",1,14,14,122.29096833,119.46343149,125.11850517,1827893.61704512,1495,28,0.939517658212847
"result.4065",0,14,15,121.58408412,119.46343149,125.82538938,1827595.14645026,1490,28,0.937848621316269
"result.3795",2,13,14,122.99785254,118.75654728,125.11850517,1827581.0176647,1499,28,0.937769613652524
"result.4050",1,13,15,122.29096833,118.75654728,125.82538938,1827343.65406737,1494,28,0.936442284901637
"result.4035",2,12,15,122.99785254,118.04966307,125.82538938,1826966.41549304,1499,28,0.934332780279687
"result.2545",0,15,9,122.664379312,121.23804932,122.664379312,1824214.3651762,1495,28.5,0.918943413289663
"result.2290",1,15,8,123.377544308,121.23804932,121.951214316,1824152.7029816,1500,28.5,0.918598600501766
"result.2530",1,14,9,123.377544308,120.524884324,122.664379312,1824027.20227964,1500,28.5,0.917896805062873
"result.2785",0,14,10,122.664379312,120.524884324,123.377544308,1824027.20227964,1495,28.5,0.917896805062873
"result.2770",1,13,10,123.377544308,119.811719328,123.377544308,1823776.20087572,1500,28.5,0.916493214185086
"result.3025",0,13,11,122.664379312,119.811719328,124.090709304,1823715.2641187,1495,28.5,0.916152458018224
"result.3010",1,12,11,123.377544308,119.098554332,124.090709304,1823399.69876984,1499,28.5,0.914387827868405
"result.3265",0,12,12,122.664379312,119.098554332,124.8038743,1823278.55069338,1495,28.5,0.913710372155717
"result.3250",1,11,12,123.377544308,118.385389336,124.8038743,1822897.695962,1499,28.5,0.911580646112832
"result.3505",0,11,13,122.664379312,118.385389336,125.517039296,1822717.06200369,1495,28.5,0.910570547475349
"result.3490",1,10,13,123.377544308,117.67222434,125.517039296,1822270.19245221,1499,28.5,0.908071668918364
"result.3745",0,10,14,122.664379312,117.67222434,126.230204292,1822030.79804962,1494,28.5,0.906732983977122
"result.3730",1,9,14,123.377544308,116.959059344,126.230204292,1821517.18824045,1499,28.5,0.903860896285003
"result.3985",0,9,15,122.664379312,116.959059344,126.943369288,1821219.75883118,1494,28.5,0.902197681661035
"result.3829",4,15,14,123.294806448,119.09157441,123.995345121,1820669.85511926,1498,27.5,0.899122639762199
"result.3970",1,8,15,123.377544308,116.245894348,126.943369288,1820638.68332673,1498,28.5,0.898948328212747
"result.4084",3,15,15,122.594267775,119.09157441,124.695883794,1820552.96568326,1493,27.5,0.898468998214716
"result.4069",4,14,15,123.294806448,118.391035737,124.695883794,1820185.79533724,1498,27.5,0.896415794765568
"result.1505",0,14,5,123.73664348,121.57844621,120.85904712,1818168.31718945,1499,29,0.885134129084974
"result.1745",0,13,6,123.73664348,120.85904712,121.57844621,1818168.31718945,1499,29,0.885134129084974
"result.1265",0,15,4,123.73664348,122.2978453,120.13964803,1818040.24108933,1499,29,0.884417932111677
"result.1985",0,12,7,123.73664348,120.13964803,122.2978453,1818040.24108933,1499,29,0.884417932111677
"result.3059",2,15,11,122.99785254,120.1703157,122.99785254,1817993.22378672,1495,28,0.884155013036266
"result.2804",3,15,10,123.70473675,120.1703157,122.29096833,1817933.17644811,1499,28,0.883819230465356
"result.3314",1,15,12,122.29096833,120.1703157,123.70473675,1817933.17644811,1491,28,0.883819230465356
"result.2225",0,11,8,123.73664348,119.42024894,123.01724439,1817784.08888911,1499,29,0.882985538165087
"result.3569",0,15,13,121.58408412,120.1703157,124.41162096,1817753.03443228,1486,28,0.882811882752627
"result.3044",3,14,11,123.70473675,119.46343149,122.99785254,1817685.92270089,1499,28,0.882436596349847
"result.3299",2,14,12,122.99785254,119.46343149,123.70473675,1817685.92270089,1495,28,0.882436596349847
