"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.2529",0,14,9,143.31812415,94.1656989,116.41363875,1571077.87811689,1500,15,1
"result.3745",0,10,14,143.31812415,92.0961231,119.0006085,1570694.22051539,1500,15,0.997493441884474
"result.2769",0,13,10,143.31812415,93.64830495,116.9310327,1569389.78467031,1499,15,0.988971144291682
"result.4086",5,15,15,143.45389773,93.092422995,117.510107715,1569285.31719822,1500,14.5,0.988288624803062
"result.3985",0,9,15,143.31812415,91.57872915,119.51800245,1568660.83522747,1499,15,0.984208683872181
"result.3009",0,12,11,143.31812415,93.130911,117.44842665,1567624.95970344,1498,15,0.977440976960257
"result.2754",1,12,10,143.8355181,93.130911,116.9310327,1566353.48794109,1500,15,0.969134044288583
"result.3249",0,11,12,143.31812415,92.61351705,117.9658206,1565783.40321627,1498,15,0.965409498005728
"result.2033",0,15,7,143.31812415,94.68309285,115.37885085,1565668.30593582,1497,15,0.964657530571071
"result.3970",1,8,15,143.8355181,91.0613352,119.51800245,1565429.38558832,1500,15,0.963096587340281
"result.2994",1,11,11,143.8355181,92.61351705,117.44842665,1564543.78750025,1500,15,0.957310691098159
"result.1778",1,15,6,143.8355181,94.68309285,114.8614569,1564274.25764736,1499,15,0.955549766154905
"result.2273",0,14,8,143.31812415,94.1656989,115.8962448,1564095.3097697,1497,15,0.954380642297409
"result.3489",0,10,13,143.31812415,92.0961231,118.48321455,1563865.1152088,1497,15,0.952876707428094
"result.4085",4,15,15,142.945195965,93.092422995,117.510107715,1563720.47564787,1495,14.5,0.951931730803466
"result.2018",1,14,7,143.8355181,94.1656989,115.37885085,1562734.08705942,1499,15,0.945487337907734
"result.3234",1,10,12,143.8355181,92.0961231,117.9658206,1562657.07853002,1499,15,0.944984216495376
"result.3830",5,15,14,143.45389773,93.092422995,117.00140595,1562491.87426663,1497,14.5,0.943904884076282
"result.2513",0,13,9,143.31812415,93.64830495,116.41363875,1562445.58208328,1496,15,0.943602442400643
"result.3729",0,9,14,143.31812415,91.57872915,119.0006085,1561870.09568104,1496,15,0.939842605227353
"result.3575",6,15,13,143.962599495,93.092422995,116.492704185,1561215.09243906,1499,14.5,0.935563259046072
"result.2258",1,13,8,143.8355181,93.64830495,115.8962448,1561116.90794207,1498,15,0.934921788248207
"result.2753",0,12,10,143.31812415,93.130911,116.9310327,1560719.12287655,1495,15,0.932322930880772
"result.4070",5,14,15,143.45389773,92.58372123,117.510107715,1560709.98759605,1496,14.5,0.93226324716434
"result.3474",1,9,13,143.8355181,91.57872915,118.48321455,1560693.36103039,1498,15,0.932154620480234
"result.3969",0,8,15,143.31812415,91.0613352,119.51800245,1559798.34463297,1495,15,0.926307191403507
"result.2003",2,13,7,144.35291205,93.64830495,115.37885085,1559738.09515403,1500,15,0.92591356224096
"result.3219",2,9,12,144.35291205,91.57872915,117.9658206,1559467.5957693,1500,15,0.92414630303532
"result.3815",6,14,14,143.962599495,92.58372123,117.00140595,1559464.14130095,1498,14.5,0.924123733886074
"result.2498",1,12,9,143.8355181,93.130911,116.41363875,1559422.72029533,1497,15,0.92385311717632
