"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,87.72330111,116.17410147,106.69050135,1087301.64311846,976,40,1
"result.4080",15,14,15,87.72330111,115.38380146,106.69050135,1079905.03330133,973,40,0.978032851771225
"result.3840",15,15,14,87.72330111,116.17410147,105.90020134,1079247.55687314,973,40,0.976080216373112
"result.4095",14,15,15,86.9330011,116.17410147,106.69050135,1077506.1328201,967,40,0.970908371264595
"result.4064",15,13,15,87.72330111,114.59350145,106.69050135,1072508.4234842,969,40,0.956065703542449
"result.3824",15,14,14,87.72330111,115.38380146,105.90020134,1071905.73675836,969,40,0.954275787760846
"result.3584",15,15,13,87.72330111,116.17410147,105.10990133,1071193.47062782,969,40,0.952160432746224
"result.4079",14,14,15,86.9330011,115.38380146,106.69050135,1070176.15912744,964,40,0.949139125272115
"result.3839",14,15,14,86.9330011,116.17410147,105.90020134,1069524.60591032,964,40,0.947204081183895
"result.4094",13,15,15,86.14270109,116.17410147,106.69050135,1067710.62252173,959,40,0.94181674252919
"result.4048",15,12,15,87.72330111,113.80320144,106.69050135,1065111.81366706,966,40,0.934098555313675
"result.3808",15,13,14,87.72330111,114.59350145,105.90020134,1064563.91664357,966,40,0.932471359148581
"result.3568",15,14,13,87.72330111,115.38380146,105.10990133,1063906.44021538,966,40,0.930518723750467
"result.3328",15,15,12,87.72330111,116.17410147,104.31960132,1063139.38438249,965,40,0.928240649119335
"result.4063",14,13,15,86.9330011,114.59350145,106.69050135,1062846.18543479,961,40,0.927369879279636
"result.3823",14,14,14,86.9330011,115.38380146,105.90020134,1062248.92831909,960,40,0.925596088865434
"result.3583",14,15,13,86.9330011,116.17410147,105.10990133,1061543.07900054,960,40,0.923499791103195
"result.4078",13,14,15,86.14270109,115.38380146,106.69050135,1060447.28495356,955,40,0.920245398773006
"result.3838",13,15,14,86.14270109,116.17410147,105.90020134,1059801.6549475,955,40,0.918327945994678
"result.4093",12,15,15,85.35240108,116.17410147,106.69050135,1057915.11222337,950,40,0.912725113793785
"result.4032",15,11,15,87.72330111,113.01290143,106.69050135,1057715.20384993,963,40,0.9121314070849
"result.3792",15,12,14,87.72330111,113.80320144,105.90020134,1057222.09652879,963,40,0.910666930536315
"result.3552",15,13,13,87.72330111,114.59350145,105.10990133,1056619.40980295,962,40,0.908877014754711
"result.3312",15,14,12,87.72330111,115.38380146,104.31960132,1055907.14367241,962,40,0.906761659740089
"result.4047",14,12,15,86.9330011,113.80320144,106.69050135,1055516.21174213,957,40,0.905600633287156
"result.3072",15,15,11,87.72330111,116.17410147,103.52930131,1055085.29813717,962,40,0.904320865492446
"result.3807",14,13,14,86.9330011,114.59350145,105.90020134,1054973.25072786,957,40,0.903988096546972
"result.3567",14,14,13,86.9330011,115.38380146,105.10990133,1054321.69751074,957,40,0.902053052458752
"result.3327",14,15,12,86.9330011,116.17410147,104.31960132,1053561.55209076,957,40,0.899795501022495
"result.4062",13,13,15,86.14270109,114.59350145,106.69050135,1053183.94738538,952,40,0.898674055016821
"result.3822",13,14,14,86.14270109,115.38380146,105.90020134,1052592.11987983,952,40,0.896916389970021
"result.3582",13,15,13,86.14270109,116.17410147,105.10990133,1051892.68737326,951,40,0.894839149460166
"result.4077",12,14,15,85.35240108,115.38380146,106.69050135,1050718.41077967,947,40,0.891351672273897
"result.4016",15,10,15,87.72330111,112.22260142,106.69050135,1050318.5940328,959,40,0.890164258856125
"result.3837",12,15,14,85.35240108,116.17410147,105.90020134,1050078.70398467,946,40,0.889451810805462
"result.3776",15,11,14,87.72330111,113.01290143,105.90020134,1049880.27641401,959,40,0.888862501924049
"result.3536",15,12,13,87.72330111,113.80320144,105.10990133,1049332.37939051,959,40,0.887235305758955
"result.3296",15,13,12,87.72330111,114.59350145,104.31960132,1048674.90296232,959,40,0.885282670360842
"result.4031",14,11,15,86.9330011,113.01290143,106.69050135,1048186.23804948,954,40,0.883831387294676
"result.4092",11,15,15,84.56210107,116.17410147,106.69050135,1048119.601925,941,40,0.883633485058381
"result.3056",15,14,11,87.72330111,115.38380146,103.52930131,1047907.84712944,958,40,0.883004595729709
"result.3791",14,12,14,86.9330011,113.80320144,105.90020134,1047697.57313664,954,40,0.882380104228511
"result.3551",14,13,13,86.9330011,114.59350145,105.10990133,1047100.31602094,954,40,0.880606313814309
"result.2816",15,15,10,87.72330111,116.17410147,102.7390013,1047031.21189185,958,40,0.880401081865558
"result.3311",14,14,12,86.9330011,115.38380146,104.31960132,1046394.46670239,953,40,0.87851001605207
"result.4046",13,12,15,86.14270109,113.80320144,106.69050135,1045920.60981721,949,40,0.877102711260637
"result.3071",14,15,11,86.9330011,116.17410147,103.52930131,1045580.02518098,953,40,0.876091210941795
"result.3806",13,13,14,86.14270109,114.59350145,105.90020134,1045382.58481216,948,40,0.875504833945364
"result.3566",13,14,13,86.14270109,115.38380146,105.10990133,1044736.9548061,948,40,0.873587381167037
"result.3326",13,15,12,86.14270109,116.17410147,104.31960132,1043983.71979903,948,40,0.871350352925655
"result.4061",12,13,15,85.35240108,114.59350145,106.69050135,1043521.70933597,943,40,0.869978230754007
"result.3821",12,14,14,85.35240108,115.38380146,105.90020134,1042935.31144056,943,40,0.868236691074609
"result.4000",15,9,15,87.72330111,111.43230141,106.69050135,1042921.98421567,956,40,0.86819711062735
"result.3760",15,10,14,87.72330111,112.22260142,105.90020134,1042538.45629922,956,40,0.867058073311784
"result.3581",12,15,13,85.35240108,116.17410147,105.10990133,1042242.29574598,943,40,0.866178507817138
"result.3520",15,11,13,87.72330111,113.01290143,105.10990133,1042045.34897808,956,40,0.865593596763199
"result.3280",15,12,12,87.72330111,113.80320144,104.31960132,1041442.66225224,955,40,0.863803680981595
"result.4076",11,14,15,84.56210107,115.38380146,106.69050135,1040989.53660578,938,40,0.862457945774787
"result.4015",14,10,15,86.9330011,112.22260142,106.69050135,1040856.26435683,951,40,0.862062141302196
"result.3040",15,13,11,87.72330111,114.59350145,103.52930131,1040730.3961217,955,40,0.861688325966972
"result.3775",14,11,14,86.9330011,113.01290143,105.90020134,1040421.89554541,951,40,0.86077211191005
"result.3836",11,15,14,84.56210107,116.17410147,105.90020134,1040355.75302185,937,40,0.860575675616245
"result.2800",15,14,10,87.72330111,115.38380146,102.7390013,1039908.55058646,955,40,0.859247531719331
"result.3535",14,12,13,86.9330011,113.80320144,105.10990133,1039878.93453114,950,40,0.859159575169866
"result.3295",14,13,12,86.9330011,114.59350145,104.31960132,1039227.38131402,950,40,0.857224531081646
"result.2560",15,15,9,87.72330111,116.17410147,101.94870129,1038977.12564653,954,40,0.85648129823867
"result.4030",13,11,15,86.14270109,113.01290143,106.69050135,1038657.27224903,945,40,0.855531367504453
"result.3055",14,14,11,86.9330011,115.38380146,103.52930131,1038467.23589404,950,40,0.854966979645388
"result.4091",10,15,15,83.77180106,116.17410147,106.69050135,1038324.09162664,932,40,0.854541856322976
"result.3790",13,12,14,86.14270109,113.80320144,105.90020134,1038173.04974449,945,40,0.854093277920707
"result.2815",14,15,10,86.9330011,116.17410147,102.7390013,1037598.4982712,949,40,0.852386920861095
"result.3550",13,13,13,86.14270109,114.59350145,105.10990133,1037581.22223893,945,40,0.852335612873907
