"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4049",0,13,15,107.4927195,147.21828975,132.4185675,2095509.83740391,1500,38,1
"result.4081",0,15,15,107.096964756,148.228407742,131.93104354,2094380.58701407,1497,37.5,0.995240854290317
"result.3809",0,14,14,107.4927195,147.9972225,131.63963475,2094205.44285837,1500,38,0.994502721663002
"result.3569",0,15,13,107.4927195,148.77615525,130.860702,2092770.60885828,1499,38,0.988455715492303
"result.4050",1,13,15,107.873029718,146.676277818,131.93104354,2087467.65313933,1500,37.5,0.966106784568294
"result.4082",1,15,15,107.4729235,147.6786215,131.441705,2086170.86825995,1497,37,0.960641576629829
"result.3810",1,14,14,107.873029718,147.45234278,131.154978578,2086168.26462197,1500,37.5,0.960630603782139
"result.4001",0,10,15,107.88702759,145.41295023,132.90430935,2085025.52818542,1499,38.5,0.955814622084669
"result.3570",1,15,13,107.873029718,148.228407742,130.378913616,2084738.93725288,1499,37.5,0.95460680491737
"result.4033",0,12,15,107.4927195,146.439357,132.4185675,2084422.48376685,1496,38,0.953273134135509
"result.3761",0,11,14,107.88702759,146.194740285,132.122519295,2083904.54671865,1499,38.5,0.951090325165059
"result.4065",0,14,15,107.096964756,147.45234278,131.93104354,2083415.24362656,1493,37.5,0.949028191972626
"result.3793",0,13,14,107.4927195,147.21828975,131.63963475,2083183.30894859,1496,38,0.94805071971536
"result.3521",0,12,13,107.88702759,146.97653034,131.34072924,2082651.68507932,1498,38.5,0.945810228607848
"result.3825",0,15,14,107.096964756,148.228407742,131.154978578,2082060.7012081,1493,37.5,0.94331956898044
"result.3553",0,14,13,107.4927195,147.9972225,130.860702,2081813.69467578,1495,38,0.942278577461511
"result.3281",0,13,12,107.88702759,147.758320395,130.558939185,2081266.94326743,1498,38.5,0.939974332413037
"result.3009",0,12,11,108.27990186,147.51175036,130.24973702,2080421.45978287,1500,39,0.93641110220797
"result.3313",0,15,12,107.4927195,148.77615525,130.08176925,2080313.64094841,1495,38,0.935956707373963
"result.3041",0,14,11,107.88702759,148.54011045,129.77714913,2079750.32128299,1497,38.5,0.933582636580624
"result.4051",2,13,15,108.24611,146.1322485,131.441705,2079177.41437186,1500,37,0.93116816101995
"result.2769",0,13,10,108.27990186,148.29638733,129.46510005,2078888.20889928,1500,39,0.929949325059042
"result.2801",0,15,10,107.88702759,149.321900505,128.995359075,2078101.81912598,1497,38.5,0.92663514111061
"result.3811",2,14,14,108.24611,146.905435,130.6685185,2077883.18628946,1499,37,0.925713728521096
"result.4083",2,15,15,107.84161724,147.126777806,130.95053522,2077712.21771228,1496,36.5,0.924993193573414
"result.2529",0,14,9,108.27990186,149.0810243,128.68046308,2077221.63185191,1499,39,0.922925654244991
"result.4002",1,10,15,108.27165225,144.8814915,132.4185675,2077191.60096007,1499,38,0.922799091180406
"result.3571",2,15,13,108.24611,147.6786215,129.895332,2076459.53539882,1499,37,0.919713852772357
"result.4034",1,12,15,107.873029718,145.900212856,131.93104354,2076422.85074177,1496,37.5,0.919559247885981
"result.3762",1,11,14,108.27165225,145.66042425,131.63963475,2076074.83128214,1499,38,0.918092544546229
"result.2289",0,15,8,108.27990186,149.86566127,127.89582611,2075421.72864074,1499,39,0.915340089765816
"result.4066",1,14,15,107.4729235,146.905435,131.441705,2075248.50769315,1493,37,0.914610062362716
"result.3794",1,13,14,107.873029718,146.676277818,131.154978578,2075188.43165028,1496,37.5,0.914356876139135
"result.3522",1,12,13,108.27165225,146.439357,130.860702,2074826.67693621,1498,38,0.912832286543326
"result.3826",1,15,14,107.4729235,147.6786215,130.6685185,2073899.27491725,1492,37,0.908923816482661
"result.3953",0,7,15,108.27990186,143.58856551,133.3882849,2073888.47775715,1498,39,0.908878312616888
"result.3554",1,14,13,107.873029718,147.45234278,130.378913616,2073824.07370705,1495,37.5,0.908606886313672
"result.3985",0,9,15,107.88702759,144.631160175,132.90430935,2073815.71351775,1495,38.5,0.908571652888575
"result.3282",1,13,12,108.27165225,147.21828975,130.08176925,2073447.13792229,1498,38,0.907018317171696
"result.4017",0,11,15,107.4927195,145.66042425,132.4185675,2073335.13012979,1492,38,0.906546268271018
"result.3713",0,8,14,108.27990186,144.37320248,132.60364793,2072955.19461062,1498,39,0.904945056961019
"result.3010",1,12,11,108.668817645,146.97653034,129.77714913,2072770.22867151,1500,38.5,0.904165531123824
"result.3745",0,10,14,107.88702759,145.41295023,132.122519295,2072760.67213727,1495,38.5,0.904125255787766
"result.3681",0,6,14,108.671353764,143.320191196,133.083034682,2072741.54196366,1500,39.5,0.904044633027329
"result.3314",1,15,12,107.873029718,148.228407742,129.602848654,2072329.77691209,1495,37.5,0.902309278409595
"result.1777",0,15,6,108.671353764,150.407453398,126.783246058,2072269.82108474,1500,39.5,0.902056598825824
"result.3777",0,12,14,107.4927195,146.439357,131.63963475,2072161.17503881,1492,38,0.901598717767719
"result.3042",1,14,11,108.27165225,147.9972225,129.3028365,2071936.21424038,1497,38,0.900650636431338
"result.3473",0,9,13,108.27990186,145.15783945,131.81901096,2071888.5853003,1497,39,0.900449907640026
"result.3441",0,7,13,108.671353764,144.107664774,132.295561104,2071798.10020582,1500,39.5,0.900068564624317
"result.3505",0,11,13,107.88702759,146.194740285,131.34072924,2071573.75058422,1494,38.5,0.899123059049356
"result.2770",1,13,10,108.668817645,147.758320395,128.995359075,2071242.61667268,1500,38.5,0.897727518654944
"result.3537",0,13,13,107.4927195,147.21828975,130.860702,2070856.78049327,1491,38,0.896101439430721
"result.3201",0,8,12,108.671353764,144.895138352,131.508087526,2070719.88105401,1500,39.5,0.895524486449447
"result.3233",0,10,12,108.27990186,145.94247642,131.03437399,2070688.64982618,1497,39,0.895392864653909
"result.4052",3,13,15,108.611914506,145.586183274,130.95053522,2070641.4693274,1499,36.5,0.895194025786631
"result.2802",1,15,10,108.27165225,148.77615525,128.52390375,2070293.90589047,1497,38,0.893729244322254
"result.3265",0,12,12,107.88702759,146.97653034,130.558939185,2070254.94885861,1494,38.5,0.893565062673344
"result.2530",1,14,9,108.668817645,148.54011045,128.21356902,2069582.16884787,1499,38.5,0.890729679014858
"result.2961",0,9,11,108.671353764,145.68261193,130.720613948,2069506.88450822,1499,39.5,0.890412398502719
"result.3297",0,14,12,107.4927195,147.9972225,130.08176925,2069421.94649318,1491,38,0.890054433260021
