"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.2545",0,15,9,102.847878387,186.160405572,114.339261447,2189162.68226323,1500,18.5,1
"result.3697",0,7,14,102.847878387,181.563852348,117.212107212,2188755.24457809,1500,18.5,0.998075335499734
"result.4083",2,15,15,102.58256812,183.62846448,116.1846766,2188579.98587947,1498,18,0.997247444001515
"result.3233",0,10,12,102.847878387,183.287559807,116.062968906,2187872.46292695,1500,18.5,0.993905229082487
"result.2769",0,13,10,102.847878387,185.011267266,114.9138306,2186582.24359067,1499,18.5,0.987810458164974
"result.3921",0,5,15,102.847878387,180.414714042,117.786676365,2185563.64937781,1499,18.5,0.982998796914305
"result.3457",0,8,13,102.847878387,182.138421501,116.637538059,2184918.53970967,1499,18.5,0.979951411455547
"result.2993",0,11,11,102.847878387,183.86212896,115.488399753,2183865.99235639,1498,18.5,0.974979361496523
"result.3812",3,14,14,103.14932264,183.06170996,115.61792208,2183177.54106064,1500,18,0.971727237754839
"result.2529",0,14,9,102.847878387,185.585836419,114.339261447,2182406.00731797,1498,18.5,0.968082647037233
"result.3681",0,6,14,102.847878387,180.989283195,117.212107212,2181828.80393069,1497,18.5,0.965356038995188
"result.4067",2,14,15,102.58256812,183.06170996,116.1846766,2181825.10937985,1496,18,0.965338586581953
"result.3217",0,9,12,102.847878387,182.712990654,116.062968906,2181013.92856041,1497,18.5,0.961506709994653
"result.4036",3,12,15,103.14932264,181.92820092,116.1846766,2180294.99923352,1499,18,0.958110613354317
"result.2753",0,12,10,102.847878387,184.436698113,114.9138306,2179791.61550498,1497,18.5,0.95573271649385
"result.3572",3,15,13,103.14932264,183.62846448,115.05116756,2179201.6212991,1499,18,0.952945686857567
"result.3905",0,4,15,102.847878387,179.840144889,117.786676365,2178603.25558999,1496,18.5,0.950119111701404
"result.2722",1,10,10,103.42244754,183.287559807,114.9138306,2178312.09318464,1500,18.5,0.948743711325282
"result.2289",0,15,8,102.847878387,186.160405572,113.764692294,2178161.86476442,1496,18.5,0.948034058492781
"result.3441",0,7,13,102.847878387,181.563852348,116.637538059,2178026.0522027,1496,18.5,0.947392503659358
"result.3827",2,15,14,102.58256812,183.62846448,115.61792208,2177903.98594835,1494,18,0.946815883982304
"result.2977",0,10,11,102.847878387,183.287559807,115.488399753,2177041.41113028,1496,18.5,0.942741231117044
"result.2258",1,13,8,103.42244754,185.011267266,113.764692294,2176809.80898244,1500,18.5,0.941647183000273
"result.3874",1,2,15,103.42244754,178.691006583,117.786676365,2176775.66615966,1500,18.5,0.941485898265614
"result.4082",1,15,15,102.0158136,183.62846448,116.1846766,2176488.38374754,1490,18,0.940128826300199
"result.3796",3,13,14,103.14932264,182.49495544,115.61792208,2176418.47746602,1498,18,0.939798601229478
"result.3410",1,5,13,103.42244754,180.414714042,116.637538059,2176331.80946356,1500,18.5,0.939389196715043
"result.2513",0,13,9,102.847878387,185.011267266,114.339261447,2175649.33237271,1495,18.5,0.936165294074464
"result.2946",1,8,11,103.42244754,182.138421501,115.488399753,2175478.23889413,1499,18.5,0.935357078348562
"result.4051",2,13,15,102.58256812,182.49495544,116.1846766,2175070.23288022,1493,18,0.93342972916239
"result.3665",0,5,14,102.847878387,180.414714042,117.212107212,2174902.36328329,1495,18.5,0.932636742490642
