"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3969",0,8,15,93.58429509,191.74963959,134.15930415,2407455.82446119,1500,24,1
"result.4082",1,15,15,93.251005344,194.2729278,132.75316733,2404975.73854187,1497,23.5,0.989534308051143
"result.2801",0,15,10,93.58429509,196.330689,130.887126,2404850.56967737,1500,24,0.989006109101587
"result.3265",0,12,12,93.58429509,194.36738211,132.19599726,2404610.0846204,1500,24,0.987991288403272
"result.3729",0,9,14,93.58429509,192.40407522,133.50486852,2403888.6294495,1499,24,0.984946826308328
"result.3025",0,13,11,93.58429509,195.02181774,131.54156163,2400762.32370892,1498,24,0.971754157230231
"result.3489",0,10,13,93.58429509,193.05851085,132.85043289,2400241.27275216,1498,24,0.969555379050549
"result.3953",0,7,15,93.58429509,191.09520396,134.15930415,2399239.25168146,1498,24,0.965326959474237
"result.3571",2,15,13,93.89858177,194.2729278,131.458014478,2398050.84227574,1500,23.5,0.960312001463119
"result.4035",2,12,15,93.89858177,192.330198522,132.75316733,2397460.18935892,1500,23.5,0.957819510607081
"result.4066",1,14,15,93.251005344,193.625351374,132.75316733,2396959.15274673,1495,23.5,0.955705190777478
"result.2785",0,14,10,93.58429509,195.67625337,130.887126,2396834.40111178,1497,24,0.955178752491086
"result.3249",0,11,12,93.58429509,193.71294648,132.19599726,2396513.75436916,1497,24,0.953825658226666
"result.3713",0,8,14,93.58429509,191.74963959,133.50486852,2395712.1375126,1497,24,0.950442922565615
"result.3795",2,13,14,93.89858177,192.977774948,132.105590904,2393798.14127466,1499,23.5,0.94236606729965
"result.3826",1,15,14,93.251005344,194.2729278,132.105590904,2393244.14957337,1493,23.5,0.940028282772608
"result.2545",0,15,9,93.58429509,196.330689,130.23269037,2392826.31682899,1496,24,0.938265074185837
"result.3009",0,12,11,93.58429509,194.36738211,131.54156163,2392706.0743005,1496,24,0.937757663836678
"result.3473",0,9,13,93.58429509,192.40407522,132.85043289,2392104.86165808,1496,24,0.935220612090891
"result.3937",0,6,15,93.58429509,190.44076833,134.15930415,2391022.67890173,1495,24,0.930653918948472
"result.3555",2,14,13,93.89858177,193.625351374,131.458014478,2390057.33946816,1498,23.5,0.926580291878079
"result.2274",1,14,8,94.23873072,195.67625337,129.57825474,2389459.52603144,1500,24,0.924057584409426
"result.4019",2,11,15,93.89858177,191.682622096,132.75316733,2389387.9328291,1497,23.5,0.923755468907903
