"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,87.72330111,97.99720124,103.52930131,890003.924959247,883,40,1
"result.3840",15,15,14,87.72330111,97.99720124,102.7390013,883210.001867956,880,40,0.97664188982792
"result.4080",15,14,15,87.72330111,97.20690123,103.52930131,882826.473951512,880,40,0.975323286834335
"result.4095",14,15,15,86.9330011,97.99720124,103.52930131,881985.871581236,875,40,0.972433221328446
"result.3584",15,15,13,87.72330111,97.99720124,101.94870129,876416.078776664,876,40,0.953283779655839
"result.3824",15,14,14,87.72330111,97.20690123,102.7390013,876087.340562569,876,40,0.952153548518481
"result.4064",15,13,15,87.72330111,96.41660122,103.52930131,875649.022943776,876,40,0.950646573668669
"result.3839",14,15,14,86.9330011,97.99720124,102.7390013,875253.15500428,872,40,0.949285544581339
"result.4079",14,14,15,86.9330011,97.20690123,103.52930131,874873.082294291,872,40,0.947978820894003
"result.4094",13,15,15,86.14270109,97.99720124,103.52930131,873967.818203225,867,40,0.944866442656892
"result.3328",15,15,12,87.72330111,97.99720124,101.15840128,869622.155685372,873,40,0.929925669483759
"result.3568",15,14,13,87.72330111,97.20690123,101.94870129,869348.207173626,873,40,0.928983810202627
"result.3808",15,13,14,87.72330111,96.41660122,102.7390013,868964.679257182,873,40,0.927665207209042
"result.3583",14,15,13,86.9330011,97.99720124,101.94870129,868520.438427324,868,40,0.926137867834233
"result.4048",15,12,15,87.72330111,95.62630121,103.52930131,868471.57193604,872,40,0.925969860503004
"result.3823",14,14,14,86.9330011,97.20690123,102.7390013,868194.661818762,868,40,0.925017818959373
"result.4063",14,13,15,86.9330011,96.41660122,103.52930131,867760.293007345,868,40,0.923524420459559
"result.3838",13,15,14,86.14270109,97.99720124,102.7390013,867296.308140605,864,40,0.921929199334759
"result.4078",13,14,15,86.14270109,97.20690123,103.52930131,866919.69063707,864,40,0.920634354953671
"result.4093",12,15,15,85.35240108,97.99720124,103.52930131,865949.764825214,859,40,0.917299663985338
"result.3072",15,15,11,87.72330111,97.99720124,100.36810127,862828.23259408,870,40,0.906567559311679
"result.3312",15,14,12,87.72330111,97.20690123,101.15840128,862609.073784683,869,40,0.905814071886773
"result.3552",15,13,13,87.72330111,96.41660122,101.94870129,862280.335570588,869,40,0.904683840749415
"result.3792",15,12,14,87.72330111,95.62630121,102.7390013,861842.017951795,869,40,0.903176865899603
"result.3327",14,15,12,86.9330011,97.99720124,101.15840128,861787.721850368,865,40,0.902990191087126
"result.3567",14,14,13,86.9330011,97.20690123,101.94870129,861516.241343233,865,40,0.902056817024743
"result.4032",15,11,15,87.72330111,94.8360012,103.52930131,861294.120928304,869,40,0.901293147337338
"result.3807",14,13,14,86.9330011,96.41660122,102.7390013,861136.168633243,865,40,0.900750093337406
"result.4047",14,12,15,86.9330011,95.62630121,103.52930131,860647.5037204,864,40,0.899070020025116
"result.3582",13,15,13,86.14270109,97.99720124,101.94870129,860624.798077985,861,40,0.898991956012626
"result.3822",13,14,14,86.14270109,97.20690123,102.7390013,860301.983074955,860,40,0.897882089400265
"result.4062",13,13,15,86.14270109,96.41660122,103.52930131,859871.563070915,860,40,0.89640226725045
"result.3837",12,15,14,85.35240108,97.99720124,102.7390013,859339.46127693,856,40,0.894572854088178
"result.4077",12,14,15,85.35240108,97.20690123,103.52930131,858966.298979849,856,40,0.893289889013339
"result.4092",11,15,15,84.56210107,97.99720124,103.52930131,857931.711447202,851,40,0.889732885313783
"result.2816",15,15,10,87.72330111,97.99720124,99.57780126,856034.309502788,866,40,0.883209449139599
"result.3056",15,14,11,87.72330111,97.20690123,100.36810127,855869.94039574,866,40,0.88264433357092
"result.3296",15,13,12,87.72330111,96.41660122,101.15840128,855595.991883995,866,40,0.881702474289787
"result.3536",15,12,13,87.72330111,95.62630121,101.94870129,855212.463967551,866,40,0.880383871296202
"result.3071",14,15,11,86.9330011,97.99720124,100.36810127,855055.005273412,862,40,0.87984251434002
"result.3311",14,14,12,86.9330011,97.20690123,101.15840128,854837.820867704,862,40,0.879095815090113
"result.3776",15,11,14,87.72330111,94.8360012,102.7390013,854719.356646409,865,40,0.878688524590164
"result.3551",14,13,13,86.9330011,96.41660122,101.94870129,854512.044259142,861,40,0.877975766215253
"result.4016",15,10,15,87.72330111,94.04570119,103.52930131,854116.669920568,865,40,0.876616434171673
"result.3791",14,12,14,86.9330011,95.62630121,102.7390013,854077.675447725,861,40,0.87648236771544
"result.3326",13,15,12,86.14270109,97.99720124,101.15840128,853953.288015365,857,40,0.876054712690493
"result.3566",13,14,13,86.14270109,97.20690123,101.94870129,853684.27551284,857,40,0.875129823846859
"result.4031",14,11,15,86.9330011,94.8360012,103.52930131,853534.714433454,861,40,0.874615619590673
"result.3806",13,13,14,86.14270109,96.41660122,102.7390013,853307.658009305,857,40,0.873834979465771
"result.4046",13,12,15,86.14270109,95.62630121,103.52930131,852823.43550476,857,40,0.872170179547229
"result.3581",12,15,13,85.35240108,97.99720124,101.94870129,852729.157728646,853,40,0.871846044191019
"result.3821",12,14,14,85.35240108,97.20690123,102.7390013,852409.304331148,852,40,0.870746359841157
"result.4061",12,13,15,85.35240108,96.41660122,103.52930131,851982.833134484,852,40,0.86928011404134
"result.3836",11,15,14,84.56210107,97.99720124,102.7390013,851382.614413254,848,40,0.867216508841598
"result.4076",11,14,15,84.56210107,97.20690123,103.52930131,851012.907322628,848,40,0.865945423073007
"result.4091",10,15,15,83.77180106,97.99720124,103.52930131,849913.658069191,843,40,0.862166106642229
"result.2560",15,15,9,87.72330111,97.99720124,98.78750125,849240.386411496,863,40,0.859851338967519
"result.2800",15,14,10,87.72330111,97.20690123,99.57780126,849130.807006797,863,40,0.859474595255066
"result.3040",15,13,11,87.72330111,96.41660122,100.36810127,848911.648197401,862,40,0.85872110783016
"result.3280",15,12,12,87.72330111,95.62630121,101.15840128,848582.909983306,862,40,0.857590876692801
"result.2815",14,15,10,86.9330011,97.99720124,99.57780126,848322.288696456,858,40,0.856694837592913
"result.3055",14,14,11,86.9330011,97.20690123,100.36810127,848159.400392175,858,40,0.856134813155483
"result.3520",15,11,13,87.72330111,94.8360012,101.94870129,848144.592364513,862,40,0.856083901842989
"result.3295",14,13,12,86.9330011,96.41660122,101.15840128,847887.91988504,858,40,0.8552014390931
"result.3760",15,10,14,87.72330111,94.04570119,102.7390013,847596.695341022,862,40,0.854200183280725
"result.3535",14,12,13,86.9330011,95.62630121,101.94870129,847507.84717505,858,40,0.853894715405763
"result.3070",13,15,11,86.14270109,97.99720124,100.36810127,847281.777952745,854,40,0.85311746936836
"result.3310",13,14,12,86.14270109,97.20690123,101.15840128,847066.567950725,854,40,0.852377558293453
"result.3775",14,11,14,86.9330011,94.8360012,102.7390013,847019.182262207,858,40,0.852214642093473
"result.4000",15,9,15,87.72330111,93.25540118,103.52930131,846939.218912832,861,40,0.851939721006008
"result.3550",13,13,13,86.14270109,96.41660122,101.94870129,846743.752947695,854,40,0.851267691681092
"result.4015",14,10,15,86.9330011,94.04570119,103.52930131,846421.925146509,857,40,0.85016121915623
"result.3790",13,12,14,86.14270109,95.62630121,102.7390013,846313.332943655,853,40,0.849787869531277
"result.3325",12,15,12,85.35240108,97.99720124,101.15840128,846118.854180361,849,40,0.84911923429386
"result.3565",12,14,13,85.35240108,97.20690123,101.94870129,845852.309682447,849,40,0.848202830668975
"result.4030",13,11,15,86.14270109,94.8360012,103.52930131,845775.307938605,853,40,0.847938091844008
"result.3805",12,13,14,85.35240108,96.41660122,102.7390013,845479.147385366,849,40,0.846919865594135
"result.4045",12,12,15,85.35240108,95.62630121,103.52930131,844999.36728912,849,40,0.845270339069341
"result.3580",11,15,13,84.56210107,97.99720124,101.94870129,844833.517379306,845,40,0.844700132369412
"result.3820",11,14,14,84.56210107,97.20690123,102.7390013,844516.625587341,845,40,0.843610630282049
