"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4049",0,13,15,121.83278724,138.39777147,109.54263765,1847040.72382169,1500,16,1
"result.3809",0,14,14,121.83278724,138.9321258,109.00828332,1845127.41296736,1499,16,0.989819792849633
"result.3569",0,15,13,121.83278724,139.46648013,108.47392899,1843144.52717289,1498,16,0.979269396348343
"result.4018",1,11,15,122.36714157,137.32906281,109.54263765,1840816.36048022,1500,16,0.966881854011224
"result.4033",0,12,15,121.83278724,137.86341714,109.54263765,1839909.29245558,1497,16,0.962055591530449
"result.3778",1,12,14,122.36714157,137.86341714,109.00828332,1838964.53800502,1500,16,0.957028809817922
"result.3793",0,13,14,121.83278724,138.39777147,109.00828332,1838030.76907134,1496,16,0.952060479055542
"result.3538",1,13,13,122.36714157,138.39777147,108.47392899,1837042.83543643,1499,16,0.946803952636194
"result.3553",0,14,13,121.83278724,138.9321258,108.47392899,1836082.67074694,1495,16,0.941695177229713
"result.3298",1,14,12,122.36714157,138.9321258,107.93957466,1835051.25277443,1498,16,0.936207282466038
"result.3313",0,15,12,121.83278724,139.46648013,107.93957466,1834064.99748238,1494,16,0.930959686052961
"result.4002",1,10,15,122.36714157,136.79470848,109.54263765,1833653.65090636,1497,16,0.928771022697508
"result.3058",1,15,11,122.36714157,139.46648013,107.40522033,1832989.79001903,1497,16,0.925238799307456
"result.4017",0,11,15,121.83278724,137.32906281,109.54263765,1832777.86108947,1494,16,0.924111183060896
"result.3747",2,10,14,122.9014959,136.79470848,109.00828332,1832677.16051819,1500,16,0.923575382684561
"result.3762",1,11,14,122.36714157,137.32906281,109.00828332,1831836.76847787,1497,16,0.919103884998419
"result.2803",2,15,10,122.9014959,139.46648013,106.870866,1831834.93755839,1500,16,0.919094143173394
"result.3777",0,12,14,121.83278724,137.86341714,109.00828332,1830934.12517531,1493,16,0.914301165261451
"result.3507",2,11,13,122.9014959,137.32906281,108.47392899,1830817.25148197,1500,16,0.913679312097402
"result.3522",1,12,13,122.36714157,137.86341714,108.47392899,1829950.00595598,1496,16,0.909064934310903
"result.3537",0,13,13,121.83278724,138.39777147,108.47392899,1829020.81432099,1492,16,0.904120958111084
"result.3267",2,12,12,122.9014959,137.86341714,107.93957466,1828887.15719911,1499,16,0.903409804884311
"result.3282",1,13,12,122.36714157,138.39777147,107.93957466,1827993.36334068,1495,16,0.898654170634961
"result.3971",2,8,15,122.9014959,135.72599982,109.54263765,1827272.89652616,1498,16,0.894820762487909
"result.3297",0,14,12,121.83278724,138.9321258,107.93957466,1827037.92852651,1491,16,0.893570561609794
"result.3027",2,13,11,122.9014959,138.39777147,107.40522033,1826886.87766959,1498,16,0.892766861045291
"result.3986",1,9,15,122.36714157,136.26035415,109.54263765,1826490.94133251,1494,16,0.890660191383791
"result.3042",1,14,11,122.36714157,138.9321258,107.40522033,1825966.84063198,1494,16,0.887871593970593
"result.4001",0,10,15,121.83278724,136.79470848,109.54263765,1825646.42972336,1491,16,0.886166774591344
"result.3731",2,9,14,122.9014959,136.26035415,109.00828332,1825518.26535992,1497,16,0.885484846839645
"result.3057",0,15,11,121.83278724,139.46648013,107.40522033,1824985.46779187,1491,16,0.88264997575758
"result.2787",2,14,10,122.9014959,138.9321258,106.870866,1824816.41289342,1497,16,0.88175048058034
"result.3746",1,10,14,122.36714157,136.79470848,109.00828332,1824708.99895072,1494,16,0.881178960178915
"result.3476",3,9,13,123.43585023,136.26035415,108.47392899,1824467.77530952,1500,16,0.879895474731967
"result.2802",1,15,10,122.36714157,139.46648013,106.870866,1823870.43782988,1493,16,0.876717204317797
"result.3761",0,11,14,121.83278724,137.32906281,109.00828332,1823837.48127928,1490,16,0.87654185146736
"result.3491",2,10,13,122.9014959,136.79470848,108.47392899,1823693.44894702,1497,16,0.875775494565451
"result.2532",3,14,9,123.43585023,138.9321258,106.33651167,1823586.64531082,1500,16,0.875207221439035
"result.3506",1,11,13,122.36714157,137.32906281,108.47392899,1822857.17647553,1493,16,0.871325915985613
"result.2547",2,15,9,122.9014959,139.46648013,106.33651167,1822675.7628706,1496,16,0.870360663489458
"result.3236",3,10,12,123.43585023,136.79470848,107.93957466,1822599.77971227,1499,16,0.869956377750951
"result.4072",7,14,15,123.596490085,136.74505286,107.818214755,1822258.13521756,1500,15.5,0.868138580229904
"result.3521",0,12,13,121.83278724,137.86341714,108.47392899,1821958.95789504,1489,16,0.866546738992454
"result.3251",2,11,12,122.9014959,137.32906281,107.93957466,1821798.44728748,1496,16,0.865692705665326
"result.4087",6,15,15,123.070547574,137.270995371,107.818214755,1821482.70622385,1497,15.5,0.86401273326231
"result.2292",3,15,8,123.43585023,139.46648013,105.80215734,1821401.44291404,1499,16,0.863580353272562
