"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,132.531066,119.2779594,107.4974202,1699322.9927116,1500,13.5,1
"result.4049",0,13,15,132.531066,118.2962478,107.988276,1693032.39704547,1497,13.5,0.964472231006042
"result.3809",0,14,14,132.531066,118.7871036,107.4974202,1692329.89397616,1497,13.5,0.960504662895042
"result.4034",1,12,15,133.0219218,117.805392,107.988276,1692251.83807957,1500,13.5,0.960063821993819
"result.3794",1,13,14,133.0219218,118.2962478,107.4974202,1691578.78337124,1500,13.5,0.956262571131916
"result.3569",0,15,13,132.531066,119.2779594,107.0065644,1691563.52699145,1497,13.5,0.95617640677395
"result.3554",1,14,13,133.0219218,118.7871036,107.0065644,1690841.6282145,1499,13.5,0.952099296378404
"result.3314",1,15,12,133.0219218,119.2779594,106.5157086,1690040.37260935,1499,13.5,0.947573997733281
"result.4033",0,12,15,132.531066,117.805392,107.988276,1686007.36635234,1494,13.5,0.924796549896039
"result.3793",0,13,14,132.531066,118.2962478,107.4974202,1685336.79524072,1494,13.5,0.921009325790084
"result.4018",1,11,15,133.0219218,117.3145362,107.988276,1685200.78875424,1497,13.5,0.920241193916741
"result.3553",0,14,13,132.531066,118.7871036,107.0065644,1684602.36021371,1494,13.5,0.916861413674038
"result.3778",1,12,14,133.0219218,117.805392,107.4974202,1684559.78427012,1496,13.5,0.916620955000644
"result.4003",2,10,15,133.5127776,116.8236804,107.988276,1684342.17389174,1499,13.5,0.915391944003297
"result.3538",1,13,13,133.0219218,118.2962478,107.0065644,1683854.67933758,1496,13.5,0.912638692192936
"result.3313",0,15,12,132.531066,119.2779594,106.5157086,1683804.06127131,1493,13.5,0.912352813547901
"result.3763",2,11,14,133.5127776,117.3145362,107.4974202,1683730.97256814,1499,13.5,0.911940026158575
"result.3298",1,14,12,133.0219218,118.7871036,106.5157086,1683085.47395664,1496,13.5,0.908294405493619
"result.3523",2,12,13,133.5127776,117.805392,107.0065644,1683055.4342631,1499,13.5,0.908124748540723
"result.3283",2,13,12,133.5127776,118.2962478,106.5157086,1682315.55897663,1498,13.5,0.903946111149744
"result.3058",1,15,11,133.0219218,119.2779594,106.0248528,1682252.16812728,1495,13.5,0.903588094902691
"result.3043",2,14,11,133.5127776,118.7871036,106.0248528,1681511.34670873,1498,13.5,0.899404113985635
"result.3028",3,13,11,134.0036334,118.2962478,106.0248528,1680719.43415787,1500,13.5,0.894931582660508
"result.2803",2,15,10,133.5127776,119.2779594,105.533997,1680642.7974594,1497,13.5,0.8944987570484
"result.2788",3,14,10,134.0036334,118.7871036,105.533997,1679879.97846999,1500,13.5,0.890190539150091
"result.4017",0,11,15,132.531066,117.3145362,107.988276,1678982.3356592,1491,13.5,0.885120868786035
"result.2548",3,15,9,134.0036334,119.2779594,105.0431412,1678975.94926766,1499,13.5,0.885084799985025
"result.3777",0,12,14,132.531066,117.805392,107.4974202,1678343.69650528,1491,13.5,0.881513988685126
"result.4002",1,10,15,133.0219218,116.8236804,107.988276,1678149.7394289,1494,13.5,0.880418565839663
"result.3537",0,13,13,132.531066,118.2962478,107.0065644,1677641.19343597,1491,13.5,0.877546420574125
"result.3762",1,11,14,133.0219218,117.3145362,107.4974202,1677540.78516899,1493,13.5,0.876979338869371
"result.3987",2,9,15,133.5127776,116.3328246,107.988276,1677265.10593421,1496,13.5,0.875422368959145
"result.3297",0,14,12,132.531066,118.7871036,106.5157086,1676874.82645126,1490,13.5,0.873218164453034
"result.3522",1,12,13,133.0219218,117.805392,107.0065644,1676867.73046066,1493,13.5,0.873178088007468
"result.3747",2,10,14,133.5127776,116.8236804,107.4974202,1676686.07310132,1496,13.5,0.872152131000987
"result.3972",3,8,15,134.0036334,115.8419688,107.988276,1676328.43517513,1498,13.5,0.870132278144477
"result.3282",1,13,12,133.0219218,118.2962478,106.5157086,1676130.57530392,1493,13.5,0.869014813253955
"result.3057",0,15,11,132.531066,119.2779594,106.0248528,1676044.59555116,1490,13.5,0.868529220321851
"result.3507",2,11,13,133.5127776,117.3145362,107.0065644,1676042.703287,1495,13.5,0.868518533269701
"result.3732",3,9,14,134.0036334,116.3328246,107.4974202,1675779.56030229,1498,13.5,0.867032365079974
"result.3267",2,12,12,133.5127776,117.805392,106.5157086,1675334.99649125,1495,13.5,0.864521575765285
"result.3042",1,14,11,133.0219218,118.7871036,106.0248528,1675329.31969877,1492,13.5,0.864489514608833
