"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3313",0,15,12,192.79654872,72.64797488,83.265755824,1166243.39292519,1499,17.5,1
"result.3553",0,14,13,192.79654872,72.089144304,83.8245864,1165039.21802284,1498,17.5,0.989849512810184
"result.3793",0,13,14,192.79654872,71.530313728,84.383416976,1163714.62563026,1497,17.5,0.978683976901385
"result.4033",0,12,15,192.79654872,70.971483152,84.942247552,1162269.61574744,1496,17.5,0.966503392273603
"result.3058",1,15,11,193.355379296,72.64797488,82.706925248,1161773.98433835,1498,17.5,0.962325510589678
"result.3779",2,12,14,193.914209872,70.971483152,84.383416976,1161316.57239356,1500,17.5,0.958469796542647
"result.3298",1,14,12,193.355379296,72.089144304,83.265755824,1160626.70233719,1498,17.5,0.952654597142452
"result.4019",2,11,15,193.914209872,70.412652576,84.942247552,1159802.62786054,1499,17.5,0.945708133300377
"result.3538",1,13,13,193.355379296,71.530313728,83.8245864,1159358.65380958,1497,17.5,0.941965692806043
"result.4087",6,15,15,193.32823419,71.6030497,83.72048888,1158933.61552158,1496,17,0.938382869672015
"result.3057",0,15,11,192.79654872,72.64797488,82.706925248,1158416.25605992,1494,17.5,0.934021833266186
"result.3284",3,13,12,194.473040448,71.530313728,83.265755824,1158286.41459219,1500,17.5,0.932927345951805
"result.3778",1,12,14,193.355379296,70.971483152,84.383416976,1157969.83875554,1496,17.5,0.930258797580453
"result.3833",8,15,14,194.42981957,71.6030497,83.16969619,1157869.21780152,1500,17,0.929410622034859
"result.3297",0,14,12,192.79654872,72.089144304,83.265755824,1157272.28990269,1493,17.5,0.92437887043586
"result.2803",2,15,10,193.914209872,72.64797488,82.148094672,1157259.20104505,1498,17.5,0.924268539053361
"result.3524",3,12,13,194.473040448,70.971483152,83.8245864,1156950.30400489,1499,17.5,0.921664718426408
"result.4073",8,14,15,194.42981957,71.05225701,83.72048888,1156571.55489823,1499,17,0.918472085904538
"result.4018",1,11,15,193.355379296,70.412652576,84.942247552,1156460.25717506,1495,17.5,0.917533911465683
"result.3043",2,14,11,193.914209872,72.089144304,82.706925248,1156169.16098127,1497,17.5,0.915080141518927
"result.3537",0,13,13,192.79654872,71.530313728,83.8245864,1156007.90625522,1492,17.5,0.91372085888655
"result.4086",5,15,15,192.7774415,71.6030497,83.72048888,1155631.81034915,1492,17,0.91055059128737
"result.3764",3,11,14,194.473040448,70.412652576,84.383416976,1155492.72881874,1499,17.5,0.90937821567143
"result.2789",4,14,10,195.031871024,72.089144304,82.148094672,1154975.98071934,1500,17.5,0.905022332690407
"result.3283",2,13,12,193.914209872,71.530313728,83.265755824,1154958.00535485,1496,17.5,0.90487081092511
"result.3777",0,12,14,192.79654872,70.971483152,84.383416976,1154623.10511752,1492,17.5,0.902047798618261
"result.3832",7,15,14,193.87902688,71.6030497,83.16969619,1154589.13503155,1496,17,0.90176145074485
"result.2802",1,15,10,193.355379296,72.64797488,82.148094672,1153924.16011985,1493,17.5,0.896156102792866
"result.4004",3,10,15,194.473040448,69.853822,84.942247552,1153913.68903374,1498,17.5,0.896067837686867
"result.3029",4,13,11,195.031871024,71.530313728,82.706925248,1153818.75118637,1500,17.5,0.895267567392482
"result.3523",2,12,13,193.914209872,70.971483152,83.8245864,1153625.73416579,1495,17.5,0.893640547271912
"result.3578",9,15,13,194.98061226,71.6030497,82.6189035,1153459.57010414,1499,17,0.892239881823787
"result.4072",7,14,15,193.87902688,71.05225701,83.72048888,1153295.14822713,1495,17,0.890853901969005
"result.4017",0,11,15,192.79654872,70.412652576,84.942247552,1153117.88648958,1491,17.5,0.889359689630988
"result.3042",1,14,11,193.355379296,72.089144304,82.706925248,1152837.2613819,1493,17.5,0.88699418479023
"result.2548",3,15,9,194.473040448,72.64797488,81.589264096,1152699.04304529,1497,17.5,0.885829085391052
"result.3269",4,12,12,195.031871024,70.971483152,83.265755824,1152539.70801835,1499,17.5,0.884485984694776
"result.4085",4,15,15,192.22664881,71.6030497,83.72048888,1152330.00517673,1488,17,0.882718312902725
"result.3818",9,14,14,194.98061226,71.05225701,83.16969619,1152217.38287479,1498,17,0.881768973042843
"result.3763",2,11,14,193.914209872,70.412652576,84.383416976,1152172.34741409,1494,17.5,0.881389350559332
"result.2788",3,14,10,194.473040448,72.089144304,82.148094672,1151666.5939551,1496,17.5,0.877126145939608
"result.3282",1,13,12,193.355379296,71.530313728,83.265755824,1151629.59611752,1492,17.5,0.876814275898414
"result.2294",5,15,8,195.5907016,72.64797488,81.03043352,1151383.17655779,1500,17.5,0.874737103737251
"result.3831",6,15,14,193.32823419,71.6030497,83.16969619,1151309.05226157,1491,17,0.874112279454841
"result.3990",5,9,15,195.5907016,69.294991424,84.942247552,1151261.01388654,1500,17.5,0.873707344167269
"result.1265",0,15,4,195.5303094,73.6780876,79.91238732,1151241.76666683,1500,18,0.873545101409372
"result.3509",4,11,13,195.031871024,70.412652576,83.8245864,1151138.85121529,1498,17.5,0.872677584597287
"result.3201",0,8,12,195.5303094,69.71080596,84.44642348,1151053.34739241,1500,18,0.871956837588628
"result.4058",9,13,15,194.98061226,70.50146432,83.72048888,1150856.8920998,1497,17,0.870300834854191
"result.4003",2,10,15,193.914209872,69.853822,84.942247552,1150597.84509974,1493,17.5,0.86811722078737
"result.2801",0,15,10,192.79654872,72.64797488,82.148094672,1150589.11919465,1489,17.5,0.868043666532372
"result.3028",3,13,11,194.473040448,71.530313728,82.706925248,1150512.68026607,1495,17.5,0.867399331258582
"result.1505",0,14,5,195.5303094,73.11133308,80.47914184,1150488.08956917,1499,18,0.867192046126395
"result.2534",5,14,9,195.5907016,72.089144304,81.589264096,1150405.87518777,1500,17.5,0.866499027177399
"result.3522",1,12,13,193.355379296,70.971483152,83.8245864,1150301.1643267,1491,17.5,0.865616376117415
"result.3577",8,15,13,194.42981957,71.6030497,82.6189035,1150201.20973661,1495,17,0.864773817628414
"result.4071",6,14,15,193.32823419,71.05225701,83.72048888,1150018.74155603,1491,17,0.863235718033473
"result.3749",4,10,14,195.031871024,69.853822,84.383416976,1149616.18077717,1497,17.5,0.859842367100018
"result.1745",0,13,6,195.5303094,72.54457856,81.04589636,1149608.79962191,1499,18,0.859780148296255
"result.3041",0,14,11,192.79654872,72.089144304,82.706925248,1149505.36178254,1488,17.5,0.858908228061535
"result.2547",2,15,9,193.914209872,72.64797488,81.589264096,1149386.68947332,1492,17.5,0.857907890193553
"result.3441",0,7,13,195.5303094,69.14405144,85.013178,1149357.57392269,1499,18,0.85766246320193
"result.2774",5,13,10,195.5907016,71.530313728,82.148094672,1149306.4111465,1499,17.5,0.857231191047566
"result.3268",3,12,12,194.473040448,70.971483152,83.265755824,1149237.30197819,1494,17.5,0.856648641347976
"result.4084",3,15,15,191.67585612,71.6030497,83.72048888,1149028.2000043,1484,17,0.85488603451808
"result.3323",10,15,12,195.53140495,71.6030497,82.06811081,1149006.47760185,1498,17,0.854702927423444
"result.3817",8,14,14,194.42981957,71.05225701,83.16969619,1148962.53151074,1494,17,0.854332487685834
"result.3922",1,5,15,196.09706392,68.0105424,86.14668704,1148909.73680669,1500,18,0.853887459338132
"result.3762",1,11,14,193.355379296,70.412652576,84.383416976,1148851.96600943,1490,17.5,0.853400485447235
"result.1985",0,12,7,195.5303094,71.97782404,81.61265088,1148603.89682504,1498,18,0.851309407918951
"result.3495",6,10,13,196.149532176,69.853822,83.8245864,1148547.25740371,1500,17.5,0.850831970862681
"result.2787",2,14,10,193.914209872,72.089144304,82.148094672,1148357.20719086,1492,17.5,0.849229959188809
"result.4044",11,12,15,196.08219764,69.95067163,83.72048888,1148317.04196716,1500,17,0.848891389942925
"result.3281",0,13,12,192.79654872,71.530313728,83.265755824,1148301.18688019,1487,17.5,0.848757740871717
"result.2706",1,9,10,196.09706392,70.27756048,83.31291444,1148153.87513774,1500,18,0.847515989402161
"result.2293",4,15,8,195.031871024,72.64797488,81.03043352,1148093.51033906,1496,17.5,0.84700714960275
"result.3014",5,12,11,195.5907016,70.971483152,82.706925248,1148084.78443397,1498,17.5,0.84693359534775
"result.3830",5,15,14,192.7774415,71.6030497,83.16969619,1148028.96949159,1487,17,0.846463108164831
"result.3989",4,9,15,195.031871024,69.294991424,84.942247552,1147971.69670401,1496,17.5,0.845980332202967
"result.3508",3,11,13,194.473040448,70.412652576,83.8245864,1147840.45909146,1494,17.5,0.844874076207789
"result.3563",10,14,13,195.53140495,71.05225701,82.6189035,1147820.10023727,1498,17,0.844702463024103
"result.4057",8,13,15,194.42981957,70.50146432,83.72048888,1147605.88393003,1493,17,0.842896745367771
"result.3681",0,6,14,195.5303094,68.57729692,85.57993252,1147536.18760336,1497,18,0.842309246268068
"result.2225",0,11,8,195.5303094,71.41106952,82.1794054,1147473.38117855,1497,18,0.841779824994487
"result.4002",1,10,15,193.355379296,69.853822,84.942247552,1147282.00116573,1489,17.5,0.840166603887871
"result.3027",2,13,11,193.914209872,71.530313728,82.706925248,1147206.60934576,1491,17.5,0.839531095124684
"result.2533",4,14,9,195.031871024,72.089144304,81.589264096,1147119.00125866,1495,17.5,0.838792610404497
"result.3521",0,12,13,192.79654872,70.971483152,83.8245864,1146976.5944876,1487,17.5,0.837592204962918
"result.3735",6,9,14,196.149532176,69.294991424,84.383416976,1146954.60520678,1499,17.5,0.837406848240321
"result.3576",7,15,13,193.87902688,71.6030497,82.6189035,1146942.84936909,1491,17,0.83730775343304
"result.4070",5,14,15,192.7774415,71.05225701,83.72048888,1146742.33488493,1486,17,0.83561753409794
"result.3254",5,11,12,195.5907016,70.412652576,83.265755824,1146740.99505019,1497,17.5,0.835606240077954
"result.2039",6,15,7,196.149532176,72.64797488,80.471602944,1146709.58179186,1499,17.5,0.83534144475996
"result.2946",1,8,11,196.09706392,69.71080596,83.87966896,1146642.15179984,1499,18,0.834773049530217
"result.3803",10,13,14,195.53140495,70.50146432,83.16969619,1146515.08513622,1497,17,0.833701952184828
"result.1010",1,15,3,196.09706392,73.6780876,79.3456328,1146390.19791019,1499,18,0.832649226218227
"result.3748",3,10,14,194.473040448,69.853822,84.383416976,1146322.15160589,1493,17.5,0.832075635838017
"result.2465",0,10,9,195.5303094,70.844315,82.74615992,1146217.25268246,1497,18,0.831191399522858
"result.2546",1,15,9,193.355379296,72.64797488,81.589264096,1146074.33590135,1488,17.5,0.829986694996056
"result.2773",4,13,10,195.031871024,71.530313728,82.148094672,1146022.67854322,1495,17.5,0.829551253806464
"result.3267",2,12,12,193.914209872,70.971483152,83.265755824,1145934.89593802,1490,17.5,0.828811298001176
"result.2279",6,14,8,196.149532176,72.089144304,81.03043352,1145790.74398594,1499,17.5,0.827596181708598
"result.3322",9,15,12,194.98061226,71.6030497,82.06811081,1145769.83963678,1494,17,0.827419970322706
"result.4083",2,15,15,191.12506343,71.6030497,83.72048888,1145726.39483188,1479,17,0.827053756133435
"result.3816",7,14,14,193.87902688,71.05225701,83.16969619,1145707.68014669,1490,17,0.826896002328825
"result.1250",1,14,4,196.09706392,73.11133308,79.91238732,1145697.32471365,1498,18,0.826808712110252
"result.3921",0,5,15,195.5303094,68.0105424,86.14668704,1145589.18843442,1496,18,0.825897186787043
"result.3761",0,11,14,192.79654872,70.412652576,84.383416976,1145531.58460478,1486,17.5,0.825411620335138
"result.3549",12,13,13,196.63299033,70.50146432,82.6189035,1145338.73349584,1500,17,0.823785998752241
"result.3494",5,10,13,195.5907016,69.853822,83.8245864,1145275.04299515,1496,17.5,0.823249125238177
"result.3975",6,8,15,196.149532176,68.736160848,84.942247552,1145239.44130239,1498,17.5,0.822949023877781
"result.4043",10,12,15,195.53140495,69.95067163,83.72048888,1145091.43229872,1496,17,0.821701394905618
"result.2786",1,14,10,193.355379296,72.089144304,82.148094672,1145047.82042662,1487,17.5,0.82133377243801
"result.3186",1,7,12,196.09706392,69.14405144,84.44642348,1145004.45151711,1498,18,0.82096819800228
"result.2211",2,10,8,196.66381844,70.844315,82.1794054,1144965.67537658,1500,18,0.820641337911633
"result.1490",1,13,5,196.09706392,72.54457856,80.47914184,1144878.47457228,1498,18,0.819906286346284
"result.2705",0,9,10,195.5303094,70.27756048,83.31291444,1144835.51133677,1496,18,0.819544131504066
"result.3013",4,12,11,195.031871024,70.971483152,82.706925248,1144804.54219273,1494,17.5,0.819283079808647
"result.2292",3,15,8,194.473040448,72.64797488,81.03043352,1144803.84412032,1492,17.5,0.819277195468247
"result.2519",6,13,9,196.149532176,71.530313728,81.589264096,1144749.39447256,1498,17.5,0.818818216917056
"result.3829",4,15,14,192.22664881,71.6030497,83.16969619,1144748.88672162,1483,17,0.818813936874822
"result.3988",3,9,15,194.473040448,69.294991424,84.942247552,1144682.37952147,1492,17.5,0.818253320238665
"result.3667",2,5,14,196.66381844,68.0105424,85.57993252,1144649.82277647,1500,18,0.817978885999564
"result.3562",9,14,13,194.98061226,71.05225701,82.6189035,1144586.80418026,1493,17,0.817447676245617
"result.3507",2,11,13,193.914209872,70.412652576,83.8245864,1144542.06696764,1489,17.5,0.817070567818288
"result.3068",11,15,11,196.08219764,71.6030497,81.51731812,1144509.94029467,1498,17,0.816799758833829
"result.4056",7,13,15,193.87902688,70.50146432,83.72048888,1144354.87576025,1489,17,0.815492655881351
"result.3240",7,10,12,196.708362752,69.853822,83.265755824,1144140.67533352,1500,17.5,0.813687072088348
"result.3789",12,12,14,196.63299033,69.95067163,83.16969619,1143966.71313801,1499,17,0.812220672951821
"result.4001",0,10,15,192.79654872,69.853822,84.942247552,1143966.15723173,1485,17.5,0.812215986988375
"result.1730",1,12,6,196.09706392,71.97782404,81.04589636,1143933.64748609,1497,18,0.811941948926319
"result.3026",1,13,11,193.355379296,71.530313728,82.706925248,1143900.53842546,1487,17.5,0.811662858990784
