"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4049",0,13,15,135.67422091,136.264108827,89.662963384,1657646.43880696,1499,19.5,1
"result.3809",0,14,14,135.67422091,136.853996744,89.073075467,1653869.61848614,1497,19.5,0.976663250707712
"result.4033",0,12,15,135.67422091,135.67422091,89.662963384,1650470.4801974,1496,19.5,0.955660176344653
"result.4018",1,11,15,136.264108827,135.084332993,89.662963384,1650439.28037736,1499,19.5,0.955467394502674
"result.3554",1,14,13,136.264108827,136.853996744,88.48318755,1650059.95624949,1499,19.5,0.95312357316071
"result.3569",0,15,13,135.67422091,137.443884661,88.48318755,1649998.3776573,1496,19.5,0.952743082683118
"result.3778",1,12,14,136.264108827,135.67422091,89.073075467,1646740.87013059,1497,19.5,0.932615136418519
"result.3793",0,13,14,135.67422091,136.264108827,89.073075467,1646740.87013059,1494,19.5,0.932615136418519
"result.3299",2,14,12,136.853996744,136.853996744,87.893299633,1646155.05245692,1500,19.5,0.928995403675031
"result.3314",1,15,12,136.264108827,137.443884661,87.893299633,1646124.4684228,1497,19.5,0.928806426737827
"result.4017",0,11,15,135.67422091,135.084332993,89.662963384,1643294.52158785,1493,19.5,0.911320352689307
"result.4002",1,10,15,136.264108827,134.494445076,89.662963384,1643232.12194776,1496,19.5,0.910934789005348
"result.3987",2,9,15,136.853996744,133.904557159,89.662963384,1643107.3226676,1499,19.5,0.910163661637429
"result.4086",5,15,15,136.83554385,135.67098603,88.50639432,1643086.97256736,1499,19,0.910037919572146
"result.3538",1,13,13,136.264108827,136.264108827,88.48318755,1642947.62885186,1496,19.5,0.909176922998875
"result.3523",2,12,13,136.853996744,135.67422091,88.48318755,1642916.83955577,1499,19.5,0.908986677760079
"result.3553",0,14,13,135.67422091,136.853996744,88.48318755,1642916.83955577,1492,19.5,0.908986677760079
"result.3059",2,15,11,136.853996744,137.443884661,87.303411716,1642154.90710844,1499,19.5,0.904278742250677
"result.3777",0,12,14,135.67422091,135.67422091,89.073075467,1639612.12177505,1491,19.5,0.888567022129326
"result.3762",1,11,14,136.264108827,135.084332993,89.073075467,1639581.12721698,1494,19.5,0.888375508588938
