"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3265",0,12,12,119.157359234,117.9775834,134.494445076,1890709.09451725,1500,19.5,1
"result.3505",0,11,13,119.157359234,117.387695483,135.084332993,1889506.66987381,1500,19.5,0.993200666050762
"result.4083",2,15,15,118.78489764,118.20261873,134.50642821,1888562.51898873,1497,19,0.987861789139755
"result.3745",0,10,14,119.157359234,116.797807566,135.67422091,1888221.31939289,1499,19.5,0.985932412518818
"result.3985",0,9,15,119.157359234,116.207919649,136.264108827,1886853.04307448,1499,19.5,0.978195239404169
"result.2289",0,15,8,119.157359234,119.747247151,132.134893408,1885401.8409186,1498,19.5,0.969989146706813
"result.2529",0,14,9,119.157359234,119.157359234,132.724781325,1884489.65670634,1498,19.5,0.964831031297047
"result.2769",0,13,10,119.157359234,118.567471317,133.314669242,1883494.54665659,1498,19.5,0.959203996304574
"result.3009",0,12,11,119.157359234,117.9775834,133.904557159,1882416.51076937,1497,19.5,0.953108041729395
"result.3572",3,15,13,119.36717655,118.20261873,133.34187039,1881388.83485965,1498,19,0.947296857020326
"result.3249",0,11,12,119.157359234,117.387695483,134.494445076,1881255.54904466,1497,19.5,0.946543167571511
"result.3234",1,10,12,119.747247151,116.797807566,134.494445076,1881068.35012441,1500,19.5,0.945484616434313
"result.3827",2,15,14,118.78489764,118.20261873,133.9241493,1880386.92366843,1494,19,0.941631363707556
"result.3812",3,14,14,119.36717655,117.62033982,133.9241493,1880296.11004322,1498,19,0.94111784116098
"result.3489",0,10,13,119.157359234,116.797807566,135.084332993,1880011.66148248,1496,19.5,0.939509373830919
"result.3474",1,9,13,119.747247151,116.207919649,135.084332993,1879776.6365223,1500,19.5,0.938180381449241
"result.4082",1,15,15,118.20261873,118.20261873,134.50642821,1879304.85958192,1490,19,0.935512630929766
"result.4067",2,14,15,118.78489764,117.62033982,134.50642821,1879259.25534839,1494,19,0.935254753303116
"result.4052",3,13,15,119.36717655,117.03806091,134.50642821,1879122.4426478,1497,19,0.934481120423164
"result.3729",0,9,14,119.157359234,116.207919649,135.67422091,1878684.84808282,1496,19.5,0.932006660507623
"result.3714",1,8,14,119.747247151,115.618031732,135.67422091,1878401.58655876,1499,19.5,0.930404905497389
"result.1778",1,15,6,119.747247151,119.747247151,130.955117574,1877818.23202877,1499,19.5,0.927106218729937
"result.3969",0,8,15,119.157359234,115.618031732,136.264108827,1877275.10884568,1495,19.5,0.924035027601619
"result.2018",1,14,7,119.747247151,119.157359234,131.545005491,1876984.8684145,1499,19.5,0.922393809062149
"result.2033",0,15,7,119.157359234,119.747247151,131.545005491,1876984.8684145,1495,19.5,0.922393809062149
"result.3954",1,7,15,119.747247151,115.028143815,136.264108827,1876943.20023379,1499,19.5,0.922158188578759
"result.2273",0,14,8,119.157359234,119.157359234,132.134893408,1876114.14712098,1495,19.5,0.917470153443734
"result.2258",1,13,8,119.747247151,118.567471317,132.134893408,1876068.16843881,1498,19.5,0.917210158427581
"result.2513",0,13,9,119.157359234,118.567471317,132.724781325,1875160.49998997,1494,19.5,0.912077578242615
"result.2498",1,12,9,119.747247151,117.9775834,132.724781325,1875068.13210169,1498,19.5,0.911555266826234
"result.2753",0,12,10,119.157359234,117.9775834,133.314669242,1874123.92702148,1494,19.5,0.906216083458789
"result.3061",4,15,11,119.94945546,118.20261873,132.17731257,1874054.84493997,1499,19,0.905825445970853
"result.2738",1,11,10,119.747247151,117.387695483,133.314669242,1873984.75940314,1498,19.5,0.905429134258109
"result.3316",3,15,12,119.36717655,118.20261873,132.75959148,1873173.1630917,1495,19,0.900839811855616
