"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3777",0,12,14,113.54878,136.92647,127.575394,1983520.99968915,1500,25,1
"result.3537",0,13,13,113.54878,137.594404,126.90746,1982761.12700379,1500,25,0.99607949845833
"result.3297",0,14,12,113.54878,138.262338,126.239526,1981899.93796038,1500,25,0.991636263377771
"result.3057",0,15,11,113.54878,138.930272,125.571592,1980937.43255892,1499,25,0.986670294758322
"result.4067",2,14,15,113.728946632,136.871464842,126.953242752,1976185.60020261,1499,24.5,0.962153600794239
"result.3827",2,15,14,113.728946632,137.532679648,126.292027946,1975390.03434102,1498,24.5,0.958048943202291
"result.4001",0,10,15,113.54878,135.590602,128.243328,1974453.18564384,1497,25,0.953215348269404
"result.4082",1,15,15,113.067731826,137.532679648,126.953242752,1974187.43478279,1494,24.5,0.951844228237718
"result.3761",0,11,14,113.54878,136.258536,127.575394,1973845.28749555,1497,25,0.950078947036069
"result.3521",0,12,13,113.54878,136.92647,126.90746,1973136.07298921,1496,25,0.946419812263843
"result.2786",1,14,10,114.216714,138.262338,124.903658,1972462.31920819,1500,25,0.94294363423023
"result.3281",0,13,12,113.54878,137.594404,126.239526,1972325.54212482,1496,25,0.942237943952728
"result.3041",0,14,11,113.54878,138.262338,125.571592,1971413.69490239,1496,25,0.937533342102725
"result.2546",1,15,9,114.216714,138.930272,124.235724,1971392.23967363,1500,25,0.937422645588607
"result.2801",0,15,10,113.54878,138.930272,124.903658,1970400.53132191,1495,25,0.932306006713831
"result.4036",3,12,15,114.390161438,135.54903523,126.953242752,1968470.4614983,1500,24.5,0.922347967867668
"result.3796",3,13,14,114.390161438,136.210250036,126.292027946,1967770.29415936,1500,24.5,0.918735511222429
"result.3556",3,14,13,114.390161438,136.871464842,125.63081314,1966970.10291484,1500,24.5,0.914606989342155
"result.4051",2,13,15,113.728946632,136.210250036,126.953242752,1966638.80986347,1495,24.5,0.912897709690856
"result.3970",1,8,15,114.216714,134.254734,128.243328,1966500.44751563,1498,25,0.912183840369761
"result.3316",3,15,12,114.390161438,137.532679648,124.969598334,1966069.88776477,1499,24.5,0.909962402226847
"result.3730",1,9,14,114.216714,134.922668,127.575394,1965990.8858325,1498,25,0.909554798159465
"result.3811",2,14,14,113.728946632,136.871464842,126.292027946,1965892.96686822,1495,24.5,0.909049593198405
"result.3490",1,10,13,114.216714,135.590602,126.90746,1965379.41181275,1498,25,0.90639994750711
"result.3571",2,15,13,113.728946632,137.532679648,125.63081314,1965047.67814028,1494,24.5,0.90468839450696
"result.3985",0,9,15,113.54878,134.922668,128.243328,1964726.81527121,1493,25,0.903032928536028
"result.4066",1,14,15,113.067731826,136.871464842,126.953242752,1964696.14903864,1490,24.5,0.902874708594238
"result.3250",1,11,12,114.216714,136.258536,126.239526,1964666.02545638,1497,25,0.902719288412694
"result.3745",0,10,14,113.54878,135.590602,127.575394,1964169.57530194,1493,25,0.900157894072137
"result.3826",1,15,14,113.067731826,137.532679648,126.292027946,1963905.20855996,1490,24.5,0.898793915290615
"result.3010",1,12,11,114.216714,136.92647,125.571592,1963850.72676338,1497,25,0.89851282087622
"result.3889",0,3,15,114.67818129,132.217197252,129.518887104,1963820.76358678,1500,25.5,0.898358228294701
"result.3649",0,4,14,114.67818129,132.891774789,128.844309567,1963559.83927189,1500,25.5,0.897012010436774
"result.3505",0,11,13,113.54878,136.258536,126.90746,1963511.01897463,1493,25,0.896760126069356
"result.3409",0,5,13,114.67818129,133.566352326,128.16973203,1963194.54523104,1500,25.5,0.895127305435677
"result.2770",1,13,10,114.216714,137.594404,124.903658,1962933.51573375,1497,25,0.893780544897687
"result.3265",0,12,12,113.54878,136.92647,126.239526,1962751.14628927,1492,25,0.892839624527687
"result.3169",0,6,12,114.67818129,134.240929863,127.495154493,1962724.88146424,1500,25.5,0.892704113291409
"result.4081",0,15,15,112.40651702,137.532679648,126.953242752,1962642.47902383,1485,24.5,0.892278964577813
"result.2929",0,7,11,114.67818129,134.9155074,126.820576956,1962150.84797148,1500,25.5,0.889742434003969
"result.2530",1,14,9,114.216714,138.262338,124.235724,1961914.3923675,1496,25,0.888522460477094
"result.3025",0,13,11,113.54878,137.594404,125.571592,1961889.95724586,1492,25,0.888396389447126
"result.2689",0,8,10,114.67818129,135.590084937,126.145999419,1961472.44475277,1499,25.5,0.886242267573359
"result.2785",0,14,10,113.54878,138.262338,124.903658,1960927.4518444,1492,25,0.883430420827678
"result.2290",1,15,8,114.216714,138.930272,123.56779,1960793.35666463,1496,25,0.882738567614442
"result.2449",0,9,9,114.67818129,136.264662474,125.471421882,1960689.6718081,1499,25.5,0.882203613999579
"result.2545",0,15,9,113.54878,138.930272,124.235724,1959863.63008489,1491,25,0.87794171866934
"result.2209",0,10,8,114.67818129,136.939240011,124.796844345,1959802.52913747,1499,25.5,0.877626473282627
"result.4020",3,11,15,114.390161438,134.887820424,126.953242752,1958868.16656417,1496,24.5,0.872805705304382
"result.4086",5,15,15,114.52623525,136.12261104,125.65164096,1958860.10039175,1497,24,0.872764088541473
"result.1969",0,11,7,114.67818129,137.613817548,124.122266808,1958811.01674089,1498,25.5,0.872510845422506
"result.3939",2,6,15,114.884648,132.918866,128.243328,1958318.85361394,1499,25,0.869971569652862
"result.3780",3,12,14,114.390161438,135.54903523,126.292027946,1958218.011178,1496,24.5,0.86945128127666
"result.3699",2,7,14,114.884648,133.5868,127.575394,1957908.82035314,1499,25,0.867856036271946
"result.1729",0,12,6,114.67818129,138.288395085,123.447689271,1957715.13461836,1498,25.5,0.866856730419213
"result.3045",4,14,11,115.051376244,136.871464842,124.308383528,1957515.24206116,1500,24.5,0.865825400969237
"result.3540",3,13,13,114.390161438,136.210250036,125.63081314,1957467.83188627,1496,24.5,0.865580792013903
"result.3459",2,8,13,114.884648,134.254734,126.90746,1957396.27877713,1499,25,0.8652116195458
"result.4035",2,12,15,113.728946632,135.54903523,126.953242752,1957092.01952433,1491,24.5,0.863641818587474
"result.3219",2,9,12,114.884648,134.922668,126.239526,1956781.22888592,1499,25,0.862038319474425
"result.3954",1,7,15,114.216714,133.5868,128.243328,1956716.86319963,1494,25,0.861706229932071
"result.3300",3,14,12,114.390161438,136.871464842,124.969598334,1956617.62868898,1496,24.5,0.861194237516112
"result.1489",0,13,5,114.67818129,138.962972622,122.773111734,1956514.88276986,1497,25.5,0.860664128272749
"result.2805",4,15,10,115.051376244,137.532679648,123.647168722,1956509.22127688,1500,24.5,0.860634918258488
"result.3795",2,13,14,113.728946632,136.210250036,126.292027946,1956395.89939543,1491,24.5,0.860050243194519
