"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3826",1,15,14,113.54878,136.92647,127.575394,1983520.99968915,1500,25,1
"result.4081",0,15,15,112.880846,136.92647,128.243328,1982177.06799857,1495,25,0.99310929572525
"result.4050",1,13,15,113.54878,135.590602,128.243328,1974453.18564384,1497,25,0.953506844549745
"result.3810",1,14,14,113.54878,136.258536,127.575394,1973845.28749555,1497,25,0.950389984966489
"result.3570",1,15,13,113.54878,136.92647,126.90746,1973136.07298921,1496,25,0.946753648786022
"result.4065",0,14,15,112.880846,136.258536,128.243328,1972507.91156931,1492,25,0.943532893883323
"result.3969",0,8,15,114.003603753,133.566352326,129.518887104,1972189.98772931,1499,25.5,0.941902811656181
"result.3825",0,15,14,112.880846,136.92647,127.575394,1971853.22910275,1491,25,0.940176158341942
"result.3729",0,9,14,114.003603753,134.240929863,128.844309567,1971826.84247694,1499,25.5,0.940040866915686
"result.3489",0,10,13,114.003603753,134.9155074,128.16973203,1971359.94143818,1499,25.5,0.93764693796362
"result.3249",0,11,12,114.003603753,135.590084937,127.495154493,1970789.28461303,1498,25.5,0.934721024799984
"result.3009",0,12,11,114.003603753,136.264662474,126.820576956,1970114.87200148,1498,25.5,0.931263127424776
"result.2769",0,13,10,114.003603753,136.939240011,126.145999419,1969336.70360355,1498,25.5,0.927273245838
"result.4085",4,15,15,114.390161438,135.54903523,126.953242752,1968470.4614983,1500,24.5,0.922831786335696
"result.2529",0,14,9,114.003603753,137.613817548,125.471421882,1968454.77941922,1498,25.5,0.922751380039655
"result.2289",0,15,8,114.003603753,138.288395085,124.796844345,1967469.0994485,1497,25.5,0.917697530029737
"result.4019",2,11,15,114.216714,134.254734,128.243328,1966500.44751563,1498,25,0.912730987413486
"result.3779",2,12,14,114.216714,134.922668,127.575394,1965990.8858325,1498,25,0.910118325703991
"result.3539",2,13,13,114.216714,135.590602,126.90746,1965379.41181275,1498,25,0.906983131652597
"result.4034",1,12,15,113.54878,134.922668,128.243328,1964726.81527121,1493,25,0.903637091217629
