"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4089",8,15,15,130.720613948,94.49682936,139.382823306,1721751.90861554,1500,39.5,1
"result.3832",7,15,14,130.39950165,94.8360012,139.09280176,1720100.4932094,1497,40,0.995820893697602
"result.4087",6,15,15,129.60920164,94.8360012,139.88310177,1719389.70788163,1492,40,0.994022165508489
"result.3817",8,14,14,131.18980166,94.04570119,139.09280176,1716104.30014437,1500,40,0.985708044101034
"result.4072",7,14,15,130.39950165,94.04570119,139.88310177,1715458.17653739,1495,40,0.984072950212459
"result.4090",9,15,15,131.03437399,94.1564364,138.88074369,1713473.07629376,1498,39,0.979049414094135
"result.3578",9,15,13,131.508087526,94.49682936,137.80787615,1712551.88650497,1500,39.5,0.976718231983492
"result.3833",8,15,14,130.720613948,94.49682936,138.595349728,1712024.49670245,1495,39.5,0.975383608339234
"result.4088",7,15,15,129.93314037,94.49682936,139.382823306,1711379.90916605,1491,39.5,0.973752401662919
"result.4057",8,13,15,131.18980166,93.25540118,139.88310177,1711351.91046674,1498,40,0.973681547569938
"result.3321",8,15,12,131.18980166,94.8360012,137.51220174,1710860.28394836,1498,40,0.972437427239135
"result.3576",7,15,13,130.39950165,94.8360012,138.30250175,1710327.19495253,1493,40,0.9710883810973
"result.3831",6,15,14,129.60920164,94.8360012,139.09280176,1709675.64173541,1488,40,0.969439546923947
"result.4086",5,15,15,128.81890163,94.8360012,139.88310177,1708905.62429699,1483,40,0.967490924719075
"result.3818",9,14,14,131.508087526,93.709355782,138.595349728,1707985.08147429,1498,39.5,0.965161379834322
"result.4073",8,14,15,130.720613948,93.709355782,139.382823306,1707403.97604374,1493,39.5,0.963690822300371
"result.4042",9,12,15,131.98010167,92.46510117,139.88310177,1707070.90966968,1500,40,0.962847957580927
"result.3306",9,14,12,131.98010167,94.04570119,137.51220174,1706823.61560772,1500,40,0.962222150065131
"result.3561",8,14,13,131.18980166,94.04570119,138.30250175,1706353.70752992,1496,40,0.96103299087344
"result.3816",7,14,14,130.39950165,94.04570119,139.09280176,1705766.32243266,1491,40,0.959546541883826
"result.4071",6,14,15,129.60920164,94.04570119,139.88310177,1705061.46031595,1486,40,0.957762803096289
"result.4091",10,15,15,131.34072924,93.8148066,138.376839735,1705038.61359408,1496,38.5,0.957704986704962
"result.3579",10,15,13,131.81901096,94.1564364,137.31146975,1704256.18062304,1498,39,0.955724945494051
"result.3834",9,15,14,131.03437399,94.1564364,138.09610672,1703792.43744464,1494,39,0.954551387325494
"result.4058",9,13,15,131.508087526,92.921882204,139.382823306,1703255.17626394,1496,39.5,0.953191782965538
"result.3322",9,15,12,131.508087526,94.49682936,137.020402572,1702765.87572494,1496,39.5,0.951953548806698
"result.3577",8,15,13,130.720613948,94.49682936,137.80787615,1702297.08478937,1491,39.5,0.950767216678469
"result.3546",9,13,13,131.98010167,93.25540118,138.30250175,1702207.45978458,1498,40,0.950540409770282
"result.3801",8,13,14,131.18980166,93.25540118,139.09280176,1701683.25560534,1494,40,0.949213847730811
"result.2810",9,15,10,131.98010167,94.8360012,135.93160172,1701383.14624473,1498,40,0.94845438471763
"result.4056",7,13,15,130.39950165,93.25540118,139.88310177,1701042.5616085,1489,40,0.947592494127014
"result.3065",8,15,11,131.18980166,94.8360012,136.72190173,1701027.75358084,1493,40,0.947555020623074
"result.4076",11,14,15,132.122519295,93.033016545,138.376839735,1700894.42251937,1499,38.5,0.94721761025544
"result.3320",7,15,12,130.39950165,94.8360012,137.51220174,1700553.89669566,1489,40,0.946355868496999
"result.3575",6,15,13,129.60920164,94.8360012,138.30250175,1699961.57558918,1484,40,0.944856928339404
"result.3819",10,14,14,131.81901096,93.37179943,138.09610672,1699711.49747471,1496,39,0.944224075442186
"result.3830",5,15,14,128.81890163,94.8360012,139.09280176,1699250.79026141,1479,40,0.943058200150292
"result.4074",9,14,15,131.03437399,93.37179943,138.88074369,1699194.13399131,1492,39,0.942914824610388
"result.4043",10,12,15,132.295561104,92.134408626,139.382823306,1698933.50982666,1499,39.5,0.942255283658421
"result.3307",10,14,12,132.295561104,93.709355782,137.020402572,1698687.39458548,1499,39.5,0.9416324592911
"result.4085",4,15,15,128.02860162,94.8360012,139.88310177,1698421.54071234,1474,40,0.94095968392966
