"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3569",0,15,13,135.89891838,101.61811014,119.98282884,1656937.82056626,1500,21,1
"result.3809",0,14,14,135.89891838,101.00595285,120.59498613,1655359.10552946,1499,21,0.990191047941573
"result.4049",0,13,15,135.89891838,100.39379556,121.20714342,1653678.53790963,1499,21,0.979749260266475
"result.3313",0,15,12,135.89891838,101.61811014,119.37067155,1648484.05617562,1496,21,0.94747464381617
"result.3058",1,15,11,136.51107567,101.61811014,118.75851426,1647417.81562184,1499,21,0.940849824117308
"result.3553",0,14,13,135.89891838,101.00595285,119.98282884,1646956.26743032,1496,21,0.937982109566079
"result.3298",1,14,12,136.51107567,101.00595285,119.37067155,1645934.30063448,1498,21,0.931632373817709
"result.3793",0,13,14,135.89891838,100.39379556,120.59498613,1645326.62610201,1495,21,0.927856739699317
"result.3538",1,13,13,136.51107567,100.39379556,119.98282884,1644348.47426868,1498,21,0.921779237290551
"result.4033",0,12,15,135.89891838,99.78163827,121.20714342,1643595.13219067,1494,21,0.917098534215883
"result.4085",4,15,15,136.689051964,100.399923124,119.754125172,1643454.15660007,1498,20.5,0.916222617551184
"result.3778",1,12,14,136.51107567,99.78163827,120.59498613,1642660.33652444,1497,21,0.911290414535835
"result.3523",2,12,13,137.12323296,99.78163827,119.98282884,1641650.75720491,1500,21,0.905017645281384
"result.4018",1,11,15,136.51107567,99.16948098,121.20714342,1640869.88740176,1496,21,0.900165905553561
"result.4070",5,14,15,137.293870778,99.79510431,119.754125172,1640781.9446491,1500,20.5,0.899619495197934
"result.3057",0,15,11,135.89891838,101.61811014,118.75851426,1640030.29178498,1492,21,0.894949287632339
"result.3763",2,11,14,137.12323296,99.16948098,120.59498613,1639903.66424933,1499,21,0.894162519027828
"result.2802",1,15,10,136.51107567,101.61811014,118.14635697,1638925.97121142,1495,21,0.888087867229947
"result.3297",0,14,12,135.89891838,101.00595285,119.37067155,1638553.42933119,1492,21,0.885773171190586
"result.4003",2,10,15,137.12323296,98.55732369,121.20714342,1638053.80111989,1498,21,0.882668855935827
"result.2547",2,15,9,137.12323296,101.61811014,117.53419968,1637745.49059832,1498,21,0.880753245420493
"result.1265",0,15,4,137.50665903,102.82029459,115.827681255,1637626.79768707,1500,21.5,0.880015776625356
"result.2961",0,9,11,137.50665903,99.1038984,120.16347681,1637521.28729485,1500,21.5,0.879360214123672
"result.3042",1,14,11,136.51107567,101.00595285,118.75851426,1637493.61191328,1495,21,0.879188260044127
"result.3537",0,13,13,135.89891838,100.39379556,119.98282884,1636974.71429438,1491,21,0.875964219132159
"result.1505",0,14,5,137.50665903,102.200895225,116.44708062,1636466.18337262,1500,21.5,0.872804589106818
"result.2787",2,14,10,137.12323296,101.00595285,118.14635697,1636358.09325123,1497,21,0.872132998101493
"result.4084",3,15,15,136.08423315,100.399923124,119.754125172,1636182.23555317,1492,20.5,0.871040350163654
"result.3282",1,13,12,136.51107567,100.39379556,119.37067155,1635958.9412367,1494,21,0.869652966630748
"result.3201",0,8,12,137.50665903,98.484499035,120.782876175,1635674.85543095,1499,21.5,0.86788787034418
"result.3777",0,12,14,135.89891838,99.78163827,120.59498613,1635294.14667455,1490,21,0.865522431457061
"result.1745",0,13,6,137.50665903,101.58149586,117.066479985,1635200.05866595,1499,21.5,0.864937839086597
"result.3829",4,15,14,136.689051964,100.399923124,119.149306358,1635153.88308189,1495,20.5,0.864650938613902
"result.2532",3,14,9,137.73539025,101.00595285,117.53419968,1635146.87334505,1500,21,0.864607385362683
"result.3988",3,9,15,137.73539025,97.9451664,121.20714342,1635146.87334505,1500,21,0.864607385362683
"result.3027",2,13,11,137.12323296,100.39379556,118.75851426,1634867.9257303,1497,21,0.862874213944047
"result.3522",1,12,13,136.51107567,99.78163827,119.98282884,1634321.95918168,1493,21,0.859481986989812
