"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,100.36810127,92.46510117,124.07710157,1151503.32784951,1075,40,1
"result.3840",15,15,14,100.36810127,92.46510117,123.28680156,1144168.91174856,1071,40,0.979091120163793
"result.4095",14,15,15,99.57780126,92.46510117,124.07710157,1142436.37251211,1066,40,0.974152014690673
"result.4080",15,14,15,100.36810127,91.67480116,124.07710157,1141661.41906447,1070,40,0.971942785177055
"result.3584",15,15,13,100.36810127,92.46510117,122.49650155,1136834.4956476,1068,40,0.958182240327585
"result.3839",14,15,14,99.57780126,92.46510117,123.28680156,1135159.70771904,1063,40,0.953407771703569
"result.3824",15,14,14,100.36810127,91.67480116,123.28680156,1134389.69028062,1067,40,0.951212613715516
"result.4094",13,15,15,98.78750125,92.46510117,124.07710157,1133369.41717471,1058,40,0.948304029381346
"result.4079",14,14,15,99.57780126,91.67480116,124.07710157,1132671.95907184,1062,40,0.94631572281909
"result.4064",15,13,15,100.36810127,90.88450115,124.07710157,1131819.51027943,1065,40,0.94388557035411
"result.3328",15,15,12,100.36810127,92.46510117,121.70620154,1129500.07954665,1064,40,0.937273360491378
"result.3583",14,15,13,99.57780126,92.46510117,122.49650155,1127883.04292597,1059,40,0.932663528716466
"result.3568",15,14,13,100.36810127,91.67480116,122.49650155,1127117.96149677,1063,40,0.930482442253977
"result.3838",13,15,14,98.78750125,92.46510117,123.28680156,1126150.50368952,1054,40,0.927724423243346
"result.3823",14,14,14,99.57780126,91.67480116,123.28680156,1125457.48799495,1058,40,0.925748781054098
"result.3808",15,13,14,100.36810127,90.88450115,123.28680156,1124610.46881268,1062,40,0.92333410726724
"result.4093",12,15,15,97.99720124,92.46510117,124.07710157,1124302.46183732,1049,40,0.922456044072018
"result.4078",13,14,15,98.78750125,91.67480116,124.07710157,1123682.4990792,1053,40,0.920688660461124
"result.4063",14,13,15,99.57780126,90.88450115,124.07710157,1122907.54563156,1057,40,0.918479430947506
"result.3072",15,15,11,100.36810127,92.46510117,120.91590153,1122165.6634457,1061,40,0.916364480655171
"result.4048",15,12,15,100.36810127,90.09420114,124.07710157,1121977.60149439,1061,40,0.915828355531165
"result.3327",14,15,12,99.57780126,92.46510117,121.70620154,1120606.3781329,1056,40,0.911919285729363
"result.3312",15,14,12,100.36810127,91.67480116,121.70620154,1119846.23271292,1060,40,0.909752270792438
"result.3582",13,15,13,98.78750125,92.46510117,122.49650155,1118931.59020434,1051,40,0.907144817105347
"result.3567",14,14,13,99.57780126,91.67480116,122.49650155,1118243.01691806,1055,40,0.905181839289107
"result.3552",15,13,13,100.36810127,90.88450115,122.49650155,1117401.42734594,1059,40,0.902782644180369
"result.3837",12,15,14,97.99720124,92.46510117,123.28680156,1117141.29966001,1046,40,0.902041074783123
"result.3822",13,14,14,98.78750125,91.67480116,123.28680156,1116525.28570927,1050,40,0.90028494839268
"result.3807",14,13,14,99.57780126,90.88450115,123.28680156,1115755.26827085,1054,40,0.898089790404627
"result.4092",11,15,15,97.20690123,92.46510117,124.07710157,1115235.50649992,1041,40,0.896608058762691
"result.2816",15,15,10,100.36810127,92.46510117,120.12560152,1114831.24734475,1057,40,0.895455600818963
"result.3792",15,12,14,100.36810127,90.09420114,123.28680156,1114831.24734475,1057,40,0.895455600818963
"result.4077",12,14,15,97.99720124,91.67480116,124.07710157,1114693.03908657,1045,40,0.895061598103158
"result.4062",13,13,15,98.78750125,90.88450115,124.07710157,1113995.58098369,1049,40,0.893073291540902
"result.3071",14,15,11,99.57780126,92.46510117,120.91590153,1113329.71333983,1052,40,0.891175042742259
"result.4047",14,12,15,99.57780126,90.09420114,124.07710157,1113143.13219129,1052,40,0.890643139075923
"result.3056",15,14,11,100.36810127,91.67480116,120.91590153,1112574.50392907,1056,40,0.889022099330899
"result.4032",15,11,15,100.36810127,89.30390113,124.07710157,1112135.69270936,1056,40,0.88777114070822
"result.3326",13,15,12,98.78750125,92.46510117,121.70620154,1111712.67671915,1047,40,0.886565210967347
"result.3311",14,14,12,99.57780126,91.67480116,121.70620154,1111028.54584117,1051,40,0.884614897524115
"result.3296",15,13,12,100.36810127,90.88450115,121.70620154,1110192.38587919,1055,40,0.882231181093499
"result.3581",12,15,13,97.99720124,92.46510117,122.49650155,1109980.1374827,1042,40,0.881626105494227
"result.3566",13,14,13,98.78750125,91.67480116,122.49650155,1109368.07233934,1046,40,0.879881236324236
"result.3551",14,13,13,99.57780126,90.88450115,122.49650155,1108602.99091014,1050,40,0.877700149861748
"result.3836",11,15,14,97.20690123,92.46510117,123.28680156,1108132.09563049,1037,40,0.876357726322899
"result.3536",15,12,13,100.36810127,90.09420114,122.49650155,1107684.8931951,1054,40,0.875082846106761
"result.3821",12,14,14,97.99720124,91.67480116,123.28680156,1107593.0834236,1041,40,0.874821115731262
"result.2560",15,15,9,100.36810127,92.46510117,119.33530151,1107496.8312438,1054,40,0.874546720982756
"result.3806",13,13,14,98.78750125,90.88450115,123.28680156,1106900.06772902,1045,40,0.872845473542014
"result.4091",10,15,15,96.41660122,92.46510117,124.07710157,1106168.55116252,1032,40,0.870760073453363
"result.2815",14,15,10,99.57780126,92.46510117,120.12560152,1106053.04854676,1049,40,0.870430799755156
"result.3791",14,12,14,99.57780126,90.09420114,123.28680156,1106053.04854676,1049,40,0.870430799755156
"result.4076",11,14,15,97.20690123,91.67480116,124.07710157,1105703.57909394,1036,40,0.869434535745193
"result.2800",15,14,10,100.36810127,91.67480116,120.12560152,1105302.77514522,1053,40,0.86829192786936
"result.4061",12,13,15,97.99720124,90.88450115,124.07710157,1105083.61633582,1040,40,0.867667152134299
"result.3776",15,11,14,100.36810127,89.30390113,123.28680156,1105052.02587681,1053,40,0.867577094370687
"result.3070",13,15,11,98.78750125,92.46510117,120.91590153,1104493.76323396,1044,40,0.865985604829348
"result.4046",13,12,15,98.78750125,90.09420114,124.07710157,1104308.66288818,1044,40,0.865457922620681
"result.3055",14,14,11,99.57780126,91.67480116,120.91590153,1103814.07476427,1048,40,0.864047955759124
